







date,confirmed,cured,dead
03-11-2020,7,0,0
03-12-2020,7,0,0
03-13-2020,7,0,0
03-14-2020,11,0,0
03-15-2020,16,0,0
03-16-2020,21,1,0
03-17-2020,22,1,0
03-18-2020,22,1,0
03-19-2020,22,1,0
03-20-2020,24,1,0
03-21-2020,24,1,0
03-22-2020,40,1,1
03-23-2020,40,1,1
03-24-2020,74,1,1
03-25-2020,84,2,2
03-26-2020,94,2,4
03-27-2020,110,2,4
03-28-2020,110,2,4
03-29-2020,120,2,4
03-30-2020,170,2,4
03-31-2020,174,5,4
04-01-2020,237,5,4
04-02-2020,273,10,6
04-03-2020,281,10,6
04-04-2020,299,10,7
04-05-2020,349,15,7
04-06-2020,367,18,11
04-07-2020,423,18,14
04-08-2020,444,29,14
04-09-2020,484,32,15
04-10-2020,521,32,15
04-11-2020,555,32,18
04-12-2020,607,32,18
04-13-2020,665,32,21
04-14-2020,714,40,23
04-15-2020,784,43,25
04-16-2020,840,54,30
04-17-2020,906,99,30
04-18-2020,933,112,30
04-19-2020,996,131,33
04-20-2020,1026,135,36
04-21-2020,1092,150,36
04-22-2020,1176,166,40
04-23-2020,1279,179,42
04-24-2020,1351,188,43
04-25-2020,1463,188,47
04-26-2020,1531,207,50
04-27-2020,1703,220,57
04-28-2020,1828,228,58
04-29-2020,1939,252,60
04-30-2020,2171,260,64
05-01-2020,2335,310,68
05-02-2020,2469,331,72
05-03-2020,2704,345,85
05-04-2020,2894,397,90
05-05-2020,3224,421,95
05-05-2020,3224,421,95
05-06-2020,3392,458,104
05-07-2020,3563,468,106
05-08-2020,3778,472,109
05-09-2020,4033,502,115
05-10-2020,4402,558,120
05-11-2020,4687,558,122
05-12-2020,4963,610,127
05-12-2020,4963,610,127
05-13-2020,5226,648,132
05-14-2020,5639,691,136
05-14-2020,5639,691,136
05-15-2020,6053,745,153
05-16-2020,6402,745,168
05-17-2020,6664,778,169
05-18-2020,7072,801,173
05-19-2020,7653,850,178
05-19-2020,7653,850,178
05-20-2020,8145,930,187
05-21-2020,8676,938,193
05-22-2020,9216,996,205
05-23-2020,9998,1040,216
05-24-2020,10582,1075,218
05-25-2020,11173,1097,219
05-26-2020,11831,1128,220
05-27-2020,12456,1138,227
05-28-2020,13036,1209,235
05-29-2020,13659,1259,246
05-30-2020,14525,1303,249
05-31-2020,15205,1328,257
06-01-2020,15750,1428,265
06-02-2020,16509,1450,270
06-03-2020,17267,1522,294
06-04-2020,18054,1585,300
06-05-2020,18969,1762,309
06-06-2020,19551,1830,327
06-06-2020,19551,1830,327
06-07-2020,20342,1875,357
06-08-2020,20917,2171,369
06-09-2020,21459,2651,384
06-10-2020,22142,3013,405
06-11-2020,22890,3326,426
06-12-2020,23546,3928,446
06-13-2020,24102,4201,451
06-14-2020,24766,4725,471
06-15-2020,25527,5164,478
06-16-2020,26310,5508,491
06-17-2020,26874,6158,504
06-18-2020,27532,7660,546
06-19-2020,27878,7962,548
06-20-2020,28424,8292,569
06-21-2020,28833,8764,581
06-22-2020,29157,8841,598
06-23-2020,29481,9260,618
06-24-2020,29640,9869,639
06-25-2020,30175,10174,675
06-26-2020,30451,10306,683
06-27-2020,30616,10674,703
06-28-2020,30967,12604,721
06-29-2020,31238,13934,733
06-30-2020,31517,14131,746
07-01-2020,31836,15651,774
07-02-2020,32022,16041,807
07-03-2020,32324,17331,819
07-04-2020,32672,19164,826
07-05-2020,32951,19366,864
07-06-2020,33190,20103,898
07-07-2020,33384,20179,920
07-08-2020,33594,20700,936
07-09-2020,33908,20847,957
07-10-2020,34194,20882,971
07-11-2020,34366,21135,994
07-12-2020,34451,21216,1010
07-13-2020,34455,21254,1012
07-14-2020,34740,21454,1048
07-15-2020,34994,22456,1094
07-16-2020,35070,22824,1113
07-17-2020,35229,23151,1147
07-18-2020,35301,23273,1164
07-18-2020,35301,23273,1164
07-18-2020,35301,23273,1164
07-19-2020,35475,23634,1181
07-20-2020,35526,23741,1185
07-21-2020,35615,23741,1186
07-22-2020,35727,23924,1190
07-23-2020,35928,24550,1211
07-24-2020,35981,24602,1225
07-25-2020,36036,24793,1248
07-26-2020,36157,25180,1259
07-27-2020,36263,25198,1269
07-28-2020,36368,25358,1270
07-28-2020,36368,25358,1270
07-29-2020,36471,25389,1271
07-30-2020,36542,25471,1271
07-31-2020,36675,25509,1272
08-01-2020,36710,25509,1283
08-02-2020,36710,25510,1284
08-03-2020,36747,25669,1288
08-04-2020,36782,25669,1288
08-05-2020,36829,25742,1294
08-06-2020,36896,25840,1298
08-07-2020,37015,25903,1307
08-08-2020,37054,25960,1312
08-09-2020,37054,25960,1312
08-10-2020,37162,26228,1328
08-11-2020,37269,26415,1344
08-12-2020,37345,26694,1354
08-13-2020,37424,26714,1363
08-14-2020,37431,26714,1363
08-15-2020,37551,27166,1370
08-16-2020,37596,27166,1375
08-17-2020,37599,27166,1375
08-18-2020,37599,27166,1375
08-19-2020,37599,27166,1375
08-20-2020,37856,27681,1385
08-21-2020,37894,28016,1385
08-22-2020,37953,28016,1385
08-23-2020,37999,28180,1387
08-24-2020,38054,28360,1389
08-25-2020,38070,28440,1397
08-26-2020,38113,29042,1401
08-27-2020,38129,29046,1401
08-28-2020,38140,29059,1402
08-29-2020,38143,29063,1402
08-30-2020,38162,29089,1402
08-31-2020,38165,29089,1402
09-01-2020,38196,29231,1406
09-02-2020,38243,29315,1409
09-03-2020,38288,29390,1409
09-04-2020,38304,29713,1409
09-05-2020,38324,30082,1409
09-06-2020,38398,30537,1412
09-07-2020,38494,30557,1415
09-08-2020,38520,30715,1418
09-09-2020,38544,31048,1420
09-10-2020,38572,31129,1420
09-11-2020,38606,31154,1420
09-12-2020,38641,31234,1420
09-13-2020,38716,31638,1420
09-14-2020,38772,32073,1425
09-15-2020,38815,32098,1426
09-16-2020,38855,32503,1436
09-17-2020,38872,32505,1436
09-18-2020,38883,32576,1437
09-19-2020,38919,32576,1437
09-20-2020,39044,32576,1441
