







date,confirmed,cured,dead
03-11-2020,12,0,1
03-12-2020,23,0,1
03-13-2020,33,0,1
03-14-2020,38,0,1
03-15-2020,42,0,1
03-16-2020,51,0,1
03-17-2020,55,0,1
03-18-2020,59,0,2
03-19-2020,64,0,2
03-20-2020,70,0,2
03-21-2020,76,2,2
03-22-2020,89,2,2
03-23-2020,104,2,4
03-24-2020,123,10,5
03-25-2020,146,17,5
03-26-2020,174,17,6
03-27-2020,186,31,8
03-28-2020,197,31,10
03-29-2020,212,33,10
03-30-2020,223,44,11
03-31-2020,243,52,15
04-01-2020,259,67,15
04-02-2020,277,76,16
04-03-2020,304,89,17
04-04-2020,333,99,20
04-05-2020,361,104,20
04-06-2020,377,116,21
04-07-2020,383,131,22
04-08-2020,400,154,22
04-09-2020,409,165,23
04-10-2020,416,182,23
04-11-2020,433,197,23
04-12-2020,446,217,23
04-13-2020,467,232,23
04-14-2020,475,248,24
04-15-2020,494,251,25
04-16-2020,518,277,26
04-17-2020,539,283,26
04-18-2020,548,302,26
04-19-2020,562,314,26
04-20-2020,584,327,26
04-21-2020,609,345,26
04-22-2020,634,356,27
04-23-2020,663,385,27
04-24-2020,678,394,27
04-25-2020,712,403,27
04-26-2020,726,410,28
04-27-2020,736,422,28
04-28-2020,750,431,30
04-29-2020,766,455,30
04-30-2020,773,470,31
05-01-2020,782,488,31
05-02-2020,789,519,31
05-03-2020,795,531,31
05-04-2020,803,543,31
05-05-2020,820,570,31
05-05-2020,820,570,31
05-06-2020,832,595,31
05-07-2020,842,605,31
05-08-2020,850,620,31
05-09-2020,856,627,31
05-10-2020,868,650,31
05-11-2020,872,654,31
05-12-2020,876,682,31
05-12-2020,876,682,31
05-13-2020,880,688,31
05-14-2020,898,694,31
05-14-2020,898,694,31
05-15-2020,916,705,31
05-16-2020,933,714,31
05-17-2020,946,715,31
05-18-2020,948,727,31
05-19-2020,949,742,31
05-19-2020,949,742,31
05-20-2020,964,758,31
05-21-2020,969,771,31
05-22-2020,981,777,31
05-23-2020,989,783,31
05-24-2020,998,789,32
05-25-2020,1004,795,32
05-26-2020,1029,803,33
05-27-2020,1050,812,33
05-28-2020,1076,823,33
05-29-2020,1099,851,33
05-30-2020,1122,857,33
05-31-2020,1137,872,33
06-01-2020,1143,877,33
06-02-2020,1164,891,33
06-03-2020,1184,898,33
06-04-2020,1197,898,33
06-05-2020,1212,910,33
06-06-2020,1232,925,34
06-06-2020,1232,925,34
06-07-2020,1246,938,34
06-08-2020,1263,945,34
06-09-2020,1299,960,34
06-10-2020,1341,980,34
06-11-2020,1385,1001,35
06-12-2020,1416,1034,36
06-13-2020,1464,1039,36
06-14-2020,1521,1044,36
06-15-2020,1590,1055,36
06-16-2020,1672,1064,37
06-17-2020,1722,1077,38
06-18-2020,1788,1086,39
06-19-2020,1838,1114,42
06-20-2020,1891,1126,43
06-21-2020,1962,1134,44
06-22-2020,1995,1159,44
06-23-2020,2047,1195,45
06-24-2020,2114,1217,47
06-25-2020,2192,1250,49
06-26-2020,2269,1298,51
06-27-2020,2330,1346,53
06-28-2020,2402,1384,55
06-29-2020,2466,1438,58
06-30-2020,2535,1459,62
07-01-2020,2580,1516,65
07-02-2020,2662,1559,69
07-03-2020,2752,1592,72
07-04-2020,2819,1637,74
07-05-2020,2893,1657,76
07-06-2020,2964,1702,79
07-07-2020,3038,1744,81
07-08-2020,3106,1791,83
07-09-2020,3188,1832,83
07-10-2020,3278,1875,85
07-11-2020,3371,1881,89
07-12-2020,3454,1946,93
07-13-2020,3571,2014,95
07-14-2020,3667,2062,97
07-15-2020,3752,2091,101
07-16-2020,3851,2137,104
07-17-2020,3906,2214,107
07-18-2020,4008,2264,111
07-18-2020,4008,2264,111
07-18-2020,4008,2264,111
07-19-2020,4090,2311,112
07-20-2020,4171,2352,113
07-21-2020,4290,2397,117
07-22-2020,4358,2463,120
07-23-2020,4466,2523,123
07-24-2020,4570,2608,128
07-25-2020,4637,2637,134
07-26-2020,4763,2682,138
07-27-2020,4880,2745,144
07-28-2020,4997,2789,148
07-28-2020,4997,2789,148
07-29-2020,5105,2830,150
07-30-2020,5197,2883,154
07-31-2020,5276,2952,157
08-01-2020,5396,2961,161
08-02-2020,5519,3018,166
08-03-2020,5620,3031,172
08-04-2020,5750,3031,176
08-05-2020,5889,3123,182
08-06-2020,6016,3155,188
08-07-2020,6151,3227,189
08-08-2020,6275,3268,193
08-09-2020,6411,3342,199
08-10-2020,6536,3379,200
08-11-2020,6676,3480,205
08-12-2020,6817,3552,208
08-13-2020,6971,3616,213
08-14-2020,7117,3695,219
08-15-2020,7260,3746,225
08-16-2020,7380,3794,228
08-17-2020,7499,3816,230
08-18-2020,7654,3871,232
08-19-2020,7812,3928,234
08-20-2020,7967,3986,238
08-21-2020,8119,4096,240
08-22-2020,8275,4184,245
08-23-2020,8427,4332,250
08-24-2020,8605,4413,254
08-25-2020,8759,4530,259
08-26-2020,8927,4633,263
08-27-2020,9083,4791,266
08-28-2020,9195,4923,271
08-29-2020,9279,5020,275
08-30-2020,9380,5139,280
08-31-2020,9513,5214,284
09-01-2020,9606,5441,290
09-02-2020,9728,5582,296
09-03-2020,9844,5732,301
09-04-2020,9967,5882,306
09-05-2020,10102,5976,312
09-06-2020,10255,6106,316
09-07-2020,10406,6186,319
09-08-2020,10553,6239,321
09-09-2020,10704,6284,322
09-10-2020,10860,6346,324
09-11-2020,11021,6443,327
09-12-2020,11185,6494,330
09-13-2020,11353,6569,334
09-14-2020,11520,6615,338
09-15-2020,11672,6668,340
09-16-2020,11816,6733,343
09-17-2020,11948,6788,347
09-18-2020,12073,6831,353
09-19-2020,12226,6888,358
09-20-2020,12385,6940,362
09-21-2020,12535,6995,364
09-22-2020,12666,7042,367
09-23-2020,12787,7139,370
09-24-2020,12921,7239,370
09-25-2020,13045,7309,373
09-26-2020,13153,7397,375
09-27-2020,13259,7397,377
09-28-2020,13391,7629,380
09-29-2020,13518,7732,384
09-30-2020,13649,7847,387
10-01-2020,13806,8077,388
10-02-2020,13965,8342,389
10-03-2020,14117,8536,392
10-04-2020,14266,8675,396
10-05-2020,14410,8825,400
10-06-2020,14568,8965,403
10-07-2020,14730,9115,407
10-08-2020,14899,9215,411
10-09-2020,15066,9304,413
10-10-2020,15231,9406,416
10-11-2020,15399,9500,420
10-12-2020,15570,9585,424
10-13-2020,15752,9675,429
10-14-2020,15955,9762,434
10-15-2020,16212,9864,439
10-16-2020,16501,9957,443
10-17-2020,16774,10001,448
10-18-2020,17055,10071,451
10-19-2020,17350,10167,454
10-20-2020,17651,10225,458
10-21-2020,17948,10341,462
10-22-2020,18250,10395,465
10-23-2020,18556,10466,469
10-24-2020,18858,10548,473
10-25-2020,19157,10654,477
10-26-2020,19445,10705,480
10-27-2020,19729,10808,487
10-28-2020,20040,10893,493
10-29-2020,20315,11007,499
10-30-2020,20634,11097,502
10-31-2020,20875,11189,509
11-01-2020,21202,11246,518
11-02-2020,21523,11367,527
11-03-2020,21904,11473,532
11-04-2020,22300,11578,536
11-05-2020,22721,11696,543
11-06-2020,23210,11861,549
