







date,confirmed,cured,dead
03-11-2020,20,0,0
03-12-2020,24,8,1
03-13-2020,26,8,2
03-14-2020,37,12,3
03-15-2020,48,12,4
03-16-2020,54,12,4
03-17-2020,60,12,4
03-18-2020,74,12,7
03-19-2020,87,32,9
03-20-2020,90,32,11
03-21-2020,139,32,15
03-22-2020,201,65,17
03-23-2020,230,65,17
03-24-2020,264,24,19
03-25-2020,302,65,21
03-26-2020,367,29,25
03-27-2020,409,29,26
03-28-2020,454,31,29
03-29-2020,511,31,31
03-30-2020,584,37,35
03-31-2020,716,46,44
04-01-2020,847,61,58
04-02-2020,986,61,86
04-03-2020,1171,62,105
04-04-2020,1251,90,130
04-05-2020,1320,90,152
04-06-2020,1423,90,173
04-07-2020,1468,113,193
04-08-2020,1572,237,205
04-09-2020,1666,347,235
04-10-2020,1761,405,256
04-11-2020,1825,460,275
04-12-2020,1914,591,293
04-13-2020,1983,601,313
04-14-2020,2070,691,326
04-15-2020,2160,708,336
04-16-2020,2268,783,348
04-17-2020,2418,846,364
04-18-2020,2534,894,367
04-19-2020,2629,1047,375
04-20-2020,2718,1099,384
04-21-2020,2811,1152,392
04-22-2020,2910,1204,402
04-23-2020,3007,1355,407
04-24-2020,3127,1408,415
04-25-2020,3256,1479,419
04-26-2020,3382,1508,425
04-27-2020,3517,1558,432
04-28-2020,3649,1651,437
04-29-2020,3848,1702,444
04-30-2020,4006,1779,450
05-01-2020,4154,1821,453
05-02-2020,4295,1872,459
05-03-2020,4474,1936,463
05-04-2020,4648,1998,465
05-05-2020,4838,2067,470
05-05-2020,4838,2067,470
05-06-2020,4997,2197,476
05-07-2020,5182,2323,483
05-08-2020,5369,2467,488
05-09-2020,5558,2546,494
05-10-2020,5723,2678,502
05-11-2020,5891,2841,507
05-12-2020,6067,2998,515
05-12-2020,6067,2998,515
05-13-2020,6253,3058,522
05-14-2020,6442,3158,529
05-14-2020,6442,3158,529
05-15-2020,6629,3271,536
05-16-2020,6821,3409,542
05-17-2020,7019,3507,548
05-18-2020,7201,3625,555
05-19-2020,7377,3746,561
05-19-2020,7377,3746,561
05-20-2020,7542,3968,568
05-21-2020,7728,4062,575
05-22-2020,7918,4256,582
05-23-2020,8113,4426,592
05-24-2020,8306,4784,600
05-25-2020,8503,4747,609
05-26-2020,8697,4918,617
05-27-2020,8857,5129,623
05-28-2020,8997,5277,630
05-29-2020,9134,5422,638
05-30-2020,9267,5549,646
05-31-2020,9394,5748,653
06-01-2020,9513,5894,661
06-02-2020,9626,6067,667
06-03-2020,9733,6218,673
06-04-2020,9831,6297,681
06-05-2020,9935,6453,690
06-06-2020,10050,6631,698
06-06-2020,10050,6631,698
06-07-2020,10154,6717,707
06-08-2020,10265,6799,715
06-09-2020,10382,6951,724
06-10-2020,10484,7074,732
06-11-2020,10589,7255,741
06-12-2020,10698,7322,751
06-13-2020,10810,7420,760
06-14-2020,10919,7606,767
06-15-2020,11031,7735,777
06-16-2020,11147,7842,788
06-17-2020,11268,7943,799
06-18-2020,11385,8078,811
06-19-2020,11504,8196,825
06-20-2020,11631,8324,837
06-21-2020,11771,8422,845
06-22-2020,11920,8559,852
06-23-2020,12076,8674,861
06-24-2020,12248,8792,869
06-25-2020,12445,8920,878
06-26-2020,12685,9066,885
06-27-2020,12968,9202,892
06-28-2020,13273,9371,897
06-29-2020,13571,9674,905
06-30-2020,13907,9897,912
07-01-2020,14272,10040,920
07-02-2020,14657,10342,928
07-03-2020,15070,10832,937
07-04-2020,15500,11181,946
07-05-2020,15941,11492,952
07-06-2020,16404,11884,959
07-07-2020,16879,12094,968
07-08-2020,17348,12329,978
07-09-2020,17808,12637,988
07-10-2020,18242,13124,996
07-11-2020,18712,13124,1004
07-12-2020,19195,13743,1011
07-13-2020,19689,14019,1018
07-14-2020,20216,14295,1028
07-15-2020,20770,14792,1040
07-16-2020,21355,15107,1052
07-17-2020,21948,15430,1057
07-18-2020,22549,15744,1068
07-18-2020,22549,15744,1068
07-18-2020,22549,15744,1068
07-19-2020,23084,16051,1078
07-20-2020,23691,16400,1087
07-21-2020,24278,16646,1100
07-22-2020,24872,16983,1111
07-23-2020,25484,17369,1124
07-24-2020,26159,17369,1136
07-25-2020,26764,18076,1146
07-26-2020,27357,18088,1155
07-27-2020,27973,18837,1163
07-28-2020,28615,19233,1174
07-28-2020,28615,19233,1174
07-29-2020,29229,19592,1186
07-30-2020,29831,20082,1200
07-31-2020,30394,20537,1210
08-01-2020,30950,20988,1223
08-02-2020,31465,21419,1231
08-03-2020,31972,21901,1239
08-04-2020,32504,22375,1248
08-05-2020,33055,22802,1261
08-06-2020,33626,23238,1273
08-07-2020,34155,23667,1282
08-08-2020,34693,24083,1293
08-09-2020,35160,24506,1302
08-10-2020,35712,24920,1312
08-11-2020,36204,25263,1322
08-12-2020,36699,25627,1333
08-13-2020,37187,26004,1341
08-14-2020,37664,26308,1351
08-15-2020,38133,26644,1360
