







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,1,1,0
03-13-2020,1,0,0
03-14-2020,1,1,0
03-15-2020,1,1,0
03-16-2020,2,1,0
03-17-2020,39,1,0
03-18-2020,39,1,0
03-19-2020,53,1,0
03-20-2020,75,1,0
03-21-2020,88,1,0
03-22-2020,113,1,1
03-23-2020,133,1,1
03-24-2020,164,1,1
03-25-2020,188,1,1
03-26-2020,224,1,3
03-27-2020,267,1,3
03-28-2020,308,1,3
03-29-2020,334,1,6
03-30-2020,370,10,8
03-31-2020,376,10,12
04-01-2020,390,10,14
04-02-2020,428,10,15
04-03-2020,439,16,16
04-04-2020,466,21,17
04-05-2020,501,26,18
04-06-2020,525,31,21
04-07-2020,545,39,22
04-08-2020,564,52,23
04-09-2020,583,58,25
04-10-2020,601,71,26
04-11-2020,601,71,26
04-12-2020,638,128,29
04-13-2020,646,128,29
04-14-2020,659,128,31
04-15-2020,673,169,33
04-16-2020,673,169,33
04-17-2020,696,191,35
04-18-2020,704,205,35
04-19-2020,713,235,36
04-20-2020,717,248,37
04-21-2020,717,282,37
04-22-2020,723,309,37
04-23-2020,723,333,37
04-24-2020,731,344,40
04-25-2020,738,344,40
04-26-2020,738,344,40
04-27-2020,743,385,40
04-28-2020,743,398,41
04-29-2020,743,423,42
04-30-2020,745,468,42
05-01-2020,745,468,43
05-02-2020,747,472,44
05-03-2020,748,493,45
05-04-2020,750,499,45
05-05-2020,751,514,46
05-05-2020,751,514,46
05-06-2020,751,521,46
05-07-2020,752,526,47
05-08-2020,752,537,47
05-09-2020,754,545,48
05-10-2020,755,550,48
05-11-2020,755,550,48
05-12-2020,758,568,48
05-12-2020,758,568,48
05-13-2020,760,576,49
05-14-2020,761,596,49
05-14-2020,761,596,49
05-15-2020,761,604,49
05-16-2020,761,615,51
05-17-2020,761,617,51
05-18-2020,761,624,51
05-19-2020,761,628,51
05-19-2020,761,628,51
05-20-2020,762,639,51
05-21-2020,762,639,51
05-22-2020,762,652,51
05-23-2020,762,653,51
05-24-2020,762,653,51
05-25-2020,763,663,51
05-26-2020,763,676,51
05-27-2020,763,676,51
05-28-2020,763,681,51
05-29-2020,764,684,51
05-30-2020,764,692,51
05-31-2020,764,694,51
06-01-2020,765,698,51
06-02-2020,844,733,51
06-03-2020,851,735,51
06-04-2020,852,738,51
06-05-2020,852,741,51
06-06-2020,852,741,51
06-06-2020,852,741,51
06-07-2020,852,744,51
06-08-2020,852,751,51
06-09-2020,852,757,51
06-10-2020,852,759,51
06-11-2020,852,780,51
06-12-2020,853,781,51
06-13-2020,853,781,51
06-14-2020,853,781,51
06-15-2020,853,789,51
06-16-2020,854,789,52
06-17-2020,854,791,52
06-18-2020,855,792,52
06-19-2020,855,792,52
06-20-2020,855,792,52
06-21-2020,855,792,52
06-22-2020,855,796,52
06-23-2020,855,797,52
06-24-2020,855,797,52
06-25-2020,855,797,52
06-26-2020,855,799,52
06-27-2020,855,799,52
06-28-2020,855,799,52
06-29-2020,855,799,52
06-30-2020,855,799,52
07-01-2020,855,799,52
07-02-2020,855,800,52
07-03-2020,855,800,52
07-04-2020,855,800,52
07-05-2020,855,800,52
07-06-2020,855,800,52
07-07-2020,855,800,52
07-08-2020,855,802,52
07-09-2020,855,802,52
07-10-2020,855,803,52
07-11-2020,855,803,52
07-12-2020,855,803,52
07-13-2020,858,803,52
07-14-2020,861,803,52
07-15-2020,862,803,52
07-16-2020,877,803,52
07-17-2020,880,803,52
07-18-2020,880,803,52
07-18-2020,880,803,52
07-18-2020,880,803,52
07-19-2020,880,803,52
07-20-2020,884,803,52
07-21-2020,884,803,52
07-22-2020,889,803,52
07-23-2020,889,803,52
07-24-2020,897,803,52
07-25-2020,897,803,52
07-26-2020,897,803,52
07-27-2020,907,803,52
07-28-2020,907,803,52
07-28-2020,907,803,52
07-29-2020,918,804,52
07-30-2020,922,806,52
07-31-2020,925,807,52
08-01-2020,925,807,52
08-02-2020,925,807,52
08-03-2020,937,821,52
08-04-2020,939,825,52
08-05-2020,939,825,52
08-06-2020,944,828,52
08-07-2020,955,839,52
08-08-2020,955,839,52
08-09-2020,955,839,52
08-10-2020,963,839,52
08-11-2020,963,839,52
08-12-2020,977,855,53
08-13-2020,981,858,53
08-14-2020,989,863,53
08-15-2020,989,863,53
08-16-2020,989,863,53
08-17-2020,1005,869,53
08-18-2020,1005,869,53
08-19-2020,1024,875,53
08-20-2020,1024,875,53
08-21-2020,1045,875,53
08-22-2020,1045,875,53
08-23-2020,1045,875,53
08-24-2020,1060,877,53
08-25-2020,1060,877,53
08-26-2020,1098,893,53
08-27-2020,1098,893,53
08-28-2020,1124,902,53
08-29-2020,1124,902,53
08-30-2020,1124,902,53
