







date,confirmed,cured,dead
03-13-2020,1,0,0
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,1,0,0
03-19-2020,1,0,0
03-20-2020,1,0,0
03-21-2020,1,0,0
03-22-2020,1,0,0
03-23-2020,3,0,0
03-24-2020,3,0,0
03-25-2020,3,0,0
03-26-2020,7,0,0
03-27-2020,7,0,0
03-28-2020,7,0,0
03-29-2020,7,0,0
03-30-2020,7,0,0
03-31-2020,7,0,0
04-01-2020,7,0,0
04-02-2020,9,0,0
04-03-2020,15,0,0
04-04-2020,15,0,0
04-05-2020,15,0,0
04-06-2020,15,0,0
04-07-2020,19,0,1
04-08-2020,19,0,2
04-09-2020,19,0,2
04-10-2020,19,0,2
04-11-2020,21,0,2
04-12-2020,21,0,2
04-13-2020,23,0,2
04-14-2020,23,3,2
04-15-2020,23,3,2
04-16-2020,23,3,3
04-17-2020,23,3,3
04-18-2020,23,3,3
04-19-2020,23,3,3
04-20-2020,23,3,3
04-21-2020,23,7,3
04-22-2020,24,10,3
04-23-2020,24,10,3
04-24-2020,24,11,3
04-25-2020,24,11,3
04-26-2020,24,11,3
04-27-2020,24,11,3
04-28-2020,24,11,3
04-29-2020,24,11,3
04-30-2020,24,11,3
05-01-2020,25,15,3
05-02-2020,25,15,3
05-03-2020,25,15,3
05-04-2020,25,15,3
05-05-2020,25,16,3
05-05-2020,25,16,3
05-06-2020,25,16,3
05-07-2020,25,16,3
05-08-2020,25,16,3
05-09-2020,25,19,3
05-10-2020,25,19,3
05-11-2020,25,19,3
05-12-2020,25,19,3
05-12-2020,25,19,3
05-13-2020,25,19,3
05-14-2020,25,19,3
05-14-2020,25,19,3
05-15-2020,25,19,3
05-16-2020,25,19,3
05-17-2020,25,19,3
05-18-2020,25,19,3
05-19-2020,25,19,3
05-19-2020,25,19,3
05-20-2020,25,19,3
05-21-2020,25,19,3
05-22-2020,25,19,3
05-23-2020,25,19,3
05-24-2020,25,19,3
05-25-2020,25,19,3
05-26-2020,25,19,3
05-27-2020,25,19,3
05-28-2020,25,19,3
05-29-2020,25,19,3
05-30-2020,25,19,3
05-31-2020,26,19,3
06-01-2020,26,19,3
06-02-2020,26,20,3
06-03-2020,26,20,3
06-04-2020,26,20,3
06-05-2020,26,20,3
06-06-2020,26,20,3
06-06-2020,26,20,3
06-07-2020,26,20,3
06-08-2020,26,20,3
06-09-2020,26,20,3
06-10-2020,26,20,3
06-11-2020,26,20,3
06-12-2020,26,20,3
06-13-2020,26,20,3
06-14-2020,26,20,3
06-15-2020,26,20,3
06-16-2020,26,22,3
06-17-2020,26,22,3
06-18-2020,26,22,3
06-19-2020,26,22,3
06-20-2020,26,22,3
06-21-2020,26,22,3
06-22-2020,26,22,3
06-23-2020,26,22,3
06-24-2020,26,22,3
06-25-2020,65,22,3
06-26-2020,65,22,3
06-27-2020,65,22,3
06-28-2020,69,22,3
06-29-2020,69,22,3
06-30-2020,69,22,3
07-01-2020,69,22,3
07-02-2020,69,23,3
07-03-2020,68,23,3
07-04-2020,68,23,3
07-05-2020,68,23,3
07-06-2020,70,23,3
07-07-2020,70,23,3
07-08-2020,70,23,3
07-09-2020,73,57,3
07-10-2020,74,57,3
07-11-2020,74,57,3
07-12-2020,74,57,3
07-13-2020,74,57,3
07-14-2020,74,57,3
07-15-2020,74,57,3
07-16-2020,74,57,3
07-17-2020,76,57,3
07-18-2020,76,57,3
07-18-2020,76,57,3
07-18-2020,76,57,3
07-19-2020,76,57,3
07-20-2020,76,57,3
07-21-2020,76,57,3
07-22-2020,76,58,3
07-23-2020,76,58,3
07-24-2020,82,60,3
07-25-2020,82,60,3
07-26-2020,82,60,3
07-27-2020,86,65,3
07-28-2020,86,65,3
07-28-2020,86,65,3
07-29-2020,91,67,3
07-30-2020,91,67,3
07-31-2020,91,67,3
08-01-2020,91,67,3
08-02-2020,91,67,3
08-03-2020,92,75,3
08-04-2020,92,75,3
08-05-2020,92,76,3
08-06-2020,92,76,3
08-07-2020,92,76,3
08-08-2020,92,76,3
08-09-2020,92,76,3
08-10-2020,92,76,3
08-11-2020,92,76,3
08-12-2020,92,76,3
08-13-2020,92,76,3
08-14-2020,93,83,3
08-15-2020,93,83,3
08-16-2020,93,88,3
08-17-2020,93,88,3
08-18-2020,93,88,3
08-19-2020,94,88,3
08-20-2020,94,89,3
08-21-2020,94,89,3
08-22-2020,94,89,3
08-23-2020,94,89,3
08-24-2020,94,89,3
08-25-2020,94,89,3
08-26-2020,94,89,3
08-27-2020,94,89,3
08-28-2020,94,89,3
08-29-2020,94,89,3
08-30-2020,94,91,3
08-31-2020,94,91,3
09-01-2020,94,91,3
09-02-2020,94,91,3
09-03-2020,95,91,3
09-04-2020,95,91,3
09-05-2020,95,91,3
09-06-2020,95,91,3
09-07-2020,95,91,3
09-08-2020,95,91,3
09-09-2020,95,91,3
09-10-2020,95,91,3
09-11-2020,95,91,3
09-12-2020,95,91,3
09-13-2020,95,91,3
09-14-2020,95,91,3
09-15-2020,95,91,3
09-16-2020,95,91,3
09-17-2020,95,91,3
09-18-2020,95,92,3
09-19-2020,96,92,3
09-20-2020,96,92,3
09-21-2020,96,92,3
09-22-2020,96,92,3
09-23-2020,97,92,3
09-24-2020,97,92,3
09-25-2020,98,92,3
09-26-2020,98,92,3
09-27-2020,101,92,3
09-28-2020,101,92,3
09-29-2020,101,92,3
09-30-2020,101,92,3
10-01-2020,101,92,3
10-02-2020,106,94,3
10-03-2020,107,96,3
10-04-2020,107,96,3
10-05-2020,107,96,3
10-06-2020,107,96,3
10-07-2020,108,97,3
10-08-2020,111,97,3
10-09-2020,111,97,3
10-10-2020,111,97,3
10-11-2020,111,97,3
10-12-2020,111,97,3
10-13-2020,111,97,3
10-14-2020,112,100,3
10-15-2020,112,100,3
10-16-2020,112,100,3
10-17-2020,119,101,3
10-18-2020,119,101,3
10-19-2020,119,101,3
10-20-2020,119,101,3
10-21-2020,122,101,3
10-22-2020,122,107,3
10-23-2020,122,107,3
10-24-2020,124,108,3
10-25-2020,124,108,3
10-26-2020,124,108,3
10-27-2020,124,108,3
10-28-2020,124,115,3
10-29-2020,124,115,3
10-30-2020,127,116,3
10-31-2020,128,117,3
11-01-2020,128,117,3
11-02-2020,128,117,3
11-03-2020,128,117,3
11-04-2020,130,118,3
11-05-2020,130,118,3
11-06-2020,130,118,3
11-07-2020,131,122,3
11-08-2020,131,122,3
11-09-2020,131,122,3
11-10-2020,131,122,3
11-11-2020,131,124,3
11-12-2020,131,124,3
11-13-2020,133,124,3
11-14-2020,134,127,4
11-15-2020,134,127,4
11-16-2020,134,127,4
11-17-2020,134,127,4
11-18-2020,139,127,4
11-19-2020,139,127,4
11-20-2020,139,127,4
11-21-2020,139,128,4
11-22-2020,139,128,4
11-23-2020,139,128,4
11-24-2020,139,128,4
11-25-2020,140,129,4
11-26-2020,141,130,4
11-27-2020,141,130,4
11-28-2020,141,130,4
11-29-2020,141,130,4
11-30-2020,141,130,4
12-01-2020,142,130,4
12-02-2020,144,133,4
12-03-2020,144,133,4
12-04-2020,144,133,4
12-05-2020,144,133,4
12-06-2020,144,133,4
12-07-2020,146,134,4
12-08-2020,146,134,4
12-09-2020,146,138,4
12-10-2020,146,138,4
12-11-2020,147,138,4
12-12-2020,148,138,4
12-13-2020,148,138,5
12-14-2020,148,138,5
12-15-2020,148,138,5
12-16-2020,151,141,5
12-17-2020,151,141,5
12-18-2020,152,141,5
12-19-2020,152,141,5
12-20-2020,153,143,5
12-21-2020,153,143,5
12-22-2020,153,144,5
12-23-2020,154,146,5
12-24-2020,154,146,5
12-25-2020,155,146,5
12-26-2020,155,146,5
12-27-2020,155,146,5
12-28-2020,158,147,5
12-29-2020,158,147,5
12-30-2020,158,148,5
12-31-2020,159,148,5
01-01-2021,159,148,5
01-02-2021,159,148,5
01-03-2021,160,148,5
01-04-2021,160,148,5
01-05-2021,160,148,5
01-06-2021,163,149,5
01-07-2021,163,149,5
01-08-2021,167,150,5
01-09-2021,169,152,5
01-10-2021,176,152,5
01-11-2021,176,152,5
01-12-2021,176,152,5
01-13-2021,176,152,5
01-14-2021,184,156,6
01-15-2021,184,156,6
01-16-2021,187,156,6
01-17-2021,189,156,6
01-18-2021,189,156,6
01-19-2021,190,157,6
01-20-2021,190,157,6
01-21-2021,192,162,6
01-22-2021,195,162,6
01-23-2021,195,162,6
01-24-2021,198,163,6
01-25-2021,201,170,6
