







date,confirmed,cured,dead
03-11-2020,19,0,1
03-12-2020,19,0,1
03-13-2020,31,0,2
03-14-2020,34,1,2
03-15-2020,45,1,2
03-16-2020,56,1,2
03-17-2020,68,3,2
03-18-2020,79,3,2
03-19-2020,97,3,3
03-20-2020,128,3,3
03-21-2020,158,3,4
03-22-2020,266,27,4
03-23-2020,266,27,4
03-24-2020,387,52,6
03-25-2020,387,52,8
03-26-2020,502,63,9
03-27-2020,589,72,13
03-28-2020,690,72,18
03-29-2020,745,72,19
03-30-2020,820,228,23
03-31-2020,1054,240,27
04-01-2020,1054,248,28
04-02-2020,1133,256,36
04-03-2020,1265,266,39
04-04-2020,1451,279,43
04-05-2020,1451,280,44
04-06-2020,1554,325,48
04-07-2020,1628,338,56
04-08-2020,1715,358,63
04-09-2020,1795,365,72
04-10-2020,1975,375,82
04-11-2020,1975,440,83
04-12-2020,2142,468,90
04-13-2020,2208,515,97
04-14-2020,2277,559,102
04-15-2020,2443,596,111
04-16-2020,2571,631,115
04-17-2020,2669,666,123
04-18-2020,2758,685,129
04-19-2020,2839,709,132
04-20-2020,2941,737,136
04-21-2020,3031,840,147
04-22-2020,3144,872,152
04-23-2020,3435,919,165
04-24-2020,3607,976,176
04-25-2020,3780,1030,185
04-26-2020,3892,1107,192
04-27-2020,4003,1140,197
04-28-2020,4127,1162,207
04-29-2020,4285,1192,214
04-30-2020,4428,1256,218
05-01-2020,4532,1292,225
05-02-2020,4681,1320,237
05-03-2020,4783,1354,246
05-04-2020,4887,1442,260
05-05-2020,5020,1472,264
05-05-2020,5020,1472,264
05-06-2020,5208,1524,273
05-07-2020,5371,1601,282
05-08-2020,5611,1659,293
05-09-2020,5776,1728,300
05-10-2020,6034,1757,305
05-11-2020,6278,1837,314
05-12-2020,6563,1862,319
05-12-2020,6563,1862,319
05-13-2020,6879,2266,329
05-14-2020,7134,2385,353
05-14-2020,7134,2385,353
05-15-2020,7479,2497,356
05-16-2020,7805,2534,363
05-17-2020,8068,2569,373
05-18-2020,8371,2625,382
05-19-2020,8809,2872,393
