







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,4,0,0
03-13-2020,8,0,0
03-14-2020,18,0,0
03-15-2020,26,0,0
03-16-2020,52,0,0
03-17-2020,78,1,0
03-18-2020,84,1,0
03-19-2020,115,1,0
03-20-2020,136,1,0
03-21-2020,160,1,0
03-22-2020,194,2,0
03-23-2020,235,2,0
03-24-2020,249,14,0
03-25-2020,265,16,0
03-26-2020,290,18,1
03-27-2020,329,28,1
03-28-2020,407,30,1
03-29-2020,424,30,3
03-30-2020,482,30,3
03-31-2020,532,30,3
04-01-2020,571,31,4
04-02-2020,663,33,7
04-03-2020,736,43,7
04-04-2020,770,43,7
04-05-2020,822,57,7
04-06-2020,833,62,8
04-07-2020,853,87,8
04-08-2020,881,114,9
04-09-2020,921,138,10
04-10-2020,937,149,12
04-11-2020,967,173,13
04-12-2020,1013,197,13
04-13-2020,1039,211,14
04-14-2020,1067,265,16
04-15-2020,1111,297,17
04-16-2020,1159,358,18
04-17-2020,1201,402,19
04-18-2020,1248,523,20
04-19-2020,1291,545,20
04-20-2020,1339,580,22
04-21-2020,1401,609,24
04-22-2020,1473,633,24
04-23-2020,1523,659,24
04-24-2020,1596,728,27
04-25-2020,1677,803,28
04-26-2020,1746,833,28
04-27-2020,1808,848,29
04-28-2020,1867,866,30
04-29-2020,1932,900,30
04-30-2020,2066,929,32
05-01-2020,2148,977,33
05-02-2020,2273,1010,33
05-03-2020,2386,1035,35
05-04-2020,2507,1071,39
05-05-2020,2619,1111,40
05-05-2020,2619,1111,40
05-06-2020,2782,1135,40
05-07-2020,2884,1185,42
05-08-2020,3029,1218,43
05-09-2020,3175,1267,44
05-10-2020,3313,1325,45
05-11-2020,3392,1359,46
05-12-2020,3538,1430,47
05-12-2020,3538,1430,47
05-13-2020,3718,1500,48
05-14-2020,3860,1572,49
05-14-2020,3860,1572,49
05-15-2020,4044,1666,52
05-16-2020,4283,1791,55
05-17-2020,4472,1925,60
05-18-2020,4823,2019,61
05-19-2020,5041,2164,64
05-19-2020,5041,2164,64
05-20-2020,5271,2419,67
05-21-2020,5606,2581,70
05-22-2020,5928,2874,74
05-23-2020,6302,2936,77
05-24-2020,6661,3064,81
05-25-2020,7113,3145,87
05-26-2020,7402,3220,91
05-27-2020,7774,3255,98
05-28-2020,8216,3287,113
05-29-2020,8676,3297,120
05-30-2020,8927,3317,127
05-31-2020,9282,3386,131
06-01-2020,9492,3402,139
06-02-2020,10009,3427,158
06-03-2020,10524,3454,170
06-04-2020,11221,3468,176
06-05-2020,11817,3513,183
06-06-2020,12364,3720,190
06-06-2020,12364,3720,190
06-07-2020,13130,4014,200
06-08-2020,13325,4099,211
06-09-2020,13675,4451,217
06-10-2020,14103,5226,227
06-11-2020,14669,5466,245
06-12-2020,15281,5639,258
06-13-2020,16004,6081,264
06-14-2020,16667,6214,269
06-15-2020,17064,6276,285
06-16-2020,17489,6571,293
06-17-2020,18033,6814,302
06-18-2020,18698,7560,309
06-19-2020,19157,8266,319
06-20-2020,19708,8854,332
06-21-2020,20268,9002,350
06-22-2020,20588,9131,360
06-23-2020,21006,10144,372
06-24-2020,21717,10797,386
06-25-2020,22488,11335,397
06-26-2020,23247,12149,410
06-27-2020,23909,12911,421
06-28-2020,24645,13116,426
06-29-2020,25127,13297,433
06-30-2020,25542,14048,443
07-01-2020,26065,14563,453
07-02-2020,26658,15036,459
07-03-2020,27320,15484,469
07-04-2020,27900,15935,477
07-05-2020,28606,16140,484
07-06-2020,28936,16302,491
07-07-2020,29285,16907,503
07-08-2020,29820,17427,521
07-09-2020,30346,18000,535
07-10-2020,30903,18709,546
07-11-2020,31392,19419,559
07-12-2020,31969,19633,565
07-13-2020,32151,19865,573
07-14-2020,32490,20729,581
