







date,confirmed,cured,dead
03-11-2020,128,21,3
03-12-2020,128,21,3
03-13-2020,200,23,3
03-14-2020,250,23,3
03-15-2020,297,23,3
03-16-2020,377,23,3
03-17-2020,452,23,5
03-18-2020,568,23,6
03-19-2020,681,26,6
03-20-2020,791,26,7
03-21-2020,1071,26,7
03-22-2020,1490,92,7
03-23-2020,1682,119,7
03-24-2020,2044,119,8
03-25-2020,2364,119,8
03-26-2020,2810,172,13
03-27-2020,3143,194,13
03-28-2020,3640,244,14
03-29-2020,3984,244,16
03-30-2020,4361,257,17
03-31-2020,4559,358,18
04-01-2020,4862,422,20
04-02-2020,5116,520,24
04-03-2020,5330,649,28
04-04-2020,5550,701,30
04-05-2020,5687,757,35
04-06-2020,5797,1080,40
04-07-2020,5895,1080,45
04-08-2020,6010,1080,50
04-09-2020,6108,1472,51
04-10-2020,6215,1793,54
04-11-2020,6303,1806,57
04-12-2020,6315,1806,60
04-13-2020,6351,1806,61
04-14-2020,6415,2186,62
04-15-2020,6440,2186,63
04-16-2020,6462,2355,63
04-17-2020,6522,3808,66
04-18-2020,6547,4124,67
04-19-2020,6547,4124,67
04-20-2020,6547,4124,67
04-21-2020,6547,4124,67
04-22-2020,6547,4124,67
04-23-2020,6661,4124,75
04-24-2020,6677,4124,79
04-25-2020,6694,4223,80
04-26-2020,6714,5541,83
04-27-2020,6721,5588,83
04-28-2020,6744,5665,89
04-29-2020,6752,5715,91
04-30-2020,6766,5742,93
05-01-2020,6778,5775,93
05-02-2020,6799,5814,94
05-03-2020,6822,5849,95
05-04-2020,6847,5887,96
05-05-2020,6875,5975,97
05-05-2020,6875,5975,97
05-06-2020,6894,6031,97
05-07-2020,6913,6078,97
05-08-2020,6918,6122,97
05-09-2020,6939,6141,97
05-10-2020,6948,6167,97
05-11-2020,6970,6213,97
05-12-2020,6980,6270,98
05-12-2020,6980,6270,98
05-13-2020,6989,6297,98
05-14-2020,7019,6334,98
05-14-2020,7019,6334,98
05-15-2020,7035,6359,98
05-16-2020,7044,6364,98
05-17-2020,7054,6392,99
05-18-2020,7068,6413,99
05-19-2020,7072,6431,100
05-19-2020,7072,6431,100
05-20-2020,7081,6470,100
05-21-2020,7095,6478,101
05-22-2020,7099,6485,101
05-23-2020,7114,6508,102
05-24-2020,7114,6531,102
05-25-2020,7126,6552,102
05-26-2020,7139,6560,103
05-27-2020,7150,6579,103
05-28-2020,7165,6576,103
05-29-2020,7184,6605,103
05-30-2020,7192,6614,103
05-31-2020,7202,6618,103
06-01-2020,7221,6626,102
06-02-2020,7229,6636,102
06-03-2020,7240,6648,102
06-04-2020,7247,6683,102
06-05-2020,7252,6688,102
06-06-2020,7259,6703,102
06-06-2020,7259,6703,102
06-07-2020,7265,6706,102
06-08-2020,7267,6720,102
06-09-2020,7274,6740,102
06-10-2020,7285,6759,102
06-11-2020,7289,6782,102
06-12-2020,7294,6803,102
06-13-2020,7320,6838,102
06-14-2020,7335,6851,102
06-15-2020,7347,6856,102
06-16-2020,7370,6861,102
06-17-2020,7391,6877,102
06-18-2020,7409,6878,102
06-19-2020,7411,6881,102
06-20-2020,7461,6896,102
06-21-2020,7474,6903,102
06-22-2020,7492,6915,102
06-23-2020,7521,6924,103
06-24-2020,7558,6931,104
06-25-2020,7595,6958,104
06-26-2020,7601,6960,104
06-27-2020,7686,6993,104
06-28-2020,7764,7007,104
06-29-2020,7834,7037,104
06-30-2020,7920,7040,104
07-01-2020,8001,7090,104
07-02-2020,8066,7130,104
07-03-2020,8260,7319,104
07-04-2020,8443,7399,104
07-05-2020,8583,7420,106
07-06-2020,8755,7455,106
07-07-2020,8886,7487,106
07-08-2020,9056,7573,106
07-09-2020,9374,7576,106
07-10-2020,9553,7733,107
07-11-2020,9797,7727,108
07-12-2020,9980,7769,108
07-13-2020,10251,7835,108
07-14-2020,10487,7928,111
07-15-2020,10810,8035,113
07-16-2020,11233,8114,116
07-17-2020,11441,8162,118
07-18-2020,11802,8274,122
07-18-2020,11802,8274,122
07-18-2020,11802,8274,122
07-19-2020,12069,8395,123
07-20-2020,12428,8398,126
07-21-2020,12894,8545,128
07-22-2020,13305,8775,133
07-23-2020,13595,8775,139
07-24-2020,13950,8938,145
07-25-2020,14403,9019,155
07-26-2020,14935,9174,161
07-27-2020,15303,9311,167
07-28-2020,15582,9617,176
07-28-2020,15582,9617,176
07-29-2020,16298,9619,189
07-30-2020,16903,9759,196
07-31-2020,17280,9983,201
08-01-2020,17895,10204,208
08-02-2020,18318,10622,221
08-03-2020,18730,10623,232
08-04-2020,19445,10799,247
08-05-2020,19890,10941,255
08-06-2020,20272,11119,266
08-07-2020,20698,11560,278
08-08-2020,21084,11874,295
08-09-2020,21397,11876,313
