







date,confirmed,cured,dead
03-11-2020,246,4,0
03-12-2020,302,4,1
03-13-2020,504,6,1
03-14-2020,655,6,1
03-15-2020,860,6,1
03-16-2020,1018,6,3
03-17-2020,1332,1,3
03-18-2020,1646,9,4
03-19-2020,2013,9,6
03-20-2020,2388,9,6
03-21-2020,2814,9,8
03-22-2020,3580,9,16
03-23-2020,4474,9,21
03-24-2020,5283,9,28
03-25-2020,5588,9,30
03-26-2020,6909,112,49
03-27-2020,7657,225,58
03-28-2020,8271,225,68
03-29-2020,8788,479,86
03-30-2020,9618,636,108
03-31-2020,10180,1095,128
04-01-2020,10711,1436,146
04-02-2020,11129,1749,158
04-03-2020,11524,2022,168
04-04-2020,11781,2507,186
04-05-2020,12051,2998,204
04-06-2020,12297,3463,220
04-07-2020,12639,4046,243
04-08-2020,12942,4512,273
04-09-2020,13244,5240,295
04-10-2020,13555,6064,319
04-11-2020,13806,6604,337
04-12-2020,13945,6987,350
04-13-2020,14041,7343,368
04-14-2020,14226,7633,384
04-15-2020,14336,8098,393
04-16-2020,14476,8986,410
04-17-2020,14595,9704,431
04-18-2020,14671,10214,443
04-19-2020,14749,10501,452
04-20-2020,14795,10631,470
04-21-2020,14873,10971,491
04-22-2020,14925,11328,510
04-23-2020,15002,11694,522
04-24-2020,15071,11872,530
04-25-2020,15148,12103,536
04-26-2020,15225,12282,542
04-27-2020,15274,12362,549
04-28-2020,15357,12580,569
04-29-2020,15402,12779,580
04-30-2020,15452,12907,584
05-01-2020,15531,13110,589
05-02-2020,15558,13180,596
05-03-2020,15597,13228,598
05-04-2020,15621,13316,600
05-05-2020,15650,13462,606
05-05-2020,15650,13462,606
05-06-2020,15684,13639,608
05-07-2020,15752,13698,609
05-08-2020,15774,13836,614
05-09-2020,15833,13928,615
05-10-2020,15871,13991,618
05-11-2020,15882,14061,620
05-12-2020,15961,14148,623
05-12-2020,15961,14148,623
05-13-2020,15997,14304,624
05-14-2020,16058,14405,626
05-14-2020,16058,14405,626
05-15-2020,16109,14471,628
05-16-2020,16201,14524,629
05-17-2020,16242,14563,629
05-18-2020,16269,14614,629
05-19-2020,16321,14678,632
05-19-2020,16321,14678,632
05-20-2020,16353,14882,633
05-21-2020,16404,14951,633
05-22-2020,16436,15005,635
