







date,confirmed,cured,dead
03-11-2020,11,3,0
03-12-2020,11,3,0
03-13-2020,15,3,1
03-14-2020,15,3,1
03-15-2020,23,6,1
03-16-2020,15,6,1
03-17-2020,28,6,1
03-18-2020,28,6,1
03-19-2020,44,6,1
03-20-2020,44,6,1
03-21-2020,53,11,1
03-22-2020,65,11,1
03-23-2020,72,10,1
03-24-2020,87,10,1
03-25-2020,93,10,2
03-26-2020,122,15,3
03-27-2020,165,15,3
03-28-2020,182,15,4
03-29-2020,209,15,4
03-30-2020,273,26,4
03-31-2020,298,26,5
04-01-2020,359,26,5
04-02-2020,400,26,5
04-03-2020,443,32,5
04-04-2020,521,32,5
04-05-2020,584,32,7
04-06-2020,641,44,7
04-07-2020,717,44,8
04-08-2020,822,63,8
04-09-2020,926,101,9
04-10-2020,991,159,10
04-11-2020,1058,200,11
04-12-2020,1098,250,11
04-13-2020,1148,289,12
04-14-2020,1197,351,13
04-15-2020,1253,404,13
04-16-2020,1283,460,15
04-17-2020,1340,528,15
04-18-2020,1373,590,18
04-19-2020,1398,712,19
04-20-2020,1436,791,19
04-21-2020,1480,865,20
04-22-2020,1518,907,20
04-23-2020,1548,948,20
04-24-2020,1592,1013,21
04-25-2020,1617,1080,21
04-26-2020,1645,1139,21
04-27-2020,1678,1162,22
04-28-2020,1717,1221,22
04-29-2020,1766,1267,23
04-30-2020,1804,1325,24
05-01-2020,1854,1365,25
05-02-2020,1894,1411,25
05-03-2020,1932,1441,25
05-04-2020,1984,1480,26
05-05-2020,2060,1508,26
05-05-2020,2060,1508,26
05-06-2020,2127,1536,28
05-07-2020,2204,1551,28
05-08-2020,2279,1576,28
05-09-2020,2422,1620,31
05-10-2020,2519,1650,32
05-11-2020,2589,1680,32
05-12-2020,2693,1680,33
05-12-2020,2693,1680,33
05-13-2020,2758,1789,35
05-14-2020,2879,1833,35
05-14-2020,2879,1833,35
05-15-2020,2980,1886,36
05-16-2020,3138,1944,36
05-17-2020,3274,2015,39
05-18-2020,3387,2055,40
05-19-2020,3518,2198,41
05-19-2020,3518,2198,41
05-20-2020,3631,2253,43
05-21-2020,3749,2340,44
05-22-2020,3855,2399,46
05-23-2020,3982,2506,49
05-24-2020,4122,2607,49
05-25-2020,4271,2741,51
05-26-2020,4403,2819,52
05-27-2020,4568,2897,54
05-28-2020,4759,3022,56
05-29-2020,4989,3125,58
05-30-2020,5246,3327,61
05-31-2020,5494,3428,63
06-01-2020,5662,3508,68
06-02-2020,5935,3564,71
06-03-2020,6260,3665,76
06-04-2020,6522,3737,78
06-05-2020,6860,3871,82
06-06-2020,7239,4024,84
06-06-2020,7239,4024,84
06-07-2020,7553,4149,88
06-08-2020,7876,4377,93
06-09-2020,8191,4606,98
06-10-2020,8530,4720,102
06-11-2020,8882,4930,108
06-12-2020,9218,5116,113
06-13-2020,9570,5309,115
06-14-2020,9957,5583,119
06-15-2020,10324,5739,122
06-16-2020,10662,5948,126
06-17-2020,10991,6075,133
06-18-2020,11329,6192,139
06-19-2020,11767,6325,143
06-20-2020,12238,6516,148
06-21-2020,12729,6799,154
06-22-2020,13207,7168,161
06-23-2020,13715,7503,167
06-24-2020,14305,7768,174
06-25-2020,14852,8059,180
06-26-2020,15369,8364,187
06-27-2020,15890,8719,193
06-28-2020,16424,9026,198
06-29-2020,16968,9369,206
06-30-2020,17524,9715,213
07-01-2020,18112,10061,220
07-02-2020,18684,10425,228
07-03-2020,19267,10820,235
07-04-2020,19801,11291,241
07-05-2020,20324,11742,250
07-06-2020,20837,12182,258
07-07-2020,21374,12635,265
07-08-2020,21916,13100,274
07-09-2020,22464,13591,284
07-10-2020,22990,14093,292
07-11-2020,23521,14607,298
07-12-2020,24041,15093,306
07-13-2020,24570,15640,313
07-14-2020,25113,16150,319
07-15-2020,25672,16695,326
07-16-2020,26165,17256,334
07-17-2020,26636,17805,341
07-18-2020,27133,18450,349
07-18-2020,27133,18450,349
07-18-2020,27133,18450,349
07-19-2020,27521,18967,354
07-20-2020,27890,19490,363
07-21-2020,28242,19939,376
07-22-2020,28633,20443,385
07-23-2020,28980,20974,391
07-24-2020,29312,21547,400
07-25-2020,29633,22082,408
07-26-2020,30050,22684,417
07-27-2020,30446,23242,423
07-28-2020,30858,23873,430
07-28-2020,30858,23873,430
07-29-2020,31221,24495,438
07-30-2020,31560,25168,441
07-31-2020,31878,25882,448
08-01-2020,32157,26474,454
08-02-2020,32443,27113,462
08-03-2020,32684,27760,468
08-04-2020,32910,28348,473
08-05-2020,33103,28840,476
08-06-2020,33247,29275,479
08-07-2020,33376,29696,483
08-08-2020,33481,30056,488
08-09-2020,33568,30364,490
08-10-2020,33647,30642,492
08-11-2020,33731,30856,495
08-12-2020,33824,31058,497
08-13-2020,33915,31269,500
08-14-2020,34018,31490,504
08-15-2020,34107,31697,506
08-16-2020,34219,31875,506
08-17-2020,34343,32042,508
08-18-2020,34474,32201,509
08-19-2020,34620,32363,510
08-20-2020,34759,32511,510
