







date,confirmed,cured,dead
03-22-2020,4,0,0
03-23-2020,4,0,0
03-24-2020,5,1,0
03-25-2020,5,1,0
03-26-2020,9,1,0
03-27-2020,10,1,0
03-28-2020,10,1,0
03-29-2020,11,1,0
03-30-2020,14,1,0
03-31-2020,14,1,0
04-01-2020,21,1,1
04-02-2020,24,1,1
04-03-2020,24,1,1
04-04-2020,28,0,4
04-05-2020,28,0,4
04-06-2020,29,4,5
04-07-2020,33,5,6
04-08-2020,40,5,7
04-09-2020,41,5,8
04-10-2020,42,5,8
04-11-2020,46,5,8
04-12-2020,46,5,8
04-13-2020,47,6,8
04-14-2020,49,6,8
04-15-2020,49,6,8
04-16-2020,53,6,8
04-17-2020,54,6,9
04-18-2020,55,10,9
04-19-2020,55,10,9
04-20-2020,60,11,9
04-21-2020,65,12,9
04-22-2020,65,12,9
04-23-2020,72,14,11
04-24-2020,73,15,11
04-25-2020,78,15,11
04-26-2020,80,22,11
04-27-2020,80,22,11
04-28-2020,80,23,11
04-29-2020,80,23,11
04-30-2020,81,25,11
05-01-2020,81,24,11
05-02-2020,83,24,11
05-03-2020,83,24,11
05-04-2020,83,25,11
05-05-2020,89,26,11
05-05-2020,89,26,11
05-06-2020,92,26,11
05-07-2020,92,26,11
05-08-2020,92,31,11
05-09-2020,92,37,11
05-10-2020,92,37,11
05-11-2020,93,39,11
05-12-2020,93,39,11
05-12-2020,93,39,11
05-13-2020,94,41,11
05-14-2020,96,41,11
05-14-2020,96,41,11
05-15-2020,96,41,11
05-16-2020,96,42,11
05-17-2020,96,42,11
05-18-2020,96,43,11
05-19-2020,96,43,11
05-19-2020,96,43,11
05-20-2020,97,43,11
05-21-2020,97,44,11
05-22-2020,97,44,11
05-23-2020,100,45,11
05-24-2020,100,45,11
05-25-2020,100,46,11
05-26-2020,100,46,11
05-27-2020,100,46,11
05-28-2020,101,47,11
05-29-2020,102,48,11
05-30-2020,102,48,11
05-31-2020,102,48,11
06-01-2020,102,49,11
06-02-2020,102,49,11
06-03-2020,102,55,11
06-04-2020,102,55,11
06-05-2020,102,55,11
06-06-2020,103,62,11
06-06-2020,103,62,11
06-07-2020,103,62,11
06-08-2020,103,64,11
06-09-2020,103,64,11
06-10-2020,103,67,11
06-11-2020,103,68,11
06-12-2020,103,68,11
06-13-2020,103,68,11
06-14-2020,103,68,11
06-15-2020,103,68,11
06-16-2020,104,72,11
06-17-2020,104,72,11
06-18-2020,104,74,11
06-19-2020,104,74,11
06-20-2020,104,74,11
06-21-2020,104,77,11
06-22-2020,104,77,11
06-23-2020,104,83,11
06-24-2020,104,83,11
06-25-2020,104,84,11
06-26-2020,104,84,11
06-27-2020,104,87,11
06-28-2020,104,87,11
06-29-2020,104,87,11
06-30-2020,104,87,11
07-01-2020,104,89,11
07-02-2020,104,89,11
07-03-2020,104,89,11
07-04-2020,104,89,11
07-05-2020,104,89,11
07-06-2020,104,89,11
07-07-2020,104,89,11
07-08-2020,106,89,11
07-09-2020,107,89,11
07-10-2020,108,89,11
07-11-2020,111,89,11
07-12-2020,111,89,11
07-13-2020,113,91,11
07-14-2020,116,91,11
07-15-2020,119,91,11
07-16-2020,124,91,11
07-17-2020,129,91,11
07-18-2020,138,91,11
07-18-2020,138,91,11
07-18-2020,138,91,11
07-19-2020,153,91,11
07-20-2020,174,91,11
07-21-2020,194,91,11
07-22-2020,219,91,11
07-23-2020,274,91,11
07-24-2020,316,91,11
07-25-2020,326,91,11
07-26-2020,342,91,11
07-27-2020,382,91,11
07-28-2020,447,91,11
07-28-2020,447,91,11
07-29-2020,484,91,11
07-30-2020,508,91,14
07-31-2020,574,91,14
08-01-2020,599,91,14
08-02-2020,648,91,14
08-03-2020,679,91,14
08-04-2020,715,91,14
08-05-2020,751,91,14
08-06-2020,761,91,14
08-07-2020,830,95,14
08-08-2020,878,99,14
08-09-2020,898,104,15
08-10-2020,945,113,15
08-11-2020,989,116,15
08-12-2020,1036,122,15
08-13-2020,1089,138,15
08-14-2020,1119,138,17
08-15-2020,1252,160,17
08-16-2020,1315,189,18
08-17-2020,1329,191,19
08-18-2020,1424,203,20
08-19-2020,1531,209,22
08-20-2020,1610,211,23
08-21-2020,1703,221,27
08-22-2020,1703,221,27
08-23-2020,1765,227,29
08-24-2020,1765,227,29
08-25-2020,1765,227,29
08-26-2020,1765,227,29
08-27-2020,1765,227,29
08-28-2020,2057,755,50
08-29-2020,2135,782,50
08-30-2020,2167,782,50
08-31-2020,2217,801,50
09-01-2020,2276,801,50
09-02-2020,2337,849,50
09-03-2020,2386,893,50
09-04-2020,2386,893,50
09-05-2020,2476,948,55
09-06-2020,2506,948,56
09-07-2020,2546,976,58
09-08-2020,2585,976,59
09-09-2020,2721,1183,63
09-10-2020,2721,1183,63
09-11-2020,2814,1220,65
09-12-2020,2928,1319,67
09-13-2020,2928,1319,67
09-14-2020,3008,1391,68
09-15-2020,3032,1482,69
09-16-2020,3087,1533,69
09-17-2020,3177,1626,69
09-18-2020,3177,1626,69
09-19-2020,3214,1679,73
09-20-2020,3315,1689,74
09-21-2020,3418,1771,75
09-22-2020,3467,1871,77
09-23-2020,3618,1915,80
09-24-2020,3699,1962,86
09-25-2020,3790,1999,89
09-26-2020,3790,1999,89
09-27-2020,3838,2005,89
09-28-2020,3838,2005,89
09-29-2020,3903,2072,91
09-30-2020,4123,2206,96
10-01-2020,4123,2206,96
10-02-2020,4220,2290,96
10-03-2020,4332,2375,96
