







date,confirmed,cured,dead
03-11-2020,195,35,0
03-12-2020,195,35,0
03-13-2020,189,44,0
03-14-2020,210,44,0
03-15-2020,214,60,0
03-16-2020,214,77,1
03-17-2020,228,81,1
03-18-2020,256,88,1
03-19-2020,278,100,1
03-20-2020,285,100,1
03-21-2020,305,125,1
03-22-2020,334,149,2
03-23-2020,377,164,2
03-24-2020,392,177,3
03-25-2020,419,177,4
03-26-2020,458,204,4
03-27-2020,466,227,4
03-28-2020,476,265,4
03-29-2020,499,272,4
03-30-2020,515,279,4
03-31-2020,567,295,4
04-01-2020,569,337,4
04-02-2020,643,381,4
04-03-2020,672,382,4
04-04-2020,688,423,4
04-05-2020,700,431,4
04-06-2020,756,458,4
04-07-2020,811,458,5
04-08-2020,823,477,5
04-09-2020,887,519,5
04-10-2020,925,539,6
04-11-2020,1040,555,6
04-12-2020,1136,558,6
04-13-2020,1361,591,6
04-14-2020,1528,645,7
04-15-2020,1671,663,7
04-16-2020,1700,703,7
04-17-2020,1740,725,7
04-18-2020,1773,755,7
04-19-2020,1881,759,7
04-20-2020,1907,769,7
04-21-2020,1973,784,7
04-22-2020,2027,1026,7
04-23-2020,2217,1082,8
04-24-2020,2518,1113,8
04-25-2020,2588,1160,8
04-26-2020,2647,1189,8
04-27-2020,2723,1218,8
04-28-2020,2811,1310,8
04-29-2020,2921,1455,8
04-30-2020,3040,1500,8
05-01-2020,3170,1555,8
05-02-2020,3284,1568,8
05-03-2020,3383,1718,8
05-04-2020,3533,1744,8
05-05-2020,3720,1762,8
05-05-2020,3720,1762,8
05-06-2020,3934,1860,8
05-07-2020,4199,2000,8
05-08-2020,4444,2028,8
05-09-2020,4774,2055,8
05-10-2020,4941,2070,8
05-11-2020,5236,2152,8
05-12-2020,5531,2192,9
05-12-2020,5531,2192,9
05-13-2020,5816,2205,10
05-14-2020,6198,2353,10
05-14-2020,6198,2353,10
05-15-2020,6583,2640,12
05-16-2020,6747,2762,12
05-17-2020,6956,2910,12
05-18-2020,7184,2931,12
05-19-2020,7532,2952,12
05-19-2020,7532,2952,12
05-20-2020,7888,3568,12
