







date,confirmed,cured,dead
03-11-2020,3,0,0
03-12-2020,3,0,0
03-13-2020,3,0,0
03-14-2020,3,0,0
03-15-2020,5,0,0
03-16-2020,8,2,0
03-17-2020,10,3,0
03-18-2020,14,3,1
03-19-2020,17,3,1
03-20-2020,20,3,1
03-21-2020,25,3,2
03-22-2020,27,3,2
03-23-2020,33,5,3
03-24-2020,39,5,4
03-25-2020,39,7,5
03-26-2020,44,11,5
03-27-2020,48,11,5
03-28-2020,48,15,5
03-29-2020,48,15,5
03-30-2020,49,19,5
03-31-2020,51,25,5
04-01-2020,54,25,6
04-02-2020,56,25,6
04-03-2020,61,26,6
04-04-2020,70,30,8
04-05-2020,88,33,9
04-06-2020,123,33,12
04-07-2020,164,33,17
04-08-2020,218,33,20
04-09-2020,330,33,21
04-10-2020,424,33,27
04-11-2020,482,36,30
04-12-2020,621,39,34
04-13-2020,803,42,39
04-14-2020,1012,42,46
04-15-2020,1231,49,50
04-16-2020,1572,49,60
04-17-2020,1838,58,75
04-18-2020,2144,66,84
04-19-2020,2456,75,91
04-20-2020,2948,85,101
04-21-2020,3382,87,110
04-22-2020,3772,92,120
04-23-2020,4186,108,127
04-24-2020,4689,112,131
04-25-2020,4998,113,140
04-26-2020,5416,122,145
04-27-2020,5913,131,152
04-28-2020,6462,139,155
04-29-2020,7103,150,163
04-30-2020,7667,160,168
05-01-2020,8238,174,170
05-02-2020,8790,177,175
05-03-2020,9455,1063,177
05-04-2020,10143,1209,182
05-05-2020,10929,1403,183
05-05-2020,10929,1403,183
05-06-2020,11719,1403,186
05-07-2020,12425,1910,199
05-08-2020,13134,2101,206
05-09-2020,13770,2414,214
05-10-2020,14657,2650,228
05-11-2020,15691,2902,239
05-12-2020,16660,3147,250
05-12-2020,16660,3147,250
05-13-2020,17822,3361,269
05-14-2020,18863,3361,283
05-14-2020,18863,3361,283
05-15-2020,20065,3882,298
05-16-2020,20995,4117,314
05-17-2020,22268,4373,328
05-18-2020,23870,4585,349
05-19-2020,25121,4993,370
05-19-2020,25121,4993,370
05-20-2020,26738,5207,386
05-21-2020,28511,5602,408
05-22-2020,30205,6190,432
05-23-2020,32078,6486,452
05-24-2020,33610,6901,480
05-25-2020,35585,7334,501
05-26-2020,36751,7579,522
05-27-2020,38292,7925,544
05-28-2020,40321,8425,559
05-29-2020,42844,9015,582
05-30-2020,44608,9375,610
05-31-2020,47153,9781,650
06-01-2020,49534,10597,672
06-02-2020,52445,11120,709
06-03-2020,55140,11590,746
06-04-2020,57563,12161,781
06-05-2020,60391,12804,811
06-06-2020,63026,13325,846
06-06-2020,63026,13325,846
06-07-2020,65769,13903,888
06-08-2020,68504,14560,930
06-09-2020,71675,15337,975
06-10-2020,74865,15900,1012
06-11-2020,78052,16747,1049
06-12-2020,81523,17249,1095
06-13-2020,84379,17828,1139
06-14-2020,87520,18730,1171
06-15-2020,90619,18731,1209
06-16-2020,94481,36264,1262
06-17-2020,98489,38189,1305
06-18-2020,102292,40164,1343
06-19-2020,105535,42945,1388
06-20-2020,108775,43993,1425
06-21-2020,112306,45077,1464
06-22-2020,115786,46755,1502
06-23-2020,119198,47635,1545
06-24-2020,122660,49666,1582
06-25-2020,126606,51495,1621
06-26-2020,130474,53133,1661
06-27-2020,133978,54318,1695
06-28-2020,137787,55727,1738
06-29-2020,141801,57780,1783
06-30-2020,145483,59624,1847
07-01-2020,149258,62108,1888
07-02-2020,153277,66442,1926
07-03-2020,156391,68048,1968
07-04-2020,159679,70721,1997
07-05-2020,162417,72625,2052
07-06-2020,165618,76149,2096
07-07-2020,168645,78102,2151
07-08-2020,172134,80838,2197
07-09-2020,175494,84544,2238
07-10-2020,178443,86406,2275
07-11-2020,181129,88034,2305
07-12-2020,183795,93614,2352
07-13-2020,186894,98317,2391
07-14-2020,190057,103227,2424
07-15-2020,193590,105523,2457
07-16-2020,196323,106963,2496
07-17-2020,199357,108725,2547
07-18-2020,202066,110098,2581
07-18-2020,202066,110098,2581
07-18-2020,202066,110098,2581
07-19-2020,204525,111642,2618
07-20-2020,207453,113556,2668
07-21-2020,210510,115397,2709
07-22-2020,213254,117202,2751
07-23-2020,216110,119208,2801
07-24-2020,218658,120976,2836
07-25-2020,221178,122090,2874
07-26-2020,223453,123882,2928
07-27-2020,226225,125683,2965
07-28-2020,229185,127414,3000
07-28-2020,229185,127414,3000
07-29-2020,232194,130292,3035
07-30-2020,234889,132960,3083
07-31-2020,237661,135136,3111
08-01-2020,239860,136253,3132
08-02-2020,240746,136839,3154
08-03-2020,242102,137905,3184
08-04-2020,244020,139860,3234
08-05-2020,246674,141750,3267
08-06-2020,249651,143824,3306
08-07-2020,252502,145584,3333
08-08-2020,255113,146604,3365
08-09-2020,257600,148370,3399
08-10-2020,260507,150437,3438
08-11-2020,263503,151972,3471
08-12-2020,266498,153089,3513
08-13-2020,269115,154871,3557
08-14-2020,271881,156623,3591
08-15-2020,274525,157635,3625
08-16-2020,276549,158950,3657
08-17-2020,279144,160591,3694
08-18-2020,282344,162825,3740
08-19-2020,285091,165738,3781
08-20-2020,287959,168991,3822
08-21-2020,290360,172615,3861
08-22-2020,292625,175567,3907
08-23-2020,294598,179091,3941
08-24-2020,297083,182875,3983
08-25-2020,299628,186756,4028
08-26-2020,302147,190183,4082
08-27-2020,304583,193458,4127
08-28-2020,306794,196836,4174
08-29-2020,308925,198863,4206
08-30-2020,310822,201907,4248
08-31-2020,312996,204887,4281
09-01-2020,314946,208177,4316
09-02-2020,317528,211016,4351
09-03-2020,319686,213980,4383
09-04-2020,321615,216191,4412
09-05-2020,323565,217852,4447
09-06-2020,325157,221275,4479
09-07-2020,327359,224573,4516
09-08-2020,329251,227809,4552
09-09-2020,331078,230804,4593
09-10-2020,332970,233550,4634
09-11-2020,334762,236024,4668
09-12-2020,336044,238271,4702
09-13-2020,337520,240643,4733
09-14-2020,339332,243155,4759
09-15-2020,341056,245594,4802
09-16-2020,342671,247969,4823
09-17-2020,344264,250412,4859
09-18-2020,345805,252335,4881
09-19-2020,347372,254386,4913
09-20-2020,348918,256565,4939
09-21-2020,350621,258717,4979
09-22-2020,352178,260790,5007
09-23-2020,353844,262953,5044
09-24-2020,355384,265092,5072
09-25-2020,356767,267024,5093
09-26-2020,357873,268777,5129
09-27-2020,359148,270491,5161
09-28-2020,360555,272073,5193
09-29-2020,362043,273698,5219
09-30-2020,363479,275487,5251
10-01-2020,364987,277078,5272
10-02-2020,366383,278627,5305
10-03-2020,367565,280069,5325
10-04-2020,368690,281656,5348
10-05-2020,370132,283182,5375
10-06-2020,371631,284833,5405
10-07-2020,373151,286631,5440
10-08-2020,374592,288316,5460
10-09-2020,375870,289912,5477
10-10-2020,377073,291365,5500
10-11-2020,378266,292860,5524
10-12-2020,379738,294391,5555
10-13-2020,381275,295873,5577
10-14-2020,382959,297449,5593
10-15-2020,384559,299229,5608
10-16-2020,386086,300738,5623
10-17-2020,387295,302298,5646
10-18-2020,388569,303972,5660
10-19-2020,390206,305599,5681
10-20-2020,391586,307141,5699
10-21-2020,393131,308845,5723
10-22-2020,394827,310532,5747
10-23-2020,396413,312065,5761
10-24-2020,397507,313563,5780
10-25-2020,398815,315107,5803
10-26-2020,400251,316600,5818
10-27-2020,401586,318123,5838
10-28-2020,403079,319733,5861
10-29-2020,404760,321281,5886
10-30-2020,406364,322703,5905
10-31-2020,407684,324145,5923
11-01-2020,409252,325940,5941
11-02-2020,410988,327901,5966
11-03-2020,412647,329787,5983
11-04-2020,414164,331697,6004
11-05-2020,416006,333588,6021
11-06-2020,417475,335027,6036
11-07-2020,418764,336568,6049
11-08-2020,420238,338145,6067
11-09-2020,421921,339768,6092
11-10-2020,423620,341416,6108
11-11-2020,425353,343131,6127
11-12-2020,427198,344868,6140
11-13-2020,428965,346387,6159
11-14-2020,430496,347849,6173
11-15-2020,432333,349542,6194
11-16-2020,434472,351146,6215
11-17-2020,436684,352895,6254
11-18-2020,438795,354788,6275
11-19-2020,441159,356722,6305
11-20-2020,443434,358431,6322
11-21-2020,445281,360352,6350
11-22-2020,447341,362428,6388
11-23-2020,449760,364611,6416
