







date,confirmed,cured,dead
03-17-2020,2,0,0
03-18-2020,2,0,0
03-19-2020,5,0,0
03-20-2020,5,0,0
03-21-2020,6,0,0
03-22-2020,14,0,0
03-23-2020,17,0,0
03-24-2020,18,0,0
03-25-2020,18,0,0
03-26-2020,18,0,0
03-27-2020,24,0,0
03-28-2020,26,0,0
03-29-2020,33,0,0
03-30-2020,33,0,0
03-31-2020,34,0,0
04-01-2020,34,0,0
04-02-2020,46,0,0
04-03-2020,51,0,0
04-04-2020,52,0,0
04-05-2020,56,6,1
04-06-2020,60,6,2
04-07-2020,63,6,3
04-08-2020,63,8,3
04-09-2020,66,11,3
04-10-2020,67,11,4
04-11-2020,68,11,4
04-12-2020,71,11,4
04-13-2020,72,13,4
04-14-2020,72,13,4
04-15-2020,73,15,5
04-16-2020,75,15,5
04-17-2020,75,15,5
04-18-2020,75,17,5
04-19-2020,75,17,5
04-20-2020,75,19,5
04-21-2020,75,25,5
04-22-2020,75,25,5
04-23-2020,76,30,6
04-24-2020,77,31,6
04-25-2020,79,31,6
04-26-2020,79,39,6
04-27-2020,80,39,6
04-28-2020,80,39,6
04-29-2020,80,39,7
04-30-2020,81,39,7
05-01-2020,81,39,7
05-02-2020,81,44,7
05-03-2020,82,44,7
05-04-2020,82,46,7
05-05-2020,82,47,7
05-05-2020,82,47,7
05-06-2020,82,47,7
05-07-2020,82,53,7
05-08-2020,83,53,7
05-09-2020,84,57,7
05-10-2020,84,57,7
05-11-2020,84,57,7
05-12-2020,85,57,7
05-12-2020,85,57,7
05-13-2020,85,65,7
05-14-2020,85,65,7
05-14-2020,85,65,7
05-15-2020,85,65,7
05-16-2020,86,67,7
05-17-2020,88,68,7
05-18-2020,88,68,7
05-19-2020,90,68,7
05-19-2020,90,68,7
05-20-2020,90,70,7
05-21-2020,90,70,7
05-22-2020,90,70,7
05-23-2020,92,70,7
05-24-2020,92,70,7
05-25-2020,92,71,7
05-26-2020,92,71,7
05-27-2020,92,76,7
05-28-2020,92,76,7
05-29-2020,92,76,7
05-30-2020,92,76,7
05-31-2020,92,76,7
06-01-2020,92,76,7
06-02-2020,92,76,7
06-03-2020,92,81,7
06-04-2020,92,81,7
06-05-2020,92,81,7
06-06-2020,92,81,7
06-06-2020,92,81,7
06-07-2020,92,81,7
06-08-2020,92,81,7
06-09-2020,92,81,7
06-10-2020,96,83,7
06-11-2020,96,83,7
06-12-2020,96,83,7
06-13-2020,96,83,7
06-14-2020,96,83,7
06-15-2020,97,83,7
06-16-2020,97,83,7
06-17-2020,97,85,7
06-18-2020,97,85,7
06-19-2020,97,85,7
06-20-2020,97,85,7
06-21-2020,97,85,7
06-22-2020,97,85,7
06-23-2020,97,85,7
06-24-2020,97,85,7
06-25-2020,97,85,7
06-26-2020,97,90,7
06-27-2020,97,90,7
06-28-2020,97,90,7
06-29-2020,97,90,7
06-30-2020,97,90,7
07-01-2020,97,90,7
07-02-2020,97,90,7
07-03-2020,97,90,7
07-04-2020,97,90,7
07-05-2020,98,90,7
07-06-2020,98,90,7
07-07-2020,98,90,7
07-08-2020,98,90,7
07-09-2020,98,90,7
07-10-2020,98,90,7
07-11-2020,103,90,7
07-12-2020,103,90,7
07-13-2020,103,90,7
07-14-2020,103,90,7
07-15-2020,104,90,7
07-16-2020,104,90,7
07-17-2020,104,91,7
07-18-2020,104,91,7
07-18-2020,104,91,7
07-18-2020,104,91,7
07-19-2020,105,91,7
07-20-2020,106,91,7
07-21-2020,106,91,7
07-22-2020,106,94,7
07-23-2020,106,94,7
07-24-2020,108,94,7
07-25-2020,108,94,7
07-26-2020,110,94,7
07-27-2020,110,94,7
07-28-2020,110,94,7
07-28-2020,110,94,7
07-29-2020,110,95,7
07-30-2020,110,96,7
07-31-2020,110,96,7
08-01-2020,122,98,7
08-02-2020,132,98,7
08-03-2020,132,98,7
08-04-2020,132,98,7
08-05-2020,133,100,7
08-06-2020,133,100,7
08-07-2020,138,100,7
08-08-2020,138,108,7
08-09-2020,142,112,7
08-10-2020,142,112,7
08-11-2020,143,112,7
08-12-2020,144,115,7
08-13-2020,144,118,7
08-14-2020,148,119,7
08-15-2020,150,121,7
08-16-2020,151,122,7
08-17-2020,152,122,7
08-18-2020,153,122,7
08-19-2020,155,123,7
08-20-2020,156,123,7
08-21-2020,157,124,7
08-22-2020,158,126,7
08-23-2020,161,132,7
08-24-2020,161,132,7
08-25-2020,164,132,7
08-26-2020,165,139,7
08-27-2020,165,140,7
08-28-2020,166,141,7
08-29-2020,170,141,7
08-30-2020,173,145,7
08-31-2020,174,146,7
09-01-2020,176,146,7
09-02-2020,176,149,7
09-03-2020,177,150,7
09-04-2020,178,153,7
09-05-2020,178,154,7
09-06-2020,178,154,7
09-07-2020,179,154,7
09-08-2020,180,156,7
09-09-2020,180,156,7
09-10-2020,180,157,7
09-11-2020,180,158,7
09-12-2020,180,158,7
09-13-2020,181,164,7
