







date,confirmed,cured,dead
03-23-2020,1,0,0
03-24-2020,1,0,0
03-25-2020,2,0,0
03-26-2020,2,0,0
03-27-2020,2,0,0
03-28-2020,2,0,0
03-29-2020,2,0,0
03-30-2020,3,0,0
03-31-2020,3,0,0
04-01-2020,3,0,0
04-02-2020,3,0,0
04-03-2020,4,0,0
04-04-2020,4,0,0
04-05-2020,5,0,0
04-06-2020,7,0,1
04-07-2020,7,0,1
04-08-2020,8,0,1
04-09-2020,9,0,1
04-10-2020,10,0,2
04-11-2020,13,0,2
04-12-2020,14,0,2
04-13-2020,18,0,2
04-14-2020,18,0,2
04-15-2020,18,0,2
04-16-2020,18,0,2
04-17-2020,18,0,2
04-18-2020,18,0,2
04-19-2020,18,2,2
04-20-2020,18,2,2
04-21-2020,18,2,2
04-22-2020,18,2,2
04-23-2020,18,5,2
04-24-2020,18,5,2
04-25-2020,18,5,2
04-26-2020,18,5,2
04-27-2020,18,6,2
04-28-2020,18,9,2
04-29-2020,18,9,2
04-30-2020,18,9,2
05-01-2020,18,13,2
05-02-2020,18,13,2
05-03-2020,18,13,2
05-04-2020,18,14,2
05-05-2020,18,16,2
05-05-2020,18,16,2
05-06-2020,18,16,2
05-07-2020,18,16,2
05-08-2020,18,16,2
05-09-2020,18,16,2
05-10-2020,18,16,2
05-11-2020,18,16,2
05-12-2020,18,16,2
05-12-2020,18,16,2
05-13-2020,18,16,2
05-14-2020,18,16,2
05-14-2020,18,16,2
05-15-2020,18,16,2
05-16-2020,18,16,2
05-17-2020,18,16,2
05-18-2020,18,16,2
05-19-2020,18,16,2
05-19-2020,18,16,2
05-20-2020,18,16,2
05-21-2020,18,16,2
05-22-2020,18,16,2
05-23-2020,18,16,2
05-24-2020,18,16,2
05-25-2020,18,16,2
05-26-2020,18,16,2
05-27-2020,18,16,2
05-28-2020,18,16,2
05-29-2020,18,16,2
05-30-2020,18,16,2
05-31-2020,18,16,2
06-01-2020,18,16,2
06-02-2020,18,16,2
06-03-2020,18,16,2
06-04-2020,18,16,2
06-05-2020,19,16,2
06-06-2020,19,16,2
06-06-2020,19,16,2
06-07-2020,19,16,2
06-08-2020,19,16,2
06-09-2020,20,16,2
06-10-2020,20,16,2
06-11-2020,20,16,2
06-12-2020,20,16,2
06-13-2020,20,16,2
06-14-2020,20,16,2
06-15-2020,21,16,2
06-16-2020,22,16,2
06-17-2020,22,16,2
06-18-2020,22,16,2
06-19-2020,22,17,2
06-20-2020,22,17,2
06-21-2020,22,17,2
06-22-2020,23,17,2
06-23-2020,23,17,2
06-24-2020,23,17,2
06-25-2020,23,17,2
06-26-2020,24,18,2
06-27-2020,24,18,2
06-28-2020,24,18,2
06-29-2020,24,18,2
06-30-2020,24,18,2
07-01-2020,28,18,2
07-02-2020,28,18,2
07-03-2020,30,19,2
07-04-2020,30,19,2
07-05-2020,30,19,2
07-06-2020,30,19,2
07-07-2020,30,19,2
07-08-2020,30,19,2
07-09-2020,30,19,2
07-10-2020,37,20,2
07-11-2020,37,20,2
07-12-2020,37,20,2
07-13-2020,37,20,2
07-14-2020,39,21,2
07-15-2020,39,21,2
07-16-2020,40,22,2
07-17-2020,40,22,2
07-18-2020,40,22,2
07-18-2020,40,22,2
07-18-2020,40,22,2
07-19-2020,40,22,2
07-20-2020,40,22,2
07-21-2020,42,22,2
07-22-2020,43,23,2
07-23-2020,47,25,2
07-24-2020,48,26,2
07-25-2020,48,26,2
07-26-2020,48,26,2
07-27-2020,48,26,2
07-28-2020,48,27,2
07-28-2020,48,27,2
07-29-2020,48,27,2
07-30-2020,48,27,2
07-31-2020,48,30,2
08-01-2020,56,30,2
08-02-2020,57,30,2
08-03-2020,57,30,2
08-04-2020,57,30,2
08-05-2020,86,31,2
08-06-2020,114,32,2
08-07-2020,114,32,2
08-08-2020,146,32,2
08-09-2020,153,32,2
08-10-2020,177,32,2
08-11-2020,177,32,2
08-12-2020,210,32,2
08-13-2020,296,32,2
08-14-2020,356,32,3
08-15-2020,388,35,3
08-16-2020,452,35,3
08-17-2020,475,38,4
08-18-2020,475,38,4
08-19-2020,553,38,4
08-20-2020,605,38,5
08-21-2020,648,43,5
08-22-2020,668,44,6
08-23-2020,686,44,6
08-24-2020,713,45,10
08-25-2020,730,48,10
08-26-2020,760,54,11
08-27-2020,818,54,12
08-28-2020,870,93,12
08-29-2020,964,115,13
08-30-2020,993,117,13
08-31-2020,1007,173,13
