







date,confirmed,cured,dead
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,2,0,0
03-19-2020,2,0,0
03-20-2020,2,0,0
03-21-2020,2,0,0
03-22-2020,2,0,0
03-23-2020,5,0,0
03-24-2020,6,0,0
03-25-2020,6,0,0
03-26-2020,6,0,0
03-27-2020,6,0,0
03-28-2020,6,0,0
03-29-2020,6,0,0
03-30-2020,6,0,0
03-31-2020,9,1,0
04-01-2020,13,1,0
04-02-2020,13,1,0
04-03-2020,16,2,0
04-04-2020,16,2,0
04-05-2020,22,5,0
04-06-2020,26,5,1
04-07-2020,26,5,1
04-08-2020,26,5,1
04-09-2020,26,5,1
04-10-2020,35,5,1
04-11-2020,35,5,1
04-12-2020,35,5,1
04-13-2020,35,5,1
04-14-2020,35,18,1
04-15-2020,35,18,1
04-16-2020,35,18,1
04-17-2020,35,18,1
04-18-2020,35,18,1
04-19-2020,35,18,1
04-20-2020,54,27,1
04-21-2020,54,27,1
04-22-2020,54,27,1
04-23-2020,54,27,1
04-24-2020,54,27,1
04-25-2020,54,27,1
04-26-2020,64,33,1
04-27-2020,64,33,1
04-28-2020,64,33,1
04-29-2020,64,33,1
04-30-2020,64,33,1
05-01-2020,90,42,2
05-02-2020,90,42,2
05-03-2020,90,42,2
05-04-2020,96,50,2
05-05-2020,96,50,2
05-05-2020,96,50,2
05-06-2020,96,50,2
05-07-2020,140,53,2
05-08-2020,242,62,2
05-09-2020,284,62,2
05-10-2020,319,62,2
05-11-2020,319,62,2
05-12-2020,327,76,2
05-12-2020,327,76,2
05-13-2020,327,83,2
05-14-2020,339,83,2
05-14-2020,339,83,2
05-15-2020,339,83,2
05-16-2020,339,83,2
05-17-2020,339,83,2
05-18-2020,339,83,2
05-19-2020,130,83,2
05-19-2020,130,83,2
05-20-2020,130,57,2
05-21-2020,135,61,3
05-22-2020,135,61,3
05-23-2020,135,61,3
05-24-2020,191,82,3
05-25-2020,191,84,3
05-26-2020,208,118,3
05-27-2020,210,134,3
05-28-2020,210,134,3
05-29-2020,224,136,3
05-30-2020,224,136,3
05-31-2020,232,143,3
06-01-2020,243,147,3
06-02-2020,244,148,3
06-03-2020,244,148,3
06-04-2020,261,151,3
06-05-2020,261,151,3
06-06-2020,261,151,3
06-06-2020,261,151,3
06-07-2020,261,151,3
06-08-2020,288,186,4
06-09-2020,305,188,4
06-10-2020,305,188,4
06-11-2020,305,188,4
06-12-2020,388,217,5
06-13-2020,412,222,6
06-14-2020,442,228,6
06-15-2020,483,232,9
06-16-2020,532,236,9
06-17-2020,572,237,9
06-18-2020,597,238,11
06-19-2020,650,247,11
06-20-2020,650,247,11
06-21-2020,765,253,13
06-22-2020,807,253,13
06-23-2020,850,272,13
06-24-2020,902,277,13
06-25-2020,1017,288,14
06-26-2020,1053,292,14
06-27-2020,1124,295,14
06-28-2020,1149,306,16
06-29-2020,1187,323,19
06-30-2020,1199,333,21
07-01-2020,1199,333,21
07-02-2020,1199,333,21
07-03-2020,1199,333,21
07-04-2020,1199,333,21
07-05-2020,1199,333,21
07-06-2020,1199,333,21
07-07-2020,1199,333,21
07-08-2020,1199,333,21
07-09-2020,1285,333,23
07-10-2020,1285,333,23
07-11-2020,1378,557,26
07-12-2020,1378,557,26
07-13-2020,1378,557,26
07-14-2020,1378,557,26
07-15-2020,1378,557,26
07-16-2020,1463,557,28
07-17-2020,1602,782,31
07-18-2020,1602,782,31
07-18-2020,1602,782,31
07-18-2020,1602,782,31
07-19-2020,1602,782,31
07-20-2020,1602,782,31
07-21-2020,1602,782,31
07-22-2020,1690,782,34
07-23-2020,1694,918,34
07-24-2020,1694,918,34
07-25-2020,1694,918,34
07-26-2020,1770,1036,35
07-27-2020,1770,1036,35
07-28-2020,1770,1036,35
07-28-2020,1770,1036,35
07-29-2020,1805,1036,36
07-30-2020,1805,1036,36
07-31-2020,1805,1036,36
08-01-2020,1805,1036,36
08-02-2020,1805,1036,36
08-03-2020,1805,1036,36
08-04-2020,1914,1036,38
08-05-2020,1936,1600,38
08-06-2020,1936,1600,38
08-07-2020,1936,1600,38
08-08-2020,1936,1600,38
08-09-2020,1936,1600,38
08-10-2020,1936,1600,38
08-11-2020,2001,1681,38
08-12-2020,2014,1681,38
08-13-2020,2014,1681,38
08-14-2020,2014,1681,38
08-15-2020,2063,1690,39
08-16-2020,2063,1690,39
08-17-2020,2063,1690,39
08-18-2020,2063,1690,39
08-19-2020,2095,1690,39
08-20-2020,2095,1705,39
08-21-2020,2095,1705,39
08-22-2020,2115,1705,39
08-23-2020,2115,1705,39
08-24-2020,2115,1705,39
08-25-2020,2115,1705,39
08-26-2020,2145,1738,40
08-27-2020,2145,1738,40
08-28-2020,2145,1738,40
08-29-2020,2145,1738,40
08-30-2020,2145,1738,40
08-31-2020,2145,1738,40
09-01-2020,2145,1738,40
09-02-2020,2194,1738,40
09-03-2020,2194,1738,40
09-04-2020,2194,1738,40
09-05-2020,2213,1793,40
09-06-2020,2213,1793,40
09-07-2020,2213,1793,40
09-08-2020,2213,1793,40
09-09-2020,2242,1793,40
09-10-2020,2242,1793,40
09-11-2020,2242,1793,40
09-12-2020,2242,1793,40
09-13-2020,2267,1942,40
09-14-2020,2267,1942,40
09-15-2020,2267,1942,40
09-16-2020,2280,1942,40
09-17-2020,2280,1950,40
09-18-2020,2280,1950,40
09-19-2020,2280,1950,40
09-20-2020,2280,1950,40
09-21-2020,2294,1954,40
09-22-2020,2294,1954,40
09-23-2020,2325,1954,40
09-24-2020,2325,1954,40
09-25-2020,2325,1960,40
09-26-2020,2325,1960,40
09-27-2020,2340,1960,40
09-28-2020,2340,1960,40
09-29-2020,2340,1960,40
09-30-2020,2357,1973,41
10-01-2020,2357,1973,41
10-02-2020,2357,1973,41
10-03-2020,2357,1973,41
10-04-2020,2357,1973,41
10-05-2020,2357,1973,41
10-06-2020,2357,1973,41
10-07-2020,2411,1973,41
10-08-2020,2411,1973,41
10-09-2020,2411,1973,41
10-10-2020,2411,1973,41
10-11-2020,2411,1973,41
10-12-2020,2411,1973,41
10-13-2020,2411,1973,41
10-14-2020,2478,2330,41
10-15-2020,2496,2330,41
10-16-2020,2496,2330,41
10-17-2020,2496,2330,41
10-18-2020,2496,2330,41
10-19-2020,2496,2330,41
10-20-2020,2496,2330,41
10-21-2020,2557,2330,41
10-22-2020,2557,2330,41
10-23-2020,2557,2330,41
10-24-2020,2557,2330,41
10-25-2020,2557,2330,41
10-26-2020,2557,2330,41
10-27-2020,2557,2330,41
10-28-2020,2643,2330,41
10-29-2020,2643,2330,41
10-30-2020,2643,2330,41
10-31-2020,2643,2418,41
11-01-2020,2683,2455,41
11-02-2020,2683,2455,41
11-03-2020,2683,2455,41
