







date,confirmed,cured,dead
03-11-2020,2,0,0
03-12-2020,2,0,0
03-13-2020,3,0,0
03-14-2020,10,0,0
03-15-2020,10,0,0
03-16-2020,11,0,0
03-17-2020,11,0,0
03-18-2020,12,0,0
03-19-2020,12,0,0
03-20-2020,15,0,0
03-21-2020,19,0,0
03-22-2020,24,0,0
03-23-2020,27,0,0
03-24-2020,29,0,0
03-25-2020,32,0,0
03-26-2020,43,0,0
03-27-2020,61,0,0
03-28-2020,74,0,0
03-29-2020,81,0,1
03-30-2020,97,0,4
03-31-2020,107,0,6
04-01-2020,115,1,7
04-02-2020,123,1,8
04-03-2020,132,1,9
04-04-2020,139,1,10
04-05-2020,157,2,10
04-06-2020,183,2,11
04-07-2020,194,2,14
04-08-2020,210,2,15
04-09-2020,264,2,18
04-10-2020,268,2,19
04-11-2020,275,2,20
04-12-2020,300,2,24
04-13-2020,330,2,27
04-14-2020,354,6,28
04-15-2020,397,7,28
04-16-2020,441,14,29
04-17-2020,465,26,31
04-18-2020,493,31,31
04-19-2020,520,31,32
04-20-2020,564,31,33
04-21-2020,598,37,34
04-22-2020,609,44,37
04-23-2020,703,44,43
04-24-2020,807,54,44
04-25-2020,866,54,46
04-26-2020,950,80,50
04-27-2020,1014,98,53
04-28-2020,1014,98,53
04-29-2020,1110,117,59
04-30-2020,1110,117,59
05-01-2020,1229,134,66
05-02-2020,1229,134,66
05-03-2020,1594,166,76
05-04-2020,1681,174,82
05-05-2020,1802,187,86
05-05-2020,1802,187,86
05-06-2020,1886,198,91
05-07-2020,2081,219,102
05-08-2020,2266,237,106
05-09-2020,2437,258,114
05-10-2020,2556,273,118
05-11-2020,2831,299,122
05-12-2020,2964,313,128
05-12-2020,2964,313,128
05-13-2020,3148,339,142
05-14-2020,3372,356,152
05-14-2020,3372,356,152
05-15-2020,3577,434,164
05-16-2020,3826,473,165
05-17-2020,4088,493,169
05-18-2020,4263,503,174
05-19-2020,4481,533,189
05-19-2020,4481,533,189
05-20-2020,4919,553,199
05-21-2020,5187,561,215
05-22-2020,5579,575,230
05-23-2020,5915,609,240
05-24-2020,6263,629,250
05-25-2020,6660,647,261
05-26-2020,7136,677,274
05-27-2020,7768,689,280
05-28-2020,8387,738,293
05-29-2020,8731,749,300
05-30-2020,9592,889,310
05-31-2020,9982,968,313
06-01-2020,10531,1137,343
06-02-2020,10991,1298,376
06-03-2020,11638,1507,400
06-04-2020,12245,1658,415
06-05-2020,12728,1739,427
06-06-2020,13358,1902,454
06-06-2020,13358,1902,454
06-07-2020,13643,2086,465
06-08-2020,13949,2159,475
06-09-2020,14644,2190,487
06-10-2020,15281,2261,512
06-11-2020,16165,2372,533
06-12-2020,16929,2431,559
06-13-2020,17842,2768,585
06-14-2020,18459,3113,611
06-15-2020,19073,3430,632
06-16-2020,19883,3752,659
06-17-2020,20685,4002,679
06-18-2020,21499,4002,697
06-19-2020,22476,4670,715
06-20-2020,23512,5086,740
06-21-2020,24388,5454,773
06-22-2020,25493,5857,820
06-23-2020,26389,6300,846
06-24-2020,27487,6795,876
06-25-2020,28503,7338,913
06-26-2020,29423,7736,934
06-27-2020,30676,8158,970
06-28-2020,31524,8517,1014
06-29-2020,32125,8928,1071
06-30-2020,33219,9340,1123
07-01-2020,34227,9764,1201
07-02-2020,35528,10358,1271
07-03-2020,36818,10766,1320
07-04-2020,38071,11272,1378
07-05-2020,39297,11667,1434
07-06-2020,40509,11929,1476
07-07-2020,41545,12398,1530
07-08-2020,42984,12883,1577
07-09-2020,44113,13354,1638
07-10-2020,45565,13918,1702
07-11-2020,47200,14333,1754
07-12-2020,48187,14843,1807
07-13-2020,49250,15294,1866
07-14-2020,50867,15819,1898
07-15-2020,52218,16357,1942
07-16-2020,54156,16979,1984
07-17-2020,56102,17882,2049
07-18-2020,58138,18200,2106
07-18-2020,58138,18200,2106
07-18-2020,58138,18200,2106
07-19-2020,59582,18553,2151
07-20-2020,60991,18875,2218
07-21-2020,62357,19290,2273
07-22-2020,64135,19721,2328
07-23-2020,65252,20030,2407
07-24-2020,66456,20614,2473
07-25-2020,68281,20951,2535
07-26-2020,69429,21169,2583
07-27-2020,71181,21478,2647
07-28-2020,72327,21971,2720
07-28-2020,72327,21971,2720
07-29-2020,73534,22506,2808
07-30-2020,75234,23305,2894
07-31-2020,76789,23582,2977
08-01-2020,78793,23968,3064
08-02-2020,80153,24156,3153
08-03-2020,81846,24510,3228
08-04-2020,83361,25390,3320
08-05-2020,85141,26437,3385
08-06-2020,86423,27373,3465
08-07-2020,87891,28139,3524
08-08-2020,89055,28904,3587
08-09-2020,89999,29808,3640
08-10-2020,91635,30823,3712
08-11-2020,93328,31753,3761
08-12-2020,95071,32830,3827
08-13-2020,96459,33720,3884
08-14-2020,97950,34723,3939
08-15-2020,99146,35638,4003
08-16-2020,100344,36491,4058
08-17-2020,101223,37471,4123
08-18-2020,103019,38623,4172
08-19-2020,105050,39965,4233
08-20-2020,106065,41111,4305
08-21-2020,107435,42141,4366
08-22-2020,108427,43887,4442
08-23-2020,109149,45396,4509
08-24-2020,110148,47050,4578
08-25-2020,110999,48875,4664
08-26-2020,112094,50397,4726
08-27-2020,113129,52521,4791
08-28-2020,114409,54914,4846
08-29-2020,115354,56749,4938
08-30-2020,115968,58497,4966
08-31-2020,116598,60408,5027
09-01-2020,117267,62124,5101
09-02-2020,117928,64074,5203
09-03-2020,118781,65884,5288
09-04-2020,119580,67844,5343
09-05-2020,120241,69566,5398
09-06-2020,120769,71489,5398
09-07-2020,121604,73150,7054
09-08-2020,122308,75098,7097
09-09-2020,123345,77216,7146
09-10-2020,124205,79483,7193
09-11-2020,125172,81240,7250
09-12-2020,125982,82796,7297
09-13-2020,126791,84286,7344
09-14-2020,127619,85198,7394
09-15-2020,128286,86216,7447
09-16-2020,128872,87031,7478
09-17-2020,129419,87716,7511
09-18-2020,130051,88457,7550
09-19-2020,130470,89032,7586
09-20-2020,130676,89617,7617
09-21-2020,130986,90240,7654
