







date,confirmed,cured,dead
03-11-2020,7,0,0
03-12-2020,11,0,0
03-13-2020,13,0,0
03-14-2020,18,0,0
03-15-2020,24,0,0
03-16-2020,25,0,0
03-17-2020,26,2,0
03-18-2020,38,2,0
03-19-2020,63,2,0
03-20-2020,89,2,0
03-21-2020,93,2,1
03-22-2020,126,2,1
03-23-2020,132,2,1
03-24-2020,166,2,3
03-25-2020,176,2,3
03-26-2020,191,2,3
03-27-2020,237,5,4
03-28-2020,258,5,5
03-29-2020,323,8,6
03-30-2020,368,17,10
03-31-2020,420,17,13
04-01-2020,459,19,13
04-02-2020,533,20,16
04-03-2020,579,27,17
04-04-2020,624,30,21
04-05-2020,654,30,23
04-06-2020,674,47,29
04-07-2020,764,68,33
04-08-2020,804,79,34
04-09-2020,858,101,35
04-10-2020,901,129,36
04-11-2020,946,139,37
04-12-2020,1009,193,39
04-13-2020,1037,206,39
04-14-2020,1083,236,40
04-15-2020,1110,253,41
04-16-2020,1167,277,43
04-17-2020,1214,320,46
04-18-2020,1268,338,47
04-19-2020,1285,347,48
04-20-2020,1309,381,49
04-21-2020,1342,437,51
04-22-2020,1368,460,53
04-23-2020,1413,485,54
04-24-2020,1421,538,55
04-25-2020,1486,592,57
04-26-2020,1516,624,59
04-27-2020,1565,659,60
04-28-2020,1585,682,63
04-29-2020,1677,710,65
04-30-2020,1757,727,69
05-01-2020,1781,755,70
05-02-2020,1839,779,72
05-03-2020,1857,825,77
05-04-2020,1926,855,78
05-05-2020,1946,911,79
05-05-2020,1946,911,79
05-06-2020,1987,928,86
05-07-2020,2027,954,90
05-08-2020,2070,960,98
05-09-2020,2090,1059,102
05-10-2020,2117,1106,107
05-11-2020,2141,1114,113
05-12-2020,2158,1168,117
05-12-2020,2158,1168,117
05-13-2020,2181,1228,120
05-14-2020,2218,1272,122
05-14-2020,2218,1272,122
05-15-2020,2236,1336,128
05-16-2020,2267,1355,129
05-17-2020,2290,1436,133
05-18-2020,2304,1464,133
05-19-2020,2321,1522,134
05-19-2020,2321,1522,134
05-20-2020,2338,1557,136
05-21-2020,2350,1596,140
05-22-2020,2372,1614,141
05-23-2020,2391,1662,141
05-24-2020,2401,1680,144
05-25-2020,2406,1696,146
05-26-2020,2416,1721,149
05-27-2020,2435,1744,151
05-28-2020,2462,1781,153
05-29-2020,2485,1803,153
05-30-2020,2494,1831,153
05-31-2020,2510,1862,153
06-01-2020,2524,1888,154
06-02-2020,2535,1910,157
06-03-2020,2551,1939,157
06-04-2020,2594,1951,159
06-05-2020,2606,1968,159
06-06-2020,2606,1968,159
06-06-2020,2606,1968,159
06-07-2020,2606,1968,159
06-08-2020,2704,2023,160
06-09-2020,2728,2049,160
06-10-2020,2775,2063,161
06-11-2020,2832,2100,161
06-12-2020,2893,2119,163
06-13-2020,2893,2119,163
06-14-2020,2893,2119,163
06-15-2020,3040,2162,165
06-16-2020,3085,2178,168
06-17-2020,3141,2197,168
06-18-2020,3174,2219,168
06-19-2020,3273,2241,169
06-20-2020,3273,2241,169
06-21-2020,3273,2241,169
06-22-2020,3525,2270,171
06-23-2020,3588,2285,172
06-24-2020,3676,2297,173
06-25-2020,3796,2322,175
06-26-2020,3935,2338,178
06-27-2020,3935,2338,178
06-28-2020,3935,2338,178
06-29-2020,4325,2366,184
06-30-2020,4453,2402,186
07-01-2020,4606,2432,188
07-02-2020,4788,2515,189
07-03-2020,4962,2550,191
07-04-2020,4962,2550,191
07-05-2020,4962,2550,191
07-06-2020,5458,2598,199
07-07-2020,5621,2693,207
07-08-2020,5869,2769,209
07-09-2020,6086,2815,214
07-10-2020,6402,3037,216
07-11-2020,6719,3078,219
07-12-2020,6877,3115,221
07-13-2020,6981,3179,226
07-14-2020,6981,3179,226
07-15-2020,7411,3335,235
07-16-2020,7681,3534,240
07-17-2020,7908,3612,245
07-18-2020,8161,3648,246
07-18-2020,8161,3648,246
07-18-2020,8161,3648,246
07-19-2020,8340,3669,249
07-20-2020,8479,3755,255
07-21-2020,8787,4003,264
07-22-2020,9115,4159,268
07-23-2020,9462,4367,274
07-24-2020,9767,4555,280
07-25-2020,9767,4555,280
07-26-2020,9767,4555,280
07-27-2020,10498,4930,294
07-28-2020,10766,5220,297
07-28-2020,10766,5220,297
07-29-2020,11127,5441,316
07-30-2020,11444,5586,328
07-31-2020,11876,5959,339
08-01-2020,11876,5959,339
08-02-2020,12296,6312,352
08-03-2020,12462,6359,362
08-04-2020,12856,6592,373
08-05-2020,13138,6839,379
08-06-2020,13396,7042,384
08-07-2020,13687,7373,394
08-08-2020,13687,7373,394
08-09-2020,13687,7373,394
08-10-2020,14498,8159,425
08-11-2020,14708,8411,447
08-12-2020,14961,8827,453
08-13-2020,15184,9156,458
08-14-2020,15535,9344,469
08-15-2020,15801,9619,471
08-16-2020,15801,9619,471
08-17-2020,16111,9856,486
08-18-2020,16351,10279,495
08-19-2020,16691,10711,507
08-20-2020,17029,10881,515
08-21-2020,17396,11157,526
08-22-2020,17715,11329,532
08-23-2020,17715,11329,532
08-24-2020,18029,11861,547
08-25-2020,18326,12081,560
08-26-2020,18609,12336,571
08-27-2020,18920,12480,582
08-28-2020,19214,12733,591
08-29-2020,19550,12858,594
08-30-2020,19793,12961,598
08-31-2020,19964,13095,609
09-01-2020,20234,13435,620
09-02-2020,20517,13626,627
09-03-2020,20804,14120,636
09-04-2020,21142,14476,639
09-05-2020,21439,14636,651
09-06-2020,21560,14709,655
09-07-2020,21660,14830,664
09-08-2020,21961,15172,669
09-09-2020,22258,15208,675
09-10-2020,22544,15273,680
09-11-2020,22834,15672,686
09-12-2020,23138,15922,690
09-13-2020,23465,16038,696
09-14-2020,23635,16166,705
09-15-2020,23929,16701,725
09-16-2020,24211,16990,736
09-17-2020,24605,17219,747
09-18-2020,24897,17365,752
09-19-2020,25217,17489,758
09-20-2020,25428,17878,763
09-21-2020,25521,18109,770
09-22-2020,25737,18359,778
09-23-2020,26081,18634,790
09-24-2020,26316,19142,802
09-25-2020,26564,19507,808
09-26-2020,26797,19746,820
09-27-2020,26920,19746,822
09-28-2020,27001,20005,829
09-29-2020,27226,20322,843
09-30-2020,27469,20616,856
10-01-2020,27749,20947,861
10-02-2020,27975,21108,871
10-03-2020,27975,21108,871
10-04-2020,28354,21859,879
10-05-2020,28449,22032,888
10-06-2020,28710,22274,903
10-07-2020,29075,22614,908
10-08-2020,29528,22939,913
10-09-2020,29917,23241,926
10-10-2020,30345,23370,927
10-11-2020,30647,23461,928
10-12-2020,30837,23587,936
10-13-2020,31173,23777,947
10-14-2020,31655,24074,958
10-15-2020,32224,24356,972
10-16-2020,32845,24603,980
10-17-2020,33561,24773,981
10-18-2020,34112,24995,984
10-19-2020,34661,25442,997
10-20-2020,35389,25560,1017
10-21-2020,36315,25779,1031
10-22-2020,37314,25989,1051
10-23-2020,38493,26260,1065
10-24-2020,39758,26368,1075
10-25-2020,40893,26459,1086
10-26-2020,41596,26542,1104
10-27-2020,43151,26903,1125
