







date,confirmed,cured,dead
03-30-2020,3,0,0
03-31-2020,4,0,1
04-01-2020,4,0,1
04-02-2020,4,0,1
04-03-2020,4,0,1
04-04-2020,4,0,1
04-05-2020,6,0,1
04-06-2020,6,0,1
04-07-2020,6,0,1
04-08-2020,6,0,1
04-09-2020,13,0,1
04-10-2020,13,0,1
04-11-2020,13,0,1
04-12-2020,13,0,1
04-13-2020,13,0,1
04-14-2020,13,0,1
04-15-2020,13,0,1
04-16-2020,15,0,1
04-17-2020,15,0,1
04-18-2020,15,0,1
04-19-2020,20,0,1
04-20-2020,20,0,1
04-21-2020,20,0,1
04-22-2020,22,0,1
04-23-2020,22,0,1
04-24-2020,22,0,1
04-25-2020,22,0,1
04-26-2020,22,0,1
04-27-2020,22,0,1
04-28-2020,23,0,1
04-29-2020,23,5,1
04-30-2020,23,5,1
05-01-2020,23,8,1
05-02-2020,23,8,1
05-03-2020,23,8,1
05-04-2020,23,8,1
05-05-2020,23,8,1
05-05-2020,23,8,1
05-06-2020,23,8,1
05-07-2020,23,9,1
05-08-2020,23,9,1
05-09-2020,23,12,1
05-10-2020,23,12,1
05-11-2020,24,12,1
05-12-2020,24,17,1
05-12-2020,24,17,1
05-13-2020,24,17,1
05-14-2020,24,17,1
05-14-2020,24,17,1
05-15-2020,24,17,1
05-16-2020,24,17,1
05-17-2020,25,17,1
05-18-2020,25,17,1
05-19-2020,25,17,1
05-19-2020,25,17,1
05-20-2020,25,17,1
05-21-2020,29,19,1
05-22-2020,30,19,1
05-23-2020,30,19,1
05-24-2020,35,19,1
05-25-2020,35,19,1
05-26-2020,35,20,1
05-27-2020,35,20,1
05-28-2020,35,20,1
05-29-2020,35,20,1
05-30-2020,35,20,1
05-31-2020,35,20,1
06-01-2020,38,20,1
06-02-2020,40,23,1
06-03-2020,40,23,1
06-04-2020,40,23,1
06-05-2020,40,23,1
06-06-2020,40,23,1
06-06-2020,40,23,1
06-07-2020,40,23,1
06-08-2020,42,24,1
06-09-2020,42,24,1
06-10-2020,48,24,1
06-11-2020,48,24,1
06-12-2020,48,24,1
06-13-2020,60,24,1
06-14-2020,60,24,1
06-15-2020,60,24,1
06-16-2020,60,24,1
06-17-2020,79,25,1
06-18-2020,79,25,1
06-19-2020,89,25,1
06-20-2020,89,25,1
06-21-2020,89,25,1
06-22-2020,89,25,1
06-23-2020,89,25,1
06-24-2020,92,25,1
06-25-2020,92,25,1
06-26-2020,92,25,1
06-27-2020,92,25,1
06-28-2020,92,25,1
06-29-2020,175,25,1
06-30-2020,227,28,1
07-01-2020,227,28,1
07-02-2020,227,28,1
07-03-2020,277,29,1
07-04-2020,277,29,1
07-05-2020,277,29,1
07-06-2020,314,31,1
07-07-2020,314,31,1
07-08-2020,314,31,1
07-09-2020,314,31,1
07-10-2020,314,31,1
07-11-2020,314,31,1
07-12-2020,399,38,1
07-13-2020,399,38,1
07-14-2020,399,38,1
07-15-2020,399,38,1
07-16-2020,522,48,1
07-17-2020,522,48,1
07-18-2020,522,48,1
07-18-2020,522,48,1
07-18-2020,522,48,1
07-19-2020,522,48,1
07-20-2020,522,48,1
07-21-2020,522,48,1
07-22-2020,522,48,1
07-23-2020,592,48,1
07-24-2020,686,52,1
07-25-2020,686,52,1
07-26-2020,686,52,1
07-27-2020,739,63,2
07-28-2020,739,63,2
07-28-2020,739,63,2
07-29-2020,804,63,2
07-30-2020,804,63,2
07-31-2020,804,63,2
08-01-2020,804,63,2
08-02-2020,804,63,2
08-03-2020,804,63,2
08-04-2020,804,63,2
08-05-2020,804,63,2
08-06-2020,804,63,2
08-07-2020,804,63,2
08-08-2020,804,63,2
08-09-2020,804,63,2
08-10-2020,1066,80,2
08-11-2020,1066,80,2
08-12-2020,1066,80,2
08-13-2020,1214,120,3
08-14-2020,1214,120,3
08-15-2020,1214,120,3
08-16-2020,1214,120,3
08-17-2020,1308,136,3
08-18-2020,1308,136,3
08-19-2020,1308,136,3
08-20-2020,1308,136,3
08-21-2020,1308,136,3
08-22-2020,1308,136,3
08-23-2020,1308,136,3
08-24-2020,1562,199,3
08-25-2020,1562,199,3
08-26-2020,1562,199,3
08-27-2020,1562,199,3
08-28-2020,1562,199,3
08-29-2020,1562,199,3
08-30-2020,1633,224,6
08-31-2020,1633,224,6
09-01-2020,1724,493,6
09-02-2020,1724,493,6
09-03-2020,1724,493,6
09-04-2020,2002,493,8
09-05-2020,2002,493,8
09-06-2020,2002,493,8
09-07-2020,2126,493,9
09-08-2020,2126,493,9
09-09-2020,2126,493,9
09-10-2020,2252,546,10
09-11-2020,2252,546,10
09-12-2020,2252,546,10
09-13-2020,2252,546,10
09-14-2020,2463,575,11
09-15-2020,2463,575,11
09-16-2020,2463,575,11
09-17-2020,2567,624,13
09-18-2020,2567,624,13
09-19-2020,2567,624,13
09-20-2020,2567,624,13
09-21-2020,2567,624,13
09-22-2020,2567,624,13
09-23-2020,2567,624,13
09-24-2020,2921,701,16
09-25-2020,2921,701,16
09-26-2020,2921,701,16
09-27-2020,2921,701,16
09-28-2020,3172,710,16
09-29-2020,3172,710,16
09-30-2020,3172,710,16
10-01-2020,3172,710,16
10-02-2020,3172,710,16
10-03-2020,3172,710,16
10-04-2020,3172,710,16
10-05-2020,3172,710,16
10-06-2020,3172,834,18
10-07-2020,3172,834,18
10-08-2020,3219,834,18
10-09-2020,3219,834,18
10-10-2020,3219,834,18
10-11-2020,3219,834,18
10-12-2020,3515,853,20
10-13-2020,3515,853,20
10-14-2020,3515,853,20
10-15-2020,3914,905,20
10-16-2020,5242,905,20
