







date,confirmed,cured,dead
03-11-2020,38,0,0
03-12-2020,52,0,0
03-13-2020,151,0,0
03-14-2020,151,0,0
03-15-2020,162,0,0
03-16-2020,200,1,0
03-17-2020,321,2,1
03-18-2020,372,2,3
03-19-2020,621,2,6
03-20-2020,793,2,11
03-21-2020,1021,2,15
03-22-2020,1546,2,25
03-23-2020,1924,2,34
03-24-2020,2247,2,46
03-25-2020,2554,2,59
03-26-2020,2985,6,77
03-27-2020,3417,6,92
03-28-2020,3904,6,111
03-29-2020,4256,6,136
03-30-2020,4579,120,159
03-31-2020,5717,127,201
04-01-2020,6836,127,240
04-02-2020,8044,127,324
04-03-2020,9056,127,359
04-04-2020,10360,127,445
04-05-2020,11130,127,486
04-06-2020,12161,127,564
04-07-2020,14034,127,686
04-08-2020,16170,127,819
04-09-2020,18092,173,950
04-10-2020,19638,173,1057
04-11-2020,20727,173,1124
04-12-2020,22192,173,1223
04-13-2020,23430,173,1328
04-14-2020,25262,3046,1532
04-15-2020,28320,14026,1736
04-16-2020,30425,14026,1924
04-17-2020,33682,14026,2141
04-18-2020,36658,14026,2354
04-19-2020,38654,22130,2462
04-20-2020,40743,22130,2587
04-21-2020,43079,22991,2741
04-22-2020,45757,25318,2906
04-23-2020,50036,26573,3331
04-24-2020,54043,27655,3704
04-25-2020,59324,29160,4057
04-26-2020,63100,30152,4286
04-27-2020,67446,31142,4603
04-28-2020,73235,32544,5083
04-29-2020,79685,34132,5513
04-30-2020,87187,35935,6006
05-01-2020,92202,38039,6412
05-02-2020,97100,40937,6761
05-03-2020,101826,42991,7051
05-04-2020,108620,45815,7367
05-05-2020,115455,48221,7938
05-05-2020,115455,48221,7938
05-06-2020,126611,51370,8588
05-07-2020,135773,55350,9190
05-08-2020,146894,59297,10017
05-09-2020,156061,61685,10656
05-10-2020,162699,64957,11123
05-11-2020,169594,67384,11653
05-12-2020,178214,72597,12461
05-12-2020,178214,72597,12461
05-13-2020,190137,78424,13240
05-14-2020,203165,79479,13999
05-14-2020,203165,79479,13999
05-15-2020,220291,84970,14962
05-16-2020,233511,89672,15662
05-17-2020,241080,94122,16118
05-18-2020,255368,100459,16853
05-19-2020,271885,106794,17983
05-19-2020,271885,106794,17983
05-20-2020,291579,116683,18859
05-21-2020,310087,125960,20047
05-22-2020,330890,135430,21048
05-23-2020,347398,142587,22013
05-24-2020,363211,149911,22666
05-25-2020,374898,153833,23473
05-26-2020,391222,158593,24512
05-27-2020,411821,166647,25598
05-28-2020,438238,177604,26754
05-29-2020,465166,189476,27878
05-30-2020,498440,200892,28834
05-31-2020,514849,206555,29314
06-01-2020,526447,211080,29937
06-02-2020,555383,223638,31199
06-03-2020,584016,238617,32548
06-04-2020,614941,254963,34021
06-05-2020,645771,266940,35026
06-06-2020,672846,277149,35930
06-06-2020,672846,277149,35930
06-07-2020,691758,283952,36455
06-08-2020,707412,378257,37134
06-09-2020,739503,396737,38406
06-10-2020,772416,413916,39680
06-11-2020,802828,429965,40919
06-12-2020,828810,445123,41828
06-13-2020,850514,459436,42720
06-14-2020,867624,469141,43332
06-15-2020,888271,477709,43959
06-16-2020,923189,490005,45241
06-17-2020,955377,521046,46510
06-18-2020,978142,534580,47748
06-19-2020,1032913,551631,48954
06-20-2020,1032913,589074,49976
06-21-2020,1085038,600576,50617
06-22-2020,1106470,601736,51271
06-23-2020,1145906,627963,52645
06-24-2020,1188631,660469,53830
06-25-2020,1228114,679524,54971
06-26-2020,1274974,702399,55961
06-27-2020,1313667,727715,57070
06-28-2020,1344143,746018,57622
06-29-2020,1368195,757811,58314
06-30-2020,1402041,788318,59594
07-01-2020,1448753,926192,60632
07-02-2020,1496858,957692,61884
07-03-2020,1539081,984615,61884
07-04-2020,1577004,990731,64265
07-05-2020,1603055,1029045,64867
07-06-2020,1623284,1062542,65487
07-07-2020,1668589,1107012,66741
07-08-2020,1713160,1139844,67964
07-09-2020,1755779,1171447,69184
07-10-2020,1800827,1217361,70398
07-11-2020,1839850,1244088,71469
07-12-2020,1864681,1264843,72100
07-13-2020,1884967,1291251,72833
07-14-2020,1926824,1323425,74133
07-15-2020,1966748,1350098,75366
07-16-2020,2012151,1397531,76688
07-17-2020,2046328,1428520,77851
07-18-2020,2074860,1447408,78772
07-18-2020,2074860,1447408,78772
07-18-2020,2074860,1447408,78772
07-19-2020,2098389,1459072,79488
07-20-2020,2118646,1514300,80120
07-21-2020,2159654,1555339,81487
07-22-2020,2227514,1591975,82771
07-23-2020,2287475,1620313,84082
07-24-2020,2287475,1693214,85238
07-25-2020,2394513,1785359,86449
07-26-2020,2419091,1812913,87004
07-27-2020,2442375,1846641,87618
07-28-2020,2483191,1868749,88539
07-28-2020,2483191,1868749,88539
07-29-2020,2552265,1922802,90134
07-30-2020,2610102,1956807,91263
07-31-2020,2662485,2008854,92475
08-01-2020,2707877,2037982,93563
08-02-2020,2733677,2062876,94104
08-03-2020,2750318,2098976,94665
08-04-2020,2801921,2157484,95819
08-05-2020,2859073,2190361,97256
08-06-2020,2912212,2230542,98493
08-07-2020,2962442,2272299,99572
08-08-2020,3012412,2321537,100477
08-09-2020,3035422,2356983,101049
08-10-2020,3057470,2390830,101752
08-11-2020,3109630,2449338,103026
08-12-2020,3164785,2506228,104201
08-13-2020,3224876,2521100,105463
08-14-2020,3226443,2616981,105490
08-15-2020,3317096,2622878,107232
08-16-2020,3340197,2655017,107852
08-17-2020,3359570,2699080,108536
08-18-2020,3407354,2751246,109888
08-19-2020,3456652,2801931,111100
08-20-2020,3501975,2844318,112304
08-21-2020,3532330,2855558,113358
08-22-2020,3582362,2913966,114250
08-23-2020,3605783,2947784,114744
08-24-2020,3622861,2976256,115309
08-25-2020,3669995,3032551,116580
08-26-2020,3717156,3082447,117665
08-27-2020,3761391,3122846,118649
08-28-2020,3804803,3158783,119504
08-29-2020,3846153,3202185,120262
08-30-2020,3862311,3237615,120828
08-31-2020,3908272,3268591,121381
09-01-2020,3950931,3345240,122596
09-02-2020,3997865,3387309,123780
09-03-2020,4041638,3429435,124614
09-04-2020,4091801,3464278,125502
09-05-2020,4123000,3498999,126203
09-06-2020,4137521,3522155,126650
09-07-2020,4147794,3549201,126960
09-08-2020,4162073,3572421,127464
09-09-2020,4197889,3611632,128539
09-10-2020,4238446,3657701,129522
09-11-2020,4282164,3695158,130396
09-12-2020,4315687,3723206,131210
09-13-2020,4330455,3723206,131625
09-14-2020,4345610,3770138,132006
09-15-2020,4382263,3811505,133119
09-16-2020,4419083,3845464,134106
09-17-2020,4455386,3873934,134935
09-18-2020,4495183,3897539,135793
09-19-2020,4528240,3936893,136532
09-20-2020,4544629,3963446,136895
09-21-2020,4558040,3993432,137272
09-22-2020,4591364,4016831,138105
09-23-2020,4591364,4046827,138105
09-24-2020,4657702,4102954,139808
09-25-2020,4689613,4128490,140537
09-26-2020,4717991,4153307,141406
09-27-2020,4732309,4172711,141741
09-28-2020,4745464,4197372,142058
09-29-2020,4777522,4237152,142921
09-30-2020,4810935,4274774,143952
10-01-2020,4847092,4299659,144680
10-02-2020,4847092,4299659,144680
10-03-2020,4906833,4361108,145987
10-04-2020,4915289,4375354,146352
10-05-2020,4927235,4397882,146675
10-06-2020,4969141,4430340,147494
10-07-2020,5000694,4457172,148228
10-08-2020,5028444,4488092,148957
10-09-2020,5055888,4502854,149639
10-10-2020,5055888,4502854,149639
10-11-2020,5094979,4526393,150488
10-12-2020,5103408,4526393,150689
10-13-2020,5113628,4526393,150998
10-14-2020,5140863,4526393,151747
10-15-2020,5169386,4526393,152460
10-16-2020,5200300,4526393,153214
10-17-2020,5224362,4526393,153675
10-18-2020,5224362,4526393,153675
10-19-2020,5250727,4526393,154176
10-20-2020,5273954,4526393,154837
10-21-2020,5298772,4526393,155403
10-22-2020,5323630,4526393,155900
10-23-2020,5353656,4526393,156471
10-24-2020,5380635,4526393,156903
10-25-2020,5380635,4526393,156903
10-26-2020,5409854,4526393,157397
10-27-2020,5439641,4914733,157946
10-28-2020,5468270,4947777,158456
10-29-2020,5494376,4962574,158969
