







date,confirmed,cured,dead
03-11-2020,11,0,0
03-12-2020,11,0,0
03-13-2020,37,0,0
03-14-2020,40,0,0
03-15-2020,50,0,0
03-16-2020,54,0,0
03-17-2020,56,0,0
03-18-2020,68,0,0
03-19-2020,75,0,0
03-20-2020,78,1,0
03-21-2020,83,2,0
03-22-2020,88,2,0
03-23-2020,91,2,0
03-24-2020,104,2,0
03-25-2020,109,2,0
03-26-2020,114,5,0
03-27-2020,115,11,0
03-28-2020,120,25,1
03-29-2020,126,34,1
03-30-2020,127,38,1
03-31-2020,129,45,1
04-01-2020,131,52,1
04-02-2020,133,56,1
04-03-2020,134,65,1
04-04-2020,135,66,1
04-05-2020,135,73,1
04-06-2020,135,82,1
04-07-2020,135,85,1
04-08-2020,135,91,1
04-09-2020,135,92,1
04-10-2020,136,99,1
04-11-2020,136,104,1
04-12-2020,136,106,1
04-13-2020,136,107,1
04-14-2020,136,107,1
04-15-2020,136,108,1
04-16-2020,136,108,1
04-17-2020,136,112,1
04-18-2020,137,113,1
04-19-2020,138,115,1
04-20-2020,138,116,1
04-21-2020,138,116,1
04-22-2020,138,117,1
04-23-2020,138,119,1
04-24-2020,138,120,1
04-25-2020,138,121,1
04-26-2020,138,123,1
04-27-2020,138,124,1
04-28-2020,138,124,1
04-29-2020,138,124,1
04-30-2020,138,124,1
05-01-2020,138,124,1
05-02-2020,138,126,1
05-03-2020,138,128,1
05-04-2020,138,130,1
05-05-2020,138,131,1
05-05-2020,138,131,1
05-06-2020,139,131,1
05-07-2020,141,131,1
05-08-2020,141,132,1
05-09-2020,141,132,1
05-10-2020,141,134,1
05-11-2020,141,134,1
05-12-2020,141,134,1
05-12-2020,141,134,1
05-13-2020,141,134,1
05-14-2020,141,134,1
05-14-2020,141,134,1
05-15-2020,141,135,1
05-16-2020,141,136,1
05-17-2020,141,136,1
05-18-2020,141,136,1
05-19-2020,141,136,1
05-19-2020,141,136,1
05-20-2020,141,136,1
05-21-2020,141,136,1
05-22-2020,141,136,1
05-23-2020,141,136,1
05-24-2020,141,137,1
05-25-2020,141,137,1
05-26-2020,141,137,1
05-27-2020,141,137,2
05-28-2020,141,138,2
05-29-2020,141,138,2
05-30-2020,141,138,2
05-31-2020,141,138,2
06-01-2020,141,138,2
06-02-2020,141,138,2
06-03-2020,141,138,2
06-04-2020,141,138,2
06-05-2020,141,138,2
06-06-2020,141,138,2
06-06-2020,141,138,2
06-07-2020,141,138,2
06-08-2020,141,138,2
06-09-2020,141,138,2
06-10-2020,141,138,2
06-11-2020,141,138,2
06-12-2020,141,138,2
06-13-2020,141,138,2
06-14-2020,141,138,2
06-15-2020,141,138,2
06-16-2020,141,138,3
06-17-2020,141,138,3
06-18-2020,141,138,3
06-19-2020,141,138,3
06-20-2020,141,138,3
06-21-2020,141,138,3
06-22-2020,141,138,3
06-23-2020,141,138,3
06-24-2020,141,138,3
06-25-2020,141,138,3
06-26-2020,141,138,3
06-27-2020,141,138,3
06-28-2020,141,138,3
06-29-2020,141,138,3
06-30-2020,141,138,3
