







date,confirmed,cured,dead
03-11-2020,7,0,1
03-12-2020,7,0,1
03-13-2020,23,0,1
03-14-2020,41,0,2
03-15-2020,51,0,2
03-16-2020,52,0,2
03-17-2020,67,0,2
03-18-2020,92,0,2
03-19-2020,94,0,3
03-20-2020,127,0,3
03-21-2020,163,3,3
03-22-2020,187,3,3
03-23-2020,201,3,3
03-24-2020,218,3,3
03-25-2020,242,4,3
03-26-2020,264,8,3
03-27-2020,293,9,3
03-28-2020,331,11,7
03-29-2020,346,14,8
03-30-2020,359,17,8
03-31-2020,399,17,8
04-01-2020,422,20,10
04-02-2020,457,25,10
04-03-2020,485,30,14
04-04-2020,503,34,17
04-05-2020,531,37,20
04-06-2020,549,39,22
04-07-2020,577,42,23
04-08-2020,593,42,24
04-09-2020,618,48,24
04-10-2020,635,54,25
04-11-2020,661,62,28
04-12-2020,675,68,29
04-13-2020,685,71,32
04-14-2020,713,81,35
04-15-2020,747,105,36
04-16-2020,800,122,38
04-17-2020,846,141,41
04-18-2020,878,153,41
04-19-2020,894,161,42
04-20-2020,929,167,43
04-21-2020,975,170,45
04-22-2020,1024,174,49
04-23-2020,1097,190,52
04-24-2020,1234,197,54
04-25-2020,1247,197,55
04-26-2020,1300,205,56
04-27-2020,1363,206,58
04-28-2020,1399,222,58
04-29-2020,1447,243,64
04-30-2020,1506,266,66
05-01-2020,1555,276,68
05-02-2020,1594,287,72
05-03-2020,1618,308,73
05-04-2020,1652,321,78
05-05-2020,1704,342,80
05-05-2020,1704,342,80
05-06-2020,1778,360,84
05-07-2020,1829,384,84
05-08-2020,1872,401,86
05-09-2020,1921,422,90
05-10-2020,1965,444,91
05-11-2020,1990,461,93
05-12-2020,2023,476,95
05-12-2020,2023,476,95
05-13-2020,2069,499,96
05-14-2020,2100,531,99
05-14-2020,2100,531,99
05-15-2020,2138,545,102
05-16-2020,2175,573,105
05-17-2020,2211,598,108
05-18-2020,2235,612,110
05-19-2020,2259,646,112
05-19-2020,2259,646,112
05-20-2020,2292,684,116
05-21-2020,2331,727,120
05-22-2020,2372,769,125
05-23-2020,2408,808,126
05-24-2020,2427,840,130
05-25-2020,2433,862,130
05-26-2020,2443,880,130
05-27-2020,2460,912,133
05-28-2020,2477,965,134
05-29-2020,2485,1016,136
05-30-2020,2499,1064,139
05-31-2020,2513,1074,140
06-01-2020,2519,1090,140
06-02-2020,2538,1123,144
06-03-2020,2560,1206,146
06-04-2020,2585,1322,147
06-05-2020,2627,1390,159
06-06-2020,2711,1545,160
06-06-2020,2711,1545,160
06-07-2020,2727,1548,160
06-08-2020,2810,1587,164
06-09-2020,2889,1623,167
06-10-2020,2993,1664,167
06-11-2020,3086,1688,168
06-12-2020,3191,1716,172
06-13-2020,3266,1723,172
06-14-2020,3290,1730,174
06-15-2020,3341,1784,176
06-16-2020,3453,1817,181
06-17-2020,3542,1880,184
06-18-2020,3674,1941,190
06-19-2020,3755,2008,193
06-20-2020,3872,2027,199
06-21-2020,3905,2074,199
06-22-2020,3984,2171,207
06-23-2020,4114,2217,208
06-24-2020,4242,2263,209
06-25-2020,4408,2370,211
06-26-2020,4513,2457,215
06-27-2020,4625,2475,216
06-28-2020,4691,2508,219
06-29-2020,4831,2582,223
06-30-2020,4989,2676,230
07-01-2020,5154,2722,232
07-02-2020,5315,2802,232
07-03-2020,5497,2892,239
07-04-2020,5677,2898,241
07-05-2020,5740,2915,246
07-06-2020,5914,3000,250
07-07-2020,6102,3037,254
07-08-2020,6342,3166,259
07-09-2020,6672,3229,262
07-10-2020,6964,3308,267
07-11-2020,7175,3311,267
07-12-2020,7252,3319,268
07-13-2020,7411,3517,276
07-14-2020,7645,3663,283
07-15-2020,7877,3841,289
07-16-2020,8144,3927,293
07-17-2020,8442,4033,297
07-18-2020,8638,4081,299
07-18-2020,8638,4081,299
07-18-2020,8638,4081,299
07-19-2020,8733,4106,300
07-20-2020,8929,4205,308
07-21-2020,9254,4521,313
07-22-2020,9584,4643,321
07-23-2020,9853,5031,329
07-24-2020,10123,5252,337
07-25-2020,10312,5306,338
07-26-2020,10427,5355,340
07-27-2020,10621,5585,347
07-28-2020,10871,5766,355
07-28-2020,10871,5766,355
07-29-2020,11155,5971,368
07-30-2020,11420,6173,374
07-31-2020,11690,6319,383
08-01-2020,11836,6396,385
08-02-2020,11955,6420,388
08-03-2020,12159,6684,404
08-04-2020,12414,6964,415
08-05-2020,12717,7154,424
08-06-2020,13014,7374,435
08-07-2020,13209,7622,442
08-08-2020,13343,7718,445
08-09-2020,13396,7772,447
08-10-2020,13512,7980,459
08-11-2020,13722,8154,471
08-12-2020,13893,8479,482
08-13-2020,13893,8479,482
08-14-2020,14243,9114,492
08-15-2020,14333,9161,495
08-16-2020,14365,9186,498
08-17-2020,14500,9442,512
08-18-2020,14669,9699,519
08-19-2020,14820,9931,527
08-20-2020,14962,10087,532
08-21-2020,15131,10282,539
08-22-2020,15131,10282,539
08-23-2020,15287,10338,545
08-24-2020,15386,10497,563
08-25-2020,15589,10601,572
08-26-2020,15751,10750,586
08-27-2020,15908,11044,594
08-28-2020,16065,11231,603
08-29-2020,16164,11253,605
08-30-2020,16190,11313,613
08-31-2020,16266,11483,629
09-01-2020,16454,11615,642
09-02-2020,16617,11760,648
09-03-2020,16775,11935,658
09-04-2020,16954,12046,665
09-05-2020,17050,12132,671
09-06-2020,17089,12157,676
09-07-2020,17146,12189,677
09-08-2020,17313,12297,692
09-09-2020,17435,12474,702
09-10-2020,17598,12619,706
09-11-2020,17799,12750,713
09-12-2020,17891,12758,717
09-13-2020,17918,12767,720
09-14-2020,18061,12930,729
09-15-2020,18216,13057,736
09-16-2020,18390,13241,739
09-17-2020,18544,13391,749
09-18-2020,18733,13510,753
09-19-2020,18819,13558,755
09-20-2020,18863,13580,761
09-21-2020,19014,13727,765
09-22-2020,19123,13748,767
09-23-2020,19283,13867,779
09-24-2020,19573,14013,785
09-25-2020,19828,14132,789
09-26-2020,19997,14160,789
09-27-2020,20055,14176,796
09-28-2020,20271,14339,807
09-29-2020,20547,14489,813
09-30-2020,20833,14634,825
10-01-2020,20833,14634,825
10-02-2020,21336,14939,838
10-03-2020,21518,14984,841
10-04-2020,21587,15014,844
