







date,confirmed,cured,dead
03-11-2020,2,0,0
03-12-2020,2,0,0
03-13-2020,2,0,0
03-14-2020,2,0,0
03-15-2020,3,0,0
03-16-2020,15,0,0
03-17-2020,15,0,0
03-18-2020,20,0,1
03-19-2020,33,0,1
03-20-2020,40,0,1
03-21-2020,64,5,2
03-22-2020,75,5,4
03-23-2020,99,5,4
03-24-2020,114,7,4
03-25-2020,146,10,4
03-26-2020,152,10,7
03-27-2020,180,12,9
03-28-2020,207,21,11
03-29-2020,222,23,12
03-30-2020,246,31,12
03-31-2020,261,32,14
04-01-2020,282,46,16
04-02-2020,288,50,16
04-03-2020,302,50,16
04-04-2020,318,66,16
04-05-2020,345,90,17
04-06-2020,364,108,18
04-07-2020,384,127,19
04-08-2020,414,134,23
04-09-2020,443,146,24
04-10-2020,443,146,24
04-11-2020,484,155,27
04-12-2020,497,161,27
04-13-2020,497,161,27
04-14-2020,528,177,30
04-15-2020,542,226,32
04-16-2020,546,257,32
04-17-2020,557,294,35
04-18-2020,565,321,36
04-19-2020,576,338,36
04-20-2020,581,357,38
04-21-2020,600,362,38
04-22-2020,609,389,39
04-23-2020,616,410,41
04-24-2020,629,425,41
04-25-2020,629,442,41
04-26-2020,632,453,42
04-27-2020,635,469,42
04-28-2020,638,476,42
04-29-2020,641,498,43
04-30-2020,645,506,43
05-01-2020,649,517,44
05-02-2020,652,535,44
05-03-2020,662,540,45
05-04-2020,672,545,46
05-05-2020,688,548,48
05-05-2020,688,548,48
05-06-2020,729,555,48
05-07-2020,736,562,48
05-08-2020,744,566,48
05-09-2020,748,569,48
05-10-2020,751,577,49
05-11-2020,760,584,50
05-12-2020,766,588,51
05-12-2020,766,588,51
05-13-2020,773,592,51
05-14-2020,773,592,51
05-14-2020,773,592,51
05-15-2020,780,595,51
05-16-2020,782,604,51
05-17-2020,796,644,51
05-18-2020,796,652,51
05-19-2020,796,652,51
05-19-2020,796,652,51
05-20-2020,809,661,52
05-21-2020,812,669,52
05-22-2020,814,672,52
05-23-2020,814,672,52
05-24-2020,814,672,52
05-25-2020,832,672,52
05-26-2020,832,672,52
05-27-2020,845,672,53
05-28-2020,847,719,53
05-29-2020,847,720,53
05-30-2020,847,720,53
05-31-2020,847,720,53
06-01-2020,847,720,53
06-02-2020,881,720,53
06-03-2020,884,753,53
06-04-2020,885,760,53
06-05-2020,888,760,53
06-06-2020,888,765,53
06-06-2020,888,765,53
06-07-2020,889,765,53
06-08-2020,890,765,53
06-09-2020,891,765,53
06-10-2020,891,765,53
06-11-2020,892,790,53
06-12-2020,892,791,53
06-13-2020,892,799,53
06-14-2020,894,799,53
06-15-2020,894,804,53
06-16-2020,895,807,53
06-17-2020,899,809,53
06-18-2020,899,810,53
06-19-2020,900,810,53
06-20-2020,901,810,53
06-21-2020,903,814,53
06-22-2020,903,814,53
06-23-2020,907,823,53
06-24-2020,919,825,53
06-25-2020,934,826,53
06-26-2020,941,830,53
06-27-2020,941,830,53
06-28-2020,959,830,53
06-29-2020,959,830,53
06-30-2020,962,838,53
07-01-2020,962,838,53
07-02-2020,967,846,53
07-03-2020,980,852,53
07-04-2020,987,854,53
07-05-2020,987,854,53
07-06-2020,1000,858,53
07-07-2020,1003,860,53
07-08-2020,1003,861,53
07-09-2020,1005,862,53
07-10-2020,1020,862,53
07-11-2020,1033,869,53
07-12-2020,1036,869,53
07-13-2020,1036,869,53
07-14-2020,1037,873,53
07-15-2020,1038,882,53
07-16-2020,1038,882,53
07-17-2020,1045,887,53
07-18-2020,1047,887,53
07-18-2020,1047,887,53
07-18-2020,1047,887,53
07-19-2020,1052,901,53
07-20-2020,1065,901,53
07-21-2020,1065,901,53
07-22-2020,1066,917,53
07-23-2020,1070,919,53
07-24-2020,1075,920,53
07-25-2020,1086,920,53
07-26-2020,1086,920,53
07-27-2020,1100,926,53
07-28-2020,1105,926,53
07-28-2020,1105,926,53
07-29-2020,1105,931,53
07-30-2020,1106,935,53
07-31-2020,1106,935,53
08-01-2020,1143,935,53
08-02-2020,1143,945,53
08-03-2020,1150,947,53
08-04-2020,1153,947,54
08-05-2020,1153,947,54
08-06-2020,1158,961,54
08-07-2020,1158,961,54
08-08-2020,1175,974,54
08-09-2020,1175,974,54
08-10-2020,1204,984,54
08-11-2020,1211,990,54
08-12-2020,1213,995,54
08-13-2020,1228,997,54
08-14-2020,1238,1005,54
08-15-2020,1240,1006,54
08-16-2020,1267,1013,55
08-17-2020,1280,1018,55
08-18-2020,1280,1018,55
08-19-2020,1285,1023,55
08-20-2020,1297,1034,55
08-21-2020,1297,1034,55
08-22-2020,1297,1034,55
08-23-2020,1320,1043,55
08-24-2020,1338,1050,55
08-25-2020,1338,1050,55
08-26-2020,1352,1058,55
08-27-2020,1352,1058,55
08-28-2020,1352,1058,55
08-29-2020,1352,1058,55
08-30-2020,1357,1058,55
08-31-2020,1368,1058,55
09-01-2020,1370,1075,55
09-02-2020,1370,1075,55
09-03-2020,1375,1075,55
09-04-2020,1408,1098,55
09-05-2020,1408,1098,55
09-06-2020,1452,1103,55
09-07-2020,1463,1112,56
09-08-2020,1466,1112,56
09-09-2020,1476,1118,56
09-10-2020,1486,1123,56
09-11-2020,1499,1127,56
09-12-2020,1514,1127,56
09-13-2020,1707,1135,56
09-14-2020,1717,1137,56
09-15-2020,1733,1141,56
09-16-2020,1748,1162,56
09-17-2020,1767,1166,56
09-18-2020,1797,1173,56
09-19-2020,1816,1176,56
09-20-2020,1846,1187,56
09-21-2020,1896,1189,56
09-22-2020,1907,1252,56
09-23-2020,1929,1252,56
09-24-2020,1950,1260,56
09-25-2020,1962,1263,56
09-26-2020,1973,1264,56
09-27-2020,2008,1276,56
09-28-2020,2028,1279,57
09-29-2020,2032,1309,58
09-30-2020,2056,1335,58
10-01-2020,2088,1363,58
10-02-2020,2123,1385,59
10-03-2020,2154,1397,59
10-04-2020,2167,1419,59
10-05-2020,2184,1420,59
10-06-2020,2197,1441,59
10-07-2020,2222,1478,59
