







date,confirmed,cured,dead
03-27-2020,8,0,0
03-28-2020,8,0,0
03-29-2020,10,0,0
03-30-2020,14,0,0
03-31-2020,15,0,1
04-01-2020,15,0,1
04-02-2020,20,0,1
04-03-2020,20,0,1
04-04-2020,21,0,1
04-05-2020,21,0,1
04-06-2020,22,0,1
04-07-2020,22,0,1
04-08-2020,22,0,3
04-09-2020,23,2,3
04-10-2020,27,2,3
04-11-2020,38,2,3
04-12-2020,41,2,4
04-13-2020,62,2,4
04-14-2020,63,2,4
04-15-2020,74,2,4
04-16-2020,85,2,4
04-17-2020,88,5,4
04-18-2020,98,5,5
04-19-2020,111,7,5
04-20-2020,119,7,5
04-21-2020,121,7,5
04-22-2020,123,7,5
04-23-2020,139,9,5
04-24-2020,144,9,5
04-25-2020,146,10,5
04-26-2020,146,10,5
04-27-2020,146,16,5
04-28-2020,150,16,5
04-29-2020,150,27,6
04-30-2020,151,27,6
05-01-2020,151,31,6
05-02-2020,151,37,6
05-03-2020,155,43,6
05-04-2020,161,49,6
05-05-2020,161,49,6
05-05-2020,161,49,6
05-06-2020,161,50,6
05-07-2020,176,62,6
05-08-2020,177,67,6
05-09-2020,178,68,6
05-10-2020,180,72,6
05-11-2020,180,74,6
05-12-2020,180,76,6
05-12-2020,180,76,6
05-13-2020,181,79,6
05-14-2020,181,84,6
05-14-2020,181,84,6
05-15-2020,182,89,6
05-16-2020,182,96,6
05-17-2020,184,97,6
05-18-2020,191,101,6
05-19-2020,193,104,6
05-19-2020,193,104,6
05-20-2020,199,108,6
05-21-2020,199,108,6
05-22-2020,199,116,6
05-23-2020,201,120,6
05-24-2020,201,122,6
05-25-2020,203,123,6
05-26-2020,206,124,6
05-27-2020,206,126,6
05-28-2020,206,126,6
05-29-2020,207,130,6
05-30-2020,224,130,6
05-31-2020,224,138,6
06-01-2020,228,138,6
06-02-2020,232,143,6
06-03-2020,233,145,6
06-04-2020,236,148,6
06-05-2020,236,151,6
06-06-2020,240,156,6
06-06-2020,240,156,6
06-07-2020,242,156,6
06-08-2020,244,159,6
06-09-2020,246,159,6
06-10-2020,248,165,6
06-11-2020,260,165,6
06-12-2020,261,165,6
06-13-2020,261,167,6
06-14-2020,261,167,6
06-15-2020,262,175,6
06-16-2020,262,179,6
06-17-2020,262,185,6
06-18-2020,286,187,6
06-19-2020,286,192,6
06-20-2020,287,196,6
06-21-2020,290,200,6
06-22-2020,291,200,6
06-23-2020,292,204,6
06-24-2020,293,208,6
06-25-2020,293,211,6
06-26-2020,293,215,6
06-27-2020,296,216,6
06-28-2020,299,218,6
06-29-2020,299,221,6
06-30-2020,299,222,6
