







date,confirmed,cured,dead
03-20-2020,1,0,0
03-21-2020,3,0,0
03-22-2020,3,0,0
03-23-2020,3,0,0
03-24-2020,3,0,1
03-25-2020,4,0,1
03-26-2020,4,0,1
03-27-2020,5,0,1
03-28-2020,5,0,1
03-29-2020,6,0,1
03-30-2020,6,0,1
03-31-2020,6,0,1
04-01-2020,6,0,1
04-02-2020,6,0,1
04-03-2020,6,0,1
04-04-2020,7,0,1
04-05-2020,7,0,1
04-06-2020,7,1,1
04-07-2020,7,1,1
04-08-2020,7,1,1
04-09-2020,7,1,1
04-10-2020,7,1,1
04-11-2020,8,1,1
04-12-2020,8,1,1
04-13-2020,10,1,1
04-14-2020,11,1,1
04-15-2020,56,1,1
04-16-2020,56,1,1
04-17-2020,56,1,1
04-18-2020,58,1,1
04-19-2020,61,1,1
04-20-2020,67,1,1
04-21-2020,68,1,1
04-22-2020,73,1,1
04-23-2020,82,1,1
04-24-2020,88,1,1
04-25-2020,90,1,1
04-26-2020,106,1,1
04-27-2020,109,1,1
04-28-2020,114,2,1
04-29-2020,114,2,1
04-30-2020,121,4,1
05-01-2020,122,18,1
05-02-2020,152,18,2
05-03-2020,165,33,2
05-04-2020,175,37,2
05-05-2020,186,37,2
05-05-2020,186,37,2
05-06-2020,191,38,2
05-07-2020,218,38,2
05-08-2020,230,44,2
05-09-2020,236,56,2
05-10-2020,246,56,2
05-11-2020,260,58,2
05-12-2020,267,58,2
05-12-2020,267,58,2
05-13-2020,289,61,2
05-14-2020,315,67,2
05-14-2020,315,67,2
05-15-2020,326,67,2
05-16-2020,328,84,3
05-17-2020,328,84,3
05-18-2020,328,85,3
05-19-2020,335,85,3
05-19-2020,335,85,3
05-20-2020,349,85,3
05-21-2020,356,95,3
05-22-2020,362,95,3
05-23-2020,371,142,3
05-24-2020,380,155,3
05-25-2020,390,155,3
05-26-2020,390,155,4
05-27-2020,390,155,4
05-28-2020,390,155,4
05-29-2020,405,155,4
05-30-2020,421,167,4
05-31-2020,435,193,4
06-01-2020,458,193,4
06-02-2020,466,237,5
06-03-2020,477,238,5
06-04-2020,502,239,5
06-05-2020,536,239,5
06-06-2020,542,240,5
06-06-2020,542,240,5
06-07-2020,554,240,5
06-08-2020,567,266,5
06-09-2020,585,270,5
06-10-2020,615,294,5
06-11-2020,657,294,6
06-12-2020,697,294,6
06-13-2020,726,294,6
06-14-2020,750,301,6
06-15-2020,760,340,7
06-16-2020,781,354,7
06-17-2020,792,377,7
06-18-2020,823,377,7
06-19-2020,848,377,8
06-20-2020,863,377,8
06-21-2020,890,413,8
06-22-2020,944,419,8
06-23-2020,982,426,8
06-24-2020,999,479,8
06-25-2020,1003,562,8
06-26-2020,1027,568,10
06-27-2020,1091,568,12
06-28-2020,1155,570,12
06-29-2020,1165,608,12
06-30-2020,1227,629,15
07-01-2020,1267,629,15
07-02-2020,1301,629,15
07-03-2020,1382,629,15
07-04-2020,1421,654,16
07-05-2020,1451,655,17
07-06-2020,1463,722,17
07-07-2020,1499,724,18
07-08-2020,1542,730,18
07-09-2020,1552,730,18
07-10-2020,1591,730,19
07-11-2020,1623,748,19
07-12-2020,1623,748,19
07-13-2020,1698,748,19
07-14-2020,1722,772,19
07-15-2020,1780,850,19
07-16-2020,1894,902,19
07-17-2020,1939,902,19
07-18-2020,2014,913,21
07-18-2020,2014,913,21
07-18-2020,2014,913,21
07-19-2020,2045,973,21
07-20-2020,2071,1063,21
07-21-2020,2107,1100,21
07-22-2020,2154,1132,21
07-23-2020,2190,1150,21
07-24-2020,2220,1216,22
07-25-2020,2258,1363,22
07-26-2020,2307,1447,22
07-27-2020,2328,1550,22
07-28-2020,2354,1616,22
07-28-2020,2354,1616,22
07-29-2020,2373,1694,23
07-30-2020,2418,1694,23
07-31-2020,2451,1824,23
08-01-2020,2480,1837,24
08-02-2020,2547,1860,24
08-03-2020,2583,1911,25
08-04-2020,2631,1930,26
08-05-2020,2689,1955,27
08-06-2020,2734,2010,27
08-07-2020,2780,2042,29
08-08-2020,2835,2073,32
08-09-2020,2858,2086,32
08-10-2020,2883,2128,32
08-11-2020,2920,2148,33
08-12-2020,3000,2172,33
08-13-2020,3073,2232,33
08-14-2020,3136,2254,33
08-15-2020,3163,2302,34
08-16-2020,3179,2317,35
08-17-2020,3203,2336,36
08-18-2020,3253,2390,36
08-19-2020,3321,2442,36
08-20-2020,3368,2462,37
08-21-2020,3412,2498,37
08-22-2020,3455,2538,37
08-23-2020,3509,2540,37
08-24-2020,3532,2599,37
08-25-2020,3568,2673,37
08-26-2020,3630,2713,38
08-27-2020,3699,2749,38
08-28-2020,3745,2807,38
08-29-2020,3778,2855,39
08-30-2020,3852,2867,40
08-31-2020,3884,2916,40
09-01-2020,3970,3423,40
09-02-2020,4048,3460,41
09-03-2020,4125,3502,41
09-04-2020,4200,3562,41
09-05-2020,4275,3611,42
09-06-2020,4330,3628,42
09-07-2020,4358,3790,42
09-08-2020,4400,3851,42
09-09-2020,4473,3915,43
09-10-2020,4557,3993,43
09-11-2020,4651,4076,44
09-12-2020,4711,4104,44
09-13-2020,4813,4119,44
09-14-2020,4839,4240,45
09-15-2020,4904,4294,46
09-16-2020,4978,4430,47
09-17-2020,5063,4465,49
09-18-2020,5141,4548,50
09-19-2020,5186,4581,50
09-20-2020,5257,4599,51
09-21-2020,5281,4674,52
09-22-2020,5337,4742,52
09-23-2020,5412,4837,54
09-24-2020,5479,4917,55
09-25-2020,5628,4982,55
09-26-2020,5701,5018,56
09-27-2020,5771,5031,57
09-28-2020,5817,5134,59
09-29-2020,5900,5228,59
09-30-2020,6024,5277,60
10-01-2020,6126,5338,61
10-02-2020,6205,5399,62
10-03-2020,6296,5409,62
10-04-2020,6360,5416,65
10-05-2020,6433,5524,68
10-06-2020,6518,5632,69
10-07-2020,6624,5684,71
10-08-2020,6717,5821,71
10-09-2020,6809,5932,73
10-10-2020,6913,5970,74
10-11-2020,7072,5981,75
10-12-2020,7155,6075,75
10-13-2020,7254,6210,77
10-14-2020,7371,6270,79
10-15-2020,7444,6348,79
10-16-2020,7526,6425,82
10-17-2020,7638,6473,85
10-18-2020,7752,6526,86
10-19-2020,7800,6620,87
10-20-2020,7901,6792,87
10-21-2020,8033,6835,90
10-22-2020,8122,6940,91
10-23-2020,8198,7034,94
10-24-2020,8322,7234,94
10-25-2020,8396,7285,94
10-26-2020,8423,7455,94
10-27-2020,8472,7599,94
10-28-2020,8548,7701,94
10-29-2020,8603,7796,95
10-30-2020,8694,7913,95
10-31-2020,8793,7981,95
11-01-2020,8848,8012,95
11-02-2020,8882,8110,95
11-03-2020,8944,8155,95
11-04-2020,9053,8220,95
