







date,confirmed,cured,dead
03-11-2020,3,1,0
03-12-2020,3,1,0
03-13-2020,5,1,0
03-14-2020,7,1,0
03-15-2020,7,1,0
03-16-2020,7,1,0
03-17-2020,33,1,0
03-18-2020,35,1,0
03-19-2020,37,1,0
03-20-2020,51,1,0
03-21-2020,53,1,0
03-22-2020,84,2,0
03-23-2020,87,2,0
03-24-2020,91,4,0
03-25-2020,96,10,0
03-26-2020,96,10,0
03-27-2020,99,11,0
03-28-2020,99,13,0
03-29-2020,103,21,0
03-30-2020,107,21,0
03-31-2020,109,23,0
04-01-2020,109,25,0
04-02-2020,110,34,0
04-03-2020,114,35,0
04-04-2020,114,50,0
04-05-2020,114,50,0
04-06-2020,114,53,0
04-07-2020,115,58,0
04-08-2020,117,63,0
04-09-2020,119,62,0
04-10-2020,119,72,0
04-11-2020,120,75,0
04-12-2020,122,77,0
04-13-2020,122,77,0
04-14-2020,122,91,0
04-15-2020,122,96,0
04-16-2020,122,98,0
04-17-2020,122,98,0
04-18-2020,122,103,0
04-19-2020,122,105,0
04-20-2020,122,107,0
04-21-2020,122,110,0
04-22-2020,122,110,0
04-23-2020,122,110,0
04-24-2020,122,117,0
04-25-2020,122,117,0
04-26-2020,122,117,0
04-27-2020,122,119,0
04-28-2020,122,119,0
04-29-2020,122,119,0
04-30-2020,122,119,0
05-01-2020,122,120,0
05-02-2020,122,120,0
05-03-2020,122,120,0
05-04-2020,122,120,0
05-05-2020,122,120,0
05-05-2020,122,120,0
05-06-2020,122,120,0
05-07-2020,122,120,0
05-08-2020,122,120,0
05-09-2020,122,120,0
05-10-2020,122,120,0
05-11-2020,122,121,0
05-12-2020,122,121,0
05-12-2020,122,121,0
05-13-2020,122,121,0
05-14-2020,122,121,0
05-14-2020,122,121,0
05-15-2020,122,122,0
05-16-2020,122,122,0
05-17-2020,122,122,0
05-18-2020,122,122,0
05-19-2020,122,122,0
05-19-2020,122,122,0
05-20-2020,122,122,0
05-21-2020,123,122,0
05-22-2020,123,122,0
05-23-2020,124,122,0
05-24-2020,124,122,0
05-25-2020,124,122,0
05-26-2020,124,122,0
05-27-2020,124,122,0
05-28-2020,124,122,0
05-29-2020,124,122,0
05-30-2020,125,123,0
05-31-2020,125,123,0
06-01-2020,125,123,0
06-02-2020,125,123,0
06-03-2020,125,123,0
06-04-2020,125,123,0
06-05-2020,125,123,0
06-06-2020,125,123,0
06-06-2020,125,123,0
06-07-2020,126,123,0
06-08-2020,126,123,0
06-09-2020,126,125,0
06-10-2020,126,125,0
06-11-2020,126,125,0
06-12-2020,126,125,0
06-13-2020,128,125,0
06-14-2020,128,125,0
06-15-2020,128,125,0
06-16-2020,128,126,0
06-17-2020,128,126,0
06-18-2020,129,126,0
06-19-2020,129,126,0
06-20-2020,129,126,0
06-21-2020,129,127,0
06-22-2020,130,127,0
06-23-2020,130,127,0
06-24-2020,130,127,0
06-25-2020,130,127,0
06-26-2020,139,129,0
06-27-2020,141,129,0
06-28-2020,141,130,0
06-29-2020,141,130,0
06-30-2020,141,130,0
07-01-2020,141,131,0
07-02-2020,141,131,0
07-03-2020,141,131,0
07-04-2020,141,131,0
07-05-2020,141,131,0
07-06-2020,141,131,0
07-07-2020,141,131,0
07-08-2020,141,131,0
07-09-2020,141,131,0
07-10-2020,141,131,0
07-11-2020,156,133,0
07-12-2020,156,133,0
07-13-2020,165,133,0
07-14-2020,165,133,0
07-15-2020,166,133,0
07-16-2020,171,133,0
07-17-2020,171,133,0
07-18-2020,171,133,0
07-18-2020,171,133,0
07-18-2020,171,133,0
07-19-2020,171,136,0
07-20-2020,171,136,0
07-21-2020,197,140,0
07-22-2020,198,142,0
07-23-2020,202,142,0
07-24-2020,202,142,0
07-25-2020,225,143,0
07-26-2020,225,143,0
07-27-2020,226,147,0
07-28-2020,226,147,0
07-28-2020,226,147,0
07-29-2020,226,147,0
07-30-2020,234,164,0
07-31-2020,239,164,0
08-01-2020,240,196,0
08-02-2020,240,196,0
08-03-2020,240,197,0
08-04-2020,243,202,0
08-05-2020,243,202,0
08-06-2020,243,214,0
08-07-2020,246,215,0
08-08-2020,248,217,0
08-09-2020,251,219,0
08-10-2020,251,219,0
08-11-2020,268,220,0
08-12-2020,272,223,0
08-13-2020,273,225,0
08-14-2020,273,225,0
08-15-2020,273,238,0
08-16-2020,273,238,0
08-17-2020,273,238,0
08-18-2020,273,251,0
08-19-2020,273,253,0
08-20-2020,273,253,0
08-21-2020,273,263,0
08-22-2020,273,263,0
08-23-2020,273,263,0
08-24-2020,273,263,0
08-25-2020,273,264,0
08-26-2020,273,264,0
08-27-2020,273,265,0
08-28-2020,273,265,0
08-29-2020,273,265,0
08-30-2020,273,265,0
08-31-2020,274,266,0
09-01-2020,274,266,0
09-02-2020,274,271,0
09-03-2020,274,272,0
09-04-2020,274,272,0
09-05-2020,274,272,0
09-06-2020,274,272,0
09-07-2020,274,273,0
09-08-2020,274,273,0
09-09-2020,274,273,0
09-10-2020,274,274,0
09-11-2020,274,274,0
09-12-2020,275,274,0
09-13-2020,275,274,0
09-14-2020,275,274,0
09-15-2020,275,274,0
09-16-2020,275,274,0
09-17-2020,275,274,0
09-18-2020,275,274,0
09-19-2020,275,274,0
09-20-2020,275,274,0
09-21-2020,275,274,0
09-22-2020,275,274,0
09-23-2020,275,274,0
09-24-2020,275,274,0
09-25-2020,275,274,0
09-26-2020,276,274,0
09-27-2020,276,275,0
09-28-2020,277,275,0
09-29-2020,277,275,0
09-30-2020,277,275,0
10-01-2020,278,275,0
10-02-2020,278,275,0
10-03-2020,278,275,0
10-04-2020,278,275,0
10-05-2020,280,276,0
10-06-2020,280,276,0
10-07-2020,281,276,0
10-08-2020,281,276,0
10-09-2020,283,277,0
10-10-2020,283,277,0
10-11-2020,283,278,0
10-12-2020,283,278,0
10-13-2020,283,278,0
10-14-2020,283,278,0
10-15-2020,283,278,0
10-16-2020,283,280,0
10-17-2020,283,280,0
10-18-2020,283,280,0
10-19-2020,285,280,0
10-20-2020,286,280,0
10-21-2020,286,280,0
10-22-2020,286,280,0
10-23-2020,287,283,0
10-24-2020,287,283,0
10-25-2020,287,283,0
10-26-2020,288,283,0
10-27-2020,290,283,0
10-28-2020,290,283,0
10-29-2020,291,283,0
10-30-2020,291,283,0
10-31-2020,291,283,0
11-01-2020,292,283,0
11-02-2020,292,283,0
11-03-2020,292,283,0
11-04-2020,292,283,0
11-05-2020,292,286,0
11-06-2020,294,288,0
11-07-2020,295,288,0
