







date,confirmed,cured,dead
03-11-2020,2,0,0
03-12-2020,2,0,0
03-13-2020,2,0,0
03-14-2020,2,0,0
03-15-2020,2,0,0
03-16-2020,4,0,0
03-17-2020,10,0,0
03-18-2020,10,0,0
03-19-2020,13,0,0
03-20-2020,20,0,0
03-21-2020,27,0,0
03-22-2020,40,2,0
03-23-2020,56,2,0
03-24-2020,66,2,0
03-25-2020,75,2,1
03-26-2020,75,2,1
03-27-2020,91,2,2
03-28-2020,91,2,2
03-29-2020,139,5,6
03-30-2020,139,5,6
03-31-2020,193,5,6
04-01-2020,233,10,6
04-02-2020,306,10,7
04-03-2020,509,17,8
04-04-2020,555,17,9
04-05-2020,650,17,9
04-06-2020,658,17,9
04-07-2020,658,43,9
04-08-2020,730,60,10
04-09-2020,730,60,10
04-10-2020,820,98,12
04-11-2020,820,98,12
04-12-2020,820,98,12
04-13-2020,820,98,12
04-14-2020,848,130,14
04-15-2020,848,165,17
04-16-2020,996,164,22
04-17-2020,996,164,22
04-18-2020,1017,177,22
04-19-2020,1017,305,42
04-20-2020,1163,305,42
04-21-2020,1163,329,43
04-22-2020,1163,397,43
04-23-2020,1334,668,43
04-24-2020,1430,668,43
04-25-2020,1518,697,53
04-26-2020,1621,786,56
04-27-2020,1705,805,58
04-28-2020,1705,915,58
04-29-2020,1832,934,61
04-30-2020,1832,934,61
05-01-2020,1832,934,61
05-02-2020,2077,953,64
05-03-2020,2077,953,64
05-04-2020,2104,953,64
05-05-2020,2104,953,64
05-05-2020,2104,953,64
05-06-2020,2265,1000,108
05-07-2020,2267,1002,108
05-08-2020,2267,1002,108
05-09-2020,2274,1232,108
05-10-2020,2579,1465,114
05-11-2020,2689,1524,125
05-12-2020,2689,1524,125
05-12-2020,2689,1524,125
05-13-2020,2800,1543,136
05-14-2020,2954,1553,139
05-14-2020,2954,1553,139
05-15-2020,3105,1567,140
05-16-2020,3105,1567,140
05-17-2020,3105,1567,140
05-18-2020,3529,1567,140
05-19-2020,3529,1567,140
05-19-2020,3529,1567,140
05-20-2020,3733,1595,146
05-21-2020,4288,1808,156
05-22-2020,4400,1822,159
05-23-2020,4400,1822,159
05-24-2020,4890,1865,165
05-25-2020,4890,1865,165
05-26-2020,5436,1996,175
05-27-2020,5436,1996,175
05-28-2020,5436,1996,175
05-29-2020,5436,3326,177
05-30-2020,5904,3568,191
05-31-2020,5904,3568,191
06-01-2020,6397,3629,199
06-02-2020,6585,3676,200
06-03-2020,6585,3676,200
06-04-2020,6789,3705,203
06-05-2020,7392,4575,205
06-06-2020,7599,4587,212
06-06-2020,7599,4587,212
06-07-2020,7908,4735,212
06-08-2020,8060,4748,212
06-09-2020,8312,4794,212
06-10-2020,8681,4836,212
06-11-2020,8681,4836,212
06-12-2020,8681,4836,212
06-13-2020,8681,4836,212
06-14-2020,8681,4836,212
06-15-2020,9864,5570,276
06-16-2020,9864,5570,276
06-17-2020,9864,5570,276
06-18-2020,9864,5570,276
06-19-2020,10638,7548,282
06-20-2020,11610,7702,301
06-21-2020,11892,7710,303
06-22-2020,12041,7740,308
06-23-2020,12270,7774,313
06-24-2020,12592,10100,313
06-25-2020,12592,10100,313
06-26-2020,12592,10100,313
06-27-2020,12592,10100,313
06-28-2020,12592,10100,313
06-29-2020,12592,10100,313
06-30-2020,12592,10100,313
07-01-2020,12592,10100,313
07-02-2020,12592,10100,313
07-03-2020,12592,10100,313
07-04-2020,12592,10100,313
07-05-2020,12592,10100,313
07-06-2020,12592,10100,313
07-07-2020,14916,11525,359
07-08-2020,14916,11525,359
07-09-2020,14916,11525,359
07-10-2020,14916,11525,359
07-11-2020,15173,11928,359
07-12-2020,15173,11928,359
07-13-2020,15173,11928,359
07-14-2020,15173,11928,359
07-15-2020,15173,11928,359
07-16-2020,16157,13728,373
07-17-2020,16157,13728,373
07-18-2020,16157,13728,373
07-18-2020,16157,13728,373
07-18-2020,16157,13728,373
07-19-2020,16157,13728,373
07-20-2020,16157,13728,373
07-21-2020,16522,13728,382
07-22-2020,16522,13728,382
07-23-2020,16522,13728,382
07-24-2020,16708,14539,385
07-25-2020,16708,14539,385
07-26-2020,16708,14539,385
07-27-2020,17110,14539,391
07-28-2020,17179,14539,391
07-28-2020,17179,14539,391
07-29-2020,17255,15320,391
07-30-2020,17255,15320,391
07-31-2020,17255,15320,391
08-01-2020,17255,15320,391
08-02-2020,17255,15320,391
08-03-2020,17255,15320,391
08-04-2020,17718,15320,391
08-05-2020,17718,15320,391
08-06-2020,17718,15320,391
08-07-2020,17718,15320,391
08-08-2020,18042,15320,395
08-09-2020,18042,15320,395
08-10-2020,18042,15320,395
08-11-2020,18213,15320,398
08-12-2020,18263,15320,401
08-13-2020,18308,15320,401
08-14-2020,18469,15320,401
08-15-2020,18469,16540,401
08-16-2020,18469,16540,401
08-17-2020,18582,16540,403
08-18-2020,18599,16540,406
08-19-2020,18624,16540,406
08-20-2020,18762,16540,408
08-21-2020,18762,16540,408
08-22-2020,18762,16540,408
08-23-2020,18762,16540,408
08-24-2020,18762,16540,408
08-25-2020,18973,16540,410
08-26-2020,18973,16540,410
08-27-2020,19142,17651,411
08-28-2020,19142,17651,411
08-29-2020,19142,17651,411
08-30-2020,19142,17651,411
08-31-2020,19142,17651,411
09-01-2020,19409,17651,414
09-02-2020,19460,17651,415
09-03-2020,19604,18448,415
09-04-2020,19604,18448,415
09-05-2020,19604,18448,415
09-06-2020,19604,18448,415
09-07-2020,19604,18448,415
09-08-2020,19848,18448,415
09-09-2020,19848,18448,415
09-10-2020,20009,18837,415
09-11-2020,20009,18837,415
09-12-2020,20009,18837,415
09-13-2020,20167,18837,415
09-14-2020,20228,18837,415
09-15-2020,20271,18837,415
09-16-2020,20303,18837,415
09-17-2020,20303,18837,415
09-18-2020,20371,19124,416
09-19-2020,20431,19124,416
09-20-2020,20431,19124,416
09-21-2020,20598,19124,416
09-22-2020,20598,19124,416
09-23-2020,20690,19124,416
09-24-2020,20712,19440,418
