







date,confirmed,cured,dead
03-11-2020,108,8,1
03-12-2020,117,8,1
03-13-2020,193,8,1
03-14-2020,196,8,1
03-15-2020,250,8,1
03-16-2020,415,9,4
03-17-2020,478,9,5
03-18-2020,657,9,8
03-19-2020,800,9,9
03-20-2020,943,9,12
03-21-2020,1278,10,19
03-22-2020,1470,0,21
03-23-2020,2088,0,25
03-24-2020,2790,110,26
03-25-2020,3251,183,30
03-26-2020,4042,184,38
03-27-2020,4682,256,54
03-28-2020,5576,466,61
03-29-2020,6280,466,64
03-30-2020,7398,466,80
03-31-2020,8527,1592,101
04-01-2020,9560,1324,109
04-02-2020,11284,1735,139
04-03-2020,12437,2175,179
04-04-2020,12978,2577,218
04-05-2020,15756,3012,259
04-06-2020,16563,3256,339
04-07-2020,17872,3791,375
04-08-2020,19141,4154,407
04-09-2020,20654,5162,503
04-10-2020,22059,5855,557
04-11-2020,23316,6589,654
04-12-2020,24299,7123,713
04-13-2020,25680,7758,780
04-14-2020,27035,8210,900
04-15-2020,28209,8966,1007
04-16-2020,30809,9698,1258
04-17-2020,32814,10545,1355
04-18-2020,34356,10964,1400
04-19-2020,35633,11847,1564
04-20-2020,37658,12543,1726
04-21-2020,39402,13188,1909
04-22-2020,41650,14454,2077
04-23-2020,43286,14761,2241
04-24-2020,44056,15149,2386
04-25-2020,45493,16013,2549
04-26-2020,47147,16883,2663
04-27-2020,49616,18268,2841
04-28-2020,51150,19231,2983
04-29-2020,52865,20327,3155
04-30-2020,54457,21424,3310
05-01-2020,56343,22764,3537
05-02-2020,57926,23814,3684
05-03-2020,60504,24921,3795
05-04-2020,61957,26030,4003
05-05-2020,63215,27006,4190
05-05-2020,63215,27006,4190
05-06-2020,64694,28184,4366
05-07-2020,66201,29260,4541
05-08-2020,67674,30239,4697
05-09-2020,68918,31262,4823
05-10-2020,70091,32109,4991
05-11-2020,71264,33007,5115
05-12-2020,72419,34055,5300
05-12-2020,72419,34055,5300
05-13-2020,73568,35177,5425
05-14-2020,74781,36104,5592
05-14-2020,74781,36104,5592
05-15-2020,75959,36908,5679
05-16-2020,77206,37832,5800
05-17-2020,78332,38563,5903
05-18-2020,79411,39251,5960
05-19-2020,80493,40069,6028
05-19-2020,80493,40069,6028
05-20-2020,81575,40793,6150
05-21-2020,82742,41731,6267
05-22-2020,83947,42608,6360
05-23-2020,85151,43318,6466
05-24-2020,86106,43998,6534
05-25-2020,87119,44651,6655
05-26-2020,88090,45352,6753
05-27-2020,88989,46248,6876
05-28-2020,89976,46961,6982
05-29-2020,90909,47905,7063
05-30-2020,91681,48517,7159
05-31-2020,92479,49213,7374
06-01-2020,93288,50091,7404
06-02-2020,93960,50725,7477
06-03-2020,94641,51506,7579
06-04-2020,95269,52184,7717
06-05-2020,95947,53074,7778
06-06-2020,96475,54087,7850
06-06-2020,96475,54087,7850
06-07-2020,97178,54675,7877
06-08-2020,97779,55343,7910
06-09-2020,98241,56117,7970
06-10-2020,98720,57215,8038
06-11-2020,99159,58131,8071
06-12-2020,99595,59034,8125
06-13-2020,100043,59851,8183
06-14-2020,100404,60668,8218
06-15-2020,100763,61466,8228
06-16-2020,101087,61899,8271
06-17-2020,101491,63280,8312
06-18-2020,101877,63782,8361
06-19-2020,102314,64318,8408
06-20-2020,102762,64826,8466
06-21-2020,103078,65249,8482
06-22-2020,103418,65721,8494
06-23-2020,103767,66135,8512
06-24-2020,104087,66533,8544
06-25-2020,104463,66869,8567
06-26-2020,104629,67182,8571
06-27-2020,104878,67445,8576
06-28-2020,105193,67689,8582
06-29-2020,105830,68698,8628
06-30-2020,106097,69120,8650
07-01-2020,106288,69397,8678
07-02-2020,106643,69872,8700
07-03-2020,106962,70232,8722
