







date,confirmed,cured,dead
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,1,0,0
03-19-2020,1,0,0
03-20-2020,3,0,0
03-21-2020,3,0,0
03-22-2020,3,0,0
03-23-2020,3,0,0
03-24-2020,3,0,0
03-25-2020,3,0,0
03-26-2020,3,0,0
03-27-2020,3,0,0
03-28-2020,3,0,0
03-29-2020,3,0,0
03-30-2020,3,0,0
03-31-2020,3,0,0
04-01-2020,3,0,0
04-02-2020,3,0,0
04-03-2020,8,0,0
04-04-2020,8,0,0
04-05-2020,8,0,0
04-06-2020,8,0,0
04-07-2020,8,0,0
04-08-2020,8,0,0
04-09-2020,8,0,0
04-10-2020,8,0,0
04-11-2020,8,0,0
04-12-2020,8,0,0
04-13-2020,11,3,0
04-14-2020,11,4,0
04-15-2020,12,4,0
04-16-2020,12,4,0
04-17-2020,12,4,0
04-18-2020,12,4,0
04-19-2020,12,4,0
04-20-2020,12,4,0
04-21-2020,14,10,0
04-22-2020,14,10,0
04-23-2020,16,10,0
04-24-2020,16,10,0
04-25-2020,16,10,0
04-26-2020,19,10,0
04-27-2020,19,10,0
04-28-2020,50,10,0
04-29-2020,50,10,0
04-30-2020,50,10,0
05-01-2020,72,10,0
05-02-2020,72,10,0
05-03-2020,72,10,0
05-04-2020,85,10,0
05-05-2020,85,10,0
05-05-2020,85,10,0
05-06-2020,94,10,0
05-07-2020,94,10,0
05-08-2020,143,10,0
05-09-2020,143,10,0
05-10-2020,143,10,0
05-11-2020,143,10,0
05-12-2020,143,10,0
05-12-2020,143,10,0
05-13-2020,143,10,0
05-14-2020,143,10,0
05-14-2020,143,10,0
05-15-2020,301,13,0
05-16-2020,327,13,0
05-17-2020,327,13,0
05-18-2020,327,13,0
05-19-2020,366,18,0
05-19-2020,366,18,0
05-20-2020,418,18,0
05-21-2020,436,18,0
05-22-2020,479,18,0
05-23-2020,552,18,1
05-24-2020,604,22,1
05-25-2020,652,22,1
05-26-2020,671,22,1
05-27-2020,702,23,1
05-28-2020,755,23,1
05-29-2020,874,23,1
05-30-2020,962,23,1
05-31-2020,1011,23,2
06-01-2020,1069,23,4
06-02-2020,1069,23,4
06-03-2020,1173,23,4
06-04-2020,1288,23,4
06-05-2020,1451,29,4
06-06-2020,1570,37,5
06-06-2020,1570,37,5
06-07-2020,1634,38,5
06-08-2020,1850,38,5
06-09-2020,1850,38,5
06-10-2020,1888,38,5
06-11-2020,1952,38,5
06-12-2020,2044,360,7
06-13-2020,2057,363,7
06-14-2020,2057,363,7
06-15-2020,2222,369,7
06-16-2020,2410,396,14
06-17-2020,2564,402,18
06-18-2020,2605,417,19
06-19-2020,2605,417,19
06-20-2020,2686,420,19
06-21-2020,2808,472,23
06-22-2020,2963,495,30
06-23-2020,3051,522,37
06-24-2020,3099,572,38
06-25-2020,3244,607,40
06-26-2020,3340,661,40
06-27-2020,3429,699,45
06-28-2020,3429,699,45
06-29-2020,3613,773,47
06-30-2020,3745,787,47
07-01-2020,3745,787,47
07-02-2020,3788,810,47
07-03-2020,3918,859,48
07-04-2020,3969,914,48
07-05-2020,3969,914,48
07-06-2020,4033,970,52
07-07-2020,4071,976,52
07-08-2020,4109,1050,52
07-09-2020,4200,1142,52
07-10-2020,4259,1142,53
07-11-2020,4288,1145,53
07-12-2020,4288,1145,53
07-13-2020,4321,1208,53
07-14-2020,4356,1229,53
07-15-2020,4362,1261,53
07-16-2020,4373,1265,53
07-17-2020,4389,1288,53
07-18-2020,4485,1348,55
07-18-2020,4485,1348,55
07-18-2020,4485,1348,55
07-19-2020,4485,1348,55
07-20-2020,4548,1400,55
07-21-2020,4561,1411,55
07-22-2020,4574,1437,57
07-23-2020,4590,1452,58
07-24-2020,4593,1483,59
07-25-2020,4598,1506,59
07-26-2020,4599,1546,59
07-27-2020,4599,1546,59
07-28-2020,4599,1546,59
07-28-2020,4599,1546,59
07-29-2020,4605,1574,59
07-30-2020,4605,1574,59
07-31-2020,4608,1606,59
08-01-2020,4614,1635,59
08-02-2020,4614,1635,59
08-03-2020,4614,1635,59
08-04-2020,4618,1640,59
08-05-2020,4618,1640,59
08-06-2020,4620,1641,59
08-07-2020,4641,1716,59
08-08-2020,4641,1716,59
08-09-2020,4641,1721,60
08-10-2020,4641,1721,60
08-11-2020,4645,1723,61
08-12-2020,4652,1728,61
08-13-2020,4652,1728,61
08-14-2020,4652,1728,61
08-15-2020,4652,1728,61
08-16-2020,4652,1728,61
08-17-2020,4667,1748,61
08-18-2020,4679,1755,61
08-19-2020,4679,1755,61
08-20-2020,4679,1755,61
08-21-2020,4679,1755,61
08-22-2020,4679,1755,61
08-23-2020,4679,1755,61
08-24-2020,4679,1755,61
08-25-2020,4691,1773,61
08-26-2020,4698,1778,61
08-27-2020,4698,1782,61
08-28-2020,4700,1784,61
08-29-2020,4700,1784,61
08-30-2020,4700,1784,61
08-31-2020,4711,1790,62
09-01-2020,4711,1790,62
09-02-2020,4712,1803,62
09-03-2020,4729,1807,62
09-04-2020,4729,1818,62
09-05-2020,4729,1818,62
09-06-2020,4729,1818,62
09-07-2020,4729,1818,62
09-08-2020,4735,1825,62
09-09-2020,4736,1825,62
09-10-2020,4747,1825,62
09-11-2020,4749,1825,62
09-12-2020,4749,1825,62
09-13-2020,4749,1825,62
09-14-2020,4772,1828,62
09-15-2020,4772,1828,62
09-16-2020,4782,1830,62
09-17-2020,4782,1830,62
09-18-2020,4786,1830,62
09-19-2020,4786,1830,62
09-20-2020,4786,1830,62
09-21-2020,4786,1830,62
09-22-2020,4802,1830,62
09-23-2020,4802,1830,62
09-24-2020,4804,1837,62
09-25-2020,4806,1840,62
09-26-2020,4806,1840,62
09-27-2020,4806,1840,62
09-28-2020,4806,1840,62
09-29-2020,4806,1840,62
09-30-2020,4829,1914,62
10-01-2020,4829,1914,62
10-02-2020,4829,1914,62
10-03-2020,4845,1914,62
10-04-2020,4845,1914,62
10-05-2020,4845,1914,62
10-06-2020,4852,1914,62
10-07-2020,4852,1914,62
10-08-2020,4853,1914,62
10-09-2020,4853,1914,62
10-10-2020,4854,1924,62
10-11-2020,4854,1924,62
10-12-2020,4854,1924,62
10-13-2020,4854,1924,62
10-14-2020,4855,1924,62
10-15-2020,4855,1924,62
10-16-2020,4855,1924,62
10-17-2020,4855,1924,62
10-18-2020,4855,1924,62
10-19-2020,4856,1924,62
10-20-2020,4858,1924,62
10-21-2020,4858,1924,62
10-22-2020,4862,1924,62
10-23-2020,4862,1924,62
10-24-2020,4862,1924,62
10-25-2020,4862,1924,62
10-26-2020,4863,1924,62
10-27-2020,4863,1924,62
10-28-2020,4863,1924,62
10-29-2020,4863,1924,62
10-30-2020,4866,1924,62
10-31-2020,4866,1924,62
