







date,confirmed,cured,dead
03-19-2020,1,0,0
03-20-2020,1,0,0
03-21-2020,1,0,0
03-22-2020,1,0,0
03-23-2020,1,0,0
03-24-2020,3,0,0
03-25-2020,3,0,0
03-26-2020,3,0,0
03-27-2020,3,0,0
03-28-2020,3,0,0
03-29-2020,3,0,0
03-30-2020,5,0,0
03-31-2020,7,0,0
04-01-2020,7,0,0
04-02-2020,8,0,0
04-03-2020,8,0,0
04-04-2020,9,0,0
04-05-2020,9,0,0
04-06-2020,9,0,0
04-07-2020,10,2,0
04-08-2020,10,2,0
04-09-2020,11,2,0
04-10-2020,11,2,0
04-11-2020,11,2,0
04-12-2020,18,2,0
04-13-2020,23,2,0
04-14-2020,23,2,0
04-15-2020,23,2,0
04-16-2020,27,5,0
04-17-2020,27,5,0
04-18-2020,33,8,0
04-19-2020,33,8,0
04-20-2020,33,8,0
04-21-2020,33,8,0
04-22-2020,33,8,0
04-23-2020,33,8,0
04-24-2020,40,8,0
04-25-2020,46,15,0
04-26-2020,46,15,0
04-27-2020,46,15,0
04-28-2020,52,19,2
04-29-2020,52,19,2
04-30-2020,73,33,5
05-01-2020,73,33,5
05-02-2020,117,39,10
05-03-2020,117,39,10
05-04-2020,117,39,10
05-05-2020,170,43,17
05-05-2020,170,43,17
05-06-2020,170,43,17
05-07-2020,253,50,27
05-08-2020,260,50,28
05-09-2020,322,53,31
05-10-2020,322,53,31
05-11-2020,322,53,31
05-12-2020,357,76,40
05-12-2020,357,76,40
05-13-2020,372,78,42
05-14-2020,399,83,46
05-14-2020,399,83,46
05-15-2020,428,88,48
05-16-2020,474,111,50
05-17-2020,503,117,53
05-18-2020,519,117,53
05-19-2020,545,139,56
05-19-2020,545,139,56
05-20-2020,565,177,57
05-21-2020,588,186,58
05-22-2020,611,196,58
05-23-2020,648,204,60
05-24-2020,675,215,60
05-25-2020,687,244,61
05-26-2020,700,303,62
05-27-2020,715,359,64
05-28-2020,726,413,65
05-29-2020,759,444,65
05-30-2020,759,470,65
05-31-2020,778,491,65
