







date,confirmed,cured,dead
03-11-2020,23,0,0
03-12-2020,23,0,0
03-13-2020,43,0,0
03-14-2020,61,0,0
03-15-2020,74,0,0
03-16-2020,155,0,0
03-17-2020,201,0,0
03-18-2020,238,0,0
03-19-2020,238,0,0
03-20-2020,434,6,0
03-21-2020,537,6,0
03-22-2020,632,8,1
03-23-2020,746,11,2
03-24-2020,922,17,2
03-25-2020,1142,22,3
03-26-2020,1306,22,4
03-27-2020,1610,43,5
03-28-2020,1909,61,6
03-29-2020,2139,75,7
03-30-2020,2449,156,8
03-31-2020,2738,156,12
04-01-2020,3031,234,16
04-02-2020,3404,335,18
04-03-2020,3737,427,22
04-04-2020,4161,528,27
04-05-2020,4471,618,34
04-06-2020,4815,728,37
04-07-2020,5116,898,43
04-08-2020,5546,1115,48
04-09-2020,5972,1274,57
04-10-2020,6501,1571,65
04-11-2020,6927,1864,73
04-12-2020,7213,2059,80
04-13-2020,7525,2367,82
04-14-2020,7917,2646,92
04-15-2020,8273,2937,94
04-16-2020,8807,3299,105
04-17-2020,9252,3621,116
04-18-2020,9730,4035,126
04-19-2020,10088,4338,133
04-20-2020,10507,4676,139
04-21-2020,10832,4969,147
04-22-2020,11296,5386,160
04-23-2020,11812,5804,168
04-24-2020,12306,6327,174
04-25-2020,12858,6746,181
04-26-2020,13331,7024,189
04-27-2020,13813,7327,198
04-28-2020,14365,7710,207
04-29-2020,14885,8057,216
04-30-2020,16023,8580,227
05-01-2020,17008,9018,234
05-02-2020,18435,9572,247
05-03-2020,19663,10041,260
05-04-2020,20643,10415,270
05-05-2020,22016,10710,275
05-05-2020,22016,10710,275
05-06-2020,23048,11189,281
05-07-2020,24581,11664,285
05-08-2020,25972,12160,294
05-09-2020,27219,12667,304
05-10-2020,28866,13112,312
05-11-2020,30063,13605,323
05-12-2020,31721,14125,335
05-12-2020,31721,14125,335
05-13-2020,34381,14865,346
05-14-2020,37040,15655,368
05-14-2020,37040,15655,368
05-15-2020,39542,16614,394
05-16-2020,41428,18014,421
05-17-2020,43781,19213,450
05-18-2020,46059,20165,478
05-19-2020,49579,21507,509
05-19-2020,49579,21507,509
05-20-2020,53617,22504,544
05-21-2020,57581,23992,589
05-22-2020,61857,25342,630
05-23-2020,65393,26546,673
05-24-2020,69102,28148,718
05-25-2020,73997,29302,761
05-26-2020,77961,30915,806
05-27-2020,82289,33540,841
