







date,confirmed,cured,dead
03-11-2020,80921,61644,3161
03-12-2020,80932,62901,3172
03-13-2020,80945,64196,3180
03-14-2020,80977,65660,3193
03-15-2020,81003,67017,3203
03-16-2020,81033,67910,3217
03-17-2020,81058,68798,3230
03-18-2020,81102,69755,3241
03-19-2020,81156,70535,3249
03-20-2020,81250,71266,3253
03-21-2020,81305,71857,3259
03-22-2020,81397,72362,3265
03-23-2020,81496,72819,3274
03-24-2020,81591,73280,3281
03-25-2020,81661,73773,3285
03-26-2020,81782,74181,3291
03-27-2020,81897,74720,3296
03-28-2020,81999,75100,3299
03-29-2020,82122,75582,3304
03-30-2020,82198,75923,3308
03-31-2020,82279,76206,3309
04-01-2020,82361,76405,3316
04-02-2020,82432,76565,3322
04-03-2020,82511,76760,3326
04-04-2020,82543,76946,3330
04-05-2020,82602,77207,3333
04-06-2020,82665,77310,3335
04-07-2020,82718,77410,3335
04-08-2020,82809,77567,3337
04-09-2020,82883,77679,3339
04-10-2020,82941,77791,3340
04-11-2020,83014,77877,3343
04-12-2020,83134,77956,3343
04-13-2020,83213,78039,3345
04-14-2020,83306,78200,3345
04-15-2020,83356,78311,3346
04-16-2020,83403,78401,3346
04-17-2020,83760,77552,4636
04-18-2020,83787,77614,4636
04-19-2020,83805,77690,4636
04-20-2020,83817,77745,4636
04-21-2020,83853,77799,4636
04-22-2020,83868,77861,4636
04-23-2020,83884,77983,4636
04-24-2020,83899,78109,4636
04-25-2020,83909,78175,4636
04-26-2020,83912,78277,4637
04-27-2020,83918,78374,4637
04-28-2020,83940,78422,4637
04-29-2020,83944,78474,4637
04-30-2020,83956,78523,4637
05-01-2020,83959,78573,4637
05-02-2020,83959,78586,4637
05-03-2020,83964,78684,4637
05-04-2020,83966,78792,4637
05-05-2020,83968,78870,4637
05-05-2020,83968,78870,4637
05-06-2020,83970,78929,4637
05-07-2020,83975,78977,4637
05-08-2020,83976,78993,4637
05-09-2020,83990,79127,4637
05-10-2020,84010,79167,4637
05-11-2020,84011,79198,4637
05-12-2020,84018,79222,4637
05-12-2020,84018,79222,4637
05-13-2020,84024,79246,4637
05-14-2020,84029,79261,4637
05-14-2020,84029,79261,4637
05-15-2020,84038,79281,4637
05-16-2020,84044,79293,4638
05-17-2020,84054,79306,4638
05-18-2020,84063,79310,4638
05-19-2020,84063,79310,4638
05-19-2020,84063,79310,4638
05-20-2020,84063,79310,4638
05-21-2020,84063,79310,4638
05-22-2020,84081,79332,4638
05-23-2020,84084,79335,4638
05-24-2020,84095,79343,4638
05-25-2020,84102,79352,4638
05-26-2020,84103,79358,4638
05-27-2020,84106,79367,4638
05-28-2020,84106,79371,4638
05-29-2020,84123,79382,4638
05-30-2020,84128,79386,4638
05-31-2020,84146,79389,4638
06-01-2020,84154,79398,4638
06-02-2020,84161,79400,4638
06-03-2020,84160,79404,4638
06-04-2020,84171,79415,4638
06-05-2020,84177,79420,4638
06-06-2020,84186,79424,4638
06-06-2020,84186,79424,4638
06-07-2020,84191,79434,4638
06-08-2020,84195,79444,4638
06-09-2020,84198,79451,4638
06-10-2020,84209,79456,4638
06-11-2020,84216,79464,4638
06-12-2020,84228,79472,4638
06-13-2020,84286,79475,4638
06-14-2020,84335,79482,4638
06-15-2020,84378,79489,4638
06-16-2020,84422,79493,4638
06-17-2020,84458,79510,4638
06-18-2020,84494,79515,4638
06-19-2020,84494,79515,4638
06-20-2020,84553,79534,4639
06-21-2020,84572,79535,4639
06-22-2020,84624,79547,4639
06-23-2020,84653,79555,4640
06-24-2020,84673,79562,4640
06-25-2020,84701,79572,4641
06-26-2020,84725,79580,4641
06-27-2020,84743,79591,4641
06-28-2020,84757,79609,4641
06-29-2020,84780,79619,4641
06-30-2020,84785,79632,4641
07-01-2020,84816,79650,4641
07-02-2020,84830,79665,4641
07-03-2020,84838,79680,4641
07-04-2020,84857,79706,4641
07-05-2020,84871,79718,4641
07-06-2020,84889,79725,4641
07-07-2020,84917,79754,4641
07-08-2020,84950,79802,4641
07-09-2020,84992,79802,4641
07-10-2020,84992,79802,4641
07-11-2020,85071,79876,4641
07-12-2020,85117,79907,4641
07-13-2020,85117,79907,4641
07-14-2020,85226,79967,4642
07-15-2020,85246,80005,4644
07-16-2020,85314,80018,4644
07-17-2020,85314,80018,4644
07-18-2020,85314,80018,4644
07-18-2020,85314,80018,4644
07-18-2020,85314,80018,4644
07-19-2020,85314,80018,4644
07-20-2020,85314,80018,4644
07-21-2020,85314,80018,4644
07-22-2020,85906,80244,4648
07-23-2020,86045,80297,4649
07-24-2020,86202,80341,4650
07-25-2020,86381,80409,4652
07-26-2020,86570,80459,4652
07-27-2020,86783,80466,4656
07-28-2020,86990,80517,4657
07-28-2020,86990,80517,4657
07-29-2020,87213,80594,4658
07-30-2020,87489,80680,4659
07-31-2020,87655,80787,4661
08-01-2020,87827,80907,4667
08-02-2020,87985,81018,4669
08-03-2020,88099,81113,4672
08-04-2020,88206,81234,4676
08-05-2020,88328,81417,4677
08-06-2020,88460,81592,4680
08-07-2020,88580,81788,4681
08-08-2020,88672,81969,4681
08-09-2020,88793,82125,4686
08-10-2020,88906,82247,4689
08-11-2020,88958,82440,4693
08-12-2020,89045,82633,4697
08-13-2020,89144,82804,4700
08-14-2020,89214,82956,4701
08-15-2020,89279,83108,4703
08-16-2020,89375,83200,4703
08-17-2020,89441,83283,4703
08-18-2020,89494,83408,4705
08-19-2020,89527,83566,4706
08-20-2020,89567,83663,4709
08-21-2020,89616,83793,4709
08-22-2020,89654,83924,4711
08-23-2020,89695,83988,4711
08-24-2020,89718,84058,4711
08-25-2020,89752,84168,4712
08-26-2020,89784,84251,4713
08-27-2020,89814,84335,4715
08-28-2020,89836,84419,4718
08-29-2020,89863,84484,4721
08-30-2020,89895,84546,4722
08-31-2020,89914,84594,4723
09-01-2020,89933,84652,4724
09-02-2020,89953,84695,4727
09-03-2020,89986,84737,4728
09-04-2020,90008,84782,4728
09-05-2020,90025,84837,4728
09-06-2020,90058,84873,4730
09-07-2020,90078,84900,4732
09-08-2020,90087,84932,4733
09-09-2020,90100,84957,4733
09-10-2020,90127,85005,4733
09-11-2020,90145,85025,4733
09-12-2020,90168,85054,4734
09-13-2020,90197,85086,4734
09-14-2020,90219,85101,4735
09-15-2020,90235,85129,4736
09-16-2020,90253,85155,4736
09-17-2020,90294,85181,4736
09-18-2020,90311,85204,4737
09-19-2020,90334,85226,4737
09-20-2020,90369,85239,4737
09-21-2020,90381,85257,4737
09-22-2020,90399,85275,4737
09-23-2020,90409,85304,4738
09-24-2020,90424,85323,4738
09-25-2020,90441,85343,4739
09-26-2020,90456,85360,4739
09-27-2020,90483,85381,4739
09-28-2020,90505,85398,4739
09-29-2020,90528,85423,4739
09-30-2020,90545,85460,4739
10-01-2020,90567,85479,4739
10-02-2020,90584,85494,4739
10-03-2020,90604,85511,4739
10-04-2020,90629,85530,4739
10-05-2020,90652,85540,4739
10-06-2020,90667,85566,4739
10-07-2020,90687,85588,4739
10-08-2020,90728,85612,4739
10-09-2020,90751,85641,4739
10-10-2020,90778,85658,4739
10-11-2020,90812,85669,4739
10-12-2020,90830,85690,4739
10-13-2020,90858,85707,4739
10-14-2020,90869,85720,4739
10-15-2020,90905,85743,4739
10-16-2020,90925,85762,4739
10-17-2020,90955,85791,4739
10-18-2020,90972,85819,4739
10-19-2020,91006,85840,4739
10-20-2020,91022,85873,4739
10-21-2020,91044,85899,4739
10-22-2020,91073,85929,4739
10-23-2020,91108,85950,4739
10-24-2020,91128,85974,4739
10-25-2020,91151,86002,4739
10-26-2020,91175,86018,4739
10-27-2020,91222,86031,4739
