







date,confirmed,cured,dead
03-11-2020,9,0,0
03-12-2020,9,0,0
03-13-2020,13,0,0
03-14-2020,22,0,0
03-15-2020,34,0,0
03-16-2020,54,0,0
03-17-2020,65,1,0
03-18-2020,93,1,0
03-19-2020,102,1,0
03-20-2020,128,1,0
03-21-2020,196,1,0
03-22-2020,231,3,2
03-23-2020,277,3,3
03-24-2020,378,6,3
03-25-2020,470,8,4
03-26-2020,491,8,6
03-27-2020,539,10,6
03-28-2020,608,10,6
03-29-2020,702,10,10
03-30-2020,798,15,12
03-31-2020,906,31,16
04-01-2020,1065,39,17
04-02-2020,1161,55,19
04-03-2020,1267,55,25
04-04-2020,1406,85,32
04-05-2020,1485,88,35
04-06-2020,1579,88,46
04-07-2020,1780,100,50
04-08-2020,2054,123,54
04-09-2020,2223,174,69
04-10-2020,2473,197,80
04-11-2020,2709,214,100
04-12-2020,2776,270,109
04-13-2020,2852,319,112
04-14-2020,2979,354,127
04-15-2020,3105,452,131
04-16-2020,3233,550,144
04-17-2020,3439,634,153
04-18-2020,3439,634,153
04-19-2020,3792,711,179
04-20-2020,3977,804,189
04-21-2020,4149,804,196
04-22-2020,4356,870,206
04-23-2020,4561,927,215
04-24-2020,4881,1003,225
04-25-2020,5142,1067,233
04-26-2020,5379,1133,244
04-27-2020,5597,1210,253
04-28-2020,5949,1268,269
04-29-2020,6207,1411,278
04-30-2020,6507,1439,293
05-01-2020,7006,1551,314
05-02-2020,7285,1666,324
05-03-2020,7668,1722,340
05-04-2020,7973,1807,358
05-05-2020,8613,2013,378
05-05-2020,8613,2013,378
05-06-2020,8959,2148,397
05-07-2020,9456,2300,407
05-08-2020,10051,2424,428
05-09-2020,10495,2569,445
05-10-2020,11063,2705,463
05-11-2020,11613,2825,479
05-12-2020,12272,2971,493
05-12-2020,12272,2971,493
05-13-2020,12930,3133,509
05-14-2020,13610,3358,525
05-14-2020,13610,3358,525
05-15-2020,14216,3460,546
05-16-2020,14939,3587,562
05-17-2020,15574,3751,574
05-18-2020,16295,3903,592
05-19-2020,16935,4050,613
05-19-2020,16935,4050,613
05-20-2020,17687,4256,630
05-21-2020,18330,4431,652
05-22-2020,19131,4575,682
05-23-2020,20177,4718,705
05-24-2020,21175,5016,727
05-25-2020,21981,5265,750
05-26-2020,23003,5511,776
05-27-2020,24104,6111,803
05-28-2020,24141,6132,833
05-29-2020,25406,6687,855
05-30-2020,26734,6935,891
05-31-2020,27219,7032,916
06-01-2020,29384,8384,963
06-02-2020,30593,9689,1014
06-03-2020,31935,11171,1057
06-04-2020,33466,12319,1099
06-05-2020,36759,13670,1204
06-06-2020,36759,13670,1204
06-06-2020,36759,13670,1204
06-07-2020,38149,14414,1265
06-08-2020,40847,16459,1373
06-09-2020,40847,16459,1373
06-10-2020,42206,16566,1439
06-11-2020,43810,17366,1505
06-12-2020,45344,17823,1562
06-13-2020,46994,18749,1623
06-14-2020,48896,19460,1670
06-15-2020,53211,19986,1808
06-16-2020,53211,19986,1808
06-17-2020,55083,20400,1887
06-18-2020,57202,21361,1955
06-19-2020,60387,22726,2046
06-20-2020,63454,24035,2148
06-21-2020,68836,27412,2353
06-22-2020,71367,29024,2426
06-23-2020,73760,30517,2524
06-24-2020,73760,30517,2524
06-25-2020,77313,31729,2611
06-26-2020,80811,33410,2786
06-27-2020,84660,34999,2946
06-28-2020,91995,38345,3256
06-29-2020,91995,38345,3256
06-30-2020,95269,40021,3376
07-01-2020,98090,42143,3488
07-02-2020,102261,43481,3650
07-03-2020,106392,44606,3851
07-04-2020,109793,45409,4001
07-05-2020,113685,46643,4178
07-06-2020,117412,47961,4305
07-07-2020,120281,50370,4452
07-08-2020,124494,51861,4606
07-09-2020,128638,53634,4791
07-10-2020,133973,56272,4985
07-11-2020,140776,58800,5202
07-12-2020,145362,61186,5426
07-13-2020,150445,63451,5634
07-14-2020,154277,65809,5787
07-15-2020,159898,68806,5969
07-16-2020,165169,71736,6164
07-17-2020,182140,80637,6288
07-18-2020,190700,85836,6516
07-18-2020,190700,85836,6516
07-18-2020,190700,85836,6516
07-19-2020,197278,91793,6736
07-20-2020,204005,95804,6929
07-21-2020,211038,98840,7166
07-22-2020,218428,101613,7373
07-23-2020,226373,107951,7688
07-24-2020,233541,113864,7975
07-25-2020,240795,119667,8269
07-26-2020,240795,119667,8269
07-27-2020,257101,131161,8777
07-28-2020,267385,136690,9074
07-28-2020,267385,136690,9074
07-29-2020,276055,142777,9454
07-30-2020,286020,148695,9810
07-31-2020,295508,154387,10105
08-01-2020,306181,160708,10330
08-02-2020,317651,167239,10650
08-03-2020,327850,173727,11017
08-04-2020,334979,180258,11315
08-05-2020,345714,186317,11624
08-06-2020,357710,192355,11939
08-07-2020,367204,198495,12250
08-08-2020,376870,204591,12540
08-09-2020,387481,212688,12842
08-10-2020,397623,221484,13154
08-11-2020,410453,230427,13475
08-12-2020,422519,239785,13837
