







date,confirmed,cured,dead
04-30-2020,1,0,0
05-01-2020,1,0,0
05-02-2020,3,0,0
05-03-2020,3,0,0
05-04-2020,3,0,0
05-05-2020,3,0,0
05-05-2020,3,0,0
05-06-2020,8,0,1
05-07-2020,8,0,1
05-08-2020,8,0,1
05-09-2020,11,0,1
05-10-2020,11,0,1
05-11-2020,11,0,1
05-12-2020,11,0,1
05-12-2020,11,0,1
05-13-2020,11,0,1
05-14-2020,11,3,1
05-14-2020,11,3,1
05-15-2020,11,3,1
05-16-2020,11,3,1
05-17-2020,11,3,1
05-18-2020,11,3,1
05-19-2020,11,3,1
05-19-2020,11,3,1
05-20-2020,34,8,1
05-21-2020,34,8,1
05-22-2020,78,18,1
05-23-2020,78,18,1
05-24-2020,87,21,1
05-25-2020,87,21,1
05-26-2020,87,21,1
05-27-2020,87,24,2
05-28-2020,87,24,2
05-29-2020,87,24,2
05-30-2020,106,26,2
05-31-2020,106,26,2
06-01-2020,106,26,2
06-02-2020,132,27,2
06-03-2020,132,27,2
06-04-2020,132,55,2
06-05-2020,132,55,2
06-06-2020,141,67,2
06-06-2020,141,67,2
06-07-2020,141,67,2
06-08-2020,141,67,2
06-09-2020,141,67,2
06-10-2020,162,97,2
06-11-2020,162,97,2
06-12-2020,163,97,2
06-13-2020,176,114,2
06-14-2020,176,114,2
06-15-2020,176,114,2
06-16-2020,197,127,3
06-17-2020,197,127,3
06-18-2020,210,129,5
06-19-2020,210,129,5
06-20-2020,247,159,5
06-21-2020,247,159,5
06-22-2020,247,159,5
06-23-2020,265,159,7
06-24-2020,265,159,7
06-25-2020,272,161,7
06-26-2020,272,161,7
06-27-2020,272,161,7
06-28-2020,272,161,7
06-29-2020,272,161,7
06-30-2020,303,200,7
07-01-2020,303,200,7
07-02-2020,303,200,7
07-03-2020,309,241,7
07-04-2020,309,241,7
07-05-2020,311,266,7
07-06-2020,311,266,7
07-07-2020,311,266,7
07-08-2020,313,272,7
07-09-2020,314,272,7
07-10-2020,314,272,7
07-11-2020,317,296,7
07-12-2020,317,296,7
07-13-2020,317,296,7
07-14-2020,321,302,7
07-15-2020,321,302,7
07-16-2020,328,311,7
07-17-2020,328,311,7
07-18-2020,328,311,7
07-18-2020,328,311,7
07-18-2020,328,311,7
07-19-2020,334,313,7
07-20-2020,334,313,7
07-21-2020,337,319,7
07-22-2020,337,319,7
07-23-2020,340,324,7
07-24-2020,340,324,7
07-25-2020,340,324,7
07-26-2020,354,328,7
07-27-2020,354,328,7
07-28-2020,354,328,7
07-28-2020,354,328,7
07-29-2020,378,330,7
07-30-2020,378,330,7
07-31-2020,378,330,7
08-01-2020,386,330,7
08-02-2020,386,330,7
08-03-2020,386,330,7
08-04-2020,388,340,7
08-05-2020,388,340,7
08-06-2020,396,340,7
08-07-2020,396,353,7
08-08-2020,399,369,7
08-09-2020,399,369,7
08-10-2020,399,369,7
08-11-2020,399,379,7
08-12-2020,399,379,7
08-13-2020,399,379,7
08-14-2020,403,379,7
08-15-2020,403,379,7
08-16-2020,405,379,7
08-17-2020,405,379,7
08-18-2020,406,393,7
08-19-2020,406,393,7
08-20-2020,417,396,7
08-21-2020,417,396,7
08-22-2020,417,396,7
08-23-2020,417,396,7
08-24-2020,417,396,7
08-25-2020,417,399,7
08-26-2020,417,399,7
08-27-2020,422,399,7
08-28-2020,422,399,7
08-29-2020,423,399,7
08-30-2020,423,399,7
08-31-2020,423,399,7
09-01-2020,427,410,7
09-02-2020,427,410,7
09-03-2020,448,410,7
09-04-2020,448,410,7
09-05-2020,452,410,7
09-06-2020,452,410,7
09-07-2020,452,410,7
09-08-2020,456,415,7
09-09-2020,456,415,7
09-10-2020,456,415,7
09-11-2020,456,415,7
09-12-2020,456,415,7
09-13-2020,456,415,7
09-14-2020,457,427,7
09-15-2020,467,446,7
09-16-2020,467,446,7
09-17-2020,470,449,7
09-18-2020,470,449,7
09-19-2020,470,450,7
09-20-2020,470,450,7
09-21-2020,470,450,7
09-22-2020,470,453,7
09-23-2020,470,453,7
09-24-2020,474,453,7
09-25-2020,474,453,7
09-26-2020,478,458,7
09-27-2020,478,458,7
09-28-2020,478,458,7
09-29-2020,479,464,7
09-30-2020,479,464,7
10-01-2020,484,466,7
10-02-2020,484,466,7
10-03-2020,487,466,7
10-04-2020,487,466,7
10-05-2020,487,466,7
10-06-2020,491,468,7
10-07-2020,491,468,7
10-08-2020,495,475,7
10-09-2020,495,475,7
10-10-2020,495,475,7
10-11-2020,495,475,7
10-12-2020,495,475,7
10-13-2020,496,484,7
10-14-2020,496,484,7
10-15-2020,496,484,7
10-16-2020,502,485,7
10-17-2020,502,485,7
10-18-2020,502,485,7
10-19-2020,502,485,7
10-20-2020,504,494,7
10-21-2020,504,494,7
10-22-2020,517,494,7
10-23-2020,517,494,7
10-24-2020,517,494,7
10-25-2020,517,494,7
10-26-2020,517,494,7
10-27-2020,517,494,7
10-28-2020,517,494,7
10-29-2020,517,494,7
10-30-2020,537,498,7
10-31-2020,545,498,7
11-01-2020,545,498,7
11-02-2020,545,498,7
11-03-2020,545,498,7
11-04-2020,554,517,7
11-05-2020,557,525,7
11-06-2020,557,525,7
11-07-2020,563,532,7
11-08-2020,563,532,7
11-09-2020,563,532,7
