







date,confirmed,cured,dead
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,1,0,0
03-19-2020,3,0,0
03-20-2020,3,0,0
03-21-2020,3,0,0
03-22-2020,3,0,0
03-23-2020,4,0,0
03-24-2020,4,0,0
03-25-2020,4,0,0
03-26-2020,4,0,0
03-27-2020,4,0,0
03-28-2020,4,0,0
03-29-2020,19,0,0
03-30-2020,19,0,0
03-31-2020,19,0,0
04-01-2020,19,0,0
04-02-2020,22,2,2
04-03-2020,22,2,2
04-04-2020,22,2,2
04-05-2020,45,2,5
04-06-2020,45,2,5
04-07-2020,45,2,5
04-08-2020,45,2,5
04-09-2020,60,5,5
04-10-2020,60,5,5
04-11-2020,60,5,5
04-12-2020,60,5,5
04-13-2020,60,5,5
04-14-2020,60,5,5
04-15-2020,117,11,5
04-16-2020,117,11,5
04-17-2020,143,11,6
04-18-2020,143,11,6
04-19-2020,143,11,6
04-20-2020,160,16,6
04-21-2020,165,16,6
04-22-2020,186,16,6
04-23-2020,186,16,6
04-24-2020,200,19,6
04-25-2020,200,19,6
04-26-2020,200,19,6
04-27-2020,200,19,6
04-28-2020,207,19,8
04-29-2020,207,19,8
04-30-2020,220,19,9
05-01-2020,229,25,9
05-02-2020,229,25,9
05-03-2020,229,25,9
05-04-2020,236,26,10
05-05-2020,236,26,10
05-05-2020,236,26,10
05-06-2020,264,30,10
05-07-2020,264,30,10
05-08-2020,274,33,10
05-09-2020,274,33,10
05-10-2020,274,33,10
05-11-2020,333,53,11
05-12-2020,333,53,11
05-12-2020,333,53,11
05-13-2020,333,53,11
05-14-2020,391,87,15
05-14-2020,391,87,15
05-15-2020,391,87,15
05-16-2020,391,87,15
05-17-2020,391,87,15
05-18-2020,412,110,15
05-19-2020,420,132,15
05-19-2020,420,132,15
05-20-2020,420,132,15
05-21-2020,469,137,16
05-22-2020,469,137,16
05-23-2020,487,147,16
05-24-2020,487,147,16
05-25-2020,487,147,16
05-26-2020,487,147,16
05-27-2020,571,161,19
05-28-2020,571,161,19
05-29-2020,571,161,19
05-30-2020,571,161,19
05-31-2020,611,179,20
06-01-2020,611,179,20
06-02-2020,611,179,20
06-03-2020,611,179,20
06-04-2020,611,179,20
06-05-2020,635,182,20
06-06-2020,683,210,22
06-06-2020,683,210,22
06-07-2020,683,210,22
06-08-2020,683,210,22
06-09-2020,728,221,24
06-10-2020,728,221,24
06-11-2020,728,221,24
06-12-2020,728,221,24
06-13-2020,728,221,24
06-14-2020,728,221,24
06-15-2020,883,391,27
06-16-2020,883,391,27
06-17-2020,883,391,27
06-18-2020,883,391,27
06-19-2020,883,391,27
06-20-2020,883,391,27
06-21-2020,883,391,27
06-22-2020,1087,456,37
06-23-2020,1087,456,37
06-24-2020,1087,456,37
06-25-2020,1087,456,37
06-26-2020,1087,456,37
06-27-2020,1087,456,37
06-28-2020,1087,456,37
06-29-2020,1087,456,37
06-30-2020,1087,456,37
07-01-2020,1382,486,41
07-02-2020,1382,486,41
07-03-2020,1557,501,44
07-04-2020,1557,501,44
07-05-2020,1557,501,44
07-06-2020,1557,501,44
07-07-2020,1557,501,44
07-08-2020,1821,525,47
07-09-2020,1821,525,47
07-10-2020,2028,589,47
07-11-2020,2028,589,47
07-12-2020,2028,589,47
07-13-2020,2028,589,47
07-14-2020,2028,589,47
07-15-2020,2222,589,47
07-16-2020,2358,589,48
07-17-2020,2633,626,49
07-18-2020,2633,626,49
07-18-2020,2633,626,49
07-18-2020,2633,626,49
07-19-2020,2633,626,49
07-20-2020,2851,666,50
07-21-2020,2851,666,50
07-22-2020,2851,666,50
07-23-2020,2851,666,50
07-24-2020,3038,756,51
07-25-2020,3038,756,51
07-26-2020,3038,756,51
07-27-2020,3200,829,54
07-28-2020,3200,829,54
07-28-2020,3200,829,54
07-29-2020,3200,829,54
07-30-2020,3200,829,54
07-31-2020,3200,829,54
08-01-2020,3200,829,54
08-02-2020,3200,829,54
08-03-2020,3546,1589,58
08-04-2020,3546,1589,58
08-05-2020,3546,1589,58
08-06-2020,3546,1589,58
08-07-2020,3637,1589,58
08-08-2020,3664,1589,58
08-09-2020,3664,1589,58
08-10-2020,3664,1589,58
08-11-2020,3745,1625,60
08-12-2020,3745,1625,60
08-13-2020,3745,1625,60
08-14-2020,3745,1625,60
08-15-2020,3745,1625,60
08-16-2020,3831,1625,76
08-17-2020,3831,1625,76
08-18-2020,3831,1625,76
08-19-2020,3850,1625,77
08-20-2020,3850,1625,77
08-21-2020,3850,1625,77
08-22-2020,3850,1625,77
08-23-2020,3850,1625,77
08-24-2020,3979,1742,78
08-25-2020,3979,1742,78
08-26-2020,3979,1742,78
08-27-2020,3979,1742,78
08-28-2020,3979,1742,78
08-29-2020,3979,1742,78
08-30-2020,3979,1742,78
08-31-2020,3979,1742,78
09-01-2020,3979,1742,78
09-02-2020,4628,1742,102
09-03-2020,4628,1742,102
09-04-2020,4628,1742,102
09-05-2020,4628,1742,102
09-06-2020,4628,1742,102
09-07-2020,4891,3887,102
09-08-2020,4891,3887,114
09-09-2020,4891,3887,114
09-10-2020,4891,3887,83
09-11-2020,4928,3887,88
09-12-2020,4928,3887,88
09-13-2020,4928,3887,88
09-14-2020,4934,3887,88
09-15-2020,4934,3887,88
09-16-2020,4934,3887,88
09-17-2020,4934,3887,88
09-18-2020,4980,3887,89
09-19-2020,4986,3887,89
09-20-2020,4986,3887,89
09-21-2020,5002,3887,89
09-22-2020,5002,3887,89
09-23-2020,5005,3887,89
09-24-2020,5005,3887,89
09-25-2020,5005,3887,89
09-26-2020,5005,3887,89
09-27-2020,5008,3887,89
09-28-2020,5008,3887,89
09-29-2020,5008,3887,89
09-30-2020,5089,3887,89
10-01-2020,5089,3887,89
10-02-2020,5089,3887,89
10-03-2020,5089,3887,89
10-04-2020,5089,3887,89
10-05-2020,5089,3887,89
10-06-2020,5089,3887,89
10-07-2020,5089,3887,89
10-08-2020,5089,3887,89
10-09-2020,5118,3887,90
10-10-2020,5118,3887,90
10-11-2020,5118,3887,90
10-12-2020,5118,3887,90
10-13-2020,5118,3887,90
10-14-2020,5156,3887,92
10-15-2020,5156,3887,92
10-16-2020,5156,3887,92
10-17-2020,5156,3887,92
10-18-2020,5156,3887,92
10-19-2020,5156,3887,92
10-20-2020,5156,3887,92
10-21-2020,5156,3887,92
10-22-2020,5156,3887,92
10-23-2020,5156,3887,92
10-24-2020,5253,3887,92
10-25-2020,5253,3887,92
10-26-2020,5253,3887,92
10-27-2020,5253,3887,92
