







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,1,0,0
03-13-2020,2,0,0
03-14-2020,2,0,0
03-15-2020,2,0,0
03-16-2020,2,0,0
03-17-2020,3,0,0
03-18-2020,4,0,0
03-19-2020,14,0,0
03-20-2020,18,0,0
03-21-2020,23,0,1
03-22-2020,30,0,1
03-23-2020,36,0,1
03-24-2020,45,0,2
03-25-2020,48,0,2
03-26-2020,51,0,3
03-27-2020,51,2,3
03-28-2020,65,2,6
03-29-2020,65,2,6
03-30-2020,81,2,8
03-31-2020,98,2,8
04-01-2020,109,3,9
04-02-2020,134,3,13
04-03-2020,134,3,13
04-04-2020,154,3,18
04-05-2020,154,3,18
04-06-2020,161,5,18
04-07-2020,180,9,18
04-08-2020,180,9,18
04-09-2020,180,9,18
04-10-2020,215,13,20
04-11-2020,223,16,20
04-12-2020,234,16,20
04-13-2020,235,17,20
04-14-2020,241,20,20
04-15-2020,254,21,21
04-16-2020,267,23,22
04-17-2020,287,25,23
04-18-2020,307,26,25
04-19-2020,327,26,25
04-20-2020,332,27,25
04-21-2020,350,35,25
04-22-2020,359,45,25
04-23-2020,377,47,25
04-24-2020,394,48,25
04-25-2020,416,49,28
04-26-2020,442,50,28
04-27-2020,459,50,28
04-28-2020,471,56,30
04-29-2020,491,59,30
04-30-2020,572,73,31
05-01-2020,604,75,32
05-02-2020,674,75,33
05-03-2020,674,75,33
05-04-2020,682,80,34
05-05-2020,705,90,34
05-05-2020,705,90,34
05-06-2020,797,92,35
05-07-2020,863,103,36
05-08-2020,937,130,39
05-09-2020,937,130,39
05-10-2020,991,136,41
05-11-2020,1024,141,41
05-12-2020,1102,146,44
05-12-2020,1102,146,44
05-13-2020,1169,148,50
05-14-2020,1242,157,50
05-14-2020,1242,157,50
05-15-2020,1298,212,50
05-16-2020,1455,270,61
05-17-2020,1455,270,61
05-18-2020,1538,272,61
05-19-2020,1629,290,61
05-19-2020,1629,290,61
05-20-2020,1731,302,61
05-21-2020,1835,303,61
05-22-2020,1945,312,63
05-23-2020,2025,312,63
05-24-2020,2141,317,63
05-25-2020,2297,337,67
05-26-2020,2403,340,68
05-27-2020,2546,365,68
05-28-2020,2660,381,69
05-29-2020,2833,400,69
05-30-2020,2966,428,69
05-31-2020,3070,448,72
06-01-2020,3195,454,72
06-02-2020,3326,482,72
06-03-2020,3495,492,75
06-04-2020,3644,495,78
06-05-2020,3764,512,81
06-06-2020,3878,537,82
06-06-2020,3878,537,82
06-07-2020,4016,537,85
06-08-2020,4106,537,88
06-09-2020,4259,539,90
06-10-2020,4390,565,96
06-11-2020,4515,567,98
06-12-2020,4637,580,101
06-13-2020,4724,595,106
06-14-2020,4778,600,107
06-15-2020,4837,613,112
06-16-2020,4974,628,112
06-17-2020,5100,640,115
06-18-2020,5283,685,117
06-19-2020,5477,719,122
06-20-2020,5672,807,125
