







date,confirmed,cured,dead
03-11-2020,13,0,0
03-12-2020,22,0,0
03-13-2020,23,0,0
03-14-2020,26,0,0
03-15-2020,27,0,0
03-16-2020,35,0,0
03-17-2020,41,0,0
03-18-2020,50,0,0
03-19-2020,69,0,1
03-20-2020,89,0,1
03-21-2020,117,2,2
03-22-2020,134,2,2
03-23-2020,158,2,2
03-24-2020,177,2,2
03-25-2020,201,2,2
03-26-2020,231,2,2
03-27-2020,263,3,2
03-28-2020,295,3,2
03-29-2020,314,3,2
03-30-2020,330,4,2
03-31-2020,347,4,2
04-01-2020,375,4,2
04-02-2020,396,6,2
04-03-2020,416,11,2
04-04-2020,435,13,2
04-05-2020,454,16,2
04-06-2020,467,18,2
04-07-2020,483,24,2
04-08-2020,502,29,3
04-09-2020,539,30,3
04-10-2020,558,42,3
04-11-2020,577,49,3
04-12-2020,595,56,3
04-13-2020,612,62,3
04-14-2020,618,66,3
04-15-2020,626,67,4
04-16-2020,642,74,4
04-17-2020,649,88,4
04-18-2020,655,97,4
04-19-2020,660,112,5
04-20-2020,662,124,6
04-21-2020,669,150,6
04-22-2020,681,180,6
04-23-2020,686,196,6
04-24-2020,687,216,6
04-25-2020,693,242,6
04-26-2020,695,264,6
04-27-2020,697,287,6
04-28-2020,705,306,6
04-29-2020,713,323,6
04-30-2020,719,338,6
05-01-2020,725,355,6
05-02-2020,733,372,6
05-03-2020,739,386,6
05-04-2020,742,399,6
05-05-2020,755,413,6
05-05-2020,755,413,6
05-06-2020,761,428,6
05-07-2020,765,445,6
05-08-2020,773,461,6
05-09-2020,780,480,6
05-10-2020,792,501,7
05-11-2020,801,517,7
05-12-2020,804,520,7
05-12-2020,804,520,7
05-13-2020,815,527,8
05-14-2020,830,535,8
05-14-2020,830,535,8
05-15-2020,843,542,9
05-16-2020,853,551,10
05-17-2020,863,565,10
05-18-2020,866,575,10
05-19-2020,882,577,10
05-19-2020,882,577,10
05-20-2020,897,582,10
05-21-2020,903,592,10
05-22-2020,911,600,10
05-23-2020,918,607,10
05-24-2020,930,620,10
05-25-2020,951,628,10
05-26-2020,956,634,10
05-27-2020,984,639,10
05-28-2020,1000,646,10
05-29-2020,1022,653,10
05-30-2020,1047,658,10
05-31-2020,1056,669,10
06-01-2020,1084,676,10
06-02-2020,1105,682,10
06-03-2020,1157,685,10
06-04-2020,1194,687,10
06-05-2020,1228,695,10
06-06-2020,1263,701,10
06-06-2020,1263,701,10
06-07-2020,1318,704,10
06-08-2020,1342,712,11
06-09-2020,1375,717,11
06-10-2020,1461,722,12
06-11-2020,1538,722,12
06-12-2020,1612,731,12
06-13-2020,1662,743,12
06-14-2020,1715,752,12
06-15-2020,1744,771,12
06-16-2020,1796,794,12
06-17-2020,1871,899,12
06-18-2020,1939,937,12
06-19-2020,2058,982,12
06-20-2020,2127,1014,12
06-21-2020,2213,1032,12
06-22-2020,2277,1043,12
06-23-2020,2368,1129,12
06-24-2020,2515,1210,12
06-25-2020,2684,1227,12
06-26-2020,2836,1280,12
06-27-2020,2979,1325,14
06-28-2020,3130,1366,15
06-29-2020,3269,1394,15
06-30-2020,3459,1436,16
07-01-2020,3753,1516,17
07-02-2020,4023,1589,18
07-03-2020,4311,1657,18
07-04-2020,4621,1721,18
07-05-2020,4996,1745,19
07-06-2020,5241,1776,23
07-07-2020,5486,1810,23
07-08-2020,5836,1929,25
07-09-2020,6485,2023,25
07-10-2020,6845,2110,26
07-11-2020,7231,2220,28
07-12-2020,7596,2239,30
07-13-2020,8036,2304,34
07-14-2020,8482,2441,37
07-15-2020,8986,2551,40
07-16-2020,9546,2673,42
07-17-2020,9969,2818,47
07-18-2020,10551,2902,54
07-18-2020,10551,2902,54
07-18-2020,10551,2902,54
07-19-2020,11114,2966,62
07-20-2020,11534,3019,66
07-21-2020,11811,3194,68
07-22-2020,12361,3322,71
07-23-2020,13129,3448,80
07-24-2020,13669,3505,87
07-25-2020,14600,3640,98
07-26-2020,15229,3736,104
07-27-2020,15841,3824,115
07-28-2020,16344,3920,125
07-28-2020,16344,3920,125
07-29-2020,16800,4050,133
07-30-2020,17290,4280,140
07-31-2020,17820,4404,150
08-01-2020,18187,4531,154
08-02-2020,18975,4585,162
08-03-2020,19402,4689,171
08-04-2020,19837,6590,181
08-05-2020,20417,6851,191
08-06-2020,21070,7038,200
08-07-2020,22081,7266,218
08-08-2020,22802,7589,228
08-09-2020,23286,7730,235
08-10-2020,23872,7823,244
