







date,confirmed,cured,dead
03-11-2020,19,0,0
03-12-2020,19,0,0
03-13-2020,32,1,0
03-14-2020,38,1,0
03-15-2020,49,1,0
03-16-2020,57,2,0
03-17-2020,65,4,0
03-18-2020,81,4,0
03-19-2020,105,5,1
03-20-2020,128,5,1
03-21-2020,206,5,1
03-22-2020,254,5,1
03-23-2020,315,5,1
03-24-2020,382,5,1
03-25-2020,442,22,1
03-26-2020,495,22,3
03-27-2020,586,37,3
03-28-2020,657,45,5
03-29-2020,713,52,6
03-30-2020,790,67,6
03-31-2020,867,67,6
04-01-2020,963,73,6
04-02-2020,1011,88,7
04-03-2020,1079,92,8
04-04-2020,1126,119,12
04-05-2020,1182,125,15
04-06-2020,1222,130,16
04-07-2020,1282,167,18
04-08-2020,1343,179,19
04-09-2020,1407,219,20
04-10-2020,1495,231,21
04-11-2020,1534,323,21
04-12-2020,1600,373,23
04-13-2020,1650,400,25
04-14-2020,1704,415,31
04-15-2020,1741,473,33
04-16-2020,1791,529,35
04-17-2020,1814,600,36
04-18-2020,1832,615,39
04-19-2020,1871,709,47
04-20-2020,1881,771,47
04-21-2020,1908,801,48
04-22-2020,1950,869,48
04-23-2020,1981,883,50
04-24-2020,2009,982,51
04-25-2020,2016,1034,54
04-26-2020,2030,1103,55
04-27-2020,2039,1166,59
04-28-2020,2047,1232,63
04-29-2020,2062,1288,67
04-30-2020,2076,1348,69
05-01-2020,2085,1421,75
05-02-2020,2088,1463,77
05-03-2020,2096,1489,79
05-04-2020,2101,1522,80
05-05-2020,2112,1560,83
05-05-2020,2112,1560,83
05-06-2020,2119,1601,85
05-07-2020,2125,1641,86
05-08-2020,2161,1689,86
05-09-2020,2176,1726,87
05-10-2020,2187,1764,90
05-11-2020,2196,1784,91
05-12-2020,2207,1808,91
05-12-2020,2207,1808,91
05-13-2020,2213,1834,94
05-14-2020,2221,1850,94
05-14-2020,2221,1850,94
05-15-2020,2222,1869,95
05-16-2020,2224,1913,95
05-17-2020,2226,1936,95
05-18-2020,2228,1946,95
05-19-2020,2232,1967,96
05-19-2020,2232,1967,96
05-20-2020,2234,1978,96
05-21-2020,2237,1978,97
05-22-2020,2243,2011,99
05-23-2020,2243,2023,99
05-24-2020,2244,2027,99
05-25-2020,2244,2035,100
05-26-2020,2244,2046,101
05-27-2020,2244,2047,101
05-28-2020,2245,2051,102
05-29-2020,2245,2059,103
05-30-2020,2246,2063,103
05-31-2020,2246,2072,103
06-01-2020,2246,2077,103
06-02-2020,2246,2088,103
06-03-2020,2246,2095,103
06-04-2020,2247,2105,103
06-05-2020,2247,2113,103
06-06-2020,2247,2121,104
06-06-2020,2247,2121,104
06-07-2020,2247,2126,104
06-08-2020,2247,2128,104
06-09-2020,2247,2130,106
06-10-2020,2249,2130,106
06-11-2020,2249,2132,106
06-12-2020,2249,2133,107
06-13-2020,2251,2134,107
06-14-2020,2252,2134,107
06-15-2020,2254,2140,107
06-16-2020,2255,2140,107
06-17-2020,2258,2141,107
06-18-2020,2269,2142,107
06-19-2020,2280,2142,107
06-20-2020,2299,2142,107
06-21-2020,2317,2142,107
06-22-2020,2336,2142,107
06-23-2020,2366,2142,107
06-24-2020,2388,2145,107
06-25-2020,2483,2149,107
06-26-2020,2539,2150,107
06-27-2020,2624,2152,107
06-28-2020,2691,2152,107
06-29-2020,2725,2155,107
06-30-2020,2777,2155,107
07-01-2020,2831,2155,108
07-02-2020,2912,2155,110
07-03-2020,3008,2168,112
07-04-2020,3094,2183,113
07-05-2020,3151,2196,113
07-06-2020,3220,2210,113
07-07-2020,3272,2229,113
07-08-2020,3325,2277,114
07-09-2020,3416,2323,115
07-10-2020,3532,2377,117
07-11-2020,3672,2466,118
07-12-2020,3722,2486,119
07-13-2020,3775,2514,119
07-14-2020,3827,2558,120
07-15-2020,3953,2629,120
07-16-2020,4039,2729,120
07-17-2020,4137,2825,120
07-18-2020,4253,2929,120
07-18-2020,4253,2929,120
07-18-2020,4253,2929,120
07-19-2020,4345,3018,120
07-20-2020,4370,3101,122
07-21-2020,4422,3183,123
07-22-2020,4530,3278,125
07-23-2020,4634,3394,128
07-24-2020,4715,3555,128
07-25-2020,4792,3778,133
07-26-2020,4857,3866,136
07-27-2020,4881,3936,139
07-28-2020,4923,4034,140
07-28-2020,4923,4034,140
07-29-2020,4993,4099,141
07-30-2020,5071,4178,144
07-31-2020,5139,4267,145
08-01-2020,5224,4341,145
08-02-2020,5260,4373,149
08-03-2020,5294,4438,153
08-04-2020,5318,4517,154
08-05-2020,5376,4589,154
08-06-2020,5404,4688,155
08-07-2020,5466,4758,155
08-08-2020,5543,4817,157
08-09-2020,5604,4861,157
08-10-2020,5649,4906,158
08-11-2020,5740,4962,160
08-12-2020,5870,5024,160
08-13-2020,6050,5078,161
08-14-2020,6258,5134,163
08-15-2020,6420,5193,165
08-16-2020,6571,5220,166
08-17-2020,6656,5254,166
08-18-2020,6855,5318,166
08-19-2020,7074,5386,168
08-20-2020,7329,5472,168
08-21-2020,7594,5584,169
08-22-2020,7900,5678,170
08-23-2020,8175,5801,171
08-24-2020,8311,5926,173
08-25-2020,8530,6124,175
08-26-2020,8888,6362,175
08-27-2020,9192,6595,177
08-28-2020,9549,6809,180
08-29-2020,9861,7024,183
08-30-2020,10123,7212,184
08-31-2020,10269,7434,186
09-01-2020,10414,7735,187
09-02-2020,10725,7968,191
09-03-2020,11094,8266,194
09-04-2020,11428,8530,195
09-05-2020,11739,8771,197
09-06-2020,11964,9008,198
09-07-2020,12081,9266,201
09-08-2020,12285,9553,203
09-09-2020,12626,9833,206
09-10-2020,12917,10142,208
09-11-2020,13107,10466,211
09-12-2020,13368,10721,218
09-13-2020,13533,10899,224
09-14-2020,13598,11151,227
09-15-2020,13749,11412,230
09-16-2020,14029,11690,236
09-17-2020,14279,11933,238
09-18-2020,14513,12169,244
09-19-2020,14725,12353,244
09-20-2020,14922,12536,248
09-21-2020,14992,12737,253
09-22-2020,15136,12987,255
09-23-2020,15340,13815,257
09-24-2020,15572,14111,261
09-25-2020,15795,14303,266
09-26-2020,16007,14405,269
09-27-2020,16197,14609,272
09-28-2020,16245,14793,272
09-29-2020,16380,14947,275
09-30-2020,16593,15057,280
10-01-2020,16827,15218,284
10-02-2020,17160,15423,291
10-03-2020,17401,15661,293
10-04-2020,17659,15849,298
10-05-2020,17797,16031,300
10-06-2020,18084,16192,304
10-07-2020,18447,16308,309
10-08-2020,18989,16473,310
10-09-2020,19446,16695,313
10-10-2020,19932,16953,317
10-11-2020,20440,17298,324
10-12-2020,20621,17582,327
10-13-2020,20993,17889,330
10-14-2020,21741,18197,334
10-15-2020,22534,18628,344
10-16-2020,23665,19087,345
10-17-2020,24761,19562,355
10-18-2020,25580,20053,363
10-19-2020,25973,20529,374
10-20-2020,26863,20962,382
10-21-2020,28287,21435,393
10-22-2020,29850,22064,406
10-23-2020,31717,22910,413
10-24-2020,33959,23785,429
10-25-2020,36380,24799,437
