







date,confirmed,cured,dead
03-12-2020,3,0,0
03-13-2020,4,0,0
03-14-2020,4,0,0
03-15-2020,4,0,0
03-16-2020,4,0,0
03-17-2020,5,0,0
03-18-2020,7,0,1
03-19-2020,11,0,1
03-20-2020,16,0,1
03-21-2020,21,0,1
03-22-2020,35,0,1
03-23-2020,40,0,1
03-24-2020,48,1,1
03-25-2020,57,1,1
03-26-2020,67,1,2
03-27-2020,80,4,2
03-28-2020,119,4,3
03-29-2020,139,4,3
03-30-2020,170,4,4
03-31-2020,186,8,6
04-01-2020,212,12,6
04-02-2020,233,13,6
04-03-2020,269,15,6
04-04-2020,288,15,6
04-05-2020,320,15,8
04-06-2020,350,18,9
04-07-2020,396,27,11
04-08-2020,457,27,12
04-09-2020,515,28,15
04-10-2020,564,51,15
04-11-2020,620,77,16
04-12-2020,669,92,18
04-13-2020,726,121,21
04-14-2020,766,132,21
04-15-2020,814,151,24
04-16-2020,862,171,27
04-17-2020,923,192,31
04-18-2020,986,227,32
04-19-2020,1035,255,34
04-20-2020,1087,285,36
04-21-2020,1137,309,38
04-22-2020,1189,341,40
04-23-2020,1235,365,43
04-24-2020,1285,416,49
04-25-2020,1337,437,51
04-26-2020,1369,501,54
04-27-2020,1389,525,56
04-28-2020,1437,575,58
04-29-2020,1467,617,58
04-30-2020,1501,681,61
05-01-2020,1537,714,64
05-02-2020,1611,765,66
05-03-2020,1649,827,67
05-04-2020,1668,876,69
05-05-2020,1685,954,69
05-05-2020,1685,954,69
05-06-2020,1703,1001,69
05-07-2020,1729,1031,73
05-08-2020,1741,1078,74
05-09-2020,1754,1140,74
05-10-2020,1766,1193,77
05-11-2020,1783,1229,77
05-12-2020,1804,1277,78
05-12-2020,1804,1277,78
05-13-2020,1810,1326,79
05-14-2020,1830,1383,79
05-14-2020,1830,1383,79
05-15-2020,1840,1425,79
05-16-2020,1862,1460,79
05-17-2020,1872,1495,79
05-18-2020,1881,1505,79
05-19-2020,1887,1538,79
05-19-2020,1887,1538,79
05-20-2020,1900,1573,79
05-21-2020,1908,1603,80
05-22-2020,1916,1631,81
05-23-2020,1931,1671,81
05-24-2020,1941,1689,82
05-25-2020,1947,1704,82
05-26-2020,1963,1709,82
05-27-2020,1974,1724,82
05-28-2020,1983,1734,82
05-29-2020,2005,1760,82
05-30-2020,2025,1795,83
05-31-2020,2045,1809,83
06-01-2020,2083,1826,83
06-02-2020,2092,1827,83
06-03-2020,2107,1830,83
06-04-2020,2119,1839,83
06-05-2020,2133,1848,83
06-06-2020,2173,1855,83
06-06-2020,2173,1855,83
06-07-2020,2191,1862,83
06-08-2020,2200,1868,83
06-09-2020,2205,1880,83
06-10-2020,2211,1886,83
06-11-2020,2219,1893,84
06-12-2020,2233,1902,84
06-13-2020,2238,1923,84
06-14-2020,2248,1948,84
06-15-2020,2262,1965,84
06-16-2020,2273,1994,84
06-17-2020,2280,1999,84
06-18-2020,2295,2020,85
06-19-2020,2305,2037,85
06-20-2020,2309,2071,85
06-21-2020,2312,2103,85
06-22-2020,2315,2113,85
06-23-2020,2318,2123,85
06-24-2020,2319,2130,85
06-25-2020,2321,2171,85
06-26-2020,2325,2180,85
06-27-2020,2330,2187,86
06-28-2020,2332,2201,86
06-29-2020,2340,2211,86
06-30-2020,2341,2214,86
07-01-2020,2348,2218,86
07-02-2020,2353,2221,86
07-03-2020,2361,2224,86
07-04-2020,2369,2227,86
07-05-2020,2372,2229,86
07-06-2020,2380,2234,86
07-07-2020,2395,2240,86
07-08-2020,2399,2242,86
07-09-2020,2403,2244,86
07-10-2020,2413,2249,86
07-11-2020,2420,2254,87
07-12-2020,2426,2258,87
07-13-2020,2428,2268,87
07-14-2020,2432,2275,87
07-15-2020,2438,2277,87
07-16-2020,2440,2285,87
07-17-2020,2444,2300,87
07-18-2020,2445,2304,87
07-18-2020,2445,2304,87
07-18-2020,2445,2304,87
07-19-2020,2446,2308,87
07-20-2020,2446,2308,87
07-21-2020,2449,2321,87
07-22-2020,2462,2326,87
07-23-2020,2466,2339,87
07-24-2020,2469,2341,87
07-25-2020,2478,2345,87
07-26-2020,2495,2349,87
07-27-2020,2532,2351,87
07-28-2020,2555,2352,87
07-28-2020,2555,2352,87
07-29-2020,2588,2353,87
07-30-2020,2597,2355,87
07-31-2020,2608,2355,87
08-01-2020,2633,2367,87
