







date,confirmed,cured,dead
03-11-2020,444,1,0
03-12-2020,617,1,0
03-13-2020,804,1,0
03-14-2020,836,1,1
03-15-2020,875,1,2
03-16-2020,932,1,3
03-17-2020,1024,1,4
03-18-2020,1115,1,4
03-19-2020,1225,1,6
03-20-2020,1337,1,9
03-21-2020,1420,1,13
03-22-2020,1514,4,13
03-23-2020,1572,24,24
03-24-2020,1718,36,32
03-25-2020,1862,41,34
03-26-2020,2023,50,41
03-27-2020,2200,57,52
03-28-2020,2366,57,65
03-29-2020,2564,73,72
03-30-2020,2755,73,77
03-31-2020,3039,77,90
04-01-2020,3290,971,104
04-02-2020,3573,1172,123
04-03-2020,3946,1287,139
04-04-2020,4269,1379,161
04-05-2020,4561,1429,179
04-06-2020,4875,1489,187
04-07-2020,5266,1621,203
04-08-2020,5597,1763,218
04-09-2020,5830,1883,237
04-10-2020,6014,1929,247
04-11-2020,6191,2111,260
04-12-2020,6369,2291,273
04-13-2020,6513,2403,285
04-14-2020,6706,2689,299
04-15-2020,6876,2925,309
04-16-2020,7074,3203,321
04-17-2020,7268,3571,336
04-18-2020,7437,4031,346
04-19-2020,7580,4328,355
04-20-2020,7711,4499,364
04-21-2020,7891,4889,370
04-22-2020,8108,5276,384
04-23-2020,8271,5573,394
04-24-2020,8408,5715,403
04-25-2020,8643,5858,418
04-26-2020,8773,5994,422
04-27-2020,8896,6148,427
04-28-2020,9049,6313,434
04-29-2020,9206,6558,443
04-30-2020,9356,6741,452
05-01-2020,9509,6924,460
05-02-2020,9605,7084,475
05-03-2020,9721,7183,484
05-04-2020,9868,7284,493
05-05-2020,10019,7492,503
05-05-2020,10019,7492,503
05-06-2020,10136,7689,506
05-07-2020,10281,7907,514
05-08-2020,10416,8125,522
05-09-2020,10517,8291,526
05-10-2020,10627,8415,529
05-11-2020,10711,8526,533
05-12-2020,10789,8778,527
05-12-2020,10789,8778,527
05-13-2020,10865,8861,533
05-14-2020,10911,9003,537
05-14-2020,10911,9003,537
05-15-2020,10989,9157,537
05-16-2020,11056,9305,543
05-17-2020,11125,9425,547
05-18-2020,11166,9499,548
05-19-2020,11242,9614,551
05-19-2020,11242,9614,551
05-20-2020,11315,9734,554
05-21-2020,11380,9841,561
05-22-2020,11428,9962,561
05-23-2020,11487,10034,561
05-24-2020,11559,10098,562
05-25-2020,11586,10162,563
05-26-2020,11627,10242,563
05-27-2020,11680,10304,565
05-28-2020,11712,10378,568
05-29-2020,11793,10438,568
05-30-2020,11833,10525,571
05-31-2020,11869,10560,574
06-01-2020,11899,10610,576
06-02-2020,11934,10687,580
06-03-2020,11971,10750,580
06-04-2020,12011,10820,582
06-05-2020,12075,10853,586
06-06-2020,12124,10921,587
06-06-2020,12124,10921,587
06-07-2020,12148,10955,589
06-08-2020,12162,10992,593
06-09-2020,12201,11049,593
06-10-2020,12216,11104,593
06-11-2020,12235,11155,593
06-12-2020,12299,11193,594
06-13-2020,12339,11235,597
06-14-2020,12393,11268,597
06-15-2020,12417,11290,598
06-16-2020,12450,11325,598
06-17-2020,12494,11385,598
06-18-2020,12544,11442,600
06-19-2020,12591,11482,600
06-20-2020,12591,11482,600
06-21-2020,12591,11482,600
06-22-2020,12727,11547,602
06-23-2020,12761,11593,603
06-24-2020,12815,11622,603
06-25-2020,12836,11660,603
06-26-2020,12875,11708,604
06-27-2020,12875,11708,604
06-28-2020,12875,11708,604
06-29-2020,12951,11812,605
06-30-2020,12968,11849,605
07-01-2020,12994,11893,606
07-02-2020,13015,11969,606
07-03-2020,13032,12017,606
07-04-2020,13032,12017,606
07-05-2020,13033,12017,606
07-06-2020,13079,12135,607
07-07-2020,13089,12184,609
07-08-2020,13101,12202,609
07-09-2020,13117,12246,609
07-10-2020,13147,12278,609
07-11-2020,13147,12278,609
07-12-2020,13147,12278,609
07-13-2020,13238,12331,610
07-14-2020,13262,12361,610
07-15-2020,13293,12383,610
07-16-2020,13325,12396,610
07-17-2020,13374,12410,611
07-18-2020,13374,12410,611
07-18-2020,13374,12410,611
07-18-2020,13374,12410,611
07-19-2020,13377,12410,611
07-20-2020,13466,12452,611
07-21-2020,13506,12462,611
07-22-2020,13554,12475,611
07-23-2020,13594,12500,612
07-24-2020,13642,12541,613
07-25-2020,13643,12541,613
07-26-2020,13665,12541,613
07-27-2020,13775,12618,613
07-28-2020,13811,12652,613
07-28-2020,13811,12652,613
07-29-2020,13868,12686,614
07-30-2020,13964,12727,615
07-31-2020,14028,12780,615
08-01-2020,14028,12780,615
08-02-2020,14028,12783,615
08-03-2020,14235,12887,616
08-04-2020,14314,12920,616
08-05-2020,14440,12958,616
08-06-2020,14586,12993,617
08-07-2020,14747,13046,617
08-08-2020,14751,13047,617
08-09-2020,14759,13069,617
08-10-2020,15135,13154,620
08-11-2020,15291,13227,621
08-12-2020,15423,13305,621
08-13-2020,15590,13370,621
08-14-2020,15758,13455,621
08-15-2020,15867,13514,621
08-16-2020,16003,13579,621
08-17-2020,16127,13660,621
08-18-2020,16246,13778,621
08-19-2020,16336,13921,621
08-20-2020,16453,14057,621
08-21-2020,16525,14258,621
08-22-2020,16637,14258,622
08-23-2020,16715,14494,622
08-24-2020,16821,14661,623
08-25-2020,16905,14823,623
08-26-2020,16962,14974,623
08-27-2020,17052,15135,624
08-28-2020,17125,15252,624
08-29-2020,17204,15365,624
08-30-2020,17316,15492,624
08-31-2020,17410,15593,624
09-01-2020,17509,15688,625
09-02-2020,17620,15801,626
09-03-2020,17800,15892,626
09-04-2020,17974,15979,627
09-05-2020,18163,16064,627
09-06-2020,18310,16153,627
09-07-2020,18540,16256,628
09-08-2020,18784,16330,628
09-09-2020,19036,16414,628
09-10-2020,19353,16493,629
09-11-2020,19646,16563,629
09-12-2020,19989,16671,630
09-13-2020,20327,16757,631
09-14-2020,20674,16863,633
09-15-2020,21013,16983,633
09-16-2020,21013,16983,633
09-17-2020,21836,17344,635
09-18-2020,22291,17536,635
09-19-2020,22881,17742,635
09-20-2020,23353,17940,638
09-21-2020,23774,18165,640
09-22-2020,24261,18463,641
09-23-2020,24822,18789,643
09-24-2020,25385,19076,645
09-25-2020,26066,19441,647
09-26-2020,26687,19781,648
09-27-2020,27111,20087,649
09-28-2020,27546,20379,649
09-29-2020,27941,20762,650
09-30-2020,28479,21197,650
10-01-2020,28882,21752,651
10-02-2020,29418,22270,652
10-03-2020,29789,22743,654
10-04-2020,30168,23165,658
10-05-2020,30546,23577,659
10-06-2020,30868,24121,663
10-07-2020,31201,24706,663
10-08-2020,31648,25369,665
10-09-2020,32131,25975,665
10-10-2020,32575,26462,667
10-11-2020,32915,26855,669
10-12-2020,33304,27218,671
10-13-2020,33594,27704,674
10-14-2020,34087,28161,675
10-15-2020,34519,28603,677
10-16-2020,34939,29036,677
10-17-2020,35440,29403,679
10-18-2020,35893,29741,680
10-19-2020,36345,30048,686
10-20-2020,36877,30486,688
10-21-2020,37507,30921,690
10-22-2020,38270,31366,694
10-23-2020,39129,31784,697
10-24-2020,39918,32190,700
10-25-2020,40863,32479,702
10-26-2020,41919,32731,708
10-27-2020,42668,33191,709
10-28-2020,43685,33620,715
10-29-2020,44545,34096,716
10-30-2020,45736,34548,719
10-31-2020,46863,35020,721
11-01-2020,47811,35465,723
11-02-2020,48753,35917,724
11-03-2020,50106,36617,728
11-04-2020,51042,37398,729
11-05-2020,52265,38263,733
11-06-2020,53692,39136,738
11-07-2020,54742,40000,740
11-08-2020,55635,40815,743
11-09-2020,56406,41742,747
11-10-2020,57472,42759,750
11-11-2020,58466,43994,753
11-12-2020,59478,45204,755
11-13-2020,60515,46216,756
11-14-2020,61593,47285,757
11-15-2020,62652,48259,760
11-16-2020,63847,49208,764
11-17-2020,65067,50473,768
11-18-2020,66324,51729,770
11-19-2020,67621,52958,773
11-20-2020,68878,53983,778
11-21-2020,70152,54949,781
11-22-2020,71003,55789,784
11-23-2020,72172,56547,789
