







date,confirmed,cured,dead
03-11-2020,5,0,0
03-12-2020,5,0,0
03-13-2020,5,0,0
03-14-2020,11,0,0
03-15-2020,11,0,0
03-16-2020,11,0,0
03-17-2020,21,0,1
03-18-2020,21,0,1
03-19-2020,34,0,2
03-20-2020,72,0,2
03-21-2020,112,0,2
03-22-2020,202,0,3
03-23-2020,245,3,3
03-24-2020,312,3,6
03-25-2020,392,3,10
03-26-2020,488,3,10
03-27-2020,581,3,20
03-28-2020,719,3,28
03-29-2020,859,3,39
03-30-2020,901,4,42
03-31-2020,1109,5,51
04-01-2020,1284,9,57
04-02-2020,1380,16,60
04-03-2020,1488,16,68
04-04-2020,1488,16,68
04-05-2020,1745,17,82
04-06-2020,1828,33,86
04-07-2020,1956,36,98
04-08-2020,2111,50,108
04-09-2020,2349,80,118
04-10-2020,2620,98,126
04-11-2020,2759,108,135
04-12-2020,2967,131,173
04-13-2020,3167,152,177
04-14-2020,3286,162,183
04-15-2020,3614,208,189
04-16-2020,3755,215,196
04-17-2020,4126,268,200
04-18-2020,4335,312,217
04-19-2020,4680,363,226
04-20-2020,4964,416,235
04-21-2020,5044,463,245
04-22-2020,5300,581,260
04-23-2020,5543,581,265
04-24-2020,5749,763,267
04-25-2020,5926,822,273
04-26-2020,6135,910,278
04-27-2020,6293,993,282
04-28-2020,6416,1165,286
04-29-2020,6652,1228,293
04-30-2020,6972,1301,301
05-01-2020,7288,1387,313
05-02-2020,7578,1481,326
05-03-2020,7954,1606,333
05-04-2020,8235,1771,346
05-05-2020,8480,1905,354
05-05-2020,8480,1905,354
05-06-2020,8807,1960,362
05-07-2020,9095,2064,373
05-08-2020,9376,2286,380
05-09-2020,9882,2584,385
05-10-2020,10347,2763,388
05-11-2020,10634,2870,393
05-12-2020,10900,3221,402
05-12-2020,10900,3221,402
05-13-2020,11196,3221,409
05-14-2020,11320,3351,422
05-14-2020,11320,3351,422
05-15-2020,11739,3557,424
05-16-2020,12110,3726,428
05-17-2020,12314,5847,428
05-18-2020,12725,6613,434
05-19-2020,13223,6613,441
05-19-2020,13223,6613,441
05-20-2020,13477,7142,446
05-21-2020,13657,7366,448
05-22-2020,13989,7572,456
05-23-2020,14422,7854,458
05-24-2020,14801,8133,458
05-25-2020,15073,8285,460
05-26-2020,15264,8534,468
05-27-2020,15723,8790,474
05-28-2020,16068,8952,485
05-29-2020,16531,9266,488
05-30-2020,16908,9557,498
05-31-2020,17285,10559,502
06-01-2020,17572,10893,502
06-02-2020,17752,11075,515
06-03-2020,18040,11224,516
06-04-2020,18319,11474,520
06-05-2020,18708,11736,525
06-06-2020,19195,11919,536
06-06-2020,19195,11919,536
06-07-2020,19600,12007,538
06-08-2020,20126,12158,539
06-09-2020,20415,12208,544
06-10-2020,20808,12318,550
06-11-2020,21437,12541,561
06-12-2020,22008,12754,568
06-13-2020,22572,13084,577
06-14-2020,22962,13320,592
06-15-2020,23271,14025,605
06-16-2020,23686,14133,615
06-17-2020,24105,14216,633
06-18-2020,24645,14293,635
06-19-2020,25068,14605,647
06-20-2020,25778,14957,655
06-21-2020,26677,15138,662
06-22-2020,27370,15338,669
06-23-2020,27936,15551,675
06-24-2020,28631,16006,691
06-25-2020,29141,16223,698
06-26-2020,29764,16357,712
06-27-2020,30619,16666,718
06-28-2020,31373,17142,726
06-29-2020,31816,17280,733
06-30-2020,32568,17580,747
07-01-2020,33387,17904,754
07-02-2020,34197,18141,765
07-03-2020,35148,18392,775
07-04-2020,36184,18602,786
07-05-2020,37425,18943,794
07-06-2020,38128,19489,804
07-07-2020,38430,19564,821
07-08-2020,39588,20056,829
07-09-2020,40790,20426,842
07-10-2020,41915,20830,864
07-11-2020,43114,20996,880
07-12-2020,44532,21459,897
07-13-2020,45506,22441,903
07-14-2020,46305,23134,910
07-15-2020,47671,23459,929
07-16-2020,48743,23636,941
07-17-2020,50113,24423,942
07-18-2020,51519,24607,971
07-18-2020,51519,24607,971
07-18-2020,51519,24607,971
07-19-2020,52855,25094,981
07-20-2020,53956,25561,993
07-21-2020,54797,25976,999
07-22-2020,56043,26466,1005
07-23-2020,57615,26905,1006
07-24-2020,59077,27625,1036
