







date,confirmed,cured,dead
03-11-2020,60,27,1
03-12-2020,67,27,1
03-13-2020,80,27,2
03-14-2020,109,27,2
03-15-2020,110,21,2
03-16-2020,150,27,2
03-17-2020,196,32,4
03-18-2020,196,32,6
03-19-2020,256,32,6
03-20-2020,285,39,8
03-21-2020,294,41,10
03-22-2020,327,56,14
03-23-2020,366,68,19
03-24-2020,402,80,20
03-25-2020,456,95,21
03-26-2020,495,102,24
03-27-2020,536,116,30
03-28-2020,576,121,36
03-29-2020,609,132,40
03-30-2020,656,150,41
03-31-2020,710,157,46
04-01-2020,779,179,52
04-02-2020,865,201,58
04-03-2020,985,216,66
04-04-2020,1070,241,71
04-05-2020,1173,247,78
04-06-2020,1322,259,85
04-07-2020,1450,276,94
04-08-2020,1560,305,103
04-09-2020,1699,348,118
04-10-2020,1794,384,135
04-11-2020,1939,426,146
04-12-2020,2065,589,159
04-13-2020,2190,589,164
04-14-2020,2350,589,178
04-15-2020,2505,589,183
04-16-2020,2673,596,196
04-17-2020,2844,646,205
04-18-2020,3032,701,224
04-19-2020,3144,732,239
04-20-2020,3333,821,250
04-21-2020,3490,870,264
04-22-2020,3659,935,276
04-23-2020,3891,1004,287
04-24-2020,4092,1075,294
04-25-2020,4319,1114,307
04-26-2020,4534,1176,317
04-27-2020,4782,1236,337
04-28-2020,5042,1304,359
04-29-2020,5268,1335,380
04-30-2020,5537,1381,392
05-01-2020,5895,1460,406
05-02-2020,6193,1522,415
05-03-2020,6465,1562,429
05-04-2020,6813,1632,436
05-05-2020,7201,1730,452
05-05-2020,7201,1730,452
05-06-2020,7588,1815,469
05-07-2020,7981,1887,482
05-08-2020,8476,1945,503
05-09-2020,8964,2002,514
05-10-2020,9400,2075,525
05-11-2020,9746,2172,533
05-12-2020,10093,2326,544
05-12-2020,10093,2326,544
05-13-2020,10431,2486,556
05-14-2020,10829,2626,571
05-14-2020,10829,2626,571
05-15-2020,11228,2799,592
05-16-2020,11719,2950,612
05-17-2020,12229,3172,630
05-18-2020,12764,3440,645
05-19-2020,13484,3742,659
05-19-2020,13484,3742,659
05-20-2020,14229,3994,680
05-21-2020,15003,4217,696
05-22-2020,15786,4374,707
05-23-2020,16513,4628,735
05-24-2020,17265,4807,764
05-25-2020,17967,4900,783
05-26-2020,18756,5027,797
05-27-2020,19666,5205,816
05-28-2020,20793,5359,845
05-29-2020,22082,5511,879
05-30-2020,23449,5693,913
05-31-2020,24985,6037,959
06-01-2020,26384,6447,1005
06-02-2020,27536,6827,1052
06-03-2020,28615,7350,1088
06-04-2020,29767,7756,1126
06-05-2020,31115,8158,1166
06-06-2020,32612,8538,1198
06-06-2020,32612,8538,1198
06-07-2020,34079,8961,1237
06-08-2020,35444,9375,1271
06-09-2020,36829,9786,1306
06-10-2020,38284,10289,1342
06-11-2020,39726,10691,1377
06-12-2020,41303,11108,1422
06-13-2020,42980,11529,1484
06-14-2020,44598,11931,1575
06-15-2020,46289,12329,1672
06-16-2020,47856,12730,1766
06-17-2020,49219,13141,1850
06-18-2020,50437,13528,1938
06-19-2020,52211,13928,2017
06-20-2020,53758,14327,2106
06-21-2020,55233,14736,2193
06-22-2020,56809,15133,2278
06-23-2020,58141,15535,2365
06-24-2020,59561,15935,2450
06-25-2020,61130,16338,2533
06-26-2020,62755,16737,2620
06-27-2020,63923,17140,2708
06-28-2020,65188,17539,2789
06-29-2020,66754,17951,2872
06-30-2020,68311,18460,2953
07-01-2020,69814,18881,3034
07-02-2020,71299,19288,3120
07-03-2020,72711,19690,3201
07-04-2020,74035,20103,3280
07-05-2020,75253,20726,3343
07-06-2020,76222,21238,3422
07-07-2020,77279,21718,3489
07-08-2020,78304,22241,3564
07-09-2020,79254,22753,3617
07-10-2020,80235,23274,3702
07-11-2020,81158,23876,3769
07-12-2020,82070,24419,3858
07-13-2020,83001,24975,3935
07-14-2020,83930,25544,4008
07-15-2020,84843,26135,4067
07-16-2020,85771,26691,4120
07-17-2020,86474,27302,4188
07-18-2020,87172,27868,4251
07-18-2020,87172,27868,4251
07-18-2020,87172,27868,4251
07-19-2020,87775,28380,4302
07-20-2020,88402,28924,4352
07-21-2020,89078,29473,4399
07-22-2020,89745,30075,4440
07-23-2020,90413,31066,4480
07-24-2020,91072,31970,4518
07-25-2020,91583,32903,4558
07-26-2020,92062,33831,4606
07-27-2020,92482,34838,4652
07-28-2020,92947,35959,4691
07-28-2020,92947,35959,4691
07-29-2020,93356,37025,4728
07-30-2020,93757,38236,4774
07-31-2020,94078,39638,4805
08-01-2020,94316,41137,4834
08-02-2020,94483,42455,4865
08-03-2020,94640,44066,4888
08-04-2020,94752,45569,4912
08-05-2020,94875,47182,4930
08-06-2020,95006,48898,4951
08-07-2020,95147,50553,4971
08-08-2020,95314,51672,4992
08-09-2020,95492,52678,5009
08-10-2020,95666,53779,5035
08-11-2020,95834,54888,5059
08-12-2020,95963,55901,5085
08-13-2020,96108,56890,5107
08-14-2020,96220,57858,5124
08-15-2020,96336,58835,5141
08-16-2020,96475,59743,5160
08-17-2020,96590,60651,5173
08-18-2020,96753,61562,5184
08-19-2020,96914,62553,5197
08-20-2020,97025,63462,5212
08-21-2020,97148,64318,5231
08-22-2020,97237,65118,5243
08-23-2020,97340,65927,5262
08-24-2020,97478,66817,5280
08-25-2020,97619,67717,5298
08-26-2020,97825,68713,5317
08-27-2020,98062,69612,5342
08-28-2020,98285,70419,5362
08-29-2020,98497,71302,5376
08-30-2020,98727,72120,5399
08-31-2020,98939,72929,5421
09-01-2020,99115,73828,5440
09-02-2020,99280,74626,5461
09-03-2020,99425,75415,5479
09-04-2020,99582,76305,5495
09-05-2020,99712,77208,5511
09-06-2020,99863,78108,5530
09-07-2020,100041,79008,5541
09-08-2020,100228,79886,5560
09-09-2020,100403,80689,5577
09-10-2020,100557,81597,5590
09-11-2020,100708,82473,5607
09-12-2020,100856,83261,5627
09-13-2020,101009,84161,5648
09-14-2020,101177,84969,5661
09-15-2020,101340,85745,5679
