







date,confirmed,cured,dead
03-11-2020,16,0,0
03-12-2020,16,0,0
03-13-2020,79,0,0
03-14-2020,115,0,0
03-15-2020,171,1,0
03-16-2020,205,1,0
03-17-2020,225,1,0
03-18-2020,258,1,0
03-19-2020,267,1,0
03-20-2020,283,1,0
03-21-2020,306,1,0
03-22-2020,326,4,0
03-23-2020,352,4,0
03-24-2020,369,7,0
03-25-2020,404,8,1
03-26-2020,538,8,1
03-27-2020,575,11,1
03-28-2020,645,20,1
03-29-2020,679,20,3
03-30-2020,715,20,3
03-31-2020,745,26,4
04-01-2020,779,33,5
04-02-2020,858,45,11
04-03-2020,961,48,12
04-04-2020,1039,59,13
04-05-2020,1097,62,15
04-06-2020,1108,62,19
04-07-2020,1149,69,21
04-08-2020,1185,72,24
04-09-2020,1207,83,24
04-10-2020,1258,93,24
04-11-2020,1304,93,24
04-12-2020,1309,98,25
04-13-2020,1332,102,28
04-14-2020,1373,115,31
04-15-2020,1400,117,35
04-16-2020,1434,133,36
04-17-2020,1459,145,38
04-18-2020,1512,162,38
04-19-2020,1528,164,40
04-20-2020,1535,165,40
04-21-2020,1552,169,43
04-22-2020,1559,184,44
04-23-2020,1592,192,45
04-24-2020,1605,206,46
04-25-2020,1635,228,46
04-26-2020,1643,233,49
04-27-2020,1647,233,50
04-28-2020,1660,240,50
04-29-2020,1666,236,50
04-30-2020,1689,249,52
05-01-2020,1694,253,52
05-02-2020,1699,256,53
05-03-2020,1700,259,55
05-04-2020,1703,259,55
05-05-2020,1711,261,55
05-05-2020,1711,261,55
05-06-2020,1713,264,55
05-07-2020,1720,273,56
05-08-2020,1725,704,56
05-09-2020,1733,747,60
05-10-2020,1739,750,60
05-11-2020,1741,751,61
05-12-2020,1746,777,61
05-12-2020,1746,777,61
05-13-2020,1751,777,61
05-14-2020,1758,909,62
05-14-2020,1758,909,62
05-15-2020,1766,923,63
05-16-2020,1770,934,63
05-17-2020,1774,938,63
05-18-2020,1784,938,64
05-19-2020,1791,938,64
05-19-2020,1791,938,64
05-20-2020,1794,956,64
05-21-2020,1800,1488,64
05-22-2020,1807,1508,64
05-23-2020,1821,1526,64
05-24-2020,1823,1532,64
05-25-2020,1824,1538,65
05-26-2020,1834,1552,65
05-27-2020,1840,1561,66
05-28-2020,1851,1574,66
05-29-2020,1859,1610,67
05-30-2020,1865,1622,67
05-31-2020,1869,1624,68
06-01-2020,1870,1625,68
06-02-2020,1870,1632,68
06-03-2020,1880,1650,69
06-04-2020,1890,1663,69
06-05-2020,1910,1667,69
06-06-2020,1931,1675,69
06-06-2020,1931,1675,69
06-07-2020,1939,1681,69
06-08-2020,1940,1683,69
06-09-2020,1947,1684,69
06-10-2020,1958,1690,69
06-11-2020,1965,1697,69
06-12-2020,1970,1703,69
06-13-2020,1973,1705,69
06-14-2020,1973,1705,69
06-15-2020,1974,1717,69
06-16-2020,1975,1728,69
06-17-2020,1977,1743,69
06-18-2020,1977,1748,69
06-19-2020,1979,1755,69
06-20-2020,1981,1758,69
06-21-2020,1981,1764,69
06-22-2020,1981,1765,69
06-23-2020,1982,1771,69
06-24-2020,1983,1783,69
06-25-2020,1984,1790,69
06-26-2020,1986,1797,69
06-27-2020,1986,1812,69
06-28-2020,1987,1818,69
06-29-2020,1987,1818,69
06-30-2020,1989,1829,69
07-01-2020,1989,1836,69
07-02-2020,1990,1842,69
07-03-2020,1991,1859,69
07-04-2020,1993,1870,69
07-05-2020,1993,1874,69
07-06-2020,1994,1875,69
07-07-2020,1995,1880,69
07-08-2020,2003,1882,69
07-09-2020,2011,1889,69
07-10-2020,2013,1894,69
07-11-2020,2014,1895,69
07-12-2020,2014,1895,69
07-13-2020,2014,1895,69
07-14-2020,2015,1897,69
07-15-2020,2016,1901,69
07-16-2020,2016,1904,69
07-17-2020,2020,1910,69
07-18-2020,2021,1912,69
07-18-2020,2021,1912,69
07-18-2020,2021,1912,69
07-19-2020,2021,1912,69
07-20-2020,2021,1912,69
07-21-2020,2022,1912,69
07-22-2020,2025,1912,69
07-23-2020,2027,1912,69
07-24-2020,2028,1915,69
07-25-2020,2033,1915,69
07-26-2020,2034,1922,69
07-27-2020,2034,1923,69
07-28-2020,2038,1924,69
07-28-2020,2038,1924,69
07-29-2020,2042,1926,69
07-30-2020,2051,1926,69
07-31-2020,2064,1930,69
08-01-2020,2072,1934,69
08-02-2020,2079,1934,63
08-03-2020,2080,1935,63
08-04-2020,2091,1937,63
08-05-2020,2113,1948,63
08-06-2020,2124,1954,63
08-07-2020,2133,1956,63
08-08-2020,2147,1961,63
08-09-2020,2152,1961,63
08-10-2020,2158,1962,63
08-11-2020,2167,1968,63
08-12-2020,2174,1975,63
08-13-2020,2174,1975,63
08-14-2020,2177,1976,63
08-15-2020,2184,1976,63
08-16-2020,2190,1976,63
08-17-2020,2192,1976,63
08-18-2020,2200,1990,63
08-19-2020,2207,2002,63
08-20-2020,2227,2009,63
08-21-2020,2244,2011,63
08-22-2020,2265,2024,63
08-23-2020,2272,2024,63
08-24-2020,2275,2025,64
08-25-2020,2294,2038,64
08-26-2020,2311,2054,64
08-27-2020,2325,2067,64
08-28-2020,2343,2076,64
08-29-2020,2363,2086,64
08-30-2020,2373,2088,64
08-31-2020,2375,2088,64
09-01-2020,2395,2112,64
09-02-2020,2415,2130,64
09-03-2020,2441,2150,64
09-04-2020,2456,2157,64
09-05-2020,2491,2165,64
09-06-2020,2516,2170,64
09-07-2020,2532,2176,64
09-08-2020,2564,2195,64
09-09-2020,2585,2213,64
09-10-2020,2600,2223,64
09-11-2020,2632,2233,64
09-12-2020,2655,2252,64
09-13-2020,2676,2256,64
09-14-2020,2698,2256,64
09-15-2020,2722,2286,64
09-16-2020,2756,2318,64
09-17-2020,2778,2337,64
09-18-2020,2814,2357,64
09-19-2020,2875,2374,64
09-20-2020,2924,2377,64
09-21-2020,2941,2379,64
09-22-2020,2976,2385,64
09-23-2020,3033,2387,64
09-24-2020,3076,2395,64
09-25-2020,3118,2417,64
09-26-2020,3165,2499,64
09-27-2020,3200,2506,64
09-28-2020,3267,2513,64
09-29-2020,3315,2564,64
09-30-2020,3371,2605,64
10-01-2020,3450,2643,65
10-02-2020,3507,2675,66
10-03-2020,3577,2727,67
10-04-2020,3607,2749,67
10-05-2020,3617,2755,67
10-06-2020,3659,2806,67
10-07-2020,3715,2813,67
10-08-2020,3760,2824,67
10-09-2020,3809,2906,68
10-10-2020,3846,2946,68
10-11-2020,3865,2958,68
10-12-2020,3883,2967,68
10-13-2020,3908,3015,68
10-14-2020,3947,3060,68
10-15-2020,3980,3093,68
10-16-2020,4017,3137,68
10-17-2020,4052,3198,68
10-18-2020,4078,3211,68
10-19-2020,4085,3229,68
10-20-2020,4127,3270,71
10-21-2020,4171,3334,71
10-22-2020,4247,3366,71
10-23-2020,4300,3418,73
10-24-2020,4351,3441,73
10-25-2020,4411,3457,73
10-26-2020,4428,3505,73
10-27-2020,4465,3561,73
10-28-2020,4590,3626,73
10-29-2020,4671,3684,73
10-30-2020,4771,3747,73
10-31-2020,4905,3811,73
11-01-2020,4985,3824,73
11-02-2020,5046,3832,73
11-03-2020,5125,3904,73
11-04-2020,5333,3954,73
11-05-2020,5464,4032,73
11-06-2020,5705,4103,73
11-07-2020,5933,4184,73
11-08-2020,6125,4193,75
11-09-2020,6250,4205,76
11-10-2020,6376,4219,76
11-11-2020,6508,4378,76
11-12-2020,6881,4453,76
11-13-2020,7148,4551,80
11-14-2020,7412,4708,80
11-15-2020,7637,4741,81
11-16-2020,7848,4749,81
11-17-2020,8033,4977,84
11-18-2020,8304,5120,85
11-19-2020,8715,5264,86
11-20-2020,9076,5296,87
11-21-2020,9375,5661,87
11-22-2020,9724,5699,88
11-23-2020,9956,5720,92
11-24-2020,10159,6014,94
11-25-2020,10541,6052,97
11-26-2020,10955,6497,99
11-27-2020,11323,6710,104
11-28-2020,11698,6974,109
11-29-2020,12052,7010,112
11-30-2020,12308,7078,118
12-01-2020,12497,7536,121
12-02-2020,13019,7608,122
12-03-2020,13469,8182,123
12-04-2020,13939,8549,125
12-05-2020,14500,8919,126
12-06-2020,14978,8959,131
12-07-2020,15226,9009,134
12-08-2020,15510,9446,137
12-09-2020,16054,9860,139
12-10-2020,16598,9945,141
12-11-2020,16956,10533,142
12-12-2020,17713,10626,148
12-13-2020,18055,11037,149
12-14-2020,18385,11121,154
12-15-2020,18682,11669,157
12-16-2020,19271,12117,160
12-17-2020,20004,12533,164
12-18-2020,20658,12922,168
12-19-2020,21219,13488,170
12-20-2020,21794,13590,174
12-21-2020,22083,13677,181
12-22-2020,22647,14395,187
12-23-2020,23309,14898,192
12-24-2020,24009,15393,195
12-25-2020,24582,15543,202
