







date,confirmed,cured,dead
03-11-2020,2284,12,48
03-12-2020,2284,12,48
03-13-2020,3667,12,79
03-14-2020,4480,12,91
03-15-2020,4513,12,91
03-16-2020,6650,12,148
03-17-2020,7683,12,148
03-18-2020,9052,12,148
03-19-2020,10886,12,243
03-20-2020,12632,12,450
03-21-2020,14308,12,562
03-22-2020,16214,2201,676
03-23-2020,20123,2207,862
03-24-2020,22622,3288,1102
03-25-2020,25600,3907,1333
03-26-2020,29551,4955,1698
03-27-2020,33402,5707,1997
03-28-2020,38105,5724,2317
03-29-2020,40708,7226,2611
03-30-2020,45170,7964,3030
03-31-2020,52827,9513,3532
04-01-2020,57749,11053,4043
04-02-2020,59929,12548,5398
04-03-2020,65202,14135,6520
04-04-2020,90848,15572,7574
04-05-2020,93773,16349,8093
04-06-2020,98963,17428,8926
04-07-2020,110065,19523,10343
04-08-2020,113959,21452,10887
04-09-2020,118781,23413,12228
04-10-2020,125931,25195,13215
04-11-2020,130727,26663,13851
04-12-2020,133670,27469,14412
04-13-2020,137875,28001,14986
04-14-2020,131361,29098,15748
04-15-2020,134582,31470,17188
04-16-2020,147091,33327,17941
04-17-2020,149130,35006,18703
04-18-2020,149149,36587,19345
04-19-2020,154097,37183,19744
04-20-2020,156480,38036,20292
04-21-2020,159297,39819,20829
04-22-2020,157125,41326,21373
04-23-2020,159460,42762,21889
04-24-2020,159952,44271,22279
04-25-2020,161644,45372,22648
04-26-2020,162220,45681,22890
04-27-2020,165963,46293,23327
04-28-2020,169053,47775,23694
04-29-2020,166543,49118,24121
04-30-2020,167299,50380,24410
05-01-2020,167305,51124,24628
05-02-2020,168518,50663,24763
05-03-2020,168925,50885,24900
05-04-2020,169583,51476,25204
05-05-2020,170687,52842,25537
05-05-2020,170687,52842,25537
05-06-2020,174224,54079,25812
05-07-2020,174918,55191,25990
05-08-2020,176202,55892,26233
05-09-2020,176782,56148,26313
05-10-2020,177094,56327,26383
05-11-2020,177547,56835,26646
05-12-2020,178349,57898,26994
05-12-2020,178349,57898,26994
05-13-2020,178184,58786,27077
05-14-2020,178994,59719,27428
05-14-2020,178994,59719,27428
05-15-2020,179630,60562,27532
05-16-2020,179630,60562,27532
05-17-2020,179693,61327,28111
05-18-2020,180051,61843,28242
05-19-2020,180933,62678,28025
05-19-2020,180933,62678,28025
05-20-2020,181700,63472,28135
05-21-2020,181951,63976,28218
05-22-2020,182015,63986,28218
05-23-2020,182036,63988,28218
05-24-2020,182709,64735,28370
05-25-2020,183067,65317,28460
05-26-2020,182847,65997,28533
05-27-2020,183038,66702,28599
05-28-2020,186364,67309,28665
05-29-2020,186923,67921,28717
05-30-2020,188752,68386,28774
05-31-2020,189009,68473,28805
06-01-2020,189348,68558,28836
06-02-2020,188450,68930,28943
06-03-2020,192330,69573,29024
06-04-2020,189569,70094,29068
06-05-2020,190180,70622,29114
06-06-2020,190759,70924,29145
06-06-2020,190759,70924,29145
06-07-2020,191102,70961,29158
06-08-2020,191313,71182,29212
06-09-2020,191523,71626,29299
06-10-2020,192068,71952,29322
06-11-2020,192493,72269,29349
06-12-2020,193220,72695,29377
06-13-2020,193746,72931,29401
06-14-2020,194153,72982,29410
06-15-2020,194305,73168,29439
06-16-2020,194347,73459,29550
06-17-2020,194805,73791,29578
06-18-2020,195272,74011,29606
06-19-2020,196083,74241,29620
06-20-2020,196724,74436,29636
06-21-2020,197008,74496,29643
06-22-2020,197381,74736,29666
06-23-2020,197804,74995,29723
06-24-2020,197885,75251,29734
06-25-2020,197885,75475,29755
06-26-2020,199473,75773,29781
06-27-2020,199473,75773,29781
06-28-2020,199476,75774,29781
06-29-2020,201522,76124,29816
06-30-2020,202063,76399,29846
07-01-2020,202981,76674,29864
07-02-2020,203640,76927,29878
07-03-2020,204222,77185,29896
07-04-2020,204222,77185,29896
07-05-2020,204222,77185,29896
07-06-2020,205597,77444,29923
07-07-2020,206072,77780,29936
07-08-2020,206072,77780,29936
07-09-2020,207356,78295,29982
07-10-2020,208015,78513,30007
07-11-2020,208015,78513,30007
07-12-2020,208015,78513,30007
07-13-2020,209640,78722,30032
07-14-2020,209640,78722,30032
07-15-2020,210568,78945,30123
07-16-2020,211102,79161,30141
07-17-2020,211943,79371,30155
07-18-2020,211943,79371,30155
07-18-2020,211943,79371,30155
07-18-2020,211943,79371,30155
07-19-2020,211943,79371,30155
07-20-2020,214023,79668,30180
07-21-2020,214607,79861,30168
07-22-2020,215605,80084,30175
07-23-2020,216667,80600,30185
07-24-2020,217797,80943,30195
07-25-2020,217801,80945,30195
07-26-2020,217801,80945,30195
07-27-2020,220352,81212,30212
07-28-2020,221077,81441,30226
07-28-2020,221077,81441,30226
07-29-2020,221077,81443,30226
07-30-2020,222469,81632,30241
07-31-2020,225197,81764,30268
08-01-2020,225198,81764,30268
08-02-2020,225198,81764,30268
08-03-2020,225198,81764,30268
08-04-2020,228576,81764,30297
08-05-2020,228576,82298,30297
08-06-2020,231310,82592,30308
08-07-2020,235207,82968,30327
08-08-2020,235208,82968,30327
08-09-2020,235237,82971,30327
08-10-2020,239349,82971,30327
08-11-2020,239355,82971,30328
08-12-2020,244088,83609,30375
08-13-2020,244096,83612,30392
08-14-2020,249655,83993,30410
08-15-2020,252965,83993,30410
08-16-2020,252965,83993,30410
08-17-2020,256533,84214,30434
08-18-2020,256534,84214,30434
08-19-2020,256534,84214,30434
08-20-2020,256534,84214,30434
08-21-2020,271960,84981,30508
08-22-2020,275562,85102,30517
08-23-2020,280459,85125,30518
08-24-2020,282414,85352,30533
08-25-2020,285902,85757,30549
08-26-2020,291374,85811,30549
08-27-2020,297485,86271,30581
08-28-2020,304947,86495,30601
08-29-2020,304947,86495,30601
08-30-2020,315813,86495,30611
08-31-2020,318986,86790,30640
09-01-2020,323968,87036,30666
09-02-2020,331060,87418,30692
09-03-2020,338220,87661,30712
09-04-2020,347267,87927,30730
09-05-2020,347267,87927,30730
09-06-2020,347268,87927,30730
09-07-2020,367174,88484,30732
09-08-2020,373718,88876,30770
09-09-2020,383292,89242,30805
09-10-2020,392243,89468,30819
09-11-2020,401890,89890,30901
09-12-2020,402811,90445,30902
09-13-2020,402893,90445,30903
09-14-2020,425870,90432,30958
09-15-2020,433905,90816,31007
09-16-2020,443869,91293,31056
09-17-2020,454266,91765,31103
09-18-2020,467421,92700,31257
09-19-2020,467614,93586,31257
09-20-2020,467614,93586,31257
09-21-2020,496851,94289,31346
09-22-2020,507150,94961,31426
09-23-2020,508456,96498,31447
09-24-2020,536289,95980,31524
09-25-2020,552421,96909,31675
09-26-2020,552454,96937,31675
09-27-2020,552473,96937,31675
09-28-2020,577980,97127,31744
09-29-2020,590021,98088,31908
09-30-2020,604031,98632,31986
10-01-2020,616986,99154,32034
10-02-2020,629431,100253,32171
10-03-2020,629509,100281,32171
10-04-2020,629509,100281,32171
10-05-2020,664289,100873,32317
10-06-2020,675736,101443,32383
10-07-2020,693603,102061,32463
10-08-2020,711704,102542,32539
10-09-2020,732434,103232,32601
10-10-2020,732434,103232,32601
10-11-2020,732434,103232,32601
10-12-2020,776097,104035,32703
10-13-2020,798257,105203,32982
10-14-2020,820376,106374,33058
10-15-2020,850997,107043,33146
10-16-2020,876342,108014,33325
10-17-2020,876342,108014,33325
10-18-2020,876342,108014,33325
10-19-2020,952600,109611,33647
10-20-2020,973275,110515,33928
10-21-2020,1000369,111715,34075
10-22-2020,1041991,112662,34237
10-23-2020,1084659,113636,34536
10-24-2020,1084659,113636,34536
10-25-2020,1130143,114534,34673
10-26-2020,1209651,115964,35052
10-27-2020,1244242,117400,35582
10-28-2020,1280215,119413,35823
10-29-2020,1327852,120723,36058
10-30-2020,1377347,122224,36605
10-31-2020,1412709,123095,36826
11-01-2020,1458999,123664,37057
11-02-2020,1460745,123664,37485
11-03-2020,1461391,123664,37492
11-04-2020,1591152,126195,38728
11-05-2020,1648989,129759,39088
11-06-2020,1709716,131810,39916
11-07-2020,1709773,133419,40220
11-08-2020,1835187,134095,40490
11-09-2020,1856292,135216,41049
11-10-2020,1857309,135216,41062
11-11-2020,1914918,139177,42599
11-12-2020,1915282,139212,42599
