







date,confirmed,cured,dead
03-11-2020,24,0,0
03-12-2020,24,0,0
03-13-2020,25,0,0
03-14-2020,30,0,0
03-15-2020,33,0,0
03-16-2020,33,1,0
03-17-2020,34,1,0
03-18-2020,38,1,0
03-19-2020,40,1,0
03-20-2020,43,1,0
03-21-2020,49,1,0
03-22-2020,54,1,0
03-23-2020,61,8,0
03-24-2020,70,9,0
03-25-2020,75,10,0
03-26-2020,79,11,0
03-27-2020,83,14,0
03-28-2020,90,14,0
03-29-2020,91,18,0
03-30-2020,103,20,0
03-31-2020,110,21,0
04-01-2020,117,23,0
04-02-2020,134,26,0
04-03-2020,155,28,0
04-04-2020,162,36,1
04-05-2020,174,36,2
04-06-2020,188,39,2
04-07-2020,196,46,3
04-08-2020,211,50,3
04-09-2020,218,51,3
04-10-2020,234,54,3
04-11-2020,242,60,3
04-12-2020,257,67,3
04-13-2020,272,68,3
04-14-2020,300,69,3
04-15-2020,306,71,3
04-16-2020,348,76,3
04-17-2020,370,79,3
04-18-2020,388,86,4
04-19-2020,394,93,4
04-20-2020,402,95,4
04-21-2020,408,97,4
04-22-2020,416,107,5
04-23-2020,425,111,5
04-24-2020,444,132,5
04-25-2020,456,139,5
04-26-2020,486,149,6
04-27-2020,497,156,6
04-28-2020,511,168,6
04-29-2020,517,178,6
04-30-2020,539,184,6
05-01-2020,566,207,7
05-02-2020,582,207,8
05-03-2020,589,223,9
05-04-2020,593,223,9
05-05-2020,604,240,9
05-05-2020,604,240,9
05-06-2020,610,269,9
05-07-2020,615,275,9
05-08-2020,623,288,10
05-09-2020,626,297,10
05-10-2020,635,309,10
05-11-2020,638,317,11
05-12-2020,642,349,11
05-12-2020,642,349,11
05-13-2020,647,372,11
05-14-2020,667,383,12
05-14-2020,667,383,12
05-15-2020,671,393,12
05-16-2020,683,419,12
05-17-2020,695,425,12
05-18-2020,701,432,12
05-19-2020,707,456,12
05-19-2020,707,456,12
05-20-2020,713,475,12
05-21-2020,721,485,12
05-22-2020,723,495,12
05-23-2020,728,509,12
05-24-2020,730,522,12
05-25-2020,731,526,12
