







date,confirmed,cured,dead
03-14-2020,3,0,0
03-15-2020,6,0,0
03-16-2020,6,0,0
03-17-2020,7,0,0
03-18-2020,7,0,0
03-19-2020,11,0,0
03-20-2020,16,0,0
03-21-2020,19,0,1
03-22-2020,23,0,1
03-23-2020,27,0,2
03-24-2020,53,0,2
03-25-2020,93,0,4
03-26-2020,132,1,4
03-27-2020,137,2,4
03-28-2020,141,2,5
03-29-2020,152,2,5
03-30-2020,152,2,5
03-31-2020,161,31,5
04-01-2020,195,31,5
04-02-2020,204,31,5
04-03-2020,205,31,5
04-04-2020,205,31,5
04-05-2020,214,31,5
04-06-2020,214,31,5
04-07-2020,287,31,5
04-08-2020,313,34,6
04-09-2020,378,3,6
04-10-2020,378,4,6
04-11-2020,408,4,8
04-12-2020,566,4,8
04-13-2020,566,4,8
04-14-2020,636,17,8
04-15-2020,636,17,8
04-16-2020,641,83,8
04-17-2020,641,83,8
04-18-2020,834,99,9
04-19-2020,1042,99,9
04-20-2020,1042,99,9
04-21-2020,1042,99,9
04-22-2020,1154,99,9
04-23-2020,1154,99,9
04-24-2020,1279,134,10
04-25-2020,1279,134,10
04-26-2020,1550,155,11
04-27-2020,1550,155,11
04-28-2020,1671,188,16
04-29-2020,1671,188,16
04-30-2020,2074,212,17
05-01-2020,2074,212,17
05-02-2020,2169,229,18
05-03-2020,2169,229,18
05-04-2020,2719,294,18
05-05-2020,2719,294,18
05-05-2020,2719,294,18
05-06-2020,3091,294,18
05-07-2020,3091,303,18
05-08-2020,4012,323,18
05-09-2020,4263,378,22
05-10-2020,4263,378,22
05-11-2020,4700,494,22
05-12-2020,5127,494,22
05-12-2020,5127,494,22
05-13-2020,5408,514,24
05-14-2020,5530,674,24
05-14-2020,5530,674,24
05-15-2020,5638,1460,28
05-16-2020,5735,1754,29
05-17-2020,5735,1754,29
05-18-2020,5735,1754,29
05-19-2020,6096,1773,31
05-19-2020,6096,1773,31
05-20-2020,6269,1898,31
05-21-2020,6269,1898,31
05-22-2020,6486,1951,31
05-23-2020,6617,1978,31
