







date,confirmed,cured,dead
03-11-2020,99,0,1
03-12-2020,99,0,1
03-13-2020,190,0,1
03-14-2020,228,8,3
03-15-2020,331,8,4
03-16-2020,331,8,4
03-17-2020,387,8,5
03-18-2020,418,8,5
03-19-2020,418,8,6
03-20-2020,495,19,6
03-21-2020,530,19,13
03-22-2020,624,19,15
03-23-2020,695,29,17
03-24-2020,743,29,20
03-25-2020,821,36,22
03-26-2020,892,36,26
03-27-2020,966,52,28
03-28-2020,1061,52,32
03-29-2020,1156,52,38
03-30-2020,1212,52,43
03-31-2020,1314,52,49
04-01-2020,1415,52,50
04-02-2020,1544,61,53
04-03-2020,1613,78,63
04-04-2020,1673,78,68
04-05-2020,1735,78,73
04-06-2020,1755,269,79
04-07-2020,1832,269,81
04-08-2020,1884,269,83
04-09-2020,1955,269,87
04-10-2020,2011,269,92
04-11-2020,2081,269,93
04-12-2020,2114,269,98
04-13-2020,2145,269,99
04-14-2020,2170,269,101
04-15-2020,2192,269,102
04-16-2020,2207,269,105
04-17-2020,2224,269,108
04-18-2020,2235,269,110
04-19-2020,2235,269,113
04-20-2020,2245,269,116
04-21-2020,2401,577,121
04-22-2020,2408,577,121
04-23-2020,2463,577,125
04-24-2020,2490,577,130
04-25-2020,2506,577,130
04-26-2020,2517,577,134
04-27-2020,2534,577,136
04-28-2020,2566,577,138
04-29-2020,2576,577,139
04-30-2020,2591,1374,140
05-01-2020,2612,1374,140
05-02-2020,2620,1374,143
05-03-2020,2626,1374,144
05-04-2020,2632,1374,146
05-05-2020,2642,1374,146
05-05-2020,2642,1374,146
05-06-2020,2663,1374,147
05-07-2020,2678,1374,148
05-08-2020,2691,1374,150
05-09-2020,2710,1374,151
05-10-2020,2716,1374,151
05-11-2020,2726,1374,151
05-12-2020,2744,1374,152
05-12-2020,2744,1374,152
05-13-2020,2760,1374,155
05-14-2020,2770,1374,156
05-14-2020,2770,1374,156
05-15-2020,2810,1374,160
05-16-2020,2819,1374,162
05-17-2020,2834,1374,163
05-18-2020,2836,1374,165
05-19-2020,2840,1374,165
05-19-2020,2840,1374,165
05-20-2020,2850,1374,166
05-21-2020,2853,1374,168
05-22-2020,2874,1374,169
05-23-2020,2876,1374,171
05-24-2020,2878,1374,171
05-25-2020,2882,1374,172
05-26-2020,2892,1374,173
05-27-2020,2903,1374,173
05-28-2020,2906,1374,175
05-29-2020,2909,1374,175
05-30-2020,2915,1374,175
05-31-2020,2917,1374,175
06-01-2020,2918,1374,179
06-02-2020,2937,1374,179
06-03-2020,2937,1374,179
06-04-2020,2952,1374,180
06-05-2020,2967,1374,180
06-06-2020,2980,1374,180
06-06-2020,2980,1374,180
06-07-2020,2997,1374,180
06-08-2020,3049,1374,182
06-09-2020,3058,1374,183
06-10-2020,3068,1374,183
06-11-2020,3088,1374,183
06-12-2020,3108,1374,183
06-13-2020,3112,1374,183
