







date,confirmed,cured,dead
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,2,0,1
03-17-2020,6,0,1
03-18-2020,6,0,1
03-19-2020,9,0,1
03-20-2020,12,0,1
03-21-2020,17,0,1
03-22-2020,19,0,1
03-23-2020,20,0,1
03-24-2020,21,0,1
03-25-2020,24,4,1
03-26-2020,25,4,1
03-27-2020,28,4,1
03-28-2020,34,10,1
03-29-2020,34,10,1
03-30-2020,36,10,1
03-31-2020,38,12,1
04-01-2020,39,12,1
04-02-2020,47,12,1
04-03-2020,50,12,1
04-04-2020,61,15,2
04-05-2020,61,15,2
04-06-2020,70,15,3
04-07-2020,77,17,3
04-08-2020,87,17,3
04-09-2020,95,17,3
04-10-2020,126,17,3
04-11-2020,137,19,3
04-12-2020,155,19,5
04-13-2020,156,19,5
04-14-2020,167,19,5
04-15-2020,180,19,5
04-16-2020,196,19,5
04-17-2020,214,21,7
04-18-2020,235,21,7
04-19-2020,257,21,7
04-20-2020,289,21,7
04-21-2020,294,24,7
04-22-2020,316,24,8
04-23-2020,384,30,11
04-24-2020,430,30,11
04-25-2020,473,45,13
04-26-2020,500,49,15
04-27-2020,530,49,15
04-28-2020,530,49,15
04-29-2020,557,62,16
04-30-2020,599,66,16
05-01-2020,644,72,16
05-02-2020,688,72,17
05-03-2020,703,72,17
05-04-2020,730,79,19
05-05-2020,763,79,19
05-05-2020,763,79,19
05-06-2020,798,86,21
05-07-2020,832,90,23
05-08-2020,900,101,24
05-09-2020,967,104,24
05-10-2020,1052,110,26
05-11-2020,1114,111,26
05-12-2020,1199,120,27
05-12-2020,1199,120,27
05-13-2020,1342,121,29
05-14-2020,1518,129,29
05-14-2020,1518,129,29
05-15-2020,1643,135,30
05-16-2020,1763,138,33
05-17-2020,1763,138,33
05-18-2020,1912,138,35
05-19-2020,2133,155,43
05-19-2020,2133,155,43
05-20-2020,2265,159,45
05-21-2020,2512,222,48
05-22-2020,2743,222,51
05-23-2020,3054,244,55
05-24-2020,3424,258,58
05-25-2020,3760,274,59
05-26-2020,3954,289,63
05-27-2020,4145,493,68
05-28-2020,4348,565,80
05-29-2020,4607,648,90
05-30-2020,4739,706,102
05-31-2020,5087,735,108
06-01-2020,5336,795,116
06-02-2020,5586,824,123
06-03-2020,5760,929,143
06-04-2020,6154,979,158
06-05-2020,6485,1053,216
06-06-2020,6792,1133,230
06-06-2020,6792,1133,230
06-07-2020,7055,1261,252
06-08-2020,7502,1323,267
06-09-2020,7866,1413,289
06-10-2020,8221,1504,316
06-11-2020,8561,1567,334
06-12-2020,8982,1702,351
06-13-2020,9491,1804,367
06-14-2020,9845,1886,384
06-15-2020,10272,1966,399
06-16-2020,10706,2096,418
06-17-2020,11251,2200,432
06-18-2020,11868,2290,449
06-19-2020,12509,2419,483
06-20-2020,12755,2558,514
06-21-2020,13145,2711,531
06-22-2020,13769,2818,547
06-23-2020,14540,2897,582
06-24-2020,14819,2930,601
06-25-2020,15619,2949,623
06-26-2020,15828,3028,672
06-27-2020,16397,3123,706
06-28-2020,16930,3152,727
06-29-2020,17409,3170,746
06-30-2020,18096,3194,773
07-01-2020,19011,3231,817
07-02-2020,20072,3279,843
07-03-2020,21293,3315,880
07-04-2020,22501,3330,920
07-05-2020,23248,3382,947
07-06-2020,23972,3429,981
07-07-2020,24787,3575,1004
07-08-2020,25411,3718,1053
07-09-2020,26658,3797,1092
07-10-2020,27619,4024,1139
07-11-2020,28598,4073,1172
07-12-2020,29355,4214,1219
07-13-2020,29742,4321,1244
07-14-2020,30872,4453,1302
07-15-2020,32074,4624,1350
07-16-2020,32939,4807,1404
07-17-2020,33809,4989,1443
07-18-2020,38042,23365,1449
07-18-2020,38042,23365,1449
07-18-2020,38042,23365,1449
07-19-2020,38677,23365,1485
07-20-2020,39039,25539,1502
07-21-2020,40229,26685,1531
07-22-2020,41135,27756,1573
07-23-2020,42192,28856,1632
07-24-2020,43283,30150,1669
07-25-2020,44492,31045,1699
07-26-2020,45053,31612,1734
07-27-2020,45309,32455,1761
07-28-2020,46451,33494,1782
07-28-2020,46451,33494,1782
07-29-2020,47605,34488,1835
07-30-2020,48826,35629,1867
07-31-2020,49789,36816,1924
08-01-2020,50979,37873,1959
08-02-2020,51306,38416,1995
08-03-2020,51542,39346,2013
08-04-2020,52365,40285,2037
08-05-2020,53509,41199,2072
08-06-2020,54339,42070,2119
08-07-2020,55270,43135,2168
08-08-2020,56189,44072,2197
08-09-2020,56605,44598,2211
08-10-2020,56987,45589,2222
08-11-2020,57966,46442,2233
08-12-2020,59089,47394,2267
08-13-2020,60284,48305,2296
08-14-2020,61428,49355,2341
08-15-2020,62313,50183,2355
08-16-2020,62562,50692,2379
08-17-2020,62944,51530,2389
08-18-2020,63847,52370,2419
08-19-2020,64881,53362,2467
08-20-2020,65983,54351,2506
08-21-2020,66941,55314,2532
08-22-2020,67856,56277,2580
08-23-2020,68188,56778,2594
08-24-2020,68533,57735,2611
