







date,confirmed,cured,dead
03-25-2020,2,0,0
03-26-2020,2,0,0
03-27-2020,2,0,0
03-28-2020,2,0,0
03-29-2020,2,0,0
03-30-2020,8,0,0
03-31-2020,8,0,0
04-01-2020,9,0,0
04-02-2020,9,0,0
04-03-2020,15,0,0
04-04-2020,18,0,0
04-05-2020,18,0,0
04-06-2020,18,0,0
04-07-2020,33,0,0
04-08-2020,33,0,0
04-09-2020,36,0,0
04-10-2020,36,0,0
04-11-2020,38,0,0
04-12-2020,38,0,0
04-13-2020,38,0,0
04-14-2020,38,0,0
04-15-2020,43,0,0
04-16-2020,43,0,0
04-17-2020,43,0,0
04-18-2020,46,0,0
04-19-2020,50,3,0
04-20-2020,50,3,0
04-21-2020,50,3,0
04-22-2020,50,3,0
04-23-2020,50,3,0
04-24-2020,52,3,0
04-25-2020,52,3,0
04-26-2020,53,3,1
04-27-2020,73,18,1
04-28-2020,73,18,1
04-29-2020,205,19,1
04-30-2020,205,19,1
05-01-2020,257,19,1
05-02-2020,257,19,1
05-03-2020,257,19,1
05-04-2020,413,19,1
05-05-2020,413,19,1
05-05-2020,413,19,1
05-06-2020,475,24,2
05-07-2020,564,25,2
05-08-2020,594,25,2
05-09-2020,641,25,3
05-10-2020,726,26,3
05-11-2020,761,26,3
05-12-2020,820,26,3
05-12-2020,820,26,3
05-13-2020,836,26,3
05-14-2020,913,26,3
05-14-2020,913,26,3
05-15-2020,913,26,3
05-16-2020,969,26,4
05-17-2020,990,26,4
05-18-2020,1032,38,4
05-19-2020,1038,42,6
05-19-2020,1038,42,6
05-20-2020,1089,42,6
05-21-2020,1109,42,6
05-22-2020,1114,42,6
05-23-2020,1114,42,6
05-24-2020,1114,42,6
05-25-2020,1178,42,7
05-26-2020,1178,42,7
05-27-2020,1195,42,7
05-28-2020,1195,42,8
05-29-2020,1256,42,8
05-30-2020,1256,42,8
05-31-2020,1256,42,8
06-01-2020,1339,53,8
06-02-2020,1339,53,8
06-03-2020,1339,53,8
06-04-2020,1339,53,8
06-05-2020,1368,153,12
06-06-2020,1368,153,12
06-06-2020,1368,153,12
06-07-2020,1368,153,12
06-08-2020,1389,153,12
06-09-2020,1389,153,12
06-10-2020,1389,153,12
06-11-2020,1389,153,12
06-12-2020,1460,153,15
06-13-2020,1460,153,15
06-14-2020,1460,153,15
06-15-2020,1492,153,15
06-16-2020,1492,153,15
06-17-2020,1492,153,15
06-18-2020,1492,153,15
06-19-2020,1541,153,17
06-20-2020,1541,153,17
06-21-2020,1541,153,17
06-22-2020,1556,191,19
06-23-2020,1556,191,19
06-24-2020,1556,191,19
06-25-2020,1556,191,19
06-26-2020,1614,191,22
06-27-2020,1614,317,22
06-28-2020,1614,317,22
06-29-2020,1654,317,24
06-30-2020,1654,317,24
07-01-2020,1654,317,24
07-02-2020,1654,317,24
07-03-2020,1765,676,25
07-04-2020,1765,676,25
07-05-2020,1765,676,25
07-06-2020,1790,760,25
07-07-2020,1790,760,25
07-08-2020,1790,760,25
07-09-2020,1790,760,25
07-10-2020,1842,773,26
07-11-2020,1842,773,26
07-12-2020,1842,773,26
07-13-2020,1842,773,26
07-14-2020,1842,773,26
07-15-2020,1842,773,26
07-16-2020,1902,773,26
07-17-2020,1927,773,26
07-18-2020,1949,803,26
07-18-2020,1949,803,26
07-18-2020,1949,803,26
07-19-2020,1949,803,26
07-20-2020,1949,803,26
07-21-2020,1954,803,26
07-22-2020,1954,803,26
07-23-2020,1954,803,26
07-24-2020,1954,803,26
07-25-2020,1954,803,26
07-26-2020,1954,803,26
07-27-2020,1954,803,26
07-28-2020,1954,803,26
07-28-2020,1954,803,26
07-29-2020,1954,803,26
07-30-2020,1981,803,26
07-31-2020,1981,803,26
08-01-2020,1981,803,27
08-02-2020,1981,803,27
08-03-2020,1981,803,27
08-04-2020,1981,803,27
08-05-2020,2032,944,27
08-06-2020,2032,944,27
08-07-2020,2032,944,27
08-08-2020,2052,944,29
08-09-2020,2052,944,29
08-10-2020,2052,944,29
08-11-2020,2088,1015,29
08-12-2020,2088,1015,29
08-13-2020,2088,1015,29
08-14-2020,2088,1015,29
08-15-2020,2117,1015,33
08-16-2020,2117,1015,33
08-17-2020,2117,1015,33
08-18-2020,2117,1015,33
08-19-2020,2117,1015,33
08-20-2020,2149,1015,33
08-21-2020,2149,1015,33
08-22-2020,2149,1015,33
08-23-2020,2149,1015,33
08-24-2020,2149,1015,33
08-25-2020,2149,1015,33
08-26-2020,2205,1127,34
08-27-2020,2205,1127,34
08-28-2020,2205,1127,34
08-29-2020,2205,1127,34
08-30-2020,2205,1127,34
08-31-2020,2205,1127,34
09-01-2020,2205,1127,34
09-02-2020,2205,1127,34
09-03-2020,2205,1127,34
09-04-2020,2245,1127,38
09-05-2020,2245,1127,38
09-06-2020,2245,1127,38
09-07-2020,2245,1127,38
09-08-2020,2245,1127,38
09-09-2020,2245,1127,38
09-10-2020,2275,1127,39
09-11-2020,2275,1127,39
09-12-2020,2275,1127,39
09-13-2020,2275,1127,39
09-14-2020,2275,1127,39
09-15-2020,2275,1127,39
09-16-2020,2275,1127,39
09-17-2020,2275,1127,39
09-18-2020,2303,1127,39
09-19-2020,2303,1127,39
09-20-2020,2303,1127,39
09-21-2020,2303,1127,39
09-22-2020,2324,1549,39
09-23-2020,2324,1549,39
09-24-2020,2324,1549,39
09-25-2020,2324,1549,39
09-26-2020,2324,1549,39
09-27-2020,2324,1549,39
09-28-2020,2324,1549,39
09-29-2020,2324,1549,39
09-30-2020,2324,1549,39
10-01-2020,2324,1549,39
10-02-2020,2362,1549,39
10-03-2020,2362,1549,39
10-04-2020,2362,1549,39
10-05-2020,2385,1728,40
10-06-2020,2385,1728,40
10-07-2020,2385,1728,40
10-08-2020,2385,1728,40
10-09-2020,2385,1728,40
10-10-2020,2385,1728,40
10-11-2020,2385,1728,40
10-12-2020,2389,1782,41
10-13-2020,2389,1782,41
10-14-2020,2389,1782,41
10-15-2020,2389,1782,41
10-16-2020,2389,1782,41
10-17-2020,2389,1782,41
10-18-2020,2389,1782,41
10-19-2020,2403,1818,41
10-20-2020,2403,1818,41
10-21-2020,2403,1818,41
10-22-2020,2403,1818,41
10-23-2020,2403,1818,41
10-24-2020,2403,1818,41
10-25-2020,2403,1818,41
10-26-2020,2403,1818,41
10-27-2020,2403,1818,41
10-28-2020,2403,1818,41
10-29-2020,2403,1818,41
10-30-2020,2403,1818,41
10-31-2020,2413,1818,41
11-01-2020,2413,1818,41
11-02-2020,2413,1818,41
11-03-2020,2413,1818,41
11-04-2020,2414,1862,42
11-05-2020,2414,1862,42
11-06-2020,2414,1862,42
11-07-2020,2414,1862,42
11-08-2020,2414,1862,42
11-09-2020,2419,2255,43
11-10-2020,2419,2255,43
11-11-2020,2419,2255,43
11-12-2020,2419,2255,43
11-13-2020,2419,2255,43
11-14-2020,2419,2255,43
11-15-2020,2419,2255,43
11-16-2020,2419,2255,43
11-17-2020,2419,2255,43
11-18-2020,2421,2286,43
11-19-2020,2421,2286,43
11-20-2020,2421,2286,43
11-21-2020,2421,2286,43
11-22-2020,2421,2286,43
11-23-2020,2422,2309,43
11-24-2020,2422,2309,43
11-25-2020,2422,2309,43
11-26-2020,2422,2309,43
11-27-2020,2422,2309,43
11-28-2020,2422,2309,43
11-29-2020,2422,2309,43
11-30-2020,2441,2327,44
12-01-2020,2441,2327,44
