







date,confirmed,cured,dead
03-12-2020,1,0,1
03-13-2020,1,0,1
03-14-2020,1,0,1
03-15-2020,4,0,1
03-16-2020,4,0,1
03-17-2020,7,0,1
03-18-2020,7,0,1
03-19-2020,7,0,1
03-20-2020,7,0,1
03-21-2020,7,0,1
03-22-2020,18,0,1
03-23-2020,20,0,1
03-24-2020,5,0,1
03-25-2020,5,0,1
03-26-2020,5,0,1
03-27-2020,5,0,1
03-28-2020,8,0,1
03-29-2020,8,0,1
03-30-2020,8,0,1
03-31-2020,12,0,2
04-01-2020,19,0,2
04-02-2020,19,0,4
04-03-2020,23,0,4
04-04-2020,23,0,4
04-05-2020,24,0,4
04-06-2020,31,8,4
04-07-2020,33,8,5
04-08-2020,37,8,6
04-09-2020,37,8,6
04-10-2020,37,8,6
04-11-2020,45,8,6
04-12-2020,45,8,6
04-13-2020,45,8,6
04-14-2020,47,8,6
04-15-2020,55,8,6
04-16-2020,55,8,6
04-17-2020,63,9,6
04-18-2020,63,9,6
04-19-2020,65,9,7
04-20-2020,65,9,7
04-21-2020,66,9,7
04-22-2020,67,9,7
04-23-2020,70,9,7
04-24-2020,73,12,7
04-25-2020,73,12,7
04-26-2020,74,12,8
04-27-2020,74,15,8
04-28-2020,74,15,8
04-29-2020,78,18,8
04-30-2020,82,22,9
05-01-2020,82,22,9
05-02-2020,82,22,9
05-03-2020,82,22,9
05-04-2020,92,27,9
05-05-2020,93,27,10
05-05-2020,93,27,10
05-06-2020,93,27,10
05-07-2020,93,27,10
05-08-2020,94,35,10
05-09-2020,94,35,10
05-10-2020,104,35,10
05-11-2020,109,36,10
05-12-2020,113,36,10
05-12-2020,113,36,10
05-13-2020,113,41,10
05-14-2020,113,42,10
05-14-2020,113,42,10
05-15-2020,116,43,10
05-16-2020,117,43,10
05-17-2020,117,43,10
05-18-2020,124,44,10
05-19-2020,125,46,10
05-19-2020,125,46,10
05-20-2020,125,47,10
05-21-2020,127,57,10
05-22-2020,127,57,10
05-23-2020,127,58,10
05-24-2020,135,62,10
05-25-2020,137,62,11
05-26-2020,139,62,11
