







date,confirmed,cured,dead
03-20-2020,2,0,0
03-21-2020,2,0,0
03-22-2020,2,0,0
03-23-2020,6,0,0
03-24-2020,7,0,0
03-25-2020,8,0,0
03-26-2020,8,0,0
03-27-2020,8,0,0
03-28-2020,8,0,0
03-29-2020,15,1,0
03-30-2020,15,1,0
03-31-2020,15,1,0
04-01-2020,16,1,0
04-02-2020,16,1,0
04-03-2020,18,1,0
04-04-2020,20,1,0
04-05-2020,21,1,1
04-06-2020,24,0,1
04-07-2020,25,0,1
04-08-2020,27,0,1
04-09-2020,30,0,2
04-10-2020,31,0,2
04-11-2020,33,0,2
04-12-2020,33,0,3
04-13-2020,40,0,3
04-14-2020,40,0,3
04-15-2020,41,0,3
04-16-2020,41,0,3
04-17-2020,43,0,3
04-18-2020,44,0,3
04-19-2020,47,0,3
04-20-2020,57,0,3
04-21-2020,57,0,3
04-22-2020,62,2,4
04-23-2020,72,2,5
04-24-2020,72,6,6
04-25-2020,72,6,6
04-26-2020,74,7,6
04-27-2020,76,8,6
04-28-2020,76,8,6
04-29-2020,76,8,6
04-30-2020,81,8,8
05-01-2020,85,10,8
05-02-2020,85,10,8
05-03-2020,88,10,9
05-04-2020,100,10,11
05-05-2020,101,10,12
05-05-2020,101,10,12
05-06-2020,101,10,12
05-07-2020,129,16,12
05-08-2020,146,17,12
05-09-2020,151,17,12
05-10-2020,182,17,15
05-11-2020,209,17,16
05-12-2020,219,17,18
05-12-2020,219,17,18
05-13-2020,234,17,18
05-14-2020,273,18,20
05-14-2020,273,18,20
05-15-2020,310,29,20
05-16-2020,358,29,20
05-17-2020,456,21,20
05-18-2020,533,21,21
05-19-2020,533,21,21
05-19-2020,533,21,21
05-20-2020,596,21,22
05-21-2020,734,21,25
05-22-2020,812,22,25
05-23-2020,865,22,26
05-24-2020,865,22,26
05-25-2020,958,22,27
05-26-2020,1174,22,33
05-27-2020,1320,22,34
05-28-2020,1320,22,34
05-29-2020,1584,22,35
05-30-2020,1865,24,41
05-31-2020,2124,24,44
06-01-2020,2226,24,45
06-02-2020,2226,24,45
06-03-2020,2507,24,48
06-04-2020,2640,24,50
06-05-2020,2740,24,50
06-06-2020,3072,24,50
06-06-2020,3072,24,50
06-07-2020,3334,24,51
06-08-2020,3538,24,54
06-09-2020,3662,24,56
06-10-2020,3796,24,58
06-11-2020,3941,24,64
06-12-2020,3941,24,64
06-13-2020,4165,24,70
06-14-2020,4165,24,70
06-15-2020,4441,24,76
06-16-2020,4547,24,80
06-17-2020,4688,24,82
06-18-2020,4916,24,84
06-19-2020,4980,24,87
06-20-2020,5077,24,88
06-21-2020,5077,24,88
06-22-2020,5211,24,88
06-23-2020,5324,436,89
06-24-2020,5429,512,92
06-25-2020,5543,512,96
06-26-2020,5722,641,98
06-27-2020,5777,706,100
06-28-2020,5777,706,100
06-29-2020,5933,839,105
06-30-2020,5975,931,105
07-01-2020,6040,1032,107
07-02-2020,6101,1141,110
07-03-2020,6230,1286,110
07-04-2020,6294,1408,113
07-05-2020,6333,1549,113
07-06-2020,6371,1824,113
07-07-2020,6432,2080,117
07-08-2020,6486,2181,123
07-09-2020,6486,2181,123
07-10-2020,6617,2590,135
07-11-2020,6690,2590,139
07-12-2020,6727,2924,139
07-13-2020,6727,3022,141
07-14-2020,6727,3022,141
07-15-2020,6831,3283,143
07-16-2020,6948,3606,145
07-17-2020,6975,3738,146
07-18-2020,7053,3877,146
07-18-2020,7053,3877,146
07-18-2020,7053,3877,146
07-19-2020,7053,3877,146
07-20-2020,7053,3877,146
07-21-2020,7100,4095,151
07-22-2020,7167,4095,154
07-23-2020,7197,4236,154
07-24-2020,7260,4236,156
07-25-2020,7297,4365,157
07-26-2020,7315,4365,157
07-27-2020,7340,4365,158
07-28-2020,7340,4365,158
07-28-2020,7340,4365,158
07-29-2020,7378,4467,159
07-30-2020,7412,4467,161
07-31-2020,7424,4606,161
08-01-2020,7468,4606,165
08-02-2020,7468,4606,165
08-03-2020,7511,4832,166
08-04-2020,7511,4832,166
08-05-2020,7544,4832,171
08-06-2020,7582,4832,171
08-07-2020,7599,4893,177
08-08-2020,7611,4893,182
08-09-2020,7634,4982,183
08-10-2020,7634,4982,183
08-11-2020,7649,4982,183
08-12-2020,7743,5123,187
08-13-2020,7781,5123,192
08-14-2020,7810,5123,192
08-15-2020,7831,5235,196
08-16-2020,7879,5235,196
08-17-2020,7897,5235,196
08-18-2020,7921,5235,196
08-19-2020,7949,5337,196
08-20-2020,7997,5447,196
08-21-2020,8016,5447,196
08-22-2020,8050,5447,196
08-23-2020,8082,5624,196
08-24-2020,8110,5624,196
08-25-2020,8112,5624,196
08-26-2020,8122,5677,197
08-27-2020,8151,5743,200
08-28-2020,8161,5743,201
08-29-2020,8174,5743,201
08-30-2020,8209,5828,201
08-31-2020,8224,5828,201
09-01-2020,8230,5828,203
09-02-2020,8258,5870,206
09-03-2020,8301,5870,210
