







date,confirmed,cured,dead
03-11-2020,2,0,0
03-12-2020,2,0,0
03-13-2020,2,0,0
03-14-2020,2,0,0
03-15-2020,3,0,0
03-16-2020,6,0,0
03-17-2020,8,0,0
03-18-2020,9,0,0
03-19-2020,12,0,0
03-20-2020,24,0,0
03-21-2020,24,0,0
03-22-2020,26,0,0
03-23-2020,27,0,0
03-24-2020,30,0,0
03-25-2020,36,0,0
03-26-2020,52,0,1
03-27-2020,68,0,1
03-28-2020,95,3,1
03-29-2020,110,3,3
03-30-2020,139,3,7
03-31-2020,141,3,7
04-01-2020,172,3,10
04-02-2020,219,3,14
04-03-2020,222,3,15
04-04-2020,264,3,15
04-05-2020,268,6,22
04-06-2020,298,6,22
04-07-2020,305,6,22
04-08-2020,312,6,22
04-09-2020,343,6,23
04-10-2020,382,7,23
04-11-2020,392,7,24
04-12-2020,393,7,25
04-13-2020,397,7,25
04-14-2020,407,7,26
04-15-2020,419,9,31
04-16-2020,426,9,35
04-17-2020,442,10,41
04-18-2020,457,10,46
04-19-2020,472,15,46
04-20-2020,477,25,46
04-21-2020,494,29,46
04-22-2020,510,30,46
04-23-2020,519,31,47
04-24-2020,591,58,55
04-25-2020,627,65,59
04-26-2020,627,65,59
04-27-2020,661,79,61
04-28-2020,702,79,64
04-29-2020,738,73,66
04-30-2020,771,79,71
05-01-2020,804,112,75
05-02-2020,1010,116,76
05-03-2020,1055,118,82
05-04-2020,1178,122,83
05-05-2020,1270,122,93
05-05-2020,1270,122,93
05-06-2020,1461,132,99
05-07-2020,1685,154,105
05-08-2020,1771,192,107
05-09-2020,1830,195,108
05-10-2020,1972,203,108
05-11-2020,2100,206,116
05-12-2020,2080,211,121
05-12-2020,2080,211,121
05-13-2020,2255,237,123
05-14-2020,2318,253,133
05-14-2020,2318,253,133
05-15-2020,2460,264,134
05-16-2020,2565,278,138
05-17-2020,2646,319,142
05-18-2020,2798,340,146
05-19-2020,2955,349,147
05-19-2020,2955,349,147
05-20-2020,2955,349,147
05-21-2020,3204,397,156
05-22-2020,3477,439,167
05-23-2020,3477,439,167
05-24-2020,3950,468,180
05-25-2020,4189,473,182
05-26-2020,4401,493,188
05-27-2020,4640,506,194
05-28-2020,4752,519,196
05-29-2020,4752,519,196
05-30-2020,5094,536,201
05-31-2020,5202,537,212
06-01-2020,5362,549,217
06-02-2020,5527,563,225
06-03-2020,5690,617,234
06-04-2020,5880,648,243
06-05-2020,5971,677,248
06-06-2020,6155,697,250
06-06-2020,6155,697,250
06-07-2020,6327,712,258
06-08-2020,6450,740,262
06-09-2020,6935,787,271
06-10-2020,7360,809,290
06-11-2020,7669,837,294
06-12-2020,8132,844,306
06-13-2020,8455,894,310
06-14-2020,8858,967,312
06-15-2020,9178,1025,322
06-16-2020,9656,1075,330
06-17-2020,10299,1116,336
06-18-2020,10739,1179,343
06-19-2020,11258,1214,349
06-20-2020,12306,1275,358
06-21-2020,12769,1293,363
06-22-2020,13356,1362,395
06-23-2020,13943,1461,405
06-24-2020,14571,1546,417
06-25-2020,15366,1600,426
06-26-2020,15994,1678,471
06-27-2020,17007,1767,479
06-28-2020,18082,1875,479
06-29-2020,18818,1961,485
06-30-2020,19558,2060,497
07-01-2020,20262,2123,542
07-02-2020,21120,2190,591
07-03-2020,22116,2250,605
07-04-2020,22921,2387,629
07-05-2020,23943,2490,639
07-06-2020,24665,2585,656
07-07-2020,25428,2637,677
07-08-2020,25978,2721,694
07-09-2020,26384,2779,704
07-10-2020,27053,2850,750
07-11-2020,27583,2901,771
07-12-2020,28090,2957,774
07-13-2020,28579,3123,789
07-14-2020,28579,3123,789
07-15-2020,30036,3379,825
07-16-2020,30867,3420,835
07-17-2020,31745,3565,857
07-18-2020,32793,3661,891
07-18-2020,32793,3661,891
07-18-2020,32793,3661,891
07-19-2020,33835,3801,900
07-20-2020,34611,3905,935
07-21-2020,35345,4144,988
07-22-2020,36102,4315,1006
07-23-2020,36902,4448,1011
07-24-2020,37559,4607,1061
07-25-2020,38438,4713,1098
07-26-2020,39276,4922,1116
07-27-2020,39741,5039,1166
07-28-2020,40460,5103,1214
07-28-2020,40460,5103,1214
07-29-2020,40944,5281,1259
07-30-2020,41426,5443,1312
07-31-2020,42014,5554,1337
08-01-2020,42685,5694,1368
08-02-2020,43197,5794,1377
08-03-2020,43794,5854,1384
08-04-2020,44299,5921,1400
08-05-2020,45098,6116,1423
08-06-2020,45755,6225,1446
08-07-2020,46365,6355,1465
08-08-2020,46973,6428,1476
08-09-2020,47454,6597,1495
08-10-2020,47872,6649,1506
08-11-2020,48403,6805,1515
08-12-2020,48657,6945,1533
08-13-2020,49042,7032,1542
08-14-2020,49467,7128,1548
08-15-2020,49979,7255,1567
08-16-2020,50502,7339,1575
08-17-2020,50995,7450,1583
08-18-2020,51670,7661,1593
08-19-2020,52298,7867,1608
08-20-2020,52819,8082,1619
08-21-2020,53381,8271,1632
08-22-2020,53983,8449,1643
08-23-2020,54511,8532,1654
08-24-2020,55479,8556,1683
08-25-2020,55877,9124,1703
08-26-2020,56649,9169,1747
08-27-2020,57669,9586,1803
08-28-2020,58810,10076,1827
08-29-2020,59645,10156,1842
08-30-2020,60174,10242,1858
08-31-2020,61014,10396,1873
09-01-2020,61769,10430,1888
09-02-2020,62526,11147,1924
09-03-2020,63158,11618,1954
09-04-2020,63798,12347,1984
09-05-2020,64352,13115,2006
09-06-2020,64764,13418,2007
09-07-2020,64814,13828,2023
09-08-2020,65218,14273,2034
09-09-2020,65597,15064,2044
09-10-2020,65802,15577,2049
09-11-2020,66049,16613,2058
09-12-2020,67136,17760,2065
09-13-2020,67789,17873,2079
09-14-2020,68620,18487,2087
09-15-2020,68620,18487,2087
09-16-2020,69660,19983,2102
09-17-2020,70120,20677,2122
09-18-2020,70611,21149,2146
09-19-2020,71143,21810,2166
09-20-2020,71616,22065,2184
09-21-2020,72075,22611,2204
09-22-2020,72306,23230,2206
09-23-2020,72675,24022,2222
09-24-2020,73193,24580,2249
