







date,confirmed,cured,dead
03-11-2020,13,0,0
03-12-2020,13,0,0
03-13-2020,19,0,0
03-14-2020,30,1,0
03-15-2020,32,1,1
03-16-2020,39,1,1
03-17-2020,50,2,1
03-18-2020,58,2,1
03-19-2020,73,2,1
03-20-2020,85,2,3
03-21-2020,103,7,4
03-22-2020,131,16,6
03-23-2020,167,16,7
03-24-2020,187,21,9
03-25-2020,226,21,10
03-26-2020,261,28,10
03-27-2020,300,34,10
03-28-2020,343,34,11
03-29-2020,408,34,13
03-30-2020,447,34,15
03-31-2020,492,37,16
04-01-2020,525,40,20
04-02-2020,585,42,21
04-03-2020,623,43,26
04-04-2020,678,58,32
04-05-2020,733,66,34
04-06-2020,744,67,38
04-07-2020,817,71,47
04-08-2020,895,94,58
04-09-2020,980,96,66
04-10-2020,1190,112,77
04-11-2020,1310,115,85
04-12-2020,1410,118,99
04-13-2020,1458,120,109
04-14-2020,1512,122,122
04-15-2020,1579,192,134
04-16-2020,1652,199,142
04-17-2020,1763,207,156
04-18-2020,1834,231,172
04-19-2020,1916,250,189
04-20-2020,1984,267,199
04-21-2020,2098,287,213
04-22-2020,2168,295,225
04-23-2020,2284,390,239
04-24-2020,2443,458,262
04-25-2020,2443,458,262
04-26-2020,2500,485,272
04-27-2020,2583,498,280
04-28-2020,2649,516,291
04-29-2020,2727,536,300
04-30-2020,2775,581,312
05-01-2020,2863,609,323
05-02-2020,2942,625,335
05-03-2020,2998,629,340
05-04-2020,3035,630,351
05-05-2020,3065,709,363
05-05-2020,3065,709,363
05-06-2020,3111,759,373
05-07-2020,3150,801,383
05-08-2020,3178,865,392
05-09-2020,3213,904,405
05-10-2020,3263,933,413
05-11-2020,3284,958,421
05-12-2020,3313,1007,425
05-12-2020,3313,1007,425
05-13-2020,3341,1102,430
05-14-2020,3380,1169,436
05-14-2020,3380,1169,436
05-15-2020,3417,1287,442
05-16-2020,3473,1371,448
05-17-2020,3509,1396,451
05-18-2020,3535,1400,462
05-19-2020,3556,1412,467
05-19-2020,3556,1412,467
05-20-2020,3598,1454,470
05-21-2020,3641,1509,473
05-22-2020,3678,1587,476
05-23-2020,3713,1655,482
05-24-2020,3741,1690,486
05-25-2020,3756,1711,491
05-26-2020,3771,1836,499
05-27-2020,3793,1856,505
05-28-2020,3816,1996,509
05-29-2020,3841,2024,517
05-30-2020,3867,2142,524
05-31-2020,3876,2147,526
06-01-2020,3892,2156,527
06-02-2020,3921,2160,532
06-03-2020,3931,2190,534
06-04-2020,3954,2205,539
06-05-2020,3970,2245,542
06-06-2020,3990,2279,545
06-06-2020,3990,2279,545
06-07-2020,4008,2279,546
06-08-2020,4014,2284,548
06-09-2020,4017,2324,550
06-10-2020,4027,2355,551
06-11-2020,4039,2391,553
06-12-2020,4053,2447,555
06-13-2020,4064,2476,559
06-14-2020,4069,2482,562
06-15-2020,4076,2485,563
06-16-2020,4077,2516,565
06-17-2020,4078,2547,567
06-18-2020,4079,2564,568
06-19-2020,4081,2581,568
06-20-2020,4086,2585,570
06-21-2020,4094,2589,570
06-22-2020,4102,2590,572
06-23-2020,4107,2600,573
06-24-2020,4114,2618,576
06-25-2020,4123,2640,577
06-26-2020,4127,2663,578
06-27-2020,4138,2681,578
06-28-2020,4142,2685,581
06-29-2020,4145,2685,585
06-30-2020,4155,2692,585
07-01-2020,4157,2714,586
07-02-2020,4166,2721,587
07-03-2020,4172,2752,588
07-04-2020,4174,2784,589
07-05-2020,4183,2811,589
07-06-2020,4189,2860,589
07-07-2020,4205,2874,589
07-08-2020,4210,2885,589
07-09-2020,4220,2887,591
07-10-2020,4223,2941,593
07-11-2020,4229,2974,595
07-12-2020,4234,3036,595
07-13-2020,4247,3073,595
07-14-2020,4258,3106,595
07-15-2020,4263,3126,595
07-16-2020,4279,3156,595
07-17-2020,4293,3220,595
07-18-2020,4315,3222,596
07-18-2020,4315,3222,596
07-18-2020,4315,3222,596
07-19-2020,4333,3223,596
07-20-2020,4339,3232,596
07-21-2020,4347,3257,596
07-22-2020,4366,3283,596
07-23-2020,4380,3300,596
07-24-2020,4398,3312,596
07-25-2020,4424,3324,596
07-26-2020,4435,3329,596
07-27-2020,4448,3329,596
07-28-2020,4456,3331,596
07-28-2020,4456,3331,596
07-29-2020,4465,3339,596
07-30-2020,4484,3346,596
