







date,confirmed,cured,dead
03-11-2020,85,1,0
03-12-2020,103,1,0
03-13-2020,134,1,0
03-14-2020,156,1,0
03-15-2020,171,8,5
03-16-2020,180,0,0
03-17-2020,220,0,1
03-18-2020,250,5,1
03-19-2020,330,5,1
03-20-2020,409,5,0
03-21-2020,473,22,1
03-22-2020,568,5,1
03-23-2020,588,51,1
03-24-2020,648,51,2
03-25-2020,737,56,2
03-26-2020,802,82,2
03-27-2020,890,97,2
03-28-2020,963,114,2
03-29-2020,1020,135,2
03-30-2020,1086,157,2
03-31-2020,1135,198,2
04-01-2020,1220,225,2
04-02-2020,1319,284,4
04-03-2020,1364,309,4
04-04-2020,1417,396,4
04-05-2020,1486,428,4
04-06-2020,1562,460,6
04-07-2020,1586,559,6
04-08-2020,1616,633,6
04-09-2020,1648,688,6
04-10-2020,1675,751,7
04-11-2020,1689,841,8
04-12-2020,1701,889,8
04-13-2020,1711,933,8
04-14-2020,1720,989,8
04-15-2020,1727,1077,8
04-16-2020,1739,1144,8
04-17-2020,1754,1224,9
04-18-2020,1760,1291,9
04-19-2020,1771,1291,9
04-20-2020,1773,1362,10
04-21-2020,1778,1417,10
04-22-2020,1785,1462,10
04-23-2020,1789,1509,10
04-24-2020,1789,1542,10
04-25-2020,1790,1570,10
04-26-2020,1792,1608,10
04-27-2020,1792,1624,10
04-28-2020,1795,1636,10
04-29-2020,1797,1656,10
04-30-2020,1797,1670,10
05-01-2020,1798,1689,10
05-02-2020,1798,1706,10
05-03-2020,1799,1717,10
05-04-2020,1799,1723,10
05-05-2020,1799,1733,10
05-05-2020,1799,1733,10
05-06-2020,1799,1750,10
05-07-2020,1801,1755,10
05-08-2020,1801,1765,10
05-09-2020,1801,1773,10
05-10-2020,1801,1773,10
05-11-2020,1801,1773,10
05-12-2020,1801,1776,10
05-12-2020,1801,1776,10
05-13-2020,1802,1780,10
05-14-2020,1802,1780,10
05-14-2020,1802,1780,10
05-15-2020,1802,1782,10
05-16-2020,1802,1786,10
05-17-2020,1802,1786,10
05-18-2020,1802,1786,10
05-19-2020,1802,1789,10
05-19-2020,1802,1789,10
05-20-2020,1803,1789,10
05-21-2020,1803,1790,10
05-22-2020,1803,1791,10
05-23-2020,1804,1791,10
05-24-2020,1804,1791,10
05-25-2020,1804,1791,10
05-26-2020,1804,1792,10
05-27-2020,1805,1792,10
05-28-2020,1805,1792,10
05-29-2020,1805,1794,10
05-30-2020,1806,1794,10
05-31-2020,1806,1794,10
06-01-2020,1806,1794,10
06-02-2020,1806,1794,10
06-03-2020,1806,1794,10
06-04-2020,1806,1794,10
06-05-2020,1806,1794,10
06-06-2020,1806,1794,10
06-06-2020,1806,1794,10
06-07-2020,1807,1794,10
06-08-2020,1807,1794,10
06-09-2020,1807,1794,10
06-10-2020,1807,1794,10
06-11-2020,1807,1794,10
06-12-2020,1807,1794,10
06-13-2020,1808,1794,10
06-14-2020,1810,1796,10
06-15-2020,1810,1796,10
06-16-2020,1812,1796,10
06-17-2020,1815,1797,10
06-18-2020,1816,1801,10
06-19-2020,1819,1801,10
06-20-2020,1822,1805,10
06-21-2020,1823,1805,10
06-22-2020,1823,1805,10
06-23-2020,1824,1806,10
06-24-2020,1824,1806,10
06-25-2020,1830,1811,10
06-26-2020,1832,1813,10
06-27-2020,1836,1814,10
06-28-2020,1838,1816,10
06-29-2020,1840,1818,10
06-30-2020,1842,1819,10
07-01-2020,1847,1823,10
07-02-2020,1850,1828,10
07-03-2020,1855,1832,10
07-04-2020,1860,1833,10
07-05-2020,1863,1833,10
07-06-2020,1866,1840,10
07-07-2020,1873,1847,10
07-08-2020,1880,1850,10
07-09-2020,1882,1854,10
07-10-2020,1886,1859,10
07-11-2020,1888,1860,10
07-12-2020,1896,1865,10
07-13-2020,1900,1871,10
07-14-2020,1905,1882,10
07-15-2020,1911,1885,10
07-16-2020,1914,1892,10
07-17-2020,1916,1895,10
07-18-2020,1922,1902,10
07-18-2020,1922,1902,10
07-18-2020,1922,1902,10
07-19-2020,1930,1907,10
07-20-2020,1930,1907,10
07-21-2020,1839,1821,10
07-22-2020,1840,1822,10
07-23-2020,1841,1823,10
07-24-2020,1843,1823,10
07-25-2020,1843,1823,10
07-26-2020,1847,1823,10
07-27-2020,1854,1823,10
07-28-2020,1857,1823,10
07-28-2020,1857,1823,10
07-29-2020,1861,1823,10
07-30-2020,1872,1823,10
07-31-2020,1885,1825,10
08-01-2020,1893,1825,10
08-02-2020,1907,1825,10
08-03-2020,1915,1825,10
08-04-2020,1918,1825,10
08-05-2020,1926,1825,10
08-06-2020,1932,1825,10
08-07-2020,1952,1833,10
08-08-2020,1955,1833,10
08-09-2020,1958,1834,10
08-10-2020,1962,1838,10
08-11-2020,1968,1844,10
08-12-2020,1972,1847,10
08-13-2020,1976,1852,10
08-14-2020,1983,1861,10
08-15-2020,1999,1870,10
08-16-2020,2011,1880,10
08-17-2020,2014,1888,10
08-18-2020,2027,1895,10
08-19-2020,2035,1903,10
08-20-2020,2040,1913,10
08-21-2020,2050,1920,10
08-22-2020,2058,1936,10
08-23-2020,2064,1939,10
08-24-2020,2073,1946,10
08-25-2020,2077,1953,10
08-26-2020,2082,1957,10
08-27-2020,2087,1964,10
08-28-2020,2092,1964,10
08-29-2020,2100,1979,10
08-30-2020,2105,1990,10
08-31-2020,2107,1997,10
