







date,confirmed,cured,dead
03-11-2020,62,4,1
03-12-2020,73,4,1
03-13-2020,82,4,2
03-14-2020,102,4,2
03-15-2020,113,13,2
03-16-2020,119,13,2
03-17-2020,142,14,3
03-18-2020,156,14,3
03-19-2020,194,15,4
03-20-2020,244,20,5
03-21-2020,330,23,4
03-22-2020,396,24,7
03-23-2020,499,34,10
03-24-2020,536,40,10
03-25-2020,657,43,12
03-26-2020,727,45,20
03-27-2020,887,73,20
03-28-2020,987,84,24
03-29-2020,1024,95,27
03-30-2020,1251,102,32
03-31-2020,1397,123,35
04-01-2020,1998,148,58
04-02-2020,2543,191,72
04-03-2020,2567,192,72
04-04-2020,3082,229,86
04-05-2020,3588,229,99
04-06-2020,4778,375,136
04-07-2020,5311,421,150
04-08-2020,5916,506,178
04-09-2020,6725,620,226
04-10-2020,7598,774,246
04-11-2020,8446,969,288
04-12-2020,9205,1080,331
04-13-2020,10453,1181,358
04-14-2020,11487,1359,393
04-15-2020,12322,1432,405
04-16-2020,13430,1768,448
04-17-2020,14352,2041,486
04-18-2020,15722,2463,521
04-19-2020,17615,2854,559
04-20-2020,18539,3273,592
04-21-2020,20080,3975,645
04-22-2020,21370,4370,681
04-23-2020,23077,5012,721
04-24-2020,24530,5498,780
04-25-2020,26283,5939,825
04-26-2020,27890,6523,881
04-27-2020,29451,7137,939
04-28-2020,31324,7747,1008
04-29-2020,33062,8437,1079
04-30-2020,34863,9068,1154
05-01-2020,37257,10007,1223
05-02-2020,39699,10819,1323
05-03-2020,42505,11775,1391
05-04-2020,46437,12847,1566
05-05-2020,49400,14142,1693
05-05-2020,49400,14142,1693
05-06-2020,52987,15331,1785
05-07-2020,56351,16776,1889
05-08-2020,59695,17887,1985
05-09-2020,62808,19301,2101
05-10-2020,67161,20969,2212
05-11-2020,70768,22549,2294
05-12-2020,74292,24420,2415
05-12-2020,74292,24420,2415
05-13-2020,78055,26400,2551
05-14-2020,81997,27969,2649
05-14-2020,81997,27969,2649
05-15-2020,85784,30258,2753
05-16-2020,90648,34224,2871
05-17-2020,95698,36795,3025
05-18-2020,100328,39233,3156
05-19-2020,106475,42309,3302
05-19-2020,106475,42309,3302
05-20-2020,112028,45422,3434
05-21-2020,118226,48553,3584
05-22-2020,124794,51824,3726
05-23-2020,131423,54385,3868
05-24-2020,138536,57692,4024
05-25-2020,144950,60706,4172
05-26-2020,150793,64277,4344
05-27-2020,158086,67749,4534
05-28-2020,165386,70920,4711
05-29-2020,173491,82627,4980
05-30-2020,181827,86936,5185
05-31-2020,190609,91852,5408
06-01-2020,198370,95754,5608
06-02-2020,207191,100285,5829
06-03-2020,216824,104071,6088
06-04-2020,226713,108450,6363
06-05-2020,236184,113233,6649
06-06-2020,246622,118695,6946
06-06-2020,246622,118695,6946
06-07-2020,257486,123848,7207
06-08-2020,265928,129095,7473
06-09-2020,276146,134670,7750
06-10-2020,276583,135206,7745
06-11-2020,297535,147195,8498
06-12-2020,297535,147195,8498
06-13-2020,308993,154330,8884
06-14-2020,320922,162379,9195
06-15-2020,343091,180013,9900
06-16-2020,354065,186935,11903
06-17-2020,366946,194325,12237
06-18-2020,380532,204711,12573
06-19-2020,395048,213831,12948
06-20-2020,410461,227756,13254
06-21-2020,425282,237196,13699
06-22-2020,440215,248190,14011
06-23-2020,456183,258685,14476
06-24-2020,473105,271697,14894
06-25-2020,490401,285637,15301
06-26-2020,508953,295881,15685
06-27-2020,528859,309713,16095
06-28-2020,548318,321723,16475
06-29-2020,566840,334822,16893
06-30-2020,585493,347979,17400
07-01-2020,604641,359860,17834
07-02-2020,625544,379892,18213
07-03-2020,648315,394227,18655
07-04-2020,673165,409083,19268
07-05-2020,697413,424433,19693
07-06-2020,719664,439934,20159
07-07-2020,742417,456831,20642
07-08-2020,767296,476378,21129
07-09-2020,793802,495513,21604
07-10-2020,820916,515386,22123
07-11-2020,849522,534618,22673
07-12-2020,878254,553471,23174
07-13-2020,906752,571460,23727
07-14-2020,936181,592032,24309
07-15-2020,968857,612768,24914
07-16-2020,1003832,635757,25602
07-17-2020,1039084,653751,26273
07-18-2020,1077781,677423,26816
07-18-2020,1077781,677423,26816
07-18-2020,1077781,677423,26816
07-19-2020,1118206,700087,27497
07-20-2020,1155338,724578,28082
07-21-2020,1193078,753050,28732
07-22-2020,1238798,782607,29861
07-23-2020,1288108,817209,30601
07-24-2020,1337024,849432,31358
07-25-2020,1385635,885573,32060
07-26-2020,1435616,917568,32771
07-27-2020,1480073,951166,33408
07-28-2020,1483156,952743,33425
07-28-2020,1483156,952743,33425
07-29-2020,1581963,1019735,34955
07-30-2020,1634746,1055348,35718
07-31-2020,1695988,1094374,36511
08-01-2020,1750723,1145629,37364
08-02-2020,1803695,1186203,38135
08-03-2020,1855745,1230509,38938
08-04-2020,1908254,1282215,39795
08-05-2020,1964536,1328336,40699
08-06-2020,2027074,1378105,41585
08-07-2020,2088611,1427005,42518
08-08-2020,2153010,1480884,43379
08-09-2020,2215074,1535743,44386
08-10-2020,2268675,1583489,45257
08-11-2020,2329638,1639599,46091
08-12-2020,2396637,1695982,47033
08-13-2020,2461190,1751555,48040
08-14-2020,2525922,1808936,49036
08-15-2020,2589952,1862258,49980
08-16-2020,2647663,1919842,50921
08-17-2020,2702681,1977671,51797
08-18-2020,2767253,2037816,52888
08-19-2020,2836925,2096664,53866
08-20-2020,2905825,2158946,54849
08-21-2020,2975701,2222577,55794
08-22-2020,3044940,2280566,56706
08-23-2020,3106348,2338035,57542
08-24-2020,3167323,2404585,58390
08-25-2020,3224547,2458339,59357
08-26-2020,3310234,2523771,60472
08-27-2020,3387500,2583948,61529
08-28-2020,3463972,2648998,62550
08-29-2020,3542733,2713933,63498
08-30-2020,3621245,2774801,64469
08-31-2020,3691166,2839882,65288
09-01-2020,3769523,2901908,66333
09-02-2020,3853406,2970492,67376
09-03-2020,3936747,3037151,68472
09-04-2020,4023179,3107223,69561
09-05-2020,4113811,3180865,70626
09-06-2020,4204613,3250429,71642
09-07-2020,4280422,3323950,72775
09-08-2020,4370128,3398844,73890
09-09-2020,4465863,3471783,75062
09-10-2020,4562414,3542663,76271
09-11-2020,4659984,3624196,77472
09-12-2020,4754356,3702595,78586
09-13-2020,4754356,3702595,78586
09-14-2020,4846427,3780107,79722
09-15-2020,5020359,3942360,82066
09-16-2020,5020359,3942360,82066
09-17-2020,5118253,4025079,83198
09-18-2020,5214677,4112551,84372
09-19-2020,5308014,4208431,85619
09-20-2020,5400619,4303043,86752
09-21-2020,5487580,4396399,87882
09-22-2020,5562663,4497867,88935
09-23-2020,5646010,4587613,90020
09-24-2020,5732518,4674987,91149
09-25-2020,5818570,4756164,92290
09-26-2020,5903932,4849584,93379
09-27-2020,5992532,4941627,94503
09-28-2020,6145291,5101397,96318
09-29-2020,6145291,5101397,96318
09-30-2020,6312584,5273201,98678
10-01-2020,6386526,5343837,99620
10-02-2020,6473544,5427706,100842
10-03-2020,6549373,5509966,101782
10-04-2020,6549373,5509966,101782
10-05-2020,6623815,5586703,102685
10-06-2020,6757131,5744693,104555
10-07-2020,6835655,5827704,105526
10-08-2020,6835655,5827704,105526
10-09-2020,6906151,5906069,106490
10-10-2020,7053806,6077976,108334
10-11-2020,7053806,6077976,108334
10-12-2020,7175880,6227295,109856
10-13-2020,7175880,6227295,109856
10-14-2020,7239389,6301927,110586
10-15-2020,7307097,6383441,111266
10-16-2020,7432680,6524595,112998
10-17-2020,7432680,6524595,112998
10-18-2020,7494551,6597209,114031
10-19-2020,7550273,6663608,114610
10-20-2020,7597063,6733328,115197
10-21-2020,7651107,6795103,115914
10-22-2020,7706946,6874518,116616
10-23-2020,7814682,7016046,117956
