







date,confirmed,cured,dead
03-11-2020,34,2,1
03-12-2020,34,2,1
03-13-2020,69,2,4
03-14-2020,96,8,5
03-15-2020,117,8,5
03-16-2020,134,8,5
03-17-2020,172,8,5
03-18-2020,227,11,19
03-19-2020,311,11,25
03-20-2020,369,15,32
03-21-2020,450,15,38
03-22-2020,514,29,48
03-23-2020,579,30,49
03-24-2020,686,30,55
03-25-2020,790,31,58
03-26-2020,893,35,78
03-27-2020,1046,46,87
03-28-2020,1155,59,102
03-29-2020,1285,64,114
03-30-2020,1414,75,122
03-31-2020,1528,81,136
04-01-2020,1677,103,157
04-02-2020,1790,112,170
04-03-2020,1986,134,181
04-04-2020,2092,150,191
04-05-2020,2273,164,198
04-06-2020,2491,192,209
04-07-2020,2738,204,221
04-08-2020,2956,222,240
04-09-2020,3293,252,280
04-10-2020,3512,282,306
04-11-2020,3842,286,327
04-12-2020,4241,359,373
04-13-2020,4557,380,399
04-14-2020,4839,426,459
04-15-2020,5136,446,469
04-16-2020,5516,548,496
04-17-2020,5923,607,520
04-18-2020,6248,631,535
04-19-2020,6575,686,582
04-20-2020,6760,747,590
04-21-2020,7135,842,616
04-22-2020,7418,913,635
04-23-2020,7775,960,647
04-24-2020,8211,1002,689
04-25-2020,8607,1042,720
04-26-2020,8882,1107,743
04-27-2020,9096,1151,765
04-28-2020,9511,1254,773
04-29-2020,9771,1391,784
04-30-2020,10118,1522,792
05-01-2020,10551,1591,800
05-02-2020,10843,1665,831
05-03-2020,11192,1876,845
05-04-2020,11587,1954,864
05-05-2020,12071,2197,872
05-05-2020,12071,2197,872
05-06-2020,12438,2317,895
05-07-2020,12776,2381,930
05-08-2020,13112,2494,943
05-09-2020,13645,2607,959
05-10-2020,14032,2698,973
05-11-2020,14265,2881,991
05-12-2020,14749,3063,1007
05-12-2020,14749,3063,1007
05-13-2020,15438,3287,1028
05-14-2020,16006,3518,1043
05-14-2020,16006,3518,1043
05-15-2020,16496,3803,1076
05-16-2020,17025,3911,1089
05-17-2020,17514,4129,1148
05-18-2020,18010,4324,1191
05-19-2020,18496,4467,1221
05-19-2020,18496,4467,1221
05-20-2020,19189,4575,1242
05-21-2020,20162,4838,1278
05-22-2020,20796,5057,1326
05-23-2020,21745,5249,1351
05-24-2020,22271,5402,1372
05-25-2020,22750,5642,1391
05-26-2020,23165,5877,1418
05-27-2020,23851,6057,1473
05-28-2020,24538,6240,1496
05-29-2020,25216,6492,1520
05-30-2020,25773,7015,1573
05-31-2020,26473,7308,1613
06-01-2020,26940,7637,1641
06-02-2020,27549,7935,1663
06-03-2020,28233,8406,1698
06-04-2020,28818,8892,1721
06-05-2020,29521,9443,1770
06-06-2020,30514,9907,1801
06-06-2020,30514,9907,1801
06-07-2020,31186,10498,1851
06-08-2020,32033,10904,1883
06-09-2020,33076,11414,1923
06-10-2020,34316,12129,1959
06-11-2020,35295,12636,2000
06-12-2020,36406,13213,2048
06-13-2020,37420,13776,2091
06-14-2020,38277,14531,2134
06-15-2020,39294,15123,2198
06-16-2020,40400,15703,2231
06-17-2020,41431,16243,2276
06-18-2020,42762,16798,2339
06-19-2020,43803,17349,2373
06-20-2020,45029,17883,2429
06-21-2020,45891,18404,2465
06-22-2020,46845,18735,2500
06-23-2020,47896,19241,2535
06-24-2020,49009,19658,2573
06-25-2020,50187,20449,2620
06-26-2020,51427,21333,2683
06-27-2020,52812,21909,2720
06-28-2020,54010,22936,2754
06-29-2020,55092,23800,2805
06-30-2020,56385,24806,2876
07-01-2020,57770,25595,2934
07-02-2020,59394,26667,2987
07-03-2020,60695,27568,3036
07-04-2020,62142,28219,3089
07-05-2020,63749,29105,3171
07-06-2020,64958,29919,3241
07-07-2020,66226,30785,3309
07-08-2020,68079,31585,3359
07-09-2020,70736,32651,3417
07-10-2020,72347,33529,3469
07-11-2020,74018,34719,3535
07-12-2020,75699,35638,3606
07-13-2020,76981,36689,3656
07-14-2020,78572,37636,3710
07-15-2020,80094,39050,3797
07-16-2020,81668,40345,3873
07-17-2020,83130,41834,3957
07-18-2020,84882,43268,4016
07-18-2020,84882,43268,4016
07-18-2020,84882,43268,4016
07-19-2020,86521,45401,4143
07-20-2020,88214,46977,4239
07-21-2020,89869,48466,4320
07-22-2020,91751,50255,4459
07-23-2020,93657,52164,4576
07-24-2020,95418,53945,4665
07-25-2020,97286,55354,4714
07-26-2020,98778,56655,4781
07-27-2020,100303,58173,4838
07-28-2020,102051,60539,4901
07-28-2020,102051,60539,4901
07-29-2020,104432,62138,4975
07-30-2020,106336,64292,5058
07-31-2020,108376,65907,5131
08-01-2020,109936,67919,5193
08-02-2020,111455,68975,5236
08-03-2020,113134,70237,5302
08-04-2020,115056,72050,5388
08-05-2020,116871,73889,5452
08-06-2020,118753,75645,5521
08-07-2020,121226,77557,5593
08-08-2020,123503,79306,5658
08-09-2020,125396,80952,5723
08-10-2020,127083,82236,5765
08-11-2020,128776,83710,5824
08-12-2020,130718,85798,5903
08-13-2020,132816,87558,5968
08-14-2020,135123,89618,6021
08-15-2020,137468,91321,6071
08-16-2020,139549,93103,6150
08-17-2020,141370,94458,6207
08-18-2020,143043,96306,6277
08-19-2020,144945,98657,6346
08-20-2020,147211,100674,6418
08-21-2020,149408,102991,6500
08-22-2020,151498,105198,6594
08-23-2020,153535,107500,6680
08-24-2020,155412,111060,6759
08-25-2020,157859,112867,6858
08-26-2020,160165,115409,6944
08-27-2020,162884,118575,7064
08-28-2020,165887,120900,7169
08-29-2020,169195,122802,7261
08-30-2020,172053,124185,7343
08-31-2020,174796,125959,7417
09-01-2020,177571,128057,7505
09-02-2020,180646,129971,7616
09-03-2020,184268,132055,7750
09-04-2020,187537,134181,7832
09-05-2020,190665,136401,7940
09-06-2020,194109,138575,8025
09-07-2020,196989,140652,8130
09-08-2020,200035,142958,8230
09-09-2020,203342,145200,8336
09-10-2020,207203,147510,8456
09-11-2020,210940,150217,8544
09-12-2020,214746,152458,8650
09-13-2020,218382,155010,8723
09-14-2020,221523,158405,8841
09-15-2020,225030,161065,8965
09-16-2020,228993,164101,9100
09-17-2020,232628,166686,9222
09-18-2020,236519,170774,9336
09-19-2020,240687,174350,9448
09-20-2020,244676,177327,9553
09-21-2020,248852,180797,9677
09-22-2020,252923,184298,9837
09-23-2020,257388,187958,9977
09-24-2020,262022,191853,10105
09-25-2020,266845,196196,10218
09-26-2020,271339,199403,10308
09-27-2020,275213,203014,10386
09-28-2020,278722,206870,10473
09-29-2020,282724,210437,10601
09-30-2020,287008,214947,10740
10-01-2020,291182,218487,10856
10-02-2020,295499,221340,10972
10-03-2020,299506,225052,11055
10-04-2020,303498,228453,11151
10-05-2020,307120,232593,11253
10-06-2020,311176,236437,11374
10-07-2020,315714,240291,11472
10-08-2020,320564,244060,11580
10-09-2020,324658,247667,11677
10-10-2020,328952,251481,11765
10-11-2020,333449,255027,11844
10-12-2020,336716,258519,11935
10-13-2020,340622,263296,12027
10-14-2020,344749,267851,12156
10-15-2020,349160,273661,12268
10-16-2020,353461,277544,12347
10-17-2020,357762,281592,12431
10-18-2020,361867,285324,12511
10-19-2020,365240,289243,12617
10-20-2020,368842,293653,12734
10-21-2020,373109,297509,12857
10-22-2020,377541,301006,12959
10-23-2020,381910,305100,13077
10-24-2020,385980,309219,13205
10-25-2020,389712,313764,13299
10-26-2020,392934,317672,13411
10-27-2020,396454,322248,13512
10-28-2020,400483,325793,13612
10-29-2020,404048,329778,13701
10-30-2020,406945,334295,13782
10-31-2020,410088,337801,13869
11-01-2020,412784,341942,13943
