







date,confirmed,cured,dead
03-11-2020,9000,2959,354
03-12-2020,10075,2959,429
03-13-2020,11364,2959,514
03-14-2020,12729,2959,611
03-15-2020,13938,4590,724
03-16-2020,14991,4590,853
03-17-2020,16169,5389,988
03-18-2020,17361,5389,1135
03-19-2020,18407,5710,1284
03-20-2020,19644,6745,1433
03-21-2020,20610,7635,1556
03-22-2020,21638,7635,1685
03-23-2020,23049,8376,1812
03-24-2020,24811,8913,1934
03-25-2020,27017,9625,2077
03-26-2020,29406,10457,2234
03-27-2020,32332,11133,2378
03-28-2020,35408,11679,2517
03-29-2020,38309,12391,2640
03-30-2020,41495,13911,2757
03-31-2020,44605,14656,2898
04-01-2020,47593,15473,3036
04-02-2020,50468,16711,3160
04-03-2020,53183,17935,3294
04-04-2020,55743,19736,3452
04-05-2020,58226,19736,3603
04-06-2020,60500,24236,3739
04-07-2020,62589,27039,3872
04-08-2020,64586,29812,3993
04-09-2020,66220,32309,4110
04-10-2020,68192,35465,4232
04-11-2020,70029,41947,4357
04-12-2020,71686,43894,4474
04-13-2020,73303,45983,4585
04-14-2020,74877,48129,4683
04-15-2020,76389,49933,4777
04-16-2020,77995,52229,4869
04-17-2020,79494,54064,4958
04-18-2020,80868,55987,5031
04-19-2020,82211,57023,5118
04-20-2020,83505,59273,5209
04-21-2020,84802,60965,5297
04-22-2020,85996,63113,5391
04-23-2020,87026,64843,5481
04-24-2020,88194,66599,5574
04-25-2020,89328,68193,5650
04-26-2020,90481,69657,5710
04-27-2020,91472,70933,5806
04-28-2020,92584,72439,5877
04-29-2020,93657,73791,5957
04-30-2020,94640,75103,6028
05-01-2020,95646,76318,6091
05-02-2020,96448,77350,6156
05-03-2020,97424,78422,6203
05-04-2020,98647,79379,6277
05-05-2020,99970,80475,6340
05-05-2020,99970,80475,6340
05-06-2020,101650,81587,6418
05-07-2020,103135,82744,6486
05-08-2020,104691,83837,6541
05-09-2020,106220,85064,6589
05-10-2020,107603,86143,6640
05-11-2020,109286,87422,6685
05-12-2020,110767,88357,6733
05-12-2020,110767,88357,6733
05-13-2020,112725,89428,6783
05-14-2020,114533,90539,6854
05-14-2020,114533,90539,6854
05-15-2020,116635,91836,6902
05-16-2020,118392,93147,6937
05-17-2020,120198,94464,6988
05-18-2020,122492,95661,7057
05-19-2020,124603,97173,7119
05-19-2020,124603,97173,7119
05-20-2020,126949,98808,7183
05-21-2020,129341,100564,7249
05-22-2020,131652,102276,7300
05-23-2020,133521,104072,7359
05-24-2020,135701,105801,7417
05-25-2020,137724,107713,7451
05-26-2020,139511,109437,7508
05-27-2020,141591,111176,7564
05-28-2020,143849,112988,7627
05-29-2020,146668,114931,7677
05-30-2020,148950,116827,7734
05-31-2020,151466,118848,7797
06-01-2020,154445,121004,7878
06-02-2020,157562,123077,7942
06-03-2020,160696,125206,8012
06-04-2020,164270,127485,8071
06-05-2020,167156,129741,8134
06-06-2020,169425,132038,8209
06-06-2020,169425,132038,8209
06-07-2020,171789,134349,8281
06-08-2020,173832,136360,8351
06-09-2020,175927,138457,8425
06-10-2020,177938,140590,8506
06-11-2020,180156,142663,8584
06-12-2020,182525,144649,8659
06-13-2020,184955,146748,8730
06-14-2020,187427,148674,8837
06-15-2020,189876,150590,8950
06-16-2020,192439,152675,9065
06-17-2020,195051,154812,9185
06-18-2020,197647,156991,9272
06-19-2020,200262,159192,9392
06-20-2020,202584,161384,9507
06-21-2020,204952,163591,9623
06-22-2020,207525,166427,9742
06-23-2020,209970,169160,9863
06-24-2020,212501,172096,9996
06-25-2020,215096,175103,10130
06-26-2020,217724,177852,10239
06-27-2020,220180,180661,10364
06-28-2020,222669,183310,10508
06-29-2020,225205,186180,10670
06-30-2020,227662,188758,10817
07-01-2020,230211,191487,10958
07-02-2020,232863,194098,11106
07-03-2020,235429,196446,11260
07-04-2020,237878,198949,11408
07-05-2020,240438,201330,11571
07-06-2020,243051,204083,11731
07-07-2020,245688,207000,11931
07-08-2020,248379,209463,12084
07-09-2020,250458,212176,12305
07-10-2020,252720,215015,12447
