







date,confirmed,cured,dead
03-11-2020,71,15,7
03-12-2020,71,15,8
03-13-2020,101,24,9
03-14-2020,110,26,10
03-15-2020,116,26,10
03-16-2020,124,26,10
03-17-2020,154,32,11
03-18-2020,164,43,12
03-19-2020,192,43,13
03-20-2020,208,49,17
03-21-2020,214,51,17
03-22-2020,233,57,20
03-23-2020,266,62,23
03-24-2020,316,75,27
03-25-2020,346,103,29
03-26-2020,382,105,36
03-27-2020,458,122,40
03-28-2020,506,131,42
03-29-2020,547,143,42
03-30-2020,630,152,46
03-31-2020,694,170,50
04-01-2020,728,182,52
04-02-2020,772,202,54
04-03-2020,820,226,54
04-04-2020,878,259,56
04-05-2020,961,279,61
04-06-2020,1031,344,64
04-07-2020,1122,373,65
04-08-2020,1202,452,69
04-09-2020,1232,496,69
04-10-2020,1279,550,70
04-11-2020,1318,601,72
04-12-2020,1352,640,76
04-13-2020,1378,717,78
04-14-2020,1400,766,78
04-15-2020,1415,812,79
04-16-2020,1434,856,80
04-17-2020,1482,906,81
04-18-2020,1513,953,82
04-19-2020,1539,1009,82
04-20-2020,1574,1043,82
04-21-2020,1602,1096,83
04-22-2020,1631,1146,83
04-23-2020,1677,1171,83
04-24-2020,1708,1204,86
04-25-2020,1763,1224,86
04-26-2020,1820,1263,87
04-27-2020,1847,1286,88
04-28-2020,1928,1319,90
04-29-2020,2003,1346,92
04-30-2020,2085,1375,93
05-01-2020,2153,1414,94
05-02-2020,2219,1473,95
05-03-2020,2296,1490,97
05-04-2020,2346,1544,98
05-05-2020,2431,1571,102
05-05-2020,2431,1571,102
05-06-2020,2480,1602,102
05-07-2020,2543,1626,102
05-08-2020,2603,1661,104
05-09-2020,2679,1702,107
05-10-2020,2767,1734,109
05-11-2020,2818,1790,110
05-12-2020,2913,1903,112
05-12-2020,2913,1903,112
05-13-2020,3032,1966,115
05-14-2020,3143,2028,115
05-14-2020,3143,2028,115
05-15-2020,3193,2089,117
05-16-2020,3260,2126,121
05-17-2020,3404,2218,123
05-18-2020,3554,2310,127
05-19-2020,3611,2366,131
05-19-2020,3611,2366,131
05-20-2020,3724,2438,134
05-21-2020,3877,2483,140
05-22-2020,3964,2532,147
05-23-2020,4272,2585,152
05-24-2020,4469,2738,160
05-25-2020,4632,2811,163
05-26-2020,4848,2852,169
05-27-2020,5135,2904,175
05-28-2020,5457,2971,179
05-29-2020,5873,3044,185
05-30-2020,6179,3110,195
05-31-2020,6439,3156,205
06-01-2020,6868,3275,215
06-02-2020,7387,3508,235
06-03-2020,8168,4095,256
06-04-2020,8840,4338,271
06-05-2020,9846,4573,285
06-06-2020,11098,4904,318
06-06-2020,11098,4904,318
06-07-2020,12366,5186,346
06-08-2020,13481,5572,370
06-09-2020,14268,5831,392
06-10-2020,15414,6214,426
06-11-2020,16675,6568,457
06-12-2020,17770,6868,496
06-13-2020,18950,7515,549
06-14-2020,20209,8121,607
06-15-2020,21315,9271,652
06-16-2020,22700,9862,712
06-17-2020,24254,10770,773
06-18-2020,25717,11333,856
06-19-2020,27352,12205,925
06-20-2020,29222,13211,1013
06-21-2020,30868,13935,1100
06-22-2020,32676,14785,1167
06-23-2020,34502,15753,1251
06-24-2020,36702,16814,1330
06-25-2020,39139,18051,1437
06-26-2020,41193,18859,1559
06-27-2020,43262,19938,1660
06-28-2020,45402,21122,1756
06-29-2020,47151,22974,1839
06-30-2020,49109,24760,1943
07-01-2020,51524,26267,2050
07-02-2020,53708,27912,2160
07-03-2020,56020,29600,2262
07-04-2020,58354,31077,2368
07-05-2020,60479,33017,2473
07-06-2020,62275,34741,2567
07-07-2020,64701,36252,2685
07-08-2020,67442,37879,2779
07-09-2020,69612,39502,2882
07-10-2020,72460,41380,2960
07-11-2020,75194,43079,3055
07-12-2020,77506,44724,3150
07-13-2020,79735,46998,3250
07-14-2020,81757,50782,3345
07-15-2020,83867,52621,3432
07-16-2020,86148,54316,3522
07-17-2020,88171,56495,3616
07-18-2020,90220,58492,3691
07-18-2020,90220,58492,3691
07-18-2020,90220,58492,3691
07-19-2020,92530,60528,3781
07-20-2020,94693,62836,3869
07-21-2020,97159,64950,3950
07-22-2020,99865,67147,4042
07-23-2020,102226,69405,4122
07-24-2020,104711,71268,4212
07-25-2020,107573,73317,4284
07-26-2020,110032,75217,4362
07-27-2020,112585,77144,4458
07-28-2020,115332,81062,4535
07-28-2020,115332,81062,4535
07-29-2020,118300,83461,4603
07-30-2020,121263,85546,4671
07-31-2020,124609,87434,4741
08-01-2020,126704,89275,4805
08-02-2020,129151,91886,4868
08-03-2020,131886,94111,4934
08-04-2020,134722,96103,5017
08-05-2020,137556,98442,5094
08-06-2020,140603,101025,5161
08-07-2020,144064,103197,5236
08-08-2020,147389,105504,5310
08-09-2020,150115,107775,5392
08-10-2020,153599,109790,5464
08-11-2020,156995,112102,5531
08-12-2020,160436,114541,5588
08-13-2020,164277,117208,5641
08-14-2020,168290,120129,5709
08-15-2020,172583,122700,5785
08-16-2020,176931,125374,5860
08-17-2020,180133,128945,5954
08-18-2020,184709,131840,6036
08-19-2020,188802,134369,6121
08-20-2020,192797,137200,6208
08-21-2020,197085,140446,6283
08-22-2020,201050,143393,6353
08-23-2020,204341,146409,6428
08-24-2020,207985,150389,6519
08-25-2020,211947,153761,6596
08-26-2020,215784,157215,6668
08-27-2020,219435,161009,6740
08-28-2020,223612,164874,6814
08-29-2020,227446,169020,6891
08-30-2020,231177,172880,6959
08-31-2020,234934,176602,7042
09-01-2020,238338,180473,7123
09-02-2020,242284,184205,7201
09-03-2020,247039,187757,7275
09-04-2020,252075,191368,7359
09-05-2020,256719,195259,7422
09-06-2020,260370,198560,7512
09-07-2020,264684,202859,7589
09-08-2020,269578,206324,7657
09-09-2020,273821,209993,7732
09-10-2020,278418,213817,7814
09-11-2020,282672,217396,7881
09-12-2020,286778,221283,7941
09-13-2020,290309,224705,8014
09-14-2020,294478,229132,8086
09-15-2020,298702,233346,8166
09-16-2020,303059,237241,8248
09-17-2020,307385,241100,8332
09-18-2020,311690,245305,8408
09-19-2020,315597,249539,8491
09-20-2020,319035,253591,8555
09-21-2020,322856,258075,8625
09-22-2020,327580,261757,8682
09-23-2020,332635,264988,8754
09-24-2020,337106,268761,8799
09-25-2020,341699,273266,8867
09-26-2020,345969,276918,8935
09-27-2020,349450,280673,8990
09-28-2020,353566,284784,9052
09-29-2020,358290,288812,9122
09-30-2020,362981,292197,9181
10-01-2020,367474,295882,9231
10-02-2020,372259,299804,9298
10-03-2020,375931,303665,9347
10-04-2020,379141,307482,9399
10-05-2020,382949,312158,9464
10-06-2020,387121,316371,9531
10-07-2020,391044,319784,9604
10-08-2020,394566,323815,9683
10-09-2020,397780,328097,9735
10-10-2020,400124,332330,9790
10-11-2020,402330,336157,9852
10-12-2020,405437,340050,9912
10-13-2020,409358,344208,9970
10-14-2020,413215,347396,10021
10-15-2020,416802,350752,10086
10-16-2020,420303,353962,10142
10-17-2020,423524,357291,10198
10-18-2020,426634,360477,10254
10-19-2020,430678,363532,10317
10-20-2020,434598,366134,10366
10-21-2020,438265,369010,10418
10-22-2020,442164,371826,10465
10-23-2020,445949,375188,10513
10-24-2020,449153,378209,10568
10-25-2020,451707,381349,10623
10-26-2020,455398,384593,10671
10-27-2020,459908,388081,10724
10-28-2020,463951,391010,10770
10-29-2020,467755,394386,10815
10-30-2020,470633,397241,10862
10-31-2020,472630,399655,10910
11-01-2020,475288,402782,10966
11-02-2020,478701,405777,11017
11-03-2020,482296,408756,11068
11-04-2020,485870,417235,11128
11-05-2020,489571,420206,11175
11-06-2020,493139,423266,11244
11-07-2020,496019,425926,11283
