







date,confirmed,cured,dead
03-11-2020,43,0,1
03-12-2020,43,0,1
03-13-2020,90,0,1
03-14-2020,129,0,2
03-15-2020,129,0,2
03-16-2020,169,0,2
03-17-2020,223,5,2
03-18-2020,292,5,2
03-19-2020,557,5,3
03-20-2020,683,5,3
03-21-2020,785,5,3
03-22-2020,906,5,4
03-23-2020,1125,5,6
03-24-2020,1329,5,7
03-25-2020,1564,5,9
03-26-2020,1819,5,19
03-27-2020,2121,5,22
03-28-2020,2415,5,36
03-29-2020,2615,5,46
03-30-2020,2910,5,54
03-31-2020,3235,5,71
04-01-2020,3447,5,85
04-02-2020,3849,5,98
04-03-2020,4273,5,120
04-04-2020,4604,25,137
04-05-2020,4994,25,158
04-06-2020,5364,25,174
04-07-2020,5709,25,210
04-08-2020,6074,25,235
04-09-2020,6574,25,263
04-10-2020,8089,25,287
04-11-2020,8928,25,320
04-12-2020,9655,25,334
04-13-2020,10647,25,365
04-14-2020,11479,25,406
04-15-2020,12547,77,444
04-16-2020,13271,77,486
04-17-2020,13980,77,530
04-18-2020,14758,77,571
04-19-2020,15251,77,610
04-20-2020,15652,77,687
04-21-2020,16040,9233,730
04-22-2020,16671,9233,769
04-23-2020,17607,9233,794
04-24-2020,18184,9233,1014
04-25-2020,18561,9233,1063
04-26-2020,19262,9233,1087
04-27-2020,19648,9233,1102
04-28-2020,19877,9233,1159
04-29-2020,20253,13386,1190
04-30-2020,20612,13386,1232
05-01-2020,20833,13386,1265
05-02-2020,21176,13386,1286
05-03-2020,21506,13386,1303
05-04-2020,21772,13386,1319
05-05-2020,21983,13386,1339
05-05-2020,21983,13386,1339
05-06-2020,22248,17110,1375
05-07-2020,22385,17110,1403
05-08-2020,22541,17110,1429
05-09-2020,22760,17110,1446
05-10-2020,22996,17110,1458
05-11-2020,23135,17110,1467
05-12-2020,23242,17110,1488
05-12-2020,23242,17110,1488
05-13-2020,23401,19470,1497
05-14-2020,23827,19470,1506
05-14-2020,23827,19470,1506
05-15-2020,23956,19470,1518
05-16-2020,24048,19470,1533
05-17-2020,24112,19470,1543
05-18-2020,24200,19470,1547
05-19-2020,24251,19470,1561
05-19-2020,24251,19470,1561
05-20-2020,24315,21060,1571
05-21-2020,24391,21060,1583
05-22-2020,24506,21060,1592
05-23-2020,24582,21060,1604
05-24-2020,24639,21060,1608
05-25-2020,24698,21060,1606
05-26-2020,24735,21060,1615
05-27-2020,24803,22089,1631
05-28-2020,24841,22089,1639
05-29-2020,24876,22089,1645
05-30-2020,24929,22089,1651
05-31-2020,24990,22089,1652
06-01-2020,25062,22089,1650
06-02-2020,25066,22089,1658
06-03-2020,25111,22698,1659
06-04-2020,25142,22698,1664
06-05-2020,25163,22698,1670
06-06-2020,25183,22698,1678
06-06-2020,25183,22698,1678
06-07-2020,25201,22698,1679
06-08-2020,25207,22698,1683
06-09-2020,25215,22698,1691
06-10-2020,25231,22698,1695
06-11-2020,25238,22698,1703
06-12-2020,25250,22698,1705
06-13-2020,25295,22698,1705
06-14-2020,25303,22698,1706
06-15-2020,25321,22698,1706
06-16-2020,25334,22698,1709
06-17-2020,25341,22698,1710
06-18-2020,25355,22698,1714
06-19-2020,25368,22698,1714
06-20-2020,25374,22698,1715
06-21-2020,25379,22698,1715
06-22-2020,25383,22698,1717
06-23-2020,25391,22698,1720
06-24-2020,25396,23364,1726
06-25-2020,25405,23364,1727
06-26-2020,25414,23364,1730
06-27-2020,25437,23364,1734
06-28-2020,25439,23364,1735
06-29-2020,25462,23364,1735
06-30-2020,25473,23364,1736
07-01-2020,25477,23364,1738
07-02-2020,25489,23364,1738
07-03-2020,25498,23364,1740
07-04-2020,25509,23364,1741
07-05-2020,25527,23364,1741
07-06-2020,25531,23364,1741
07-07-2020,25538,23364,1742
07-08-2020,25542,23364,1738
