







date,confirmed,cured,dead
03-11-2020,109,4,0
03-12-2020,131,4,0
03-13-2020,161,4,0
03-14-2020,193,4,0
03-15-2020,251,4,0
03-16-2020,255,4,0
03-17-2020,337,11,0
03-18-2020,433,11,0
03-19-2020,677,11,0
03-20-2020,705,14,0
03-21-2020,883,36,1
03-22-2020,1071,37,1
03-23-2020,1442,41,1
03-24-2020,1930,53,3
03-25-2020,2369,58,5
03-26-2020,2693,68,8
03-27-2020,3035,79,12
03-28-2020,3619,89,12
03-29-2020,4247,132,15
03-30-2020,4695,161,16
03-31-2020,5358,224,20
04-01-2020,6092,241,26
04-02-2020,6857,338,36
04-03-2020,7428,403,40
04-04-2020,7851,427,44
04-05-2020,8430,477,49
04-06-2020,8904,585,57
04-07-2020,9248,770,65
04-08-2020,9404,801,73
04-09-2020,9968,1011,86
04-10-2020,10408,1183,95
04-11-2020,10743,1341,101
04-12-2020,11145,1627,103
04-13-2020,11586,1855,116
04-14-2020,12046,2195,123
04-15-2020,12501,2563,130
04-16-2020,12758,2818,142
04-17-2020,12982,3126,151
04-18-2020,13265,3456,164
04-19-2020,13491,3754,172
04-20-2020,13713,4049,177
04-21-2020,13942,4507,184
04-22-2020,14498,5215,189
04-23-2020,14803,5611,192
04-24-2020,15058,6003,194
04-25-2020,15298,6435,199
04-26-2020,15443,6731,201
04-27-2020,15555,7200,204
04-28-2020,15728,7746,210
04-29-2020,15834,8233,215
04-30-2020,15946,8561,222
05-01-2020,16101,9156,225
05-02-2020,16185,9593,229
05-03-2020,16208,9749,232
05-04-2020,16246,10064,235
05-05-2020,16289,10465,238
05-05-2020,16289,10465,238
05-06-2020,16310,10637,239
05-07-2020,16381,10873,240
05-08-2020,16436,11229,245
05-09-2020,16454,11376,247
05-10-2020,16477,11430,252
05-11-2020,16506,11843,258
05-12-2020,16529,12083,260
05-12-2020,16529,12083,260
05-13-2020,16548,12232,264
05-14-2020,16579,12521,265
05-14-2020,16579,12521,265
05-15-2020,16589,12587,266
05-16-2020,16608,12855,268
05-17-2020,16617,12942,272
05-18-2020,16643,13253,276
05-19-2020,16659,13435,278
05-19-2020,16659,13435,278
05-20-2020,16667,13504,279
05-21-2020,16683,13724,279
05-22-2020,16690,13915,279
05-23-2020,16712,14090,279
05-24-2020,16717,14153,279
05-25-2020,16734,14307,281
05-26-2020,16757,14457,281
05-27-2020,16793,14570,281
05-28-2020,16872,14679,284
05-29-2020,16987,14776,284
05-30-2020,17012,14811,284
05-31-2020,17071,14812,285
06-01-2020,17169,14878,285
06-02-2020,17285,14940,290
06-03-2020,17377,14983,291
06-04-2020,17495,15013,291
06-05-2020,17562,15026,291
06-06-2020,17752,15042,295
06-06-2020,17752,15042,295
06-07-2020,17863,15091,298
06-08-2020,18032,15102,298
06-09-2020,18180,15159,299
06-10-2020,18355,15168,299
06-11-2020,18569,15250,300
06-12-2020,18795,15288,300
06-13-2020,18972,15357,300
06-14-2020,19055,15375,300
06-15-2020,19237,15415,302
06-16-2020,19495,15449,302
06-17-2020,19783,15459,303
06-18-2020,20036,15518,303
06-19-2020,20339,15586,304
06-20-2020,20633,15586,305
06-21-2020,20778,15694,306
06-22-2020,21082,15761,307
06-23-2020,21512,15869,308
06-24-2020,22044,15940,308
06-25-2020,22400,16007,309
06-26-2020,22800,16872,314
06-27-2020,23421,17002,317
06-28-2020,23755,17074,318
06-29-2020,24441,17218,319
06-30-2020,25244,17341,320
07-01-2020,26257,17452,322
07-02-2020,27047,17547,324
07-03-2020,28055,17669,326
07-04-2020,29170,17816,330
07-05-2020,29958,17950,331
07-06-2020,30749,18056,334
07-07-2020,32222,18227,342
07-08-2020,33557,18338,344
07-09-2020,34825,18452,348
07-10-2020,36266,18613,351
07-11-2020,37464,18814,354
07-12-2020,38670,19008,362
07-13-2020,40632,19395,365
07-14-2020,42360,19665,371
07-15-2020,44188,19989,376
07-16-2020,46059,20370,384
07-17-2020,47459,20744,392
07-18-2020,49365,21348,401
07-18-2020,49365,21348,401
07-18-2020,49365,21348,401
07-19-2020,50289,21675,409
07-20-2020,52003,22154,415
07-21-2020,54042,22743,425
07-22-2020,56085,23310,430
07-23-2020,57982,24044,442
07-24-2020,59475,26797,448
07-25-2020,60678,26917,457
07-26-2020,61956,27025,470
07-27-2020,63985,27133,474
07-28-2020,66293,32182,486
07-28-2020,66293,32182,486
07-29-2020,68299,32746,491
07-30-2020,70036,43489,500
07-31-2020,70970,43850,512
08-01-2020,72218,45102,526
08-02-2020,72815,45677,536
08-03-2020,74430,47571,546
08-04-2020,76198,49834,561
08-05-2020,77919,51395,565
08-06-2020,79559,53427,576
08-07-2020,80991,55313,581
08-08-2020,82324,57071,593
08-09-2020,83002,57533,600
08-10-2020,84722,58998,613
08-11-2020,86593,60080,622
08-12-2020,88151,62109,639
08-13-2020,89822,64746,651
08-14-2020,91080,66965,665
08-15-2020,92233,67950,674
08-16-2020,92680,68510,685
08-17-2020,94751,70291,692
08-18-2020,96409,71990,708
08-19-2020,97969,73092,781
08-20-2020,99599,74579,795
08-21-2020,100716,77785,809
08-22-2020,101933,78651,819
08-23-2020,102663,79514,834
