







date,confirmed,cured,dead
03-11-2020,12462,1045,827
03-12-2020,12462,1045,827
03-13-2020,17660,1439,1266
03-14-2020,21157,1966,1441
03-15-2020,24747,2335,1809
03-16-2020,27980,2749,2158
03-17-2020,31506,2941,2503
03-18-2020,35713,4025,2978
03-19-2020,41035,4440,3405
03-20-2020,47021,4440,4032
03-21-2020,53578,6072,4825
03-22-2020,59138,7024,5476
03-23-2020,63927,7432,6077
03-24-2020,69176,8326,6820
03-25-2020,74386,9362,7503
03-26-2020,80589,10361,8215
03-27-2020,86498,10950,9134
03-28-2020,92472,12384,10023
03-29-2020,97689,13030,10779
03-30-2020,101739,14620,11591
03-31-2020,105792,15729,12428
04-01-2020,110574,16847,13155
04-02-2020,115242,18278,13915
04-03-2020,119827,19758,14681
04-04-2020,124632,20996,15362
04-05-2020,128948,21815,15887
04-06-2020,132547,22837,16523
04-07-2020,135586,24392,17127
04-08-2020,139422,26491,17669
04-09-2020,143626,28470,18279
04-10-2020,147577,30455,18849
04-11-2020,152271,32534,19468
04-12-2020,156363,34211,19899
04-13-2020,159516,35435,20465
04-14-2020,162488,37130,21067
04-15-2020,165155,38092,21645
04-16-2020,168941,40164,22170
04-17-2020,172434,42727,22745
04-18-2020,175925,44927,23227
04-19-2020,178972,47055,23660
04-20-2020,181228,48877,24114
04-21-2020,183957,51600,24648
04-22-2020,187327,54543,25085
04-23-2020,189973,57576,25549
04-24-2020,192994,60498,25969
04-25-2020,195351,63120,26384
04-26-2020,197675,64928,26644
04-27-2020,199414,66624,26977
04-28-2020,201505,68941,27359
04-29-2020,203591,71252,27682
04-30-2020,205463,75945,27967
05-01-2020,207428,78249,28236
05-02-2020,209328,79914,28710
05-03-2020,210717,81654,28884
05-04-2020,211938,82879,29079
05-05-2020,213013,85231,29315
05-05-2020,213013,85231,29315
05-06-2020,214457,93245,29684
05-07-2020,215858,96276,29958
05-08-2020,217185,99023,30201
05-09-2020,218268,103031,30395
05-10-2020,219070,105186,30560
05-11-2020,219814,106587,30739
05-12-2020,221216,109039,30911
05-12-2020,221216,109039,30911
05-13-2020,222104,112541,31106
05-14-2020,223096,115288,31368
05-14-2020,223096,115288,31368
05-15-2020,223885,120205,31610
05-16-2020,224760,122810,31763
05-17-2020,225435,125176,31908
05-18-2020,225886,127326,32007
05-19-2020,226699,129401,32169
05-19-2020,226699,129401,32169
05-20-2020,227364,132282,32330
05-21-2020,228006,134560,32486
05-22-2020,228658,136720,32616
05-23-2020,229327,138840,32735
05-24-2020,229858,140479,32785
05-25-2020,230158,141981,32877
05-26-2020,230555,144658,32955
05-27-2020,231139,147101,33072
05-28-2020,231732,150604,33142
05-29-2020,232248,152844,33229
05-30-2020,232664,155633,33340
05-31-2020,232997,157507,33415
06-01-2020,233197,158355,33475
06-02-2020,233515,160092,33530
06-03-2020,233836,160938,33601
06-04-2020,234013,161895,33689
06-05-2020,234531,163781,33774
06-06-2020,234801,165078,33846
06-06-2020,234801,165078,33846
06-07-2020,234998,165837,33899
06-08-2020,235278,166584,33964
06-09-2020,235561,168646,34043
06-10-2020,235763,169939,34114
06-11-2020,236142,171338,34167
06-12-2020,236305,173085,34223
06-13-2020,236651,174865,34301
06-14-2020,236989,176370,34345
06-15-2020,237290,177010,34371
06-16-2020,237500,178526,34405
06-17-2020,237828,179455,34448
06-18-2020,238159,180544,34514
06-19-2020,238011,181907,34561
06-20-2020,238275,182453,34610
06-21-2020,238499,182893,34634
06-22-2020,238720,183426,34657
06-23-2020,238833,184585,34675
06-24-2020,239410,186111,34644
06-25-2020,239706,186725,34678
06-26-2020,239961,187615,34708
06-27-2020,240136,188584,34716
06-28-2020,240310,188891,34738
06-29-2020,240436,189196,34744
06-30-2020,240578,190248,34767
07-01-2020,240760,190717,34788
07-02-2020,240961,191083,34818
07-03-2020,241184,191467,34833
07-04-2020,241419,191944,34854
07-05-2020,241611,192108,34861
07-06-2020,241819,192241,34869
07-07-2020,241956,192815,34899
07-08-2020,242149,193640,34914
07-09-2020,242363,193978,34926
07-10-2020,242639,194273,34938
07-11-2020,242827,194579,34945
07-12-2020,243061,194928,34954
07-13-2020,243230,195106,34967
07-14-2020,243344,195441,34984
07-15-2020,243506,196016,34997
07-16-2020,243736,196246,35017
07-17-2020,243967,196483,35028
07-18-2020,244216,196806,35042
07-18-2020,244216,196806,35042
07-18-2020,244216,196806,35042
07-19-2020,244434,196949,35045
07-20-2020,244624,197162,35058
07-21-2020,244752,197431,35073
07-22-2020,245032,197628,35082
07-23-2020,245338,197842,35092
07-24-2020,245590,198192,35097
07-25-2020,245864,198320,35102
07-26-2020,246118,198446,35107
07-27-2020,246286,198593,35112
07-28-2020,246488,198756,35123
07-28-2020,246488,198756,35123
07-29-2020,246776,199031,35129
07-30-2020,247158,199796,35132
07-31-2020,247537,199974,35141
08-01-2020,247832,200229,35146
08-02-2020,248070,200460,35154
08-03-2020,248229,200589,35166
08-04-2020,248419,200766,35171
08-05-2020,248803,200976,35181
08-06-2020,249204,201323,35187
08-07-2020,249756,201642,35190
08-08-2020,250103,201947,35203
08-09-2020,250566,202098,35205
08-10-2020,250825,202248,35209
08-11-2020,251237,202461,35215
08-12-2020,251713,202697,35225
08-13-2020,252235,202923,35231
08-14-2020,252809,203326,35234
08-15-2020,253438,203640,35392
08-16-2020,253915,203786,35396
08-17-2020,254235,203968,35400
08-18-2020,254636,204142,35405
08-19-2020,255278,204506,35412
08-20-2020,256118,204686,35418
08-21-2020,257065,204960,35427
08-22-2020,258136,205203,35430
08-23-2020,259345,205470,35437
08-24-2020,260298,205662,35441
08-25-2020,261174,206015,35445
08-26-2020,262540,206329,35458
08-27-2020,263949,206554,35463
08-28-2020,265409,206902,35472
08-29-2020,266853,208224,35473
08-30-2020,268218,208536,35477
08-31-2020,269214,207653,35483
09-01-2020,270189,207944,35491
09-02-2020,271515,208201,35497
09-03-2020,272912,208490,35507
09-04-2020,274644,209027,35518
09-05-2020,276338,209610,35534
09-06-2020,277634,210015,35541
09-07-2020,278784,210238,35553
09-08-2020,280153,210801,35563
09-09-2020,281583,211272,35577
09-10-2020,283180,211885,35587
09-11-2020,284796,212432,35597
09-12-2020,286297,213191,35603
09-13-2020,287753,213634,35610
09-14-2020,288761,213950,35624
09-15-2020,289990,214645,35633
09-16-2020,291442,215265,35645
09-17-2020,293025,215954,35658
09-18-2020,294932,216807,35668
09-19-2020,296569,217716,35692
09-20-2020,298156,218351,35707
09-21-2020,299506,218703,35724
09-22-2020,300897,219670,35738
09-23-2020,302537,220665,35758
09-24-2020,304323,221762,35781
09-25-2020,306235,222716,35801
09-26-2020,308104,223693,35818
09-27-2020,309870,224417,35835
09-28-2020,311364,225190,35851
09-29-2020,313011,226506,35875
09-30-2020,314861,227704,35894
10-01-2020,317409,228844,35918
10-02-2020,319908,229970,35941
10-03-2020,322751,231217,35968
10-04-2020,325329,231914,35986
10-05-2020,327586,232681,36002
10-06-2020,330263,234099,36030
10-07-2020,333940,235303,36061
10-08-2020,338398,236363,36083
10-09-2020,343770,237549,36111
10-10-2020,349494,238525,36140
10-11-2020,354950,239709,36166
10-12-2020,359569,240600,36205
10-13-2020,365467,242028,36246
10-14-2020,372799,244065,36289
10-15-2020,381602,245964,36372
10-16-2020,391611,247872,36427
10-17-2020,402536,249127,36474
10-18-2020,414241,251461,36543
10-19-2020,423578,252959,36616
10-20-2020,434449,255005,36705
10-21-2020,449648,257374,36832
10-22-2020,465726,259456,36968
10-23-2020,484869,261808,37059
10-24-2020,504509,264117,37210
10-25-2020,525782,266203,37338
10-26-2020,542789,268626,37479
10-27-2020,564778,271988,37700
10-28-2020,589766,275404,37905
10-29-2020,616595,279282,38122
10-30-2020,647674,283567,38321
10-31-2020,679430,289426,38618
11-01-2020,709335,292380,38826
11-02-2020,731588,296017,39059
11-03-2020,759829,302275,39412
