







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,2,0,0
03-13-2020,8,0,0
03-14-2020,8,0,0
03-15-2020,10,0,0
03-16-2020,10,2,0
03-17-2020,12,2,0
03-18-2020,13,2,0
03-19-2020,15,2,1
03-20-2020,16,2,1
03-21-2020,16,2,1
03-22-2020,19,2,1
03-23-2020,19,2,1
03-24-2020,21,2,1
03-25-2020,26,2,1
03-26-2020,26,2,1
03-27-2020,26,2,1
03-28-2020,30,2,1
03-29-2020,32,2,1
03-30-2020,36,2,1
03-31-2020,36,2,1
04-01-2020,44,2,3
04-02-2020,47,2,3
04-03-2020,47,2,3
04-04-2020,53,7,3
04-05-2020,58,8,3
04-06-2020,58,8,3
04-07-2020,63,8,3
04-08-2020,63,10,4
04-09-2020,63,12,4
04-10-2020,63,13,4
04-11-2020,65,13,4
04-12-2020,69,13,4
04-13-2020,73,19,4
04-14-2020,73,19,4
04-15-2020,125,21,5
04-16-2020,143,21,5
04-17-2020,143,25,5
04-18-2020,163,25,5
04-19-2020,173,27,5
04-20-2020,223,27,5
04-21-2020,223,27,6
04-22-2020,233,27,6
04-23-2020,257,28,6
04-24-2020,288,28,7
04-25-2020,305,28,7
04-26-2020,350,28,7
04-27-2020,364,29,7
04-28-2020,364,29,7
04-29-2020,396,29,7
04-30-2020,422,29,8
05-01-2020,432,31,8
05-02-2020,463,33,8
05-03-2020,469,38,9
05-04-2020,471,38,9
05-05-2020,473,56,9
05-05-2020,473,56,9
05-06-2020,478,57,9
05-07-2020,488,58,9
05-08-2020,490,62,9
05-09-2020,490,62,9
05-10-2020,502,90,9
05-11-2020,505,90,9
05-12-2020,507,100,9
05-12-2020,507,100,9
05-13-2020,509,113,9
05-14-2020,509,118,9
05-14-2020,509,118,9
05-15-2020,511,121,9
05-16-2020,517,121,9
05-17-2020,520,127,9
05-18-2020,520,131,9
05-19-2020,520,145,9
05-19-2020,520,145,9
05-20-2020,529,171,9
05-21-2020,534,181,9
05-22-2020,544,191,9
05-23-2020,550,200,9
05-24-2020,552,211,9
05-25-2020,556,238,9
05-26-2020,564,267,9
05-27-2020,569,279,9
05-28-2020,569,284,9
05-29-2020,575,289,9
05-30-2020,581,290,9
05-31-2020,586,311,9
06-01-2020,588,322,9
06-02-2020,590,356,9
06-03-2020,591,361,10
06-04-2020,591,368,10
06-05-2020,595,385,10
06-06-2020,596,404,10
06-06-2020,596,404,10
06-07-2020,598,405,10
06-08-2020,599,405,10
06-09-2020,605,405,10
06-10-2020,605,407,10
06-11-2020,611,408,10
06-12-2020,614,417,10
06-13-2020,615,420,10
06-14-2020,617,420,10
06-15-2020,621,430,10
06-16-2020,621,449,10
06-17-2020,626,451,10
06-18-2020,638,458,10
06-19-2020,652,458,10
06-20-2020,657,462,10
06-21-2020,659,516,10
06-22-2020,665,516,10
06-23-2020,670,518,10
06-24-2020,678,521,10
06-25-2020,684,526,10
06-26-2020,686,539,10
06-27-2020,690,552,10
06-28-2020,696,552,10
06-29-2020,698,553,10
06-30-2020,702,553,10
07-01-2020,707,555,10
07-02-2020,715,560,10
07-03-2020,721,565,10
07-04-2020,728,569,10
07-05-2020,732,584,10
07-06-2020,737,591,10
07-07-2020,745,599,10
07-08-2020,751,600,10
07-09-2020,753,603,10
07-10-2020,753,605,10
07-11-2020,758,615,10
07-12-2020,758,620,10
07-13-2020,759,628,10
07-14-2020,762,643,10
07-15-2020,763,647,10
07-16-2020,765,647,10
07-17-2020,768,678,10
07-18-2020,774,679,10
07-18-2020,774,679,10
07-18-2020,774,679,10
07-19-2020,790,693,10
07-20-2020,809,706,10
07-21-2020,810,709,10
07-22-2020,816,710,10
07-23-2020,821,711,10
07-24-2020,831,711,10
07-25-2020,837,711,10
07-26-2020,842,714,10
07-27-2020,853,714,10
07-28-2020,855,724,10
07-28-2020,855,724,10
07-29-2020,856,724,10
07-30-2020,864,724,10
07-31-2020,878,726,10
08-01-2020,883,743,10
08-02-2020,894,743,12
08-03-2020,905,743,12
08-04-2020,920,745,12
08-05-2020,928,745,12
08-06-2020,958,745,12
08-07-2020,987,745,13
08-08-2020,1003,745,13
08-09-2020,1023,745,14
08-10-2020,1031,745,14
08-11-2020,1047,753,14
08-12-2020,1065,753,14
08-13-2020,1071,754,14
08-14-2020,1082,761,14
08-15-2020,1082,761,14
08-16-2020,1113,764,14
08-17-2020,1129,764,14
08-18-2020,1146,770,14
08-19-2020,1192,772,14
08-20-2020,1290,788,15
08-21-2020,1346,788,16
08-22-2020,1346,788,16
08-23-2020,1529,819,16
08-24-2020,1612,819,16
08-25-2020,1732,840,19
08-26-2020,1804,846,19
08-27-2020,1870,846,19
08-28-2020,2011,888,19
08-29-2020,2113,890,20
08-30-2020,2357,890,21
08-31-2020,2459,890,21
09-01-2020,2459,890,21
09-02-2020,2683,898,24
09-03-2020,2896,921,29
09-04-2020,2964,922,30
09-05-2020,3024,950,32
09-06-2020,3103,958,33
09-07-2020,3183,974,34
09-08-2020,3323,992,36
09-09-2020,3437,1019,38
09-10-2020,3511,1019,40
09-11-2020,3511,1019,40
09-12-2020,3623,1072,40
09-13-2020,3771,1149,42
09-14-2020,3933,1161,44
09-15-2020,4042,1163,46
09-16-2020,4164,1180,46
09-17-2020,4374,1225,51
09-18-2020,4571,1264,55
09-19-2020,4758,1327,60
09-20-2020,4988,1350,67
09-21-2020,5143,1407,70
09-22-2020,5270,1444,75
09-23-2020,5395,1444,76
09-24-2020,5588,1490,77
09-25-2020,5723,1496,80
09-26-2020,5854,1624,88
09-27-2020,6017,1706,89
09-28-2020,6170,1741,93
09-29-2020,6408,1770,101
09-30-2020,6482,1867,107
10-01-2020,6555,1991,111
10-02-2020,6704,2112,116
10-03-2020,6795,2345,119
10-04-2020,6895,2460,120
10-05-2020,7012,2635,120
10-06-2020,7109,2674,123
10-07-2020,7191,2700,126
10-08-2020,7273,2732,128
10-09-2020,7363,3102,132
10-10-2020,7559,3142,138
10-11-2020,7718,3162,139
10-12-2020,7813,3237,146
10-13-2020,7910,3303,146
10-14-2020,7989,3431,151
10-15-2020,8067,3481,160
10-16-2020,8132,3653,162
10-17-2020,8195,3653,168
10-18-2020,8274,3859,171
10-19-2020,8321,3951,173
10-20-2020,8374,4002,174
10-21-2020,8445,4016,174
10-22-2020,8600,4095,179
10-23-2020,8638,4156,182
10-24-2020,8670,4209,186
10-25-2020,8714,4282,188
10-26-2020,8749,4303,192
10-27-2020,8787,4347,196
10-28-2020,8851,4379,198
10-29-2020,8927,4429,202
10-30-2020,9005,4442,205
10-31-2020,9094,4510,206
11-01-2020,9131,4617,208
11-02-2020,9257,4637,210
11-03-2020,9296,4666,214
11-04-2020,9326,4704,215
11-05-2020,9373,4745,217
11-06-2020,9426,4801,218
11-07-2020,9472,4878,218
11-08-2020,9506,4934,221
11-09-2020,9542,4952,221
11-10-2020,9573,4987,224
11-11-2020,9581,4995,225
11-12-2020,9634,5043,225
11-13-2020,9723,5168,227
11-14-2020,9780,5228,229
