







date,confirmed,cured,dead
03-11-2020,639,118,15
03-12-2020,639,118,16
03-13-2020,701,118,19
03-14-2020,773,118,22
03-15-2020,839,118,22
03-16-2020,825,144,27
03-17-2020,878,144,29
03-18-2020,889,144,29
03-19-2020,924,150,29
03-20-2020,963,191,33
03-21-2020,1007,232,35
03-22-2020,1086,235,36
03-23-2020,1128,235,42
03-24-2020,1193,285,43
03-25-2020,1307,310,45
03-26-2020,1387,359,47
03-27-2020,1468,372,49
03-28-2020,1693,404,52
03-29-2020,1866,424,54
03-30-2020,1866,424,54
03-31-2020,1953,424,56
04-01-2020,2178,472,57
04-02-2020,2495,472,62
04-03-2020,2617,514,63
04-04-2020,3139,514,77
04-05-2020,3139,514,77
04-06-2020,3654,575,85
04-07-2020,3906,592,92
04-08-2020,4257,622,93
04-09-2020,4667,632,94
04-10-2020,5530,685,99
04-11-2020,6005,762,99
04-12-2020,6748,762,108
04-13-2020,7370,784,123
04-14-2020,7645,799,143
04-15-2020,8100,853,146
04-16-2020,8626,901,178
04-17-2020,9787,935,190
04-18-2020,10296,1069,222
04-19-2020,10797,1159,236
04-20-2020,10797,1159,236
04-21-2020,11135,1239,263
04-22-2020,11512,1356,281
04-23-2020,12368,1494,328
04-24-2020,12829,1530,345
04-25-2020,13231,1656,360
04-26-2020,13441,1809,372
04-27-2020,14153,1899,385
04-28-2020,13736,1899,394
04-29-2020,13895,2368,413
04-30-2020,14088,2460,430
05-01-2020,14305,2975,455
05-02-2020,14571,3205,474
05-03-2020,14877,3981,487
05-04-2020,15078,4156,536
05-05-2020,15253,4496,556
05-05-2020,15253,4496,556
05-06-2020,15253,4496,556
05-07-2020,15477,4918,577
05-08-2020,15575,5146,590
05-09-2020,15663,5906,607
05-10-2020,15777,8127,624
05-11-2020,15847,8293,633
05-12-2020,15968,8531,657
05-12-2020,15968,8531,657
05-13-2020,16049,8920,678
05-14-2020,16120,9868,697
05-14-2020,16120,9868,697
05-15-2020,16203,10338,713
05-16-2020,16237,10338,725
05-17-2020,16285,11153,744
05-18-2020,16305,11564,749
05-19-2020,16367,11564,768
05-19-2020,16367,11564,768
05-20-2020,16367,11564,768
05-21-2020,16424,12672,777
05-22-2020,16513,13005,796
05-23-2020,16536,13244,808
05-24-2020,16550,13413,820
05-25-2020,16581,13612,830
05-26-2020,16623,13810,846
05-27-2020,16651,13973,858
05-28-2020,16598,14096,881
05-29-2020,16673,14213,887
05-30-2020,16716,14267,894
05-31-2020,16751,14342,898
06-01-2020,16787,14463,899
06-02-2020,16837,14585,902
06-03-2020,16867,14702,905
06-04-2020,16911,14785,911
06-05-2020,16958,14925,916
06-06-2020,17000,14927,915
06-06-2020,17000,14927,915
06-07-2020,17039,14990,917
06-08-2020,17060,15043,920
06-09-2020,17111,15141,920
06-10-2020,17146,15217,922
06-11-2020,17187,15233,922
06-12-2020,17250,15362,924
06-13-2020,17293,15458,927
06-14-2020,17369,15514,927
06-15-2020,17439,15567,929
06-16-2020,17484,15652,934
06-17-2020,17530,15753,935
06-18-2020,17588,15753,935
06-19-2020,17658,15844,951
06-20-2020,17725,15948,955
06-21-2020,17780,15948,955
06-22-2020,17820,15957,955
06-23-2020,17879,16096,965
06-24-2020,17963,16101,967
06-25-2020,18055,16142,971
06-26-2020,18162,16224,971
06-27-2020,18254,16293,971
06-28-2020,18366,16327,972
06-29-2020,18476,16388,972
06-30-2020,18615,16458,972
07-01-2020,18838,16563,976
07-02-2020,19055,16615,977
07-03-2020,19185,16721,977
07-04-2020,19461,16832,977
07-05-2020,19668,16870,977
07-06-2020,19848,17007,978
07-07-2020,20055,17057,981
07-08-2020,20261,17057,982
07-09-2020,20617,17412,982
07-10-2020,21044,17494,982
07-11-2020,21430,17494,982
07-12-2020,21841,17845,983
07-13-2020,22125,18058,984
07-14-2020,22437,18126,984
07-15-2020,23172,18126,984
07-16-2020,23510,18641,985
07-17-2020,24104,18944,985
07-18-2020,24946,19211,986
07-18-2020,24946,19211,986
07-18-2020,24946,19211,986
07-19-2020,25446,19211,986
07-20-2020,25706,19603,988
07-21-2020,26463,20001,988
07-22-2020,27136,20482,990
07-23-2020,28114,20878,992
07-24-2020,28883,21173,994
07-25-2020,29684,21464,996
07-26-2020,30548,21606,998
07-27-2020,31142,21970,998
07-28-2020,32116,22636,1001
07-28-2020,32116,22636,1001
07-29-2020,33382,23351,1001
07-30-2020,35144,24024,1007
07-31-2020,36234,24774,1008
