







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,1,0,0
03-13-2020,1,1,0
03-14-2020,1,1,0
03-15-2020,8,1,0
03-16-2020,17,1,0
03-17-2020,34,1,0
03-18-2020,52,1,0
03-19-2020,69,1,0
03-20-2020,85,1,0
03-21-2020,85,1,0
03-22-2020,112,1,0
03-23-2020,127,1,0
03-24-2020,154,1,0
03-25-2020,172,1,0
03-26-2020,212,1,0
03-27-2020,235,18,1
03-28-2020,246,18,1
03-29-2020,259,18,3
03-30-2020,268,26,5
03-31-2020,274,30,5
04-01-2020,278,36,5
04-02-2020,299,45,5
04-03-2020,310,58,5
04-04-2020,323,74,5
04-05-2020,345,110,5
04-06-2020,349,126,6
04-07-2020,353,138,6
04-08-2020,358,150,6
04-09-2020,372,161,7
04-10-2020,372,170,7
04-11-2020,381,177,7
04-12-2020,389,201,7
04-13-2020,391,215,7
04-14-2020,397,235,7
04-15-2020,401,250,7
04-16-2020,402,259,7
04-17-2020,407,265,7
04-18-2020,413,269,7
04-19-2020,417,276,7
04-20-2020,425,282,7
04-21-2020,428,297,7
04-22-2020,435,315,7
04-23-2020,437,318,7
04-24-2020,441,326,7
04-25-2020,444,332,7
04-26-2020,447,337,7
04-27-2020,449,342,7
04-28-2020,449,348,8
04-29-2020,451,356,8
04-30-2020,453,362,8
05-01-2020,459,364,8
05-02-2020,460,367,9
05-03-2020,461,367,9
05-04-2020,465,370,9
05-05-2020,471,375,9
05-05-2020,471,375,9
05-06-2020,473,377,9
05-07-2020,494,381,9
05-08-2020,508,385,9
05-09-2020,522,387,9
05-10-2020,540,389,9
05-11-2020,562,390,9
05-12-2020,576,390,9
05-12-2020,576,390,9
05-13-2020,582,392,9
05-14-2020,586,393,9
05-14-2020,586,393,9
05-15-2020,596,401,9
05-16-2020,607,404,9
05-17-2020,613,408,9
05-18-2020,629,413,9
05-19-2020,649,417,9
05-19-2020,649,417,9
05-20-2020,672,446,9
05-21-2020,684,457,9
05-22-2020,700,461,9
05-23-2020,704,470,9
05-24-2020,708,471,9
05-25-2020,711,479,9
05-26-2020,718,586,9
05-27-2020,720,586,9
05-28-2020,728,497,9
05-29-2020,730,507,9
05-30-2020,734,507,9
05-31-2020,739,522,9
06-01-2020,746,535,9
06-02-2020,755,549,9
06-03-2020,757,561,9
06-04-2020,765,566,9
06-05-2020,784,571,9
06-06-2020,795,586,9
06-06-2020,795,586,9
06-07-2020,808,607,9
06-08-2020,831,627,9
06-09-2020,845,657,9
06-10-2020,863,663,9
06-11-2020,890,670,9
06-12-2020,915,671,9
06-13-2020,953,678,9
06-14-2020,961,682,9
06-15-2020,979,692,9
06-16-2020,981,693,9
06-17-2020,987,693,9
06-18-2020,1001,697,9
06-19-2020,1008,708,9
06-20-2020,1015,722,9
06-21-2020,1033,739,9
06-22-2020,1042,751,9
06-23-2020,1047,772,9
